0	Index      	 *	Score 	Summary	Detail	
1	32221 55611	 * 	197.98	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1BELT|2ZMB|3AART|48DMG|5aVULN|6RCR|79CDMG
320	53413 31352	 * 	168.59	ACR|4VULN|1AART|2ZMB	1aBEXP|2FEWX|3RPLT|4RCR|578aVULN|6aZMB|9AART|aBPWR
321	26126 22422	   	168.50	DCR|3VULN|1AART|1CDMG|2DUR	14DUR|2LWND|3CDMG|589VULN|6RCR|7AART|aCGEN
322	42126 22422	   	168.50	DCR|3VULN|1AART|1CDMG|2DUR	1LWND|24DUR|3CDMG|589VULN|6RCR|7AART|aCGEN
323	26126 22421	   	168.40	DCR|3VULN|1AART|1CDMG|2DUR	14DUR|2LWND|3CDMG|589VULN|6RCR|7AART|aDUST
324	42126 22421	   	168.40	DCR|3VULN|1AART|1CDMG|2DUR	1LWND|24DUR|3CDMG|589VULN|6RCR|7AART|aDUST
325	23412 42122	   	168.37	ACR|3DMG|2VULN|1AART|2DUR|1MSE	1aDUR|2MSE|37RPLT|4RCR|5AART|68aDMG|9aVULN|aBPWR
326	32221 32343	   	168.33	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1BELT|27ZMB|3AART|48DMG|5VULN|6CDMG|9MLV|aRCR
327	32225 43153	   	168.28	DCR|2AART|2DMG|2CDMG|2ZMB|1SELL	1BELT|2aZMB|37AART|46DMG|56CDMG|6BPWR|8SELL|9RCR
328	26126 22423	   	168.25	DCR|3VULN|1AART|1CDMG|2DUR|1SELL	14DUR|2LWND|3CDMG|589VULN|6RCR|7AART|aSELL
329	42126 22423	   	168.25	DCR|3VULN|1AART|1CDMG|2DUR|1SELL	1LWND|24DUR|3CDMG|589VULN|6RCR|7AART|aSELL
330	13241 34533	   	168.25	DCR|5VULN|1AART	127ERES|3478aVULN|57BEXP|6RCR|7BPWR|9AART
331	32221 32313	   	168.23	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1BELT|27ZMB|3AART|48DMG|5VULN|6CDMG|9TLV|aRCR
332	32221 32323	   	168.23	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1BELT|27ZMB|3AART|48DMG|5VULN|6CDMG|9ERES|aRCR
333	16313 31421	   	168.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2AART|3DUR|4CDMG|58DMG|6MGNSTR|7RCR|9CGEN|aVULN
334	16313 31443	   	168.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2AART|3DUR|4CDMG|58DMG|6MGNSTR|7RCR|9LWND|aVULN
335	16313 31453	   	168.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2AART|3DUR|4CDMG|58DMG|6MGNSTR|7RCR|9BEXP|aVULN
