0	Index      	 *	Score 	Summary	Detail	
1	12532 38524	 * 	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	19CDMG|24LWND|3MBVNT|579VULN|69ASPD|8RCR|9BPWR|aAART
320	34522 36111	   	190.36	DCR|3VULN|2ASPD|1CDMG	16aVULN|2LWND|3RPLT|4aASPD|5LIT|7RCR|8CDMG|9aCGEN|aBPWR
321	62312 23422	   	190.35	DCR|3VULN|2DMG|1ZMB	1BELT|24RCVC|38CGEN|58DMG|678VULN|8BPWR|9RCR|aZMB
322	33213 51162	   	190.13	DCR|2VULN|2AART|1CDMG|1AAC|1ZMB	17VULN|2LHND|3AAC|49AART|5ZMB|6RCR|8MLV|aCDMG
323	33213 51362	   	190.13	DCR|2VULN|2AART|1CDMG|1AAC|1ZMB	17VULN|2LHND|3AAC|49AART|5ZMB|6RCR|8CGEN|aCDMG
324	33213 51662	   	190.13	DCR|2VULN|2AART|1CDMG|1AAC|1ZMB	17VULN|2LHND|3AAC|49AART|5ZMB|6RCR|8AME|aCDMG
325	11152 21442	   	190.12	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2FEWX|3RPLT|4AAC|5ZMB|6aVULN|7AART|8RCR|9DMG
326	11163 21442	   	190.12	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2FEWX|3RPLT|4ZMB|5AAC|6aVULN|7AART|8RCR|9DMG
327	33215 61423	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	15VULN|2LHND|3AAC|4AART|6CDMG|7RCR|8DUR|9LIT|aASPD
328	33224 61423	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	14VULN|2LHND|3AAC|5AART|6CDMG|7RCR|8DUR|9LIT|aASPD
329	13352 21442	   	190.02	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2RPLT|3DUST|4AAC|5ZMB|6aVULN|7AART|8RCR|9DMG
330	13363 21442	   	190.02	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2RPLT|3DUST|4ZMB|5AAC|6aVULN|7AART|8RCR|9DMG
331	13125 32233	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3AART|4LWND|589VULN|6RCR|7LIT|aDUR
332	13165 32233	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3AART|4LHND|589VULN|6RCR|7LIT|aDUR
333	14652 22231	 * 	189.91	ACR|3VULN|3CDMG|1AART|1ASPD	125CDMG|2BPWR|3RCR|4AART|689VULN|7LIT|aASPD
334	33522 61251	   	189.84	DCR|3ASPD|2VULN|1ZMB|1DUR	17VULN|2LHND|3RPLT|479ASPD|57LIT|6RCR|7BPWR|8DUR|aZMB
335	32626 34233	 * 	189.70	DCR|2VULN|1MDPS|1AART|1ASPD|3DUR	13VULN|234DUR|3BPWR|5AART|6ASPD|78LWND|9RCR|aMDPS
336	32614 43123	   	189.54	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13VULN|23DUR|3BPWR|4DMG|5AART|679LHND|8CDMG|aRCR
337	32626 35133	   	189.50	DCR|2VULN|1MDPS|1AART|1ASPD|3DUR	13VULN|234DUR|3BPWR|5AART|6ASPD|78DUST|9RCR|aMDPS
338	31312 23513	   	189.48	DCR|2VULN|2ASPD|1AART|1DUR	16VULN|29LIT|3RCVC|45ASPD|7DUR|8RCR|aAART
339	31312 51533	   	189.48	DCR|2VULN|2ASPD|1AART|1DUR	17VULN|26LIT|3RCVC|45ASPD|8RCR|9DUR|aAART
