0	Index      	 *	Score 	Summary	Detail	
1	61313 16235	 * 	229.08	ACR|2SPLARM|4VULN|2DMG|1AART	126aVULN|346LIT|5RCR|6aBPWR|7AART|8aSPLARM|9aDMG
318	62124 41332	   	199.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|7LEGI|8FEWX|9ASPD|aDUR
319	62224 42333	   	199.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1aVULN|23CDMG|4AART|5MSLFST|6RCR|7DUR|8FEWX|9ASPD
320	63263 13212	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|38RMIN|45DMG|7RCR|9CDMG|aBEXP
321	63263 13336	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3RMIN|45DMG|7RCR|8LWND|9LIT|aCDMG
322	21464 16133	   	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1BEXP|25VULN|3MBVNT|45aDMG|5BPWR|6ASPD|7DUR|8RPLT|9RCR
323	13162 31236	 * 	199.44	DCR|3DMG|1AART|1ASPD|1CDMG|1DUR	1RCVC|24LWND|348DMG|4BPWR|5CDMG|6DUR|7ASPD|9RCR|aAART
324	62111 51513	   	199.44	DCR|4VULN|1AART|2CDMG	1348VULN|23CDMG|3BPWR|5FEWX|6RCVC|7AART|9DUST|aRCR
325	63124 21232	   	199.44	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1MSE	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7LEGI|8BPWR|9RCR|aMSE
326	63124 21235	   	199.44	DCR|2VULN|1MDPS|2ASPD|2CDMG|1AART	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7LEGI|8BPWR|9RCR|aERES
327	62124 42121	   	199.42	DCR|2VULN|1AART|2CDMG|1NUKE|1DUR	13VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|7DUR|8TLV|9NUKE|aRMIN
328	62124 42122	   	199.42	DCR|2VULN|1AART|2CDMG|1NUKE|1DUR	13VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|7DUR|8TLV|9NUKE|aAELBLL
329	62124 42123	   	199.42	DCR|2VULN|1AART|2CDMG|1NUKE|1DUR	13VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|7DUR|8TLV|9NUKE|aAME
330	63263 13211	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	16VULN|2AART|38RMIN|45DMG|7RCR|9CDMG|aMSE
331	63263 13213	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|38RMIN|45DMG|7RCR|9CDMG|aTLV
332	63263 13216	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|38RMIN|45DMG|7RCR|9CDMG|aERES
333	63263 13342	   	199.30	DCR|2VULN|2AART|2DMG	16VULN|2aAART|3RMIN|45DMG|7RCR|8LWND|9BEXP
334	21467 24224	 * 	199.27	DCR|3ASPD|2VULN|1DMG|1DUR	1BEXP|29VULN|3MBVNT|4DMG|5DUR|6RCR|78aASPD
335	46253 24324	   	199.27	DCR|3ASPD|2VULN|1DMG|1DUR	1LWND|2DUR|39VULN|4DMG|5MBVNT|6RCR|78aASPD
336	21463 26213	   	199.24	DCR|3VULN|2DMG|1ASPD	1BEXP|279VULN|3MBVNT|4aDMG|5RPLT|6RCR|8ASPD
337	41463 24213	   	199.24	DCR|3VULN|2DMG|1ASPD	1LWND|279VULN|3MBVNT|4aDMG|5RPLT|6RCR|8ASPD
338	63663 13342	   	199.20	DCR|2VULN|2AART|2DMG	16VULN|2aAART|3AME|45DMG|7RCR|8MBVNT|9LWND
339	63563 13342	   	199.10	DCR|2VULN|2AART|2DMG	16VULN|2aAART|3TLV|45DMG|7RCR|8MBVNT|9LWND
