0	Index      	 *	Score 	Summary	Detail	
1	31112 41261	 * 	233.09	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aASPD
332	33511 15151	   	204.89	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9ERES|aASPD
333	33511 15161	   	204.89	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9TLV|aASPD
334	33511 16151	   	204.89	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2CDMG|39VULN|4ZMB|5RCVC|6RCR|7ERES|8DUR|aASPD
335	51221 11256	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9VENFST|aCDMG
336	51221 11263	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aFEWX
337	51221 11264	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aDMSP
338	51221 11266	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aLWND
339	54221 11234	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9CGEN|aCDMG
340	54221 11263	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9CDMG|aLWND
341	32133 11264	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1aAART|2TLV|3DMG|4CGEN|5RMIN|68VULN|7RCR|9CDMG
342	32163 11264	   	204.70	DCR|2VULN|2AART|1DMG|1CDMG|1AAC	1aAART|2TLV|3DMG|4AAC|5RMIN|68VULN|7RCR|9CDMG
343	51221 11234	   	204.70	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9TLV|aCDMG
344	51221 11262	   	204.70	DCR|2VULN|2AART|1DMG|1CDMG|1MSE	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aMSE
345	31112 32333	   	204.63	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|45VULN|5BPWR|6CGEN|7RMIN|8RCVC|9RCR|aASPD
346	33511 16135	   	204.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5RCVC|6RCR|7ERES|8DUR|9ASPD|aDMG
347	31111 31156	   	204.52	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|28ERES|3DMG|46VULN|5DUR|7RCR|9SPLARM|aCDMG
348	51221 11424	   	204.48	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|6VULN|7RCR|8BEXP|9ASPD|aCDMG
349	51221 11624	   	204.48	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|6VULN|7RCR|8FEWX|9ASPD|aCDMG
350	52334 31261	   	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|2RMIN	12RMIN|3LHND|4aASPD|58VULN|6AART|7RCR|9CDMG
351	22621 31261	   	204.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2LWND|38VULN|4DMG|5RCVC|6AART|7RCR|9CDMG|aASPD
352	32144 11261	   	204.31	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2TLV|3DMG|4LHND|5RCVC|68VULN|7RCR|9CDMG|aASPD
353	52324 31223	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|2RMIN	12RMIN|3LHND|4ZMB|58VULN|6AART|7RCR|9DMG|aASPD
354	31112 41313	   	204.23	DCR|2VULN|2DMG|1MDPS|1AART|1AAC|1DUR	1AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|9MDPS|aAAC
355	23621 31261	   	204.21	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DUST|38VULN|4DMG|5RCVC|6AART|7RCR|9CDMG|aASPD
356	32124 11261	   	204.21	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2TLV|3DMG|4DUST|5RCVC|68VULN|7RCR|9CDMG|aASPD
357	51321 62263	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|59VULN|6RCR|7BEXP|8LHND|aASPD
358	51321 62325	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|5aVULN|6RCR|78BEXP|9ASPD
359	51321 63162	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9ASPD|aAME
360	51321 63521	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8LHND|9ASPD|aLWND
361	51321 63523	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8LHND|9ASPD|aLIT
362	51321 63611	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9aLWND
363	51321 63613	   	204.10	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9LWND|aLHND
364	34131 32244	   	204.08	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1AART|2RMIN|3BEXP|468VULN|5DMG|7DUR|9RCR|aMDPS
365	34131 33344	   	204.08	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1AART|2RMIN|3BEXP|467VULN|5DMG|8DUR|9RCR|aMDPS
366	51321 63163	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9ASPD|aTSLARM
367	51321 63522	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8LHND|9ASPD|aTLV
368	51321 63533	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8LHND|9DUST|aASPD
369	51321 63612	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9LWND|aERES
370	51321 63621	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9DUST|aLWND
371	51321 63623	   	204.00	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9DUST|aLIT
372	34623 44335	   	203.91	DCR|2AART|2DMG|1VULN|1CDMG|1AAC	13AART|2RMIN|4AAC|5MBVNT|6RCR|79DMG|8VULN|aCDMG
373	51321 63622	   	203.90	DCR|3DMG|2VULN|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9DUST|aTLV
374	36631 33336	   	203.84	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3RMIN|467VULN|5DMG|8RCVC|9RCR|aCDMG
375	36221 31442	 * 	203.83	DCR|3DMG|2AART|3CDMG	1aAART|289LHND|3ERES|489CDMG|5BELT|6RCR|789DMG|89BPWR
376	51321 61262	   	203.69	DCR|3DMG|1VULN|1AART|1CDMG	1RMIN|234DMG|34BPWR|5VULN|6RCR|7LIT|8CGEN|9AART|aCDMG
377	51321 61162	   	203.59	DCR|3DMG|1VULN|1AART|1CDMG	1RMIN|234DMG|34BPWR|5VULN|6RCR|7LIT|8ERES|9AART|aCDMG
378	34331 34161	   	203.54	ACR|3VULN|1AART|2CDMG|1DMG|2ZMB	1AART|2RMIN|3RCR|469VULN|5DMG|79ZMB|89CDMG|9BPWR|aFEWX
379	34331 34162	   	203.54	ACR|3VULN|1AART|2CDMG|1DMG|2ZMB	1AART|2RMIN|3RCR|469VULN|5DMG|79ZMB|89CDMG|9BPWR|aLWND
380	34331 34163	   	203.54	ACR|3VULN|1AART|2CDMG|1DMG|2ZMB	1AART|2RMIN|3RCR|469VULN|5DMG|79ZMB|89CDMG|9BPWR|aLHND
381	31112 52364	   	203.53	DCR|2VULN|2AART|2DMG|1ZMB	16AART|2ERES|35DMG|45VULN|5BPWR|7ZMB|8AIRARM|9FEWX|aRCR
382	31112 52314	   	203.43	DCR|2VULN|2AART|2DMG|1ZMB	16AART|2ERES|35DMG|45VULN|5BPWR|7ZMB|8AIRARM|9DUST|aRCR
383	32231 31233	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2TLV|3BEXP|468VULN|5DMG|7RCR|9AME|aASPD
384	31111 51126	   	203.28	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	16AART|28ERES|39DMG|4VULN|5DUR|7RCR|aCDMG
385	34331 34132	   	203.24	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RMIN|3RCR|46VULN|5DMG|7ZMB|8CDMG|9ASPD|aDUR
386	34331 34143	   	203.24	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2RMIN|3RCR|46VULN|5DMG|7ZMB|8CDMG|9DUR|aASPD
387	36331 12421	   	203.21	DCR|3DMG|2VULN|1AART|1ZMB	1AART|2LHND|356DMG|47VULN|8CGEN|9ZMB|aRCR
388	36331 15521	   	203.21	DCR|3DMG|2VULN|1AART|1ZMB	1AART|2LHND|356DMG|48VULN|7CGEN|9ZMB|aRCR
389	22625 31213	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|29LWND|38VULN|45DMG|6AART|7RCR|aASPD
390	31231 31323	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|38BEXP|46VULN|59DMG|7RCR|aASPD
391	32231 31423	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2TLV|38BEXP|46VULN|59DMG|7RCR|aASPD
392	32163 11256	   	203.15	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2TLV|3DMG|4AAC|5RMIN|68VULN|7RCR|9SPLARM|aCDMG
393	33534 12133	 * 	203.15	DCR|3VULN|1AART|2CDMG|1ASPD	1AART|28CDMG|367VULN|4LWND|5RPLT|9RCR|aASPD
394	36331 12221	   	203.11	DCR|3DMG|2VULN|1AART|1ZMB	1AART|2LHND|356DMG|47VULN|8TLV|9ZMB|aRCR
