0	Index      	 *	Score 	Summary	Detail	
1	15123 21211	 * 	228.19	DCR|1SPLARM|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aSPLARM
313	11122 22214	   	200.15	DCR|3VULN|1MDPS|2DMG|1AART	17aVULN|2AART|37LHND|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS
314	11122 22215	   	200.15	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|2AART|37LHND|4LWND|5FEWX|67aDMG|7BPWR|8RCR|9MDPS
315	11122 22216	   	200.15	DCR|2VULN|1MDPS|2DMG|1AART	17VULN|2AART|37LHND|4aLWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS
316	11322 22211	   	200.15	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|37BEXP|4LWND|5aFEWX|67DMG|7BPWR|8RCR|9MDPS
317	11322 22212	   	200.15	DCR|2VULN|2DMG|1MDPS|1AART|1MSE	17VULN|2AART|37BEXP|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS|aMSE
318	11322 22213	   	200.15	DCR|2VULN|1MDPS|2DMG|1AART	17VULN|2AART|37BEXP|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS|aCGEN
319	11322 22214	   	200.15	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|37BEXP|4LWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS
320	11322 22215	   	200.15	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|2AART|37BEXP|4LWND|5FEWX|67aDMG|7BPWR|8RCR|9MDPS
321	11322 22216	   	200.15	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|37BEXP|4aLWND|5FEWX|67DMG|7BPWR|8RCR|9MDPS
322	11123 22232	   	200.07	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9RPLT|aZMB
323	11123 22255	   	200.07	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9AME|aZMB
324	11323 22255	   	200.07	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9AME|aZMB
325	11222 22211	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|3LEGI|4LWND|57aFEWX|67DMG|7BPWR|8RCR|9MDPS
326	11222 22212	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART|1MSE	17VULN|2AART|3LEGI|4LWND|57FEWX|67DMG|7BPWR|8RCR|9MDPS|aMSE
327	11222 22213	   	200.05	DCR|2VULN|1MDPS|2DMG|1AART	17VULN|2AART|3LEGI|4LWND|57FEWX|67DMG|7BPWR|8RCR|9MDPS|aCGEN
328	11222 22214	   	200.05	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|3LEGI|4LWND|57FEWX|67DMG|7BPWR|8RCR|9MDPS
329	11222 22215	   	200.05	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|2AART|3LEGI|4LWND|57FEWX|67aDMG|7BPWR|8RCR|9MDPS
330	11222 22216	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|3LEGI|4aLWND|57FEWX|67DMG|7BPWR|8RCR|9MDPS
331	11352 22211	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|3BEXP|4LEGI|57aFEWX|67DMG|7BPWR|8RCR|9MDPS
332	11352 22212	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART|1MSE	17VULN|2AART|3BEXP|4LEGI|57FEWX|67DMG|7BPWR|8RCR|9MDPS|aMSE
333	11352 22213	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|3BEXP|4LEGI|57FEWX|67DMG|7BPWR|8RCR|9MDPS|aCGEN
334	11352 22214	   	200.05	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|3BEXP|4LEGI|57FEWX|67DMG|7BPWR|8RCR|9MDPS
335	11352 22215	   	200.05	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|2AART|3BEXP|4LEGI|57FEWX|67aDMG|7BPWR|8RCR|9MDPS
336	11352 22216	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	17VULN|2AART|3BEXP|4LEGI|57FEWX|67DMG|7BPWR|8RCR|9MDPS|aLWND
337	11153 21613	   	199.94	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB	1aVULN|2AART|3LHND|4DMSP|5aASPD|6ZMB|7LIT|8aDUR|9RCR|aBPWR
338	11223 22236	 * 	199.93	DCR|2VULN|2DMG|1AART|3DUR	17VULN|2AART|3LEGI|4LWND|57aDUR|67DMG|7BPWR|8RCR|9RPLT
339	11353 22231	   	199.93	DCR|2VULN|2DMG|1AART|3DUR	17VULN|2AART|3BEXP|4LEGI|57aDUR|67DMG|7BPWR|8RCR|9RPLT
340	11334 32561	   	199.92	DCR|3VULN|3ZMB|1AART|1DUR	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9RCVC|aDUR
341	11233 25542	   	199.87	DCR|1AART|1VULN|1ASPD|1NUKE|1CDMG|1ZMB|1DUR|1SELL	1VULN|2AART|3LEGI|4ZMB|5SELL|6CDMG|7RCR|8ASPD|9DUR|aNUKE
342	11253 21613	   	199.84	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB	1aVULN|2AART|3LEGI|4DMSP|5aASPD|6ZMB|7LIT|8aDUR|9RCR|aBPWR
343	11223 22222	   	199.83	DCR|2VULN|2DMG|1AART|3DUR	17VULN|2AART|3LEGI|4LWND|57aDUR|67DMG|7BPWR|8RCR|9DUST
344	12521 61212	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|2CANARM|3aASPD|4AME|5LWND|6AART|7RCR|8DMG
345	12524 61212	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|2CANARM|3aASPD|4AME|5LHND|6AART|7RCR|8DMG
346	12561 61212	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|2CANARM|3aASPD|4CGEN|5LWND|6AART|7RCR|8DMG
347	22252 11416	   	199.75	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG	1ERES|2CDMG|3BASFIG|4DMG|56VULN|7BEXP|8RCR|9AART|aNUKE
348	15641 12113	   	199.65	DCR|3VULN|2DMG|1ASPD|1DUR	149VULN|23DMG|5DUR|6LHND|7CGEN|8ASPD|aRCR
349	14381 48143	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	136VULN|2MBVNT|4LWND|5FEWX|7RCR|8ASPD|9AART|aCDMG
350	11334 34522	 * 	199.60	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1AAC|2ZMB	1VULN|2AART|3BEXP|45ZMB|6RCR|7AAC|8ASPD|9DMG|aMDPS
351	11234 34522	   	199.50	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1AAC|2ZMB	1VULN|2AART|3LEGI|45ZMB|6RCR|7AAC|8ASPD|9DMG|aMDPS
352	14381 48142	 * 	199.45	DCR|3VULN|2AART|1ASPD	136VULN|2MBVNT|4LWND|5FEWX|7RCR|8ASPD|9aAART
353	53353 22613	 * 	199.39	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1RCR|238VULN|4CDMG|5ASPD|6LHND|7DUST|9AART|aDMG
354	14812 31283	 * 	199.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	17aVULN|2MBVNT|3MDPS|4DMG|5AART|6LIT|8ASPD|9RCR
355	53341 25322	   	199.29	ACR|3VULN|1AART|1DMG|1NUKE|1CDMG|1MSE	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9MSE|aAME
356	53341 25323	   	199.29	ACR|3VULN|1AART|1DMG|1NUKE|1CDMG|1MSE	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9MSE|aLHND
357	53341 25331	   	199.29	ACR|3VULN|1AART|1NUKE|1DMG|1CDMG	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9ERES|aAME
358	53341 25332	   	199.29	ACR|3VULN|1AART|1DMG|1NUKE|1CDMG	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9ERES|aLHND
359	53341 25333	   	199.29	ACR|3VULN|1AART|1DMG|1NUKE|1CDMG	1RCR|235VULN|4DMG|6CDMG|7AART|8NUKE|9ERES|aCGEN
360	11122 22235	   	199.26	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37LHND|4LWND|5FEWX|67DMG|7BPWR|8RCR|9RPLT
361	11122 22265	   	199.26	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37LHND|4LWND|5FEWX|67DMG|7BPWR|8RCR|9BELT
362	11322 22235	   	199.26	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37BEXP|4LWND|5FEWX|67DMG|7BPWR|8RCR|9RPLT
363	11332 32532	   	199.22	DCR|3VULN|1AART|1DMG|2ZMB	178VULN|2AART|358BEXP|48ZMB|6RCR|8BPWR|9DMG|aLHND
364	11332 32535	   	199.22	DCR|3VULN|1AART|1DMG|2ZMB	178VULN|2AART|358BEXP|48ZMB|6RCR|8BPWR|9DMG|aCGEN
365	15121 53633	   	199.20	DCR|3VULN|2DMG|1ASPD|1SELL	18aVULN|28DMG|3ASPD|4SELL|5ERES|6RCR|789LWND|8BPWR
366	11146 22225	   	199.16	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|357LHND|4MDPS|67DMG|7BPWR|8RCR|9RPLT
367	11346 22225	   	199.16	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|37BEXP|4MDPS|5RCVC|67DMG|7BPWR|8RCR|9RPLT
368	11222 22235	   	199.16	DCR|3VULN|2DMG|1AART	17aVULN|2AART|3LEGI|4LWND|57FEWX|67DMG|7BPWR|8RCR|9RPLT
369	11222 22265	   	199.16	DCR|3VULN|2DMG|1AART	17aVULN|2AART|3LEGI|4LWND|57FEWX|67DMG|7BPWR|8RCR|9BELT
370	11352 22235	   	199.16	DCR|3VULN|2DMG|1AART	17aVULN|2AART|3BEXP|4LEGI|57FEWX|67DMG|7BPWR|8RCR|9RPLT
371	11332 32531	   	199.12	DCR|3VULN|1AART|1DMG|2ZMB|1MSE	178VULN|2AART|358BEXP|48ZMB|6RCR|8BPWR|9DMG|aMSE
372	11332 32533	   	199.12	DCR|3VULN|1AART|1DMG|2ZMB	178VULN|2AART|358BEXP|48ZMB|6RCR|8BPWR|9DMG|aDUST
373	15123 21212	   	199.05	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aAME
374	15123 21213	   	199.05	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7aLHND|9RCR
375	15123 21214	   	199.05	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aLWND
376	15123 21215	   	199.05	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aBELT
377	15123 21216	   	199.05	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aAELBLL
378	13326 24313	   	199.01	DCR|3VULN|2DMG|1AART|1SELL	139VULN|27FEWX|4SELL|59LIT|69DMG|8RCR|9BPWR|aAART
379	11123 22242	   	199.01	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9AAC|aCDMG
380	11323 22242	   	199.01	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9AAC|aCDMG
381	11332 35123	   	198.98	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2AART|35BEXP|4aZMB|6RCR|7LHND|8CGEN|9aDMG|aBPWR
382	11332 35323	   	198.98	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2AART|35BEXP|4aZMB|6RCR|7LHND|8MLV|9aDMG|aBPWR
383	11332 36223	   	198.98	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2AART|35BEXP|4aZMB|6RCR|7CGEN|8LHND|9aDMG|aBPWR
384	11246 22225	   	198.96	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2AART|3LEGI|4MDPS|5RCVC|67DMG|7BPWR|8RCR|9RPLT
385	11334 32215	   	198.92	DCR|3VULN|1AART|1DMG|2ZMB	17aVULN|2AART|3BEXP|45ZMB|6RCR|8DMG|9DUST
386	11334 32325	   	198.92	DCR|3VULN|1AART|1DMG|2ZMB	17aVULN|2AART|3BEXP|45ZMB|6RCR|8DUST|9DMG
387	11332 35523	   	198.88	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2AART|35BEXP|4aZMB|6RCR|7LHND|8TLV|9aDMG|aBPWR
388	11334 33525	   	198.39	DCR|3VULN|3ZMB|1AART|1AAC	189VULN|2AART|378BEXP|458ZMB|6RCR|8BPWR|aAAC
389	11233 25526	   	198.33	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1SELL	1VULN|2AART|3LEGI|4ZMB|5SELL|6CDMG|7RCR|8ASPD|9DMG|aAAC
