0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15123 23342	8	 * 	270.84	DCR|5VULN|1TLV|1DUR|2LIT	19FEWX|2TLV|35789VULN|49LIT|6RCR|9BPWR|aDUR
347	21215 11652	3	   	242.28	DCR|3VULN|2DMG|2DUR|1SELL	1BELT|27DMG|3SELL|47aVULN|57DUR|6LEGI|7BPWR|8BEXP|9RCR
348	15123 24336	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2TLV|359VULN|4LIT|6RCR|7LWND|8DMG|aCDMG
349	24223 22242	7	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|37aVULN|4LIT|5TLV|6DMG|8BEXP|9RCR
350	24223 22342	7	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|37aVULN|4LIT|5TLV|6DMG|8FEWX|9RCR
351	24223 22435	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|379VULN|4LIT|5TLV|6DMG|8FEWX|aRCR
352	24223 22442	8	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|37aVULN|4LIT|5TLV|6DMG|8FEWX|9RCR
353	24223 22515	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|378VULN|4LIT|5TLV|6DMG|9LWND|aRCR
354	24223 22525	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|378VULN|4LIT|5TLV|6DMG|9LHND|aRCR
355	24223 22631	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	18BELT|2CDMG|379VULN|4LIT|5TLV|6DMG|aRCR
356	11334 25413	8	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2BELT|348VULN|5TLV|6CDMG|7LIT|9RCR|aDMG
357	12313 72651	8	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	14FEWX|2MBVNT|349VULN|4BPWR|5DMG|6LIT|7CDMG|8RCR|aTLV
358	12313 72681	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	14FEWX|2MBVNT|349VULN|4BPWR|5DMG|6LIT|7CDMG|8RCR|aTLV
359	24223 25531	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|389VULN|4LIT|5TLV|6DMG|7RCVC|aRCR
360	24342 25211	6	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|3RCVC|49aVULN|5ASPD|6RCR|7TLV|8DMG
361	56125 13223	1	   	242.13	DCR|3VULN|1TLV|2AART|1DUR	1RCVC|247VULN|36AART|4BPWR|5DUR|8RCR|9ASPD|aTLV
362	56161 13223	1	   	242.13	DCR|3VULN|1TLV|2AART|1DUR	1RCVC|257VULN|36AART|4DUR|8RCR|9ASPD|aTLV
363	12482 46262	6	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|2MBVNT|3CDMG|4ASPD|578VULN|6RCR|9DMG|aTLV
364	22334 25413	8	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2DUST|348VULN|5TLV|6CDMG|7LIT|9RCR|aDMG
365	24223 33413	8	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1BELT|2CDMG|378VULN|4LIT|5TLV|6DUST|9RCR|aDMG
366	32532 52232	5	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1RMIN|2ERES|3DMG|458VULN|6RCR|7CDMG|9TLV|aLIT
367	52871 23242	3	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1RCVC|2MBVNT|3TLV|4CDMG|569VULN|7DMG|8RCR|aLIT
368	21222 31664	3	   	242.05	DCR|3VULN|3DMG|2LIT|1SELL	1BELT|289DMG|3SELL|49LIT|5RCVC|69aVULN|7RCR|9BPWR
369	11334 44332	9	   	242.03	DCR|3VULN|2TLV|1DMG|1CDMG	1FEWX|2BELT|346VULN|56TLV|6BPWR|7RPLT|8CDMG|9DMG|aRCR
370	24223 23113	10	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1BELT|2CDMG|3aVULN|4LIT|5TLV|6DMG|7ASPD|8DUR|9RCR
371	24223 23114	9	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1BELT|2CDMG|3aVULN|4LIT|5TLV|6DMG|7ASPD|8DUR|9RCR
372	12342 57245	3	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	18FEWX|2MBVNT|358VULN|4DMG|6DUST|78TLV|8BPWR|9RCR|aCDMG
373	12372 37245	4	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	18FEWX|2MBVNT|358VULN|4DUST|6DMG|78TLV|8BPWR|9RCR|aCDMG
374	12372 37245	3	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	18FEWX|2MBVNT|358VULN|4DUST|6DMG|78TLV|8BPWR|9RCR|aCDMG
375	35131 14421	2	   	241.93	DCR|3VULN|2TLV|3LIT|1CDMG	1RMIN|257LIT|3LHND|47TLV|678VULN|7BPWR|9RCR|aCDMG
376	35331 14421	2	   	241.93	DCR|3VULN|2TLV|3LIT|1CDMG	1RMIN|257LIT|3LWND|47TLV|678VULN|7BPWR|9RCR|aCDMG
377	22334 44332	9	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	1BELT|2DUST|346VULN|56TLV|6BPWR|7RPLT|8CDMG|9DMG|aRCR
378	24223 24131	9	   	241.60	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	1BELT|2CDMG|39VULN|47LIT|5TLV|68DMG|aRCR
379	24223 22141	9	   	241.60	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	1BELT|2CDMG|37VULN|49LIT|5TLV|68DMG|aRCR
380	32532 44223	6	   	241.60	DCR|5VULN|1DMG	1RMIN|2ERES|3DMG|4568aVULN|7RCR|9LIT
381	61242 71235	1	   	241.59	DCR|3VULN|2DMG|1DUR|1CDMG	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9BEXP|aCDMG
382	61242 71215	1	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	18MLV|2DUR|3MBVNT|458VULN|68DMG|7RCR|8BPWR|9LEGI|aCDMG
383	21514 26211	6	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BELT|28DMG|3DUR|4RCVC|59aVULN|6CDMG|7RCR
384	12313 38864	10	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|58DMG|7RCR|9CDMG|aDUR
385	16433 23331	10	   	241.46	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1SELL	1FEWX|2SELL|35LIT|45DMG|5BPWR|6CDMG|7aVULN|8RCR|9TLV
386	22343 42382	8	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1BELT|27DUST|37aVULN|4DUR|5CDMG|67DMG|7BPWR|8MBVNT|9RCR
387	32532 56322	5	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1RMIN|2ERES|3aDMG|458VULN|6RCR|7DUR|9CDMG
388	56133 25112	2	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1RCVC|23DMG|4CDMG|57aVULN|6BBNT|8DUR|9RCR
389	14313 33226	7	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|24DUST|346VULN|4BPWR|58DMG|7DUR|9CDMG|aRCR
390	14313 36226	6	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|24DUST|346VULN|4BPWR|58DMG|7DUR|9CDMG|aRCR
391	24242 25213	6	 * 	241.37	DCR|2VULN|2DMG|1TLV|2CDMG	1BELT|24CDMG|39VULN|5ASPD|6RCR|7TLV|8aDMG
392	13123 35246	10	   	241.32	DCR|4VULN|1DMG|1AART	1FEWX|2ASPD|3589VULN|4LIT|6DMG|7AART|aRCR
393	52164 34435	10	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	18RCVC|2MBVNT|39aLIT|4TLV|5RCR|69aDMG|79aVULN|9aBPWR
394	52164 34832	10	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aCGEN
395	52164 34832	9	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aLWND
396	52164 34833	10	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aLHND
397	52164 34833	9	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aCGEN
398	52164 34834	10	   	241.31	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aBEXP
399	24262 42233	9	   	241.27	DCR|2VULN|2DMG|2CDMG|1DUR|1AART	1BELT|27CDMG|37VULN|4DUR|5FEWX|67DMG|7BPWR|8ASPD|9RCR|aAART
400	12312 72418	5	   	241.25	DCR|4VULN|1TLV|1DMG	147FEWX|2MBVNT|3489VULN|4BPWR|5TLV|6DMG|aRCR
401	12313 36874	8	   	241.25	DCR|4VULN|1TLV|1DMG	14FEWX|2MBVNT|3468VULN|4BPWR|5DMG|7ZMB|9RCR|aTLV
402	52164 34831	10	   	241.21	ACR|3VULN|3DMG|1TLV|3LIT	1RCVC|2MBVNT|389LIT|4TLV|5RCR|689DMG|789VULN|89BPWR|aDUST
403	22335 34314	9	   	241.15	DCR|4VULN|1TLV|1DMG	1BELT|2DUST|3456VULN|7TLV|8ZMB|9DMG|aRCR
404	14313 41412	5	   	241.05	DCR|4VULN|1TLV|1DMG	1FEWX|246DUST|3489VULN|4BPWR|5DMG|7TLV|aRCR
405	32531 43334	4	   	241.05	DCR|4VULN|1TLV|1DMG	1RMIN|2ERES|3DMG|489aVULN|5TLV|6BBNT|7RCR
406	12313 63413	10	   	241.01	DCR|4VULN|1TLV|1DMG|1SELL	14FEWX|2MBVNT|349aVULN|4BPWR|5DMG|6SELL|7TLV|8RCR
407	52714 33228	6	   	240.89	DCR|3VULN|3DMG|1CDMG	1RCVC|2MBVNT|3CDMG|467DMG|568VULN|6BPWR|9FEWX|aRCR
408	12313 38222	7	   	240.89	DCR|3VULN|3DMG|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|58aDMG|7RCR|9CDMG
409	12313 38822	8	   	240.89	DCR|3VULN|3DMG|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|58aDMG|7RCR|9CDMG
410	12313 38862	9	   	240.89	DCR|3VULN|3DMG|1CDMG	14FEWX|2MBVNT|346VULN|4BPWR|58aDMG|7RCR|9CDMG
411	32532 53333	5	   	240.84	DCR|4VULN|2DMG	1RMIN|2ERES|38DMG|459aVULN|6RCR|7LIT
