0	Index      	 *	Score 	Summary	Detail	
1	51122 33443	 * 	223.54	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	1aAART|2DUR|3CDMG|4VULN|5ASPD|6FEWX|7RCR|89DMG
295	34322 13424	   	194.01	DCR|2ASPD|3ZMB|1VULN|1DMG|1CDMG	17aZMB|26ASPD|3VULN|4DMG|5CDMG|8BEXP|9RCR
296	52135 31221	   	193.89	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1AART|26ASPD|3VULN|4LIT|56CGEN|6BPWR|7LWND|8RCR|9DMG|aCDMG
297	52135 33221	   	193.89	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1AART|26ASPD|3VULN|4LIT|56CGEN|6BPWR|7BEXP|8RCR|9DMG|aCDMG
298	22363 18483	   	193.85	DCR|2VULN|2AART|1MDPS|1DMG|1ZMB	1RMIN|29AART|3aVULN|4MBVNT|5MDPS|6RCR|7ZMB|8DMG
299	52135 22221	   	193.79	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1AART|27ASPD|3VULN|4LIT|5CGEN|6FEWX|8RCR|9DMG|aCDMG
300	52135 34221	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1AART|26ASPD|3VULN|4LIT|56CGEN|6BPWR|7DUST|8RCR|9DMG|aCDMG
301	52131 42353	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2ASPD|389VULN|4LIT|5LWND|6RCR|7BEXP|aDUR
302	32622 12426	 * 	193.77	DCR|1MDPS|2DMG|1VULN|2CDMG|1ASPD|1ZMB	1ZMB|2LHND|34DMG|5VULN|6ASPD|78CDMG|9RCR|aMDPS
303	52131 61232	   	193.61	DCR|2AART|2ASPD|1VULN|1DMG	16AART|2aASPD|3VULN|4LIT|5LWND|7DMG|8RCR|9BEXP
304	52131 61252	   	193.61	DCR|2AART|2ASPD|1VULN|1DMG	16AART|2aASPD|3VULN|4LIT|5LWND|7DMG|8RCR|9LHND
305	52133 61232	   	193.61	DCR|2AART|2ASPD|1VULN|1DMG	16AART|2aASPD|3VULN|4LIT|5LHND|7DMG|8RCR|9BEXP
306	52133 61242	   	193.61	DCR|2AART|2ASPD|1VULN|1DMG	16AART|2aASPD|3VULN|4LIT|5LHND|7DMG|8RCR|9LWND
307	52133 61262	   	193.61	DCR|2AART|2ASPD|1VULN|1DMG	16AART|2aASPD|3VULN|4LIT|5LHND|7DMG|8RCR|9FEWX
308	53222 24162	   	193.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1aAART|2CDMG|3FEWX|4VULN|5ASPD|6DMG|7MSLREG|8RMIN|9RCR
