0	Index      	 *	Score 	Summary	Detail	
1	15213 16216	 * 	206.37	DCR|3VULN|3DMG|1AART|3DUR	18aVULN|278DMG|3LWND|4aLIT|5AART|68aDUR|8aBPWR|9RCR
333	15235 12314	   	178.39	ACR|4VULN|2DMG|1ZMB	178aVULN|28DMG|3LWND|4RCR|5LHND|68ERES|8BPWR|9ZMB
334	13423 64123	   	178.38	ACR|3VULN|2DMG|1FLTHEA|1CDMG	148VULN|2CDMG|38DMG|5RCR|6RMIN|78CGEN|8BPWR|9LIT|aFLTHEA
335	11531 54213	 * 	178.35	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	18VULN|2AART|368ZMB|4LIT|5DUR|78FEWX|8BPWR|9RCR|aDMG
336	13421 13363	   	178.34	DCR|3VULN|1AART|1DMG|2CDMG	149VULN|29CDMG|3DMG|5BEXP|6AART|79ERES|8RCR|9BPWR|aDUST
337	11531 51213	   	178.15	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	18VULN|2AART|368ZMB|4LIT|5DUR|78DUST|8BPWR|9RCR|aDMG
338	62423 36232	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1CDMG|29DUR|3DMG|48VULN|5ASPD|6RCR|7LHND|aAART
339	24151 24221	   	177.98	DCR|2VULN|2DMG|1AART|2CDMG	1BELT|27VULN|3RMIN|46DMG|59CDMG|8RCR|aAART
340	13423 62236	   	177.79	ACR|3VULN|2DMG|2CDMG|1ASPD	147VULN|29CDMG|3aDMG|5RCR|6RMIN|8ASPD
341	13223 53365	 * 	177.65	DCR|2VULN|3ZMB|1AART|2CDMG|1DUR	19VULN|29CDMG|3LHND|4MLV|569ZMB|7AART|8RCR|9BPWR|aDUR
342	14523 11122	   	177.59	ACR|4VULN|1AART|1CDMG|1ZMB	149aVULN|2RMIN|3CDMG|5RCR|6AART|7ZMB|8LIT
343	42263 21325	   	177.53	DCR|3DMG|1AART|1VULN|1FLTHEA	1MLV|2ERES|3VULN|48aDMG|5AART|6RCVC|7RCR|9FLTHEA
344	15213 26324	   	177.53	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|27aDMG|3LWND|4LIT|5AART|6RCR|8CDMG|9LHND
345	15213 26332	   	177.53	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|279DMG|3LWND|4LIT|5AART|6RCR|8CDMG|aLSRICY
346	15213 26333	   	177.53	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|279DMG|3aLWND|4LIT|5AART|6RCR|8CDMG
347	15213 26334	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|279DMG|3LWND|4LIT|5AART|6RCR|8CDMG|aLSRHEA
348	15213 26336	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|279DMG|3LWND|4LIT|5AART|6RCR|8CDMG|aERES
349	13433 36253	   	177.36	DCR|3VULN|2DMG|1CDMG|1ASPD	189VULN|2CDMG|39DMG|4LWND|5ASPD|6RCR|79LHND|9BPWR|aRCVC
350	11123 26355	   	177.33	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2AART|3FEWX|49ERES|56RCVC|7RCR|89DMG|9BPWR|aDUR
351	15523 52344	   	177.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	147VULN|2DMG|3MBVNT|5AART|6CDMG|8CGEN|9RCR|aDUR
352	13423 62362	   	177.09	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	147VULN|2CDMG|3DMG|5RCR|6RMIN|8RPLT|9ASPD|aAART
353	13423 21264	   	177.09	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	149VULN|2CDMG|3DMG|5RCR|6MLV|7DMSP|8ASPD|aAART
354	15311 62612	   	177.07	DCR|3VULN|2DMG|1AART	167VULN|26DMG|3RCVC|4RMIN|5MBVNT|6BPWR|8RCR|9FEWX|aAART
355	11421 53134	   	177.02	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1VULN|29AART|3CGEN|4DUR|5ZMB|6aDMG|7RCR|8BEXP
356	11421 53234	   	177.02	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1VULN|29AART|3CGEN|4DUR|5ZMB|6aDMG|7RCR|8LHND
357	13123 31264	   	176.99	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	149VULN|2CDMG|3TLV|5RCR|6DMG|7DMSP|8ASPD|aAART
358	13423 31264	   	176.99	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	149VULN|2CDMG|3DMG|5RCR|6ERES|7DMSP|8ASPD|aAART
359	13423 15212	   	176.99	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	14VULN|28CDMG|3DMG|5RCR|6AART|7DUST|9DUR|aASPD
360	15213 26235	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|27DMG|38LWND|48LIT|5AART|6RCR|8BPWR|9ERES|aZMB
361	15213 26135	   	176.82	DCR|2VULN|2DMG|1AART|1ZMB	19VULN|27DMG|3LWND|4LIT|5AART|6RCR|8CGEN|aZMB
362	11321 13464	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2AART|3CDMG|4LIT|6LWND|7LHND|8RCR|9aDMG
363	15311 62641	   	176.46	DCR|3VULN|3DMG|1DUR	167VULN|269DMG|3RCVC|4RMIN|5MBVNT|6BPWR|8RCR|aDUR
364	15512 82341	   	176.45	DCR|3DMG|2VULN|1CDMG|2DUR	1aVULN|26aDMG|3MBVNT|4LIT|5CDMG|7DMSP|8RCR|9aDUR|aBPWR
365	15512 12341	   	176.45	DCR|3VULN|2DMG|1CDMG|2DUR	16aVULN|2aDMG|3MBVNT|4LIT|5CDMG|7DMSP|8RCR|9aDUR|aBPWR
