0	Index      	 *	Score 	Summary	Detail	
1	32243 31563	 * 	200.65	ACR|3VULN|2DMG|1AART|2CDMG	19aVULN|2LEGI|3AART|4RCR|5aDMG|6TLV|7CGEN|8aCDMG|aBPWR
337	32243 15134	   	176.45	ACR|3VULN|1AART|1DMG|1CDMG	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9CDMG|aERES
338	32243 15742	   	176.45	ACR|3VULN|1AART|1DMG|1CDMG	17aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8DUST|9CDMG
339	31222 31135	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7ZMB|9RPLT|aDMG
340	31222 31325	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1249VULN|3CDMG|5LIT|6RCR|7ZMB|8RPLT|aDMG
341	31222 31443	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1249VULN|3CDMG|5LIT|6RCR|7ZMB|8LHND|aDMG
342	31222 32112	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8DMG|9ZMB|aLHND
343	31222 32113	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8DMG|9ZMB|aRMIN
344	31222 32116	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8DMG|9ZMB|aFEWX
345	31222 32615	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8MLV|9ZMB|aDMG
346	31222 33115	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7CGEN|9ZMB|aDMG
347	31222 35115	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7RMIN|9ZMB|aDMG
348	31222 36425	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1249VULN|3CDMG|5LIT|6RCR|7RPLT|8ZMB|aDMG
349	31222 36525	   	176.43	DCR|4VULN|1DMG|1CDMG|1ZMB	1248VULN|3CDMG|5LIT|6RCR|7RPLT|9ZMB|aDMG
350	41263 11131	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6aBEXP|7RCR|9CDMG
351	41263 11134	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aDMSP
352	41263 11612	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|24aVULN|3AART|4BPWR|5DMG|6BEXP|7RCR|8CDMG|9LWND
353	41263 41131	   	176.43	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aBEXP
354	34433 21152	   	176.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2ASPD|3aAART|4CGEN|5DMG|6LWND|7RCR|9ZMB
355	32242 31151	   	176.38	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aDUST
356	32242 31158	   	176.38	ACR|2AART|2VULN|2DMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aNUKE
357	31222 32111	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8DMG|9ZMB|aERES
358	41263 11132	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aMBVNT
359	41263 21132	   	176.33	DCR|3VULN|1AART|1DMG|2ASPD	14LHND|248VULN|3AART|4BPWR|5DMG|6LWND|7RCR|9aASPD
360	41263 21522	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|24aVULN|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|9DUST
361	41263 41132	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	14LHND|248VULN|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aLEGI
362	32263 11131	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6aBEXP|7RCR|9CDMG
363	32263 11134	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aDMSP
364	32263 21512	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	14aVULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|9LHND
365	32263 21561	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	149VULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|aBEXP
366	32263 21562	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	149VULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|aDMSP
367	32263 41131	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aBEXP
368	32263 41132	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aLHND
369	32263 41133	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aRPLT
370	32263 41134	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9CDMG|aDMSP
371	63421 22123	   	176.23	DCR|3DMG|1AART|1VULN|1CDMG	1MLV|2DUST|3AART|4CDMG|5VULN|6LHND|7RCR|89aDMG
372	63421 52123	   	176.23	DCR|3DMG|1AART|1VULN|1CDMG	1MLV|2DUST|3AART|4CDMG|5VULN|6LWND|7RCR|89aDMG
373	32223 61242	   	176.16	DCR|2AART|2DMG|2VULN	19VULN|2LEGI|3aAART|46FEWX|59DMG|7RCR|89CGEN|9BPWR
374	32246 31134	   	176.14	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5LWND|689LIT|78DMG|8BPWR|aZMB
375	32263 11132	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9CDMG|aMBVNT
376	32263 21132	   	176.13	DCR|3VULN|1AART|1DMG|2ASPD	148VULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|9aASPD
377	32263 21563	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	149VULN|2LEGI|3AART|4BPWR|5DMG|6LWND|7RCR|8CDMG|aAIRHEL
378	32243 11165	   	176.11	ACR|3VULN|1AART|1DMG|1ZMB	18aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|7RCVC|9ZMB
379	32243 11445	   	176.11	ACR|3VULN|1AART|1DMG|1ZMB	19aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|7RCVC|8ZMB
380	31631 32341	   	176.09	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4aCGEN|5RCR|6LWND|7AART|89LHND|9BPWR
381	31631 32541	   	176.09	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4aCGEN|5RCR|6LWND|7AART|89BEXP|9BPWR
382	32236 61433	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	157VULN|2LEGI|3AART|45CGEN|5BPWR|6DMG|8DUR|9CDMG|aRCR
383	32242 31121	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9MLV|aZMB
384	32242 31135	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|689LIT|78DMG|8BPWR|aZMB
385	32242 31142	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aBEXP
386	32242 31148	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aRMIN
387	32242 31161	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9RMIN|aZMB
388	32242 31171	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9CGEN|aZMB
389	41313 43326	   	175.99	ACR|4VULN|2DMG|1ZMB	1LHND|238aVULN|4CGEN|5RCR|67DMG|9ZMB
390	32313 42341	   	175.99	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4aCGEN|5RCR|69DMG|7AART|89LHND|9BPWR
391	32313 42441	   	175.99	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4aCGEN|5RCR|69DMG|7AART|89LWND|9BPWR
392	31611 32341	   	175.99	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89LHND|9BPWR|aCGEN
393	31611 32343	   	175.99	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89LHND|9BPWR|aBELT
394	31611 32541	   	175.99	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89BEXP|9BPWR|aCGEN
395	31631 32343	   	175.99	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7AART|89LHND|9BPWR|aDUST
396	31631 32543	   	175.99	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7AART|89BEXP|9BPWR|aDUST
397	32242 31143	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aDUST
398	32242 31147	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|9ZMB|aNUKE
399	31611 35612	   	175.89	ACR|4VULN|2DMG|1ZMB	1279VULN|38DMG|4ERES|5RCR|6LWND|aZMB
400	32313 42343	   	175.89	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7AART|89LHND|9BPWR|aDUST
401	32313 42443	   	175.89	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7AART|89LWND|9BPWR|aDUST
402	31631 32141	   	175.89	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4aCGEN|5RCR|6LWND|7AART|89DUST|9BPWR
403	34421 11361	   	175.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	157VULN|2ASPD|3AART|4CDMG|6NUKE|8ERES|9DMG|aRCR
404	32242 16163	   	175.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	17VULN|2LEGI|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUR|9RCVC|aDMG
405	32243 15331	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	17VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8LHND|9ZMB
406	32243 15427	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	17VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8ZMB|9BELT
407	32243 31165	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|4RCR|5aDMG|6TLV|7CGEN|9ZMB
408	21611 11136	   	175.83	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|28VULN|3DMG|4RCVC|5AART|6BEXP|7RCR|9aCDMG
409	21611 41136	   	175.83	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|28VULN|3DMG|4RCVC|5AART|6FEWX|7RCR|9aCDMG
410	31611 55112	   	175.79	ACR|4VULN|2DMG|1ZMB	1269VULN|37DMG|4ERES|5RCR|8LEGI|aZMB
411	32313 42141	   	175.79	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4aCGEN|5RCR|69DMG|7AART|89DUST|9BPWR
412	31611 32141	   	175.79	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4ERES|5RCR|6LWND|7AART|89DUST|9BPWR|aCGEN
413	31631 32143	   	175.79	ACR|3VULN|2DMG|1AART	129VULN|39DMG|4CGEN|5RCR|6LWND|7AART|89aDUST|9BPWR
414	62322 23363	 * 	175.75	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	1MLV|2aZMB|39DUR|4LWND|5aVULN|6CDMG|7aDMG|8RCR|aBPWR
415	32243 15731	   	175.74	ACR|2VULN|2DMG|1AART|1ZMB	17VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8DUST|9ZMB
416	32245 31523	 * 	175.73	ACR|2VULN|3ZMB|1AART|2CDMG	1aVULN|2LEGI|3AART|4RCR|59aZMB|6TLV|7CGEN|8aCDMG|aBPWR
417	32313 42143	   	175.69	ACR|3VULN|2DMG|1AART	139VULN|2LEGI|4CGEN|5RCR|69DMG|7AART|89aDUST|9BPWR
418	31222 31553	   	175.58	DCR|3VULN|1DMG|2CDMG|1ZMB|1DUR	124VULN|39CDMG|5LIT|6RCR|7ZMB|8DUR|aDMG
419	31621 51116	   	175.58	DCR|4VULN|1AART|1DMG	128aVULN|3DMG|4BEXP|5AART|6LWND|7RCR|9BELT
420	31641 11116	   	175.58	DCR|4VULN|1AART|1DMG	128aVULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9BELT
421	31641 21116	   	175.58	DCR|4VULN|1AART|1DMG	128aVULN|3DMG|4FEWX|5AART|6LWND|7RCR|9BELT
422	21621 63431	   	175.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|26VULN|3DMG|4DUST|5ZMB|7RCR|8AART|9CDMG|aFEWX
423	21621 63432	   	175.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|26VULN|3DMG|4DUST|5ZMB|7RCR|8AART|9CDMG|aLIT
424	32223 61155	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2LEGI|3AART|46FEWX|5aDMG|7RCR|9ZMB
425	32263 11362	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2LEGI|3AART|4BPWR|59DMG|6BEXP|7RCR|8LHND|aZMB
426	32263 21362	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2LEGI|3AART|4BPWR|59DMG|6LWND|7RCR|8LHND|aZMB
427	32263 41362	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2LEGI|3AART|4BPWR|59DMG|6FEWX|7RCR|8LHND|aZMB
428	31222 32244	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1247VULN|3CDMG|5LIT|6RCR|8LHND|9DUR|aAART
429	31222 32544	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1247VULN|3CDMG|5LIT|6RCR|8LWND|9DUR|aAART
430	32611 11154	   	175.49	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2LEGI|3DMG|4RCVC|5AART|6BEXP|7RCR|9ZMB
431	32611 21154	   	175.49	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2LEGI|3DMG|4RCVC|5AART|6LWND|7RCR|9ZMB
432	32243 23244	   	175.43	ACR|3VULN|1AART|1DMG|2DUR	19aVULN|2LEGI|3AART|4RCR|5DMG|689CGEN|79DUR|9BPWR
433	15352 53113	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LHND|3TLV|4RCR|5ZMB|6DUR|78VULN|9AART|aDMG
434	41313 43252	   	175.29	ACR|3DMG|2VULN|1AART	1LHND|23VULN|4CGEN|5RCR|679DMG|8AART|aRPLT
435	32243 23415	   	175.23	ACR|3DMG|1AART|1VULN|2DUR	1VULN|2LEGI|3AART|4RCR|58aDMG|6CGEN|79DUR
436	41253 11126	   	175.23	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|28VULN|39AART|4RCVC|5DMG|6BEXP|7RCR|aCDMG
437	41253 11135	   	175.23	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|28VULN|3aAART|4RCVC|5DMG|6BEXP|7RCR|9CDMG
438	34611 21152	   	175.22	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2ASPD|3DMG|4CGEN|5aAART|6LWND|7RCR|9ZMB
439	34621 31152	   	175.22	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2ASPD|3DMG|4LWND|5aAART|6CGEN|7RCR|9ZMB
440	32243 15163	   	175.21	ACR|3VULN|1AART|1DMG|1ZMB	178VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|9ZMB|aRCVC
441	32243 15443	   	175.21	ACR|3VULN|1AART|1DMG|1ZMB	179VULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|8ZMB|aRCVC
442	31222 33632	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3CDMG|5LIT|6RCR|7CGEN|8BELT|9AART|aDMG
443	31621 51131	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4aBEXP|5AART|6LWND|7RCR|9CDMG
444	31621 51134	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4BEXP|5AART|6LWND|7RCR|9CDMG|aDMSP
445	31621 51612	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3DMG|4BEXP|5AART|6LWND|7RCR|8CDMG|9LHND
446	31641 11131	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6aBEXP|7RCR|9CDMG
447	31641 11135	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9CDMG|aRMIN
448	31641 21131	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9CDMG|aBEXP
449	31641 21134	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9CDMG|aDMSP
450	31641 21612	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3DMG|4FEWX|5AART|6LWND|7RCR|8CDMG|9LHND
451	31641 21632	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|3DMG|4FEWX|5AART|6LWND|7RCR|8CDMG|9MLV
452	32253 11126	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|39AART|4RCVC|5DMG|6BEXP|7RCR|aCDMG
453	32253 11135	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|3aAART|4RCVC|5DMG|6BEXP|7RCR|9CDMG
454	32253 41126	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|39AART|4RCVC|5DMG|6FEWX|7RCR|aCDMG
455	32253 41135	   	175.13	DCR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|3aAART|4RCVC|5DMG|6FEWX|7RCR|9CDMG
456	41263 11153	   	175.09	DCR|3VULN|1AART|1DMG|1ZMB	14LHND|248VULN|3AART|4BPWR|5DMG|6BEXP|7RCR|9ZMB|aRCVC
457	31621 51132	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4BEXP|5AART|6LWND|7RCR|9CDMG|aMBVNT
458	31641 11132	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9CDMG|aMBVNT
459	31641 11134	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6BEXP|7RCR|9CDMG|aLEGI
460	31641 21132	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3DMG|4FEWX|5AART|6LWND|7RCR|9CDMG|aLEGI
461	23662 63233	   	175.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2LHND|37DMG|4MLV|56VULN|8AART|9CDMG|aRCR
462	41311 43233	   	175.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|23VULN|4CGEN|5DUR|67DMG|8AART|9CDMG|aRCR
463	12444 21342	   	174.98	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3MBVNT|4RCR|5BEXP|6aVULN|78DMG|9AART
464	12446 64213	   	174.98	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3MBVNT|4RCR|5CGEN|67VULN|8aDMG|9AART
465	15443 21447	   	174.98	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3MBVNT|4RCR|5LWND|68VULN|7aDMG|9AART
466	15443 21642	   	174.98	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3MBVNT|4RCR|5LWND|6aVULN|78DMG|9AART
467	21611 63222	   	174.97	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|29VULN|36DMG|48RCVC|5AART|7ASPD|aRCR
468	24311 66222	   	174.97	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|39VULN|48RCVC|5AART|67DMG|aRCR
469	32263 11153	   	174.89	DCR|3VULN|1AART|1DMG|1ZMB	148VULN|2LEGI|3AART|4BPWR|5DMG|6BEXP|7RCR|9ZMB|aRCVC
470	32263 41153	   	174.89	DCR|3VULN|1AART|1DMG|1ZMB	148VULN|2LEGI|3AART|4BPWR|5DMG|6FEWX|7RCR|9ZMB|aRCVC
471	12445 44213	   	174.88	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LWND|3MBVNT|4RCR|5TLV|67VULN|8aDMG|9AART
472	15441 44113	   	174.88	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3MBVNT|4RCR|5ERES|68VULN|7aDMG|9AART
473	15444 44113	   	174.88	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LHND|3MBVNT|4RCR|5TLV|68VULN|7aDMG|9AART
474	31311 61133	   	174.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	127VULN|3DUR|4CGEN|5AART|6DMG|8LHND|9CDMG|aRCR
475	31311 61536	   	174.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	127VULN|3DUR|4CGEN|5AART|6DMG|8BEXP|9CDMG|aRCR
476	31311 65523	   	174.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	128VULN|3DUR|4CGEN|5AART|6DMG|7CDMG|9LWND|aRCR
477	21611 11133	   	174.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|28VULN|3DMG|4RCVC|5AART|6BEXP|7RCR|9CDMG
478	41253 11623	   	174.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2VULN|3AART|4RCVC|5aDMG|6BEXP|7RCR|8CDMG|9ZMB
479	12354 23123	   	174.75	ACR|3DMG|1AART|1VULN|1CDMG	1CDMG|2LWND|3TLV|4RCR|5DUST|6AART|7VULN|89aDMG
480	15354 23123	   	174.75	ACR|3DMG|1AART|1VULN|1CDMG	1CDMG|2LHND|3TLV|4RCR|5DUST|6AART|7VULN|89aDMG
481	31631 33642	   	174.69	ACR|3DMG|2VULN|1AART	12VULN|378DMG|4CGEN|5RCR|6LWND|9AART|aRPLT
482	32253 21523	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2LEGI|3AART|4RCVC|5aDMG|6LWND|7RCR|8CDMG|9ZMB
483	32243 61126	   	174.65	ACR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|39AART|4RCR|5DMG|6FEWX|7RCVC|aCDMG
484	32243 61135	   	174.65	ACR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|3aAART|4RCR|5DMG|6FEWX|7RCVC|9CDMG
485	41243 11127	   	174.65	ACR|2AART|2VULN|1DMG|1CDMG	1LHND|28VULN|39AART|4RCR|5DMG|6MBVNT|7RCVC|aCDMG
486	41243 11136	   	174.65	ACR|2AART|2VULN|1DMG|1CDMG	1LHND|28VULN|3aAART|4RCR|5DMG|6MBVNT|7RCVC|9CDMG
487	32243 24342	   	174.65	ACR|3VULN|2AART|1DMG	179VULN|2LEGI|3aAART|4RCR|5DMG|69CGEN|89LHND|9BPWR
488	15352 53133	   	174.62	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|2aLHND|3TLV|4RCR|5ZMB|6aDUR|78VULN|9aDMG|aBPWR
489	31611 54311	   	174.59	ACR|3VULN|2DMG|1AART	126VULN|38DMG|4ERES|5RCR|7RPLT|9AART|aBEXP
490	31611 54313	   	174.59	ACR|3VULN|2DMG|1AART	126VULN|38DMG|4ERES|5RCR|7RPLT|9AART|aRMIN
491	31611 33642	   	174.59	ACR|3DMG|2VULN|1AART	12VULN|378DMG|4ERES|5RCR|6LWND|9AART|aRPLT
492	32243 11127	   	174.55	ACR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|39AART|4RCR|5DMG|6MBVNT|7RCVC|aCDMG
493	32243 11136	   	174.55	ACR|2AART|2VULN|1DMG|1CDMG	18VULN|2LEGI|3aAART|4RCR|5DMG|6MBVNT|7RCVC|9CDMG
494	32243 16228	   	174.53	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1aVULN|2LEGI|3AART|4RCR|5DMG|6MBVNT|7aDUR|8RMIN|9aZMB|aBPWR
495	41242 16122	   	174.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	17LHND|27VULN|3AART|4RCR|5MBVNT|67CDMG|7BPWR|8DUR|9RPLT|aDMG
496	32243 24142	   	174.45	ACR|3VULN|2AART|1DMG	179VULN|2LEGI|3aAART|4RCR|5DMG|69CGEN|89DUST|9BPWR
497	32243 64121	   	174.45	ACR|3VULN|2AART|1DMG	178VULN|2LEGI|39AART|4RCR|5DMG|6FEWX|aLWND
498	41243 14117	   	174.45	ACR|3VULN|2AART|1DMG	1LHND|28aVULN|37AART|4RCR|5DMG|6MBVNT|9BELT
499	41243 15121	   	174.45	ACR|3VULN|2AART|1DMG	1LHND|278VULN|39AART|4RCR|5DMG|6MBVNT|aLWND
500	41243 15124	   	174.45	ACR|3VULN|2AART|1DMG	1LHND|278VULN|39AART|4RCR|5DMG|6MBVNT|aFEWX
501	41263 11242	   	174.43	DCR|3VULN|2AART|1DMG	149LHND|249VULN|3aAART|49BPWR|5DMG|6BEXP|7RCR|89CGEN
502	41263 21242	   	174.43	DCR|3VULN|2AART|1DMG	149LHND|249VULN|3aAART|49BPWR|5DMG|6LWND|7RCR|89CGEN
503	31234 11234	   	174.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	12VULN|3CDMG|4MLV|5ASPD|6LIT|7RCR|8DMG|9ZMB|aAART
504	31621 51362	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|39DMG|4BEXP|5AART|6LWND|7RCR|8LHND|aZMB
505	31641 11362	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|39DMG|4FEWX|5AART|6BEXP|7RCR|8LHND|aZMB
506	31641 21362	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	12VULN|39DMG|4FEWX|5AART|6LWND|7RCR|8LHND|aZMB
