0	Index      	 *	Score 	Summary	Detail	
1	26451 22134	 * 	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9aASPD
311	12463 23322	   	191.10	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2LHND|3MLV|4RCR|59DMG|6VULN|8CGEN|aBEXP
312	11363 23322	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2AAC|3LHND|4RCR|59DMG|6VULN|8CGEN|aBEXP
313	12463 23125	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2LHND|3MLV|4RCR|59DMG|6VULN|8ERES|aBEXP
314	12463 23622	   	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2LHND|3MLV|4RCR|59DMG|6VULN|8TLV|aBEXP
315	62513 11413	   	190.98	ACR|2VULN|1BASARM|1BEXP|1CDMG	1MDPS|2BEXP|3RCR|48VULN|5CDMG|6ZMB|7DMSP|9RCVC|aBASARM
316	62513 31413	   	190.98	ACR|2VULN|1BASARM|1BEXP|1CDMG	1MDPS|2BEXP|3RCR|48VULN|5CDMG|6RMIN|7DMSP|9RCVC|aBASARM
317	11363 23125	   	190.90	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2AAC|3LHND|4RCR|59DMG|6VULN|8ERES|aBEXP
318	11363 23622	   	190.90	ACR|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2AAC|3LHND|4RCR|59DMG|6VULN|8TLV|aBEXP
319	11363 26325	   	190.90	ACR|2ASPD|2DMG|1VULN|1BEXP	18ASPD|2AAC|3LHND|4RCR|59DMG|6VULN|7ERES|aBEXP
320	21263 13325	   	190.90	ACR|2ASPD|2DMG|1VULN|1BEXP	1ERES|2AAC|3VULN|4RCR|59DMG|6LHND|78ASPD|aBEXP
321	12252 22642	 * 	190.82	ACR|4VULN|2ASPD|1DMG	17ASPD|2LHND|3BELT|47VENFST|5RCR|6789VULN|7BPWR|aDMG
322	11363 14432	   	190.81	ACR|3ASPD|2DMG|1CDMG	17aASPD|2AAC|367aLHND|4RCR|57DMG|7aBPWR|8CDMG|9aLIT
323	12465 12223	   	190.58	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ASPD|26LHND|3MLV|4RCR|5RCVC|7BEXP|8FEWX|9DMG|aBASARM
324	12465 23223	   	190.58	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ASPD|2LHND|3MLV|4RCR|5RCVC|68FEWX|7BEXP|9DMG|aBASARM
325	33164 12243	   	190.53	ACR|1VULN|2BEXP|2AART|1BASICY|1CDMG	19AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|aLHND
326	11363 44113	   	190.51	ACR|3DMG|2ASPD|1CDMG	17ASPD|2AAC|37LHND|4RCR|567DMG|7BPWR|8CGEN|9ERES|aCDMG
327	11363 44312	   	190.51	ACR|3DMG|2ASPD|1BEXP	17ASPD|2AAC|37LHND|4RCR|567DMG|7BPWR|8ZMB|9ERES|aBEXP
328	11363 44313	   	190.51	ACR|3DMG|2ASPD|1CDMG	17ASPD|2AAC|37LHND|4RCR|567DMG|7BPWR|8ZMB|9ERES|aCDMG
329	12565 12223	   	190.48	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ASPD|26LHND|3ERES|4RCR|5RCVC|7BEXP|8FEWX|9DMG|aBASARM
330	12565 23223	   	190.48	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ASPD|2LHND|3ERES|4RCR|5RCVC|68FEWX|7BEXP|9DMG|aBASARM
331	11366 31433	   	190.45	ACR|3ASPD|1VULN|1DMG|1CDMG	158ASPD|2AAC|35LHND|4RCR|5BPWR|6VULN|7CDMG|9LIT|aDMG
332	33164 12241	   	190.43	ACR|1VULN|2BEXP|2AART|1BASICY|1CDMG	19AART|2VULN|3MLV|4RCR|56BEXP|7CDMG|8BASICY|aTLV
333	11363 12525	   	190.41	ACR|3DMG|2ASPD|1CDMG	18ASPD|2AAC|36LHND|4RCR|58aDMG|78AME|8BPWR|9CDMG
334	21263 31561	 * 	190.37	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP	18ERES|2AAC|38VULN|4RCR|5DMG|6MLV|78CDMG|8BPWR|9BEXP|aASPD
335	11366 31423	   	190.35	ACR|3ASPD|1VULN|1DMG|1CDMG	158ASPD|2AAC|35LHND|4RCR|5BPWR|6VULN|7CDMG|9TLV|aDMG
336	11366 31532	   	190.35	ACR|3ASPD|1VULN|1DMG|1CDMG	159ASPD|2AAC|35LHND|4RCR|5BPWR|6VULN|7CDMG|8SNITOX|aDMG
337	11363 42513	   	190.31	ACR|3DMG|2ASPD|1CDMG	18ASPD|2AAC|3LHND|4RCR|568DMG|78AME|8BPWR|9ERES|aCDMG
338	21263 21561	   	190.27	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP	18ERES|2AAC|38VULN|4RCR|5DMG|6AME|78CDMG|8BPWR|9BEXP|aASPD
