0	Index      	 *	Score 	Summary	Detail	
1	45322 36213	 * 	185.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|2aVULN|3DUST|4BELT|5AART|689DMG|7RCR
314	53453 21443	   	157.00	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|25AART|3CDMG|46VULN|7MBVNT|8RCR|9DUR|aDUST
315	53453 21444	   	157.00	DCR|2AART|2VULN|1CDMG|1DUR	1LSRICY|25AART|3CDMG|46VULN|7MBVNT|8RCR|9DUR|aLEGI
316	53311 16243	   	156.99	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3LEGI|4CDMG|5aLIT|6RCR|7VULN|8DMG|9ZMB
317	53411 11611	   	156.99	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|4DUST|5LIT|6RCR|7ZMB|8MLV|9VULN|aDMG
318	53451 11121	   	156.99	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1LSRICY|2AART|3CDMG|4VULN|5LIT|6RCR|7ZMB|8RPLT|9DMG|aERES
319	53342 22633	   	156.98	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1LSRICY|2AART|3LEGI|4BEXP|5DUR|6CDMG|7VULN|8FLTHEA|9DMG|aRCR
320	53362 22633	   	156.98	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1LSRICY|2AART|3LEGI|4FEWX|5DUR|6CDMG|7VULN|8FLTHEA|9DMG|aRCR
321	43232 16224	   	156.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	19ASPD|2AART|35LWND|4VULN|6DMG|7CDMG|8DUR|aRCR
322	43233 16224	   	156.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	19ASPD|2AART|3LWND|4VULN|5RCVC|6DMG|7CDMG|8DUR|aRCR
323	43113 16114	   	156.98	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|7CDMG|89LWND|aRCR
324	43215 24333	   	156.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	16ASPD|2AART|3LWND|4RMIN|5DUR|7VULN|8DMG|9CDMG|aRCR
325	43336 15211	   	156.96	DCR|2VULN|1AART|2ASPD|1CDMG	17ASPD|2AART|3ERES|4AIRHEL|5LIT|6RCR|8CDMG|9aVULN
326	22312 28772	   	156.93	DCR|2AART|1DMG|1VULN|1ZMB|1DUR	1DUR|2LHND|3ZMB|4CGEN|5MBVNT|69AART|7RCR|8DMG|aVULN
327	15234 36212	   	156.92	DCR|3DMG|2AART|1VULN|1ASPD|1MSE	1MSE|2VULN|3ASPD|4aAART|5BELT|689DMG|7RCR
328	43151 12362	   	156.90	DCR|2VULN|1AART|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4BELT|5LHND|68VULN|7CDMG|9RCR|aDUR
329	25631 31326	   	156.88	DCR|3VULN|1CDMG|1FLTHEA|2DUR|1ASPD	14DUR|258VULN|3RCVC|6FLTHEA|7CDMG|9RCR|aASPD
330	43113 42333	   	156.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6ERES|7LWND|8DMG|9CDMG|aRCR
331	43113 43333	   	156.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6ERES|7FEWX|8DMG|9CDMG|aRCR
332	43114 11133	   	156.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5FEWX|6DMG|7ERES|8VULN|9CDMG|aRCR
333	43114 14123	   	156.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5FEWX|6DMG|7VULN|8DUST|9CDMG|aRCR
334	43141 11133	   	156.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4LHND|5DUR|6DMG|7ERES|8VULN|9CDMG|aRCR
335	53352 22633	   	156.88	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	1LSRICY|2AART|3LEGI|4DUST|5DUR|6CDMG|7VULN|8FLTHEA|9DMG|aRCR
336	23223 52261	   	156.87	DCR|1AART|1DMG|1VULN|1FLTHEA|1ASPD|1DUR	1DUR|2DUST|3ASPD|4BELT|5CGEN|6RCR|7AART|8DMG|9VULN|aFLTHEA
337	23223 52264	   	156.87	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|2DUST|3ASPD|4BELT|5CGEN|6RCR|7AART|8DMG|9VULN|aCDMG
338	23224 52261	   	156.87	DCR|1AART|1VULN|1DMG|1FLTHEA|1DUR|1ASPD	1DUR|2DUST|3ASPD|4BELT|5MLV|6RCR|7AART|8DMG|9VULN|aFLTHEA
339	43613 33611	   	156.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2AART|3CDMG|4LWND|5DMG|6ZMB|7BEXP|8VULN|9RCR|aCGEN
340	43613 33612	   	156.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|3CDMG|4LWND|5DMG|6ZMB|7BEXP|8VULN|9RCR|aRCVC
341	43613 33613	   	156.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|3CDMG|4LWND|5DMG|6ZMB|7BEXP|8VULN|9RCR|aRPLT
342	43113 11633	   	156.78	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|7ERES|8LEGI|9CDMG|aRCR
343	43113 16423	   	156.78	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|7CDMG|8DUST|9TLV|aRCR
344	31325 13153	   	156.77	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|8FEWX|9ZMB|aRCR
345	53112 15316	 * 	156.76	DCR|2AART|3CDMG|1VULN|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|78aCDMG|9VULN
346	43233 36312	   	156.75	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2AART|39LWND|4aVULN|5RCVC|6ZMB|7CDMG|8RCR
347	43211 44312	   	156.70	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3LWND|45RMIN|6DUR|7aVULN|8DMG|9RCR
348	43216 52112	   	156.70	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3LWND|4RMIN|5DMG|6DUR|7RCVC|8aVULN|9RCR
349	43216 53112	   	156.70	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|37LWND|4RMIN|5DMG|6DUR|8aVULN|9RCR
350	43242 12112	   	156.70	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2AART|35LWND|4DUR|6DMG|7CGEN|8aVULN|9RCR
351	43243 12112	   	156.70	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2AART|3LWND|4DUR|5RCVC|6DMG|7CGEN|8aVULN|9RCR
352	43246 12112	   	156.70	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2AART|3LWND|4DUR|5DMSP|6DMG|7CGEN|8aVULN|9RCR
353	43133 54211	   	156.67	DCR|3VULN|1AART|2ASPD	13ASPD|2AART|3BPWR|4TLV|589VULN|6BELT|7RCR|aRCVC
354	43133 54212	   	156.67	DCR|3VULN|1AART|2ASPD	13ASPD|2AART|3BPWR|4TLV|589VULN|6BELT|7RCR|aLWND
355	43133 54213	   	156.67	DCR|3VULN|1AART|2ASPD	13ASPD|2AART|3BPWR|4TLV|589VULN|6BELT|7RCR|aMLV
356	31325 13653	   	156.67	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|8DUST|9ZMB|aRCR
357	43113 11413	   	156.63	DCR|1AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|7ERES|8RPLT|9RCR|aZMB
358	43242 11112	   	156.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|35LWND|4DUR|6DMG|7ERES|8aVULN|9RCR
359	43243 11112	   	156.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3LWND|4DUR|5RCVC|6DMG|7ERES|8aVULN|9RCR
360	43246 11112	   	156.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3LWND|4DUR|5DMSP|6DMG|7ERES|8aVULN|9RCR
361	43351 42312	   	156.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3ERES|4RCVC|5aVULN|6DUR|7LWND|8DMG|9RCR
362	43351 43312	   	156.60	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3ERES|4RCVC|5aVULN|6DUR|7FEWX|8DMG|9RCR
363	25212 28472	   	156.55	DCR|2VULN|1AART|2ASPD|1ZMB|1DUR	1DUR|2aVULN|38ASPD|4CGEN|5MBVNT|6AART|7RCR|9ZMB
364	43623 41313	   	156.53	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2AART|3CDMG|4DUST|5VULN|6NUKE|7LEGI|8DMG|9RCR|aZMB
365	43311 42312	   	156.50	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|34ERES|5aVULN|6DUR|7LWND|8DMG|9RCR
366	43311 43312	   	156.50	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|34ERES|5aVULN|6DUR|7FEWX|8DMG|9RCR
367	55136 33443	   	156.40	ACR|3VULN|1AART|2CDMG	18LSRICY|2RPLT|378VULN|4MBVNT|5RCR|68CDMG|8BPWR|9ERES|aAART
368	43144 12112	   	156.38	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4LHND|5FEWX|6DMG|7CGEN|8aVULN|9RCR
369	43165 12112	   	156.38	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4DMG|5BEXP|6CGEN|7LWND|8aVULN|9RCR
370	43231 34612	   	156.36	DCR|3VULN|1AART|1ZMB|1ASPD	1ASPD|2AART|3LWND|46aVULN|5FEWX|7ZMB|8CGEN|9RCR
371	21316 56222	   	156.35	DCR|2DMG|2AART|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4CGEN|5BELT|6RCR|7aAART|89DMG
372	21323 56222	   	156.35	DCR|2DMG|2AART|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5CGEN|6RCR|7aAART|89DMG
373	21324 56222	   	156.35	DCR|2DMG|2AART|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5MLV|6RCR|7aAART|89DMG
374	15222 36212	   	156.32	DCR|3DMG|2AART|1VULN|1ASPD|1MSE	1MSE|2VULN|3ASPD|4BELT|5aAART|689DMG|7RCR
375	43136 42112	   	156.28	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|5DMG|6LHND|7LWND|8aVULN|9RCR
376	43142 12112	   	156.28	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4LHND|5LEGI|6DMG|7CGEN|8aVULN|9RCR
377	43144 11112	   	156.28	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4LHND|5FEWX|6DMG|7ERES|8aVULN|9RCR
378	43161 42112	   	156.28	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4DMG|5ERES|6LHND|7LWND|8aVULN|9RCR
379	25631 31325	 * 	156.26	DCR|3VULN|2CDMG|1FLTHEA|2DUR	14DUR|258VULN|3RCVC|6FLTHEA|7aCDMG|9RCR
380	23323 52222	   	156.25	DCR|2DMG|2AART|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|7aAART|89DMG
381	23324 52222	   	156.25	DCR|2DMG|2AART|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5MLV|6RCR|7aAART|89DMG
382	43163 27122	 * 	156.25	DCR|1AART|3ASPD|1DMG|1VULN|1CDMG	139ASPD|2AART|3BPWR|4DMG|5VULN|6MBVNT|7CDMG|8LWND|aRCR
383	53251 22315	   	156.23	DCR|2VULN|1AART|1DMG|1ZMB	1LSRICY|2AART|3CGEN|4MLV|5DMG|6aVULN|7LHND|8RCR|9ZMB
384	43136 12112	   	156.18	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|5DMG|6DUST|7LWND|8aVULN|9RCR
385	43142 11112	   	156.18	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4LHND|5LEGI|6DMG|7ERES|8aVULN|9RCR
386	43161 12112	   	156.18	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4DMG|5ERES|6DUST|7LWND|8aVULN|9RCR
387	43133 21253	   	156.15	DCR|1AART|1VULN|3ASPD|1DMG|1CDMG	138ASPD|2AART|3BPWR|4TLV|5VULN|6CDMG|7DMG|9MBVNT|aRCR
388	53221 22315	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1LSRICY|2AART|3CGEN|4TLV|5DMG|6aVULN|7LHND|8RCR|9ZMB
389	53251 23315	   	156.13	DCR|2VULN|1AART|1DMG|1ZMB	1LSRICY|2AART|3CGEN|4MLV|5DMG|6aVULN|7LEGI|8RCR|9ZMB
390	53112 11133	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|58DUR|6RCR|7BEXP|9VULN|aDMG
391	53112 12122	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|58DUR|6RCR|7LHND|9DMG|aVULN
392	53112 12133	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|58DUR|6RCR|7LHND|9VULN|aDMG
393	53112 16121	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aFEWX
394	53112 16123	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aRPLT
395	53112 16124	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aCGEN
396	53112 16163	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9LWND|aDMG
397	53112 16522	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8LWND|9DMG|aVULN
398	53112 16533	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8LWND|9VULN|aDMG
399	53112 16633	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8FEWX|9VULN|aDMG
400	53113 16122	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|5LHND|6RCR|78DUR|9DMG|aVULN
401	53113 16133	   	156.12	DCR|2AART|1DMG|1VULN|2DUR	1LSRICY|23AART|4LIT|5LHND|6RCR|78DUR|9VULN|aDMG
402	53115 16133	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|5FEWX|6RCR|78DUR|9VULN|aDMG
403	53116 16133	   	156.12	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|5BEXP|6RCR|78DUR|9VULN|aDMG
404	53221 23315	   	156.03	DCR|2VULN|1AART|1DMG|1ZMB	1LSRICY|2AART|3CGEN|4TLV|5DMG|6aVULN|7LEGI|8RCR|9ZMB
405	53221 26315	   	156.03	DCR|2VULN|1AART|1DMG|1ZMB	1LSRICY|2AART|3CGEN|4TLV|5DMG|6aVULN|7DUST|8RCR|9ZMB
406	53112 15315	   	156.02	DCR|2AART|1VULN|2CDMG|2DUR	1LSRICY|23AART|4LIT|5aDUR|6RCR|78CDMG|9VULN
407	53112 16122	   	156.02	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aTLV
408	53112 16125	   	156.02	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aBASICY
409	53112 16126	   	156.02	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8VULN|9DMG|aERES
410	53112 16216	   	156.02	DCR|2AART|1VULN|2CDMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8aCDMG|9VULN
411	53112 16433	   	156.02	DCR|2AART|1VULN|1DMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8DUST|9VULN|aDMG
