0	Index      	 *	Score 	Summary	Detail	
1	33345 33632	 * 	192.39	ACR|2ASPD|2DMG|1VULN|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD|aVULN
299	33345 13132	   	162.74	ACR|1ASPD|1DMG|1VULN|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9AAC|aVULN
300	33345 13431	   	162.74	ACR|1VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8VULN|9AAC|aDUST
301	43345 13132	   	162.74	ACR|1ASPD|1DMG|1VULN|1CDMG|1AAC	12LWND|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9AAC|aVULN
302	16215 11216	   	162.72	ACR|2VULN|1ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2SELL|3CGEN|48VULN|5RCR|6ERES|7CDMG|9ASPD|aDMG
303	16215 31216	   	162.72	ACR|2VULN|1ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2SELL|3CGEN|48VULN|5RCR|6TLV|7CDMG|9ASPD|aDMG
304	16235 12221	   	162.72	ACR|2BEXP|1VULN|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49BEXP|5RCR|6ERES|7DMG|8VULN|aASPD
305	16235 32221	   	162.72	ACR|2BEXP|1VULN|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49BEXP|5RCR|6TLV|7DMG|8VULN|aASPD
306	16435 12221	   	162.72	ACR|2BEXP|1VULN|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3RMIN|49BEXP|5RCR|6ERES|7DMG|8VULN|aASPD
307	16215 12521	   	162.72	ACR|1VULN|2BEXP|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|4VULN|5RCR|6ERES|7DMG|89BEXP|aASPD
308	16215 32521	   	162.72	ACR|1VULN|2BEXP|1ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|4VULN|5RCR|6TLV|7DMG|89BEXP|aASPD
309	22123 54323	   	162.53	DCR|2ASPD|2DMG|2BEXP|2AAC	19AAC|27BEXP|3RPLT|47ASPD|57DMG|6MDPS|7BPWR|8DMSP|aRCR
