0	Index      	 *	Score 	Summary	Detail	
1	31632 33163	 * 	223.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|34aVULN|5ZMB|67DMG|8CDMG|9RCR
322	33341 12133	   	194.78	DCR|3ASPD|2VULN|1AART	1AART|2RPLT|35aASPD|4aVULN|6RCR|7FEWX|8LHND|9aDUST|aBPWR
323	63221 15262	 * 	194.70	DCR|4VULN|1SPLARM|1DMG|1SELL	189aVULN|2LWND|3DMG|4RCVC|5SELL|6RCR|7SPLARM
324	31137 67341	   	194.63	DCR|3VULN|1MDPS|1AART|1ASPD	1AART|2FEWX|3MBVNT|457VULN|6RCR|8ASPD|9MDPS|aCGEN
325	31137 67342	   	194.63	DCR|3VULN|1MDPS|1AART|1ASPD|1MSE	1AART|2FEWX|3MBVNT|457VULN|6RCR|8ASPD|9MDPS|aMSE
326	31137 67343	   	194.63	DCR|3VULN|1MDPS|1AART|1ASPD	1AART|2aFEWX|3MBVNT|457VULN|6RCR|8ASPD|9MDPS
327	31137 67344	   	194.63	DCR|3VULN|1MDPS|1AART|1ASPD	1AART|2FEWX|3MBVNT|457VULN|6RCR|8ASPD|9MDPS|aBEXP
328	62612 13362	   	194.51	DCR|2VULN|2DMG|1AART|2DUR	17VULN|2RCVC|37DUR|4ERES|5MSLREG|67DMG|7BPWR|8CGEN|9AART|aRCR
329	33365 33224	   	194.51	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RPLT|3ASPD|4CDMG|5VULN|6DMG|7RCR|8DUR|9FEWX|aMDPS
330	61212 31344	   	194.40	DCR|3VULN|3ASPD|1MDPS|1AAC	149VULN|2DMSP|349LIT|49BPWR|569ASPD|7AAC|8RCR|aMDPS
331	33341 12321	   	194.36	DCR|3ASPD|1VULN|1AART|1DMG	1AART|2RPLT|35aASPD|4VULN|6RCR|7FEWX|8DMG|9DUST
332	33341 15334	   	194.36	DCR|3ASPD|1VULN|1AART|1DMG	1AART|2RPLT|35aASPD|4VULN|6RCR|7MBVNT|8DMG|9RMIN
333	33341 15381	   	194.36	DCR|3ASPD|1VULN|1AART|1DMG	1AART|2RPLT|35aASPD|4VULN|6RCR|7MBVNT|8DMG|9BEXP
334	33341 15321	   	194.26	DCR|3ASPD|1VULN|1AART|1DMG	1AART|2RPLT|35aASPD|4VULN|6RCR|7MBVNT|8DMG|9DUST
335	36221 25163	   	194.10	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2RCVC|3DUR|47ASPD|5ZMB|6BEXP|8CDMG|9RCR|aVULN
336	22343 36362	 * 	194.07	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1RCVC|27CDMG|3ASPD|4DUR|5BELT|6DMG|8aVULN|9RCR
337	22313 32213	   	194.07	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|3ASPD|4LWND|5BELT|6DMG|7AART|8RCR|9VULN|aZMB
338	22353 32213	   	194.07	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|3ASPD|4LHND|5BELT|6DMG|7AART|8RCR|9VULN|aZMB
339	31332 32444	 * 	193.98	ACR|4VULN|2AART|1MDPS|1ASPD	15AART|2FEWX|3RCR|478aVULN|6ASPD|9MDPS
340	31132 67361	   	193.95	DCR|2VULN|2AART|1ASPD|1ZMB	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9ZMB|aRMIN
341	31132 67364	   	193.95	DCR|2VULN|2AART|1ASPD|1ZMB	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9ZMB|aBELT
342	31132 67383	   	193.95	DCR|2VULN|2AART|1ASPD|1ZMB	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9LIT|aZMB
343	32615 24132	 * 	193.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1AART|2DUST|36aVULN|4ASPD|5CGEN|7SPLARM|8FEWX|9RCR
344	32615 24332	   	193.89	DCR|3VULN|1SPLARM|1AART|1ASPD	1AART|2DUST|36aVULN|4ASPD|5CGEN|7SPLARM|8LHND|9RCR
345	32332 32444	   	193.88	ACR|4VULN|2AART|1MDPS|1ASPD	15AART|2DUST|3RCR|478aVULN|6ASPD|9MDPS
346	61213 46222	   	193.88	DCR|3VULN|1AART|1DMG|1DUR	145VULN|2DMSP|34LIT|4BPWR|6RCR|7DUR|8DMG|9SNIFST|aAART
347	31232 46631	   	193.86	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	15AART|2FEWX|3LHND|47VULN|6MDPS|8CDMG|9RCR|aASPD
348	35522 33163	   	193.86	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC	15AART|2RMIN|3CGEN|4ASPD|6AAC|7aVULN|8CDMG|9RCR
349	31132 67362	   	193.85	DCR|2VULN|2AART|1ASPD|1ZMB	15AART|2FEWX|3MBVNT|47VULN|6RCR|8ASPD|9ZMB|aTLV
350	32632 15261	   	193.84	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	1AART|2DUST|34VULN|5ZMB|6LHND|7CANARM|8RCR|9ASPD|aNUKE
351	33344 13321	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LWND|aRMIN
352	33344 13325	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LWND|aCGEN
353	33344 13331	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LHND|aRMIN
354	33344 13335	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LHND|aCGEN
355	33341 12651	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	19AART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8CDMG|aRMIN
356	33341 13112	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	1aAART|2RPLT|35ASPD|4VULN|6RCR|7CDMG|8CGEN|9LWND
357	33344 13311	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LEGI|aRMIN
358	33344 13315	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LEGI|aCGEN
359	33344 13322	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LWND|aTLV
360	33344 13324	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LWND|aERES
361	33344 13332	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LHND|aTLV
362	33344 13334	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9LHND|aERES
363	33344 13342	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9ERES|aCGEN
364	33344 13343	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	15AART|2RPLT|38ASPD|4VULN|6RCR|7CDMG|9ERES|aDMSP
365	33341 12652	   	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	19AART|2RPLT|35ASPD|4VULN|6RCR|7FEWX|8CDMG|aTLV
366	31113 47848	   	193.69	DCR|3VULN|2ASPD|1AART	1AART|28FEWX|3MBVNT|48ASPD|5ERES|6LHND|78aVULN|8BPWR|9RCR
367	31137 67323	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1AART|2FEWX|3MBVNT|457VULN|6RCR|8ASPD|9AME|aDUR
