0	Index      	 *	Score 	Summary	Detail	
1	34433 23353	 * 	185.40	DCR|3VULN|2DMG|1AART|2DUR	179ERES|29DUR|3AART|457VULN|67DMG|79BPWR|89FEWX|aRCR
317	15333 21631	   	156.18	ACR|3DMG|1VULN|1CDMG|1DUR	1LIT|267DMG|3DUR|4RCR|5DUST|8CDMG|9LWND|aVULN
318	15333 21641	   	156.18	ACR|3DMG|1VULN|1CDMG|1DUR	1LIT|267DMG|3DUR|4RCR|5DUST|8CDMG|9FEWX|aVULN
319	15225 32114	   	156.15	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|2aDMG|3AART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR|9LWND
320	15225 32132	   	156.15	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|29DMG|3AART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR|aLWND
321	15225 32134	   	156.15	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|29DMG|3AART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR|aMLV
322	15431 52322	   	156.11	DCR|3DMG|2VULN|1ASPD	18LIT|258DMG|3RCVC|4MLV|6ASPD|78VULN|8BPWR|9TLV|aRCR
323	15225 32136	   	156.05	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD	1LIT|29DMG|3AART|4CDMG|5ZMB|6DMSP|7ASPD|8RCR|aERES
324	11724 48246	   	156.05	ACR|2DMG|1AART|2CDMG|1ZMB	18LIT|2MBVNT|3AART|49CDMG|5RCR|68LHND|78DMG|8BPWR|aZMB
325	15532 23136	   	156.05	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|26DMG|38FEWX|4RCR|5BEXP|7AART|9ZMB|aVULN
326	15532 23336	   	156.05	ACR|2DMG|1AART|1VULN|1ZMB	18LIT|26DMG|3FEWX|4RCR|5BEXP|7AART|9ZMB|aVULN
327	11433 36684	   	155.99	DCR|2AART|1VULN|1DMG|1CDMG|1SELL	1LIT|2MBVNT|3SELL|4aAART|5CGEN|6RCR|7VULN|8DMG|9CDMG
328	11438 42617	   	155.99	DCR|2AART|1VULN|1DMG|1CDMG|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|7DMG|8BEXP|9VULN|aCDMG
329	11438 42647	   	155.99	DCR|2AART|1VULN|1DMG|1CDMG|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|7DMG|8BEXP|9CDMG|aVULN
330	15533 23136	   	155.95	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|26DMG|38FEWX|4RCR|5DUST|7AART|9ZMB|aVULN
331	15533 23336	   	155.95	ACR|2DMG|1AART|1VULN|1ZMB	18LIT|26DMG|3FEWX|4RCR|5DUST|7AART|9ZMB|aVULN
332	11724 61437	 * 	155.86	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG	1LIT|2MBVNT|3AART|4CDMG|5RCR|67ZMB|8DMSP|9DMG|aVULN
333	13233 52413	   	155.78	DCR|2VULN|1AART|1DMG|2ASPD	1aLIT|2aERES|3AART|4DMG|57VULN|6BELT|8aASPD|9RCR|aBPWR
334	13252 52413	   	155.78	DCR|2VULN|1AART|1DMG|2ASPD	1aLIT|2aERES|3AART|47VULN|5DMG|6BELT|8aASPD|9RCR|aBPWR
335	32661 61112	   	155.74	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2NUKE|3RCR|4ZMB|5CDMG|67VULN|8RCVC|9ASPD|aDMG
336	11724 48251	   	155.69	ACR|3DMG|1AART|1CDMG	18LIT|2MBVNT|3AART|4CDMG|5RCR|68LHND|789DMG|8BPWR|aRCVC
337	11434 66117	   	155.63	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	1LIT|2MBVNT|3SELL|4AART|5RCR|6ZMB|79VULN|8DUR|aCDMG
338	32661 12134	   	155.61	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5CDMG|6RCVC|7DMG|8FEWX|9AART|aVULN
339	32661 12334	   	155.61	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB	1ERES|2NUKE|3RCR|4ZMB|5CDMG|6RCVC|7DMG|8BEXP|9AART|aVULN
340	34433 23334	 * 	155.60	3VULN|3DMG|1AART|1CDMG|1DUR	17ERES|2DUR|3AART|457VULN|679DMG|7BPWR|8FEWX|aCDMG
341	11534 57112	   	155.57	DCR|3VULN|1AART|1CDMG	1LIT|2MBVNT|357VULN|4LWND|6RCR|8AART|9CDMG|aCGEN
342	11534 57113	   	155.57	DCR|3VULN|1AART|1CDMG	1LIT|2MBVNT|357VULN|4LWND|6RCR|8AART|9CDMG|aRPLT
343	15242 36131	 * 	155.56	3DMG|2AART|2VULN|2ASPD|1ZMB	17LIT|248DMG|39AART|57ASPD|67VULN|7BPWR|aZMB
344	26432 22621	   	155.56	DCR|3DMG|1AART|1ZMB|1DUR	1DUST|2MLV|3AART|4ZMB|568DMG|7AIRHEA|9RCR|aDUR
345	31433 42324	 * 	155.52	DCR|4VULN|1AART	167ERES|27BEXP|3AART|4579VULN|7BPWR|8RCR|aRCVC
346	11438 42255	   	155.52	DCR|3DMG|2AART|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|79aDMG|8LHND
347	11438 42355	   	155.52	DCR|3DMG|2AART|1SELL	1LIT|2MBVNT|3SELL|45AART|6RCR|79aDMG|8LWND
348	11728 42341	 * 	155.52	DCR|2AART|1DMG|2CDMG|2DUR	1aLIT|2MBVNT|35AART|4aCDMG|6RCR|7DMG|8LWND|9aDUR|aBPWR
349	34433 23133	   	155.50	3VULN|3DMG|1AART|1CDMG|1DUR	17ERES|2DUR|3AART|457VULN|67aDMG|7BPWR|8BASHEA|9CDMG
350	32626 11131	   	155.48	ACR|3DMG|2VULN	14aERES|2NUKE|3RCR|57VULN|68aDMG|9aFEWX|aBPWR
351	32626 11161	   	155.48	ACR|3DMG|2VULN	14aERES|2NUKE|3RCR|57VULN|68aDMG|9aLHND|aBPWR
352	15332 22232	 * 	155.48	ACR|2DMG|1AART|1VULN|2DUR	1LIT|26DMG|38DUR|4RCR|5BEXP|7BELT|9VULN|aAART
353	11433 36641	   	155.42	DCR|2VULN|1AART|1DMG|1DUR|1SELL	1LIT|2MBVNT|3SELL|4AART|5CGEN|6RCR|79VULN|8DMG|aDUR
354	11433 36651	   	155.42	DCR|2DMG|1AART|1VULN|1DUR|1SELL	1LIT|2MBVNT|3SELL|4AART|5CGEN|6RCR|7VULN|89DMG|aDUR
355	34232 51431	 * 	155.42	DCR|2VULN|2DMG|3DUR|1SELL	1aERES|25aDUR|3SELL|47VULN|6RCR|8CGEN|9aDMG|aBPWR
