0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12243 63241	10	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	139aVULN|2aTLV|4ERES|5RCVC|6DMG|7aDUR|8RCR|aBPWR
336	13345 32113	1	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1256VULN|3DUR|4DUST|7RPLT|8CDMG|9RCR|aTLV
337	12266 21423	5	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	138aVULN|2TLV|4RMIN|5ERES|6CDMG|7RCR|9DUR
338	12244 63211	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	135VULN|2TLV|4ERES|6DMG|7aDUR|8RCR|9ZMB
339	12244 63211	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	135VULN|2TLV|4ERES|6DMG|7aDUR|8RCR|9ZMB
340	12264 63221	8	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	135VULN|2TLV|4RMIN|6DMG|7aDUR|8RCR|9ERES
341	12264 31136	6	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1356VULN|2TLV|4RMIN|7AART|8BBNT|9DMG|aRCR
342	12264 31136	5	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1356VULN|2TLV|4RMIN|7AART|8BBNT|9DMG|aRCR
343	22336 22116	7	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|2aASPD|38VULN|4DMG|5TLV|67DUR|9RCR
344	22336 22211	7	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|28ASPD|3aVULN|4DMG|5TLV|67DUR|9RCR
345	22336 25213	6	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|28ASPD|37VULN|4DMG|5TLV|6aDUR|9RCR
346	22336 25213	7	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|28ASPD|37VULN|4DMG|5TLV|6aDUR|9RCR
347	22336 26116	6	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|2aASPD|38VULN|4DMG|5TLV|67DUR|9RCR
348	22336 26211	6	   	250.80	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD	1LIT|28ASPD|3aVULN|4DMG|5TLV|67DUR|9RCR
349	12232 22356	8	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	13aVULN|2TLV|4LHND|5SELL|6RCR|79DUR|8DMG
350	12232 22456	7	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	13aVULN|2TLV|4LHND|5SELL|6RCR|79DUR|8DMG
351	32351 36236	10	   	250.77	DCR|2VULN|2TLV|2DUR|1DMG|2ASPD	1RCVC|2aTLV|3DMSP|4aDUR|59ASPD|6DMG|7aVULN|8RCR|aBPWR
352	14262 13531	4	   	250.74	DCR|3VULN|2DUR|2CDMG|2ASPD|1AART	13aVULN|29ASPD|4RMIN|5AART|6aDUR|7aCDMG|8RCR|aBPWR
353	14233 43131	6	 * 	250.73	DCR|3VULN|2DMG|2DUR	138VULN|2ASPD|4LHND|57DMG|6RCR|9aDUR
354	13113 52143	1	   	250.71	DCR|4VULN|1TLV|2CDMG|1AART	1246VULN|35CDMG|7TLV|8RCR|9TBNT|aAART
355	13333 45331	1	   	250.51	DCR|3VULN|1TLV|2ASPD|1DUR|1AART	12aVULN|3DUR|4AART|5aERES|6TLV|7LIT|8RCR|9aASPD|aBPWR
356	11143 22212	8	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	169VULN|2FEWX|3CDMG|4TLV|5ASPD|7RCR|8LIT|aDMG
357	12345 21343	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	18aVULN|24TLV|34FEWX|4BPWR|5CDMG|6RCR|7LIT|9DMG
358	12345 21413	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	19aVULN|24TLV|34FEWX|4BPWR|5CDMG|6RCR|7LIT|8DMG
