0	Index      	 *	Score 	Summary	Detail	
1	13221 51452	 * 	222.74	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aMDPS
320	36335 51231	 * 	193.91	DCR|2AART|2DMG|1ASPD|3DUR	15AART|26aDUR|3RPLT|46DMG|6BPWR|7RCR|8FEWX|9ASPD
321	13244 31321	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|39aVULN|4LHND|5MSLFST|6CDMG|7DMG|8RCR
322	13624 31321	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|3LWND|49aVULN|5MSLFST|6CDMG|7DMG|8RCR
323	33542 31362	   	193.90	ACR|2VULN|2AART|2ASPD|1DMG	14AART|2RCR|3BELT|58LIT|68VULN|78ASPD|8BPWR|9DMG|aFEWX
324	33242 21323	   	193.89	ACR|2AART|1VULN|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	17AART|2RCR|3ASPD|4CDMG|5DUR|6ERES|8VULN|9ZMB|aNUKE
325	33243 62123	   	193.88	ACR|2VULN|2ASPD|1AART|1NUKE|1CDMG	1AART|2RCR|39ASPD|4CDMG|59VULN|6FEWX|7CGEN|89TLV|9BPWR|aNUKE
326	33243 62623	   	193.88	ACR|2VULN|2ASPD|1AART|1NUKE|1CDMG	1AART|2RCR|39ASPD|4CDMG|59VULN|6FEWX|7CGEN|89ERES|9BPWR|aNUKE
327	33223 33223	   	193.88	ACR|2VULN|2ASPD|1AART|1NUKE|1CDMG	1AART|2RCR|35ASPD|4BEXP|6LHND|79VULN|8CDMG|aNUKE
328	13111 41453	   	193.87	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|3CGEN|4TLV|569VULN|7RCR|8DMG
329	13221 31426	   	193.87	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|345VULN|6DUST|7RCR|8DMG|9RMIN
330	13223 41426	   	193.87	DCR|3VULN|2ASPD|1DMG	1aASPD|2RPLT|346VULN|5DUST|7RCR|8DMG|9RMIN
331	13261 41421	   	193.87	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4DUST|7RCR|8DMG|9RMIN
332	13261 41431	   	193.87	DCR|3VULN|2ASPD|1DMG	15ASPD|2RPLT|36aVULN|4DUST|7RCR|8DMG|9SNIFST
333	11222 14226	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ASPD|2RMIN|3CGEN|45aVULN|6AART|7RCR|8RCVC|9ZMB
334	11222 14626	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ASPD|2RMIN|3CGEN|45aVULN|6AART|7RCR|8DMSP|9ZMB
335	13222 61356	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ASPD|2RPLT|349VULN|5CGEN|6AME|7RCR|8ZMB|aAART
336	14143 51111	   	193.80	DCR|2VULN|2AART|1ASPD|1ZMB|1SELL	1ASPD|2ZMB|3BEXP|4SELL|57AART|6RCR|89VULN|aLWND
337	14143 51112	   	193.80	DCR|2VULN|2AART|1ASPD|1ZMB|1SELL	1ASPD|2ZMB|3BEXP|4SELL|57AART|6RCR|89VULN|aMULARM
338	14143 51113	   	193.80	DCR|2VULN|2AART|1ASPD|1ZMB|1SELL	1ASPD|2ZMB|3BEXP|4SELL|57AART|6RCR|89VULN|aFEWX
339	33542 31363	   	193.80	ACR|2VULN|2AART|2ASPD|1DMG	14AART|2RCR|3BELT|58LIT|68VULN|78ASPD|8BPWR|9DMG|aERES
340	13126 21126	   	193.73	DCR|2VULN|2DMG|2ASPD	1aASPD|2RPLT|3CGEN|45DMG|69VULN|7RCR|8LWND
341	13126 21625	   	193.73	DCR|2VULN|2DMG|2ASPD	1aASPD|2RPLT|3CGEN|45DMG|69VULN|7RCR|8LHND
342	13251 41413	   	193.73	DCR|2VULN|2DMG|2ASPD	15ASPD|2RPLT|36VULN|4BEXP|7RCR|8aDMG|9LWND
343	13111 41356	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1ASPD|2RPLT|3CGEN|4TLV|569VULN|7RCR|8ZMB|aAART
344	13244 31326	 * 	193.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1ASPD|2RPLT|39VULN|4LHND|5MSLFST|6CDMG|7aDMG|8RCR
345	13624 31326	   	193.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1ASPD|2RPLT|3LWND|49VULN|5MSLFST|6CDMG|7aDMG|8RCR
346	35243 34323	   	193.64	DCR|2VULN|2AART|2CDMG|1DUR	1aAART|28RMIN|3DUR|46CDMG|59VULN|7RCR
347	13121 41416	   	193.63	DCR|2VULN|2DMG|2ASPD	1aASPD|2RPLT|3CGEN|48DMG|56VULN|7RCR|9DUST
348	36325 51111	 * 	193.59	DCR|2AART|1VULN|1DMG|3DUR|2ZMB	15AART|26aDUR|3RPLT|46ZMB|6BPWR|7RCR|8DMG|9VULN
349	31513 62142	 * 	193.51	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG	17AART|2MDPS|3LIT|4LHND|5VULN|6aASPD|8RCR|9DMG
350	33252 44714	   	193.50	ACR|2VULN|2AART|2ASPD|1DMG	17AART|2RCR|38ASPD|4MBVNT|5MSLREG|6aVULN|9DMG
351	33243 52215	   	193.50	ACR|3VULN|2AART|1ASPD|1CDMG	18AART|2RCR|3ASPD|4CDMG|59aVULN|6LWND|7CGEN
352	11143 51123	 * 	193.48	DCR|2AART|1VULN|1ASPD|1NUKE|1ZMB|1SELL	1ASPD|2RMIN|3BEXP|4SELL|57AART|6RCR|8VULN|9ZMB|aNUKE
353	33163 23114	   	193.40	ACR|3VULN|2AART|1ASPD|1CDMG|1AAC	15AART|2RCR|3LIT|4ASPD|6AAC|7CDMG|89aVULN
354	31236 31263	   	193.38	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1AART|2MDPS|3CDMG|49DMG|5LIT|68VULN|7BEXP|aRCR
355	11222 15413	   	193.32	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|4579VULN|6AART|8FEWX|aRCR
356	11622 15413	   	193.32	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3AME|4579VULN|6AART|8FEWX|aRCR
357	32141 31346	 * 	193.25	DCR|3VULN|2AART|1MDPS|1DMG	16AART|27TLV|3MDPS|4DMG|589VULN|aRCR
358	11222 15613	   	193.22	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|4579VULN|6AART|8DUST|aRCR
359	11622 15313	   	193.22	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3AME|4579VULN|6AART|8DUST|aRCR
360	33242 15111	   	193.21	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89VULN|aLWND
361	33242 15112	   	193.21	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89VULN|aMULARM
362	33242 15113	   	193.21	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89VULN|aBEXP
363	33242 15114	   	193.21	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|56DUR|7DMG|89VULN|aLHND
364	33243 11423	   	193.21	ACR|2VULN|1AART|1ASPD|1NUKE|1CDMG|2DUR	1AART|2RCR|3ASPD|4CDMG|59VULN|68DUR|7LHND|aNUKE
365	33243 35324	   	193.21	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|2ZMB	1AART|2RCR|3ASPD|4CDMG|58VULN|6DMSP|7DMG|9aZMB
366	13223 16353	 * 	193.14	DCR|3VULN|2DMG|1MDPS|1ASPD	1ASPD|2RPLT|347VULN|5DUST|6MDPS|8aDMG|9RCR
367	36442 21121	   	193.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1AART|25DUR|3VULN|4LIT|6FEWX|7CDMG|8RCR|9DMG|aASPD
368	33163 63153	 * 	192.94	ACR|2AART|2DMG|1VULN|1ASPD|1CDMG	15AART|2RCR|3LIT|4ASPD|6aDMG|7CDMG|8VULN|9MLV
369	14143 21112	   	192.90	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB|1SELL	1ASPD|2ZMB|3BEXP|4SELL|5AART|6AAC|7RCR|8aDMG|9VULN
370	33163 63123	   	192.84	ACR|2AART|2DMG|1VULN|1ASPD|1CDMG	15AART|2RCR|3LIT|4ASPD|6aDMG|7CDMG|8VULN|9ERES
371	14343 21112	   	192.80	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB|1SELL	1ASPD|2ZMB|3DUST|4SELL|5AART|6AAC|7RCR|8aDMG|9VULN
