0	Index      	 *	Score 	Summary	Detail	
1	51212 68443	 * 	198.38	ACR|5VULN|2AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8aAART
318	51212 44837	   	169.31	ACR|3VULN|3ASPD|1DMG|1CDMG	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8CDMG|9BEXP|aDMG
319	51215 22264	   	169.31	ACR|3VULN|1DMG|2CDMG|2ASPD	18ASPD|2MBVNT|358VULN|4RCR|68CDMG|7RMIN|8BPWR|9BEXP|aDMG
320	53231 34261	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2MLV|3CDMG|4ZMB|589VULN|6RCR|7LIT|aDMG
321	51814 43418	   	169.26	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|3DUR|4RCR|5AART|6LHND|78aVULN|9CDMG
322	51212 61433	   	169.22	ACR|5VULN|3ASPD|1DUR|1SELL	156ASPD|2MBVNT|35689VULN|4RCR|569BPWR|7SELL|aDUR
323	51212 68133	   	169.22	ACR|5VULN|3ASPD|1DUR|1SELL	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8SELL|aDUR
324	51261 46123	   	169.21	DCR|2VULN|2DMG|3DUR|2ASPD	19ASPD|2MBVNT|39VULN|458DUR|6RCR|79DMG|9BPWR|aERES
325	51261 46124	   	169.21	DCR|2VULN|2DMG|3DUR|2ASPD	19ASPD|2MBVNT|39VULN|458DUR|6RCR|79DMG|9BPWR|aDUST
326	51212 65111	   	169.21	ACR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7DUST|8DMG|9CGEN|aCDMG
327	51212 65121	   	169.21	ACR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7DUST|8DMG|9RMIN|aCDMG
328	51212 44267	   	169.21	ACR|3VULN|3ASPD|1DMG|1CDMG	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8DUST|9CDMG|aDMG
329	51212 44583	   	169.21	ACR|3VULN|3ASPD|1DMG|1CDMG	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8BASHEA|9CDMG|aDMG
330	51212 44817	   	169.21	ACR|3VULN|3ASPD|1DMG|1CDMG	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8CDMG|9DUST|aDMG
331	51215 23264	   	169.21	ACR|3VULN|1DMG|2CDMG|2ASPD	18ASPD|2MBVNT|358VULN|4RCR|68CDMG|7NUKE|8BPWR|9BEXP|aDMG
332	51714 11254	 * 	169.19	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	13ASPD|2MBVNT|3BPWR|4VULN|59AART|6RCR|7BEXP|8CDMG|aDMG
333	51212 24226	   	169.17	ACR|4VULN|2ASPD|1CDMG|2DUR	15ASPD|2MBVNT|3578VULN|4RCR|5BPWR|6CDMG|9aDUR
334	51242 46184	 * 	169.14	DCR|3DMG|2VULN|1DUR|1ASPD	1ASPD|2MBVNT|35VULN|45BEXP|5BPWR|6RCR|79aDMG|8DUR
335	51215 31221	   	169.12	ACR|4VULN|2ASPD|2DUR|1ZMB	19ASPD|2MBVNT|3579VULN|4RCR|6RCVC|89DUR|9BPWR|aZMB
336	51215 31318	   	169.09	ACR|4VULN|1AART|2ASPD	19ASPD|2MBVNT|3579VULN|4RCR|6RCVC|89CGEN|9BPWR|aAART
337	51212 31378	   	168.99	ACR|4VULN|1AART|2ASPD	15ASPD|2MBVNT|3579VULN|4RCR|5BPWR|6RCVC|8CGEN|aAART
338	51231 41884	   	168.94	DCR|3DMG|2VULN|1ASPD|1DUR	1ASPD|2MBVNT|38VULN|4DUST|5DUR|6RCR|79aDMG
339	51231 47184	   	168.94	DCR|3DMG|2VULN|1ASPD|1DUR	1ASPD|2MBVNT|37VULN|4DUST|5DUR|6RCR|89aDMG
340	51232 46184	   	168.94	DCR|3DMG|2VULN|1DUR|1ASPD	1ASPD|2MBVNT|35VULN|45DUST|5BPWR|6RCR|79aDMG|8DUR
341	51814 33741	   	168.94	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689FEWX|789VULN|89BPWR|aRPLT
342	51814 33742	   	168.94	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689FEWX|789VULN|89BPWR|aCGEN
343	51814 33744	   	168.94	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689FEWX|789VULN|89BPWR|aBEXP
344	51814 43742	   	168.94	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689LHND|789VULN|89BPWR|aFEWX
345	51814 43744	   	168.94	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689aLHND|789VULN|89BPWR
346	51232 42333	   	168.87	DCR|4VULN|1AART|2ASPD	1aASPD|2MBVNT|358aVULN|457DUST|5aBPWR|6RCR|9AART
347	51814 43743	   	168.84	ACR|3VULN|1AART|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4RCR|5AART|689LHND|789VULN|89BPWR|aCANSTR
348	51414 11814	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|3DMSP|49VULN|5AART|6RCR|7BEXP|8DMG|aCDMG
349	25253 33513	 * 	168.68	DCR|2VULN|1AART|2CDMG|2ZMB|1DUR|1SELL	1aLHND|2aZMB|39VULN|4DUR|5SELL|6RCR|7AART|8aCDMG|aBPWR
350	51211 86122	 * 	168.63	ACR|2VULN|2DMG|3DUR|2ASPD	19ASPD|2MBVNT|39VULN|4RCR|568DUR|79DMG|9BPWR|aRCVC
351	51414 26274	   	168.62	DCR|3VULN|1AART|2ASPD|1CDMG	16ASPD|2MBVNT|3DMSP|46aVULN|5AART|6BPWR|7RCR|8RPLT|9CDMG
352	51212 44674	   	168.57	ACR|3VULN|3ASPD|1DMG|1ZMB	157ASPD|2MBVNT|357VULN|4RCR|57BPWR|6RMIN|8RCVC|9DMG|aZMB
353	51212 24348	   	168.54	ACR|3VULN|1AART|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|9LIT|aRCVC
354	51214 13445	   	168.54	ACR|3VULN|2DMG|2ASPD	1aASPD|2MBVNT|37aVULN|4RCR|5LIT|6LHND|8aDMG|9RCVC|aBPWR
