0	Index      	 *	Score 	Summary	Detail	
1	12614 53541	 * 	196.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	17VULN|2CDMG|37DUR|4MBVNT|5BELT|679DMG|7BPWR|8AART|aRCR
332	12345 23351	   	170.77	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2CDMG|3LWND|4RCR|5DUR|6FEWX|79DMG|8ASPD|aAART
333	12344 12213	   	170.77	ACR|2VULN|2DMG|3CDMG|1ASPD	18VULN|28aCDMG|3LWND|4RCR|5RMIN|6LIT|78DMG|8BPWR|9ASPD
334	12544 12213	   	170.77	ACR|2VULN|2DMG|3CDMG|1ASPD	18VULN|28aCDMG|3BEXP|4RCR|5RMIN|6LIT|78DMG|8BPWR|9ASPD
335	52442 13311	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3FEWX|4RCR|5LEGI|69VULN|7DMG|8ASPD|aAART
336	52542 13311	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3BEXP|4RCR|5LEGI|69VULN|7DMG|8ASPD|aAART
337	15343 36131	   	170.67	DCR|4VULN|1AART|2ASPD|1ZMB	1678VULN|2ZMB|347LWND|57ASPD|7BPWR|9AART|aRCR
338	32341 22413	   	170.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|3DMG|4AART|57VULN|6TLV|8ASPD|9ZMB|aRCR
339	26241 62133	   	170.44	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1SELL|257VULN|3RMIN|4AART|6FEWX|8RCR|9DMG|aZMB
340	14113 23341	   	170.43	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37BEXP|4ERES|5DUST|67CDMG|7BPWR|8RCR
341	14313 23341	   	170.43	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37LWND|4ERES|5DUST|67CDMG|7BPWR|8RCR
342	14513 23341	   	170.43	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37FEWX|4ERES|5DUST|67CDMG|7BPWR|8RCR
343	52343 42221	   	170.35	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUR|29CDMG|3LWND|4RCR|5MLV|69VULN|7DMG|89FEWX|9BPWR|aAART
344	14324 32351	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|2DMG|3LWND|5RMIN|7CDMG|8RCR|9AART|aCGEN
345	14324 32352	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|2DMG|3LWND|5RMIN|7CDMG|8RCR|9AART|aBELT
346	12121 43322	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2CDMG|3RCVC|4DMG|5LWND|6CGEN|8RCR|9AART
347	12122 13352	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2CDMG|3RCVC|4DMG|5CGEN|6FEWX|8RCR|9AART
348	12122 33352	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2CDMG|3RCVC|4DMG|5CGEN|6BEXP|8RCR|9AART
349	13523 22352	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|35BEXP|4CDMG|6DMG|7CGEN|8RCR|9AART
350	14612 43322	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2DMG|3CDMG|4LHND|5RCVC|6CGEN|8RCR|9AART
351	12352 12652	   	170.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	17VULN|27CDMG|3LWND|4DUR|5AART|67ERES|7BPWR|8RCR|9DMG|aBEXP
352	12352 12653	   	170.33	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	17VULN|27CDMG|3aLWND|4DUR|5AART|67ERES|7BPWR|8RCR|9DMG
353	14611 23341	   	170.33	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37CDMG|4LHND|5TLV|67DUST|7BPWR|8RCR
354	14621 23341	   	170.33	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37CDMG|4BEXP|5TLV|67DUST|7BPWR|8RCR
355	14631 23341	   	170.33	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37CDMG|4TLV|5FEWX|67DUST|7BPWR|8RCR
356	14633 23341	   	170.33	DCR|3VULN|2DMG|2CDMG	179VULN|2aDMG|37CDMG|4TLV|5BEXP|67DUST|7BPWR|8RCR
357	34512 23341	   	170.33	DCR|3VULN|2DMG|2CDMG	17DUST|2aDMG|379VULN|4ERES|5FEWX|67CDMG|7BPWR|8RCR
358	33512 23341	   	170.33	DCR|3DMG|2VULN|2CDMG	17DUST|29VULN|37aDMG|4ERES|5FEWX|67CDMG|7BPWR|8RCR
359	33516 23341	   	170.33	DCR|3DMG|2VULN|2CDMG	17DUST|29VULN|37aDMG|4ERES|5LWND|67CDMG|7BPWR|8RCR
360	55121 11216	   	170.31	DCR|4VULN|1DMG|2DUR|1ZMB	15DUR|2ZMB|3BEXP|457aVULN|5BPWR|6BELT|8RCR|9DMG
361	12312 61434	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aVULN|2CDMG|3LWND|4MBVNT|5AART|6TLV|7RCR|8ZMB|9DMG
362	14324 32353	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|2DMG|3LWND|5RMIN|7CDMG|8RCR|9AART|aERES
363	26332 36331	   	170.14	DCR|4VULN|1AART|1DMG|1SELL	1SELL|2469VULN|346LWND|46BPWR|5RPLT|7DMG|8RCR|aAART
364	12352 12651	   	170.08	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1SELL	17VULN|27CDMG|3LWND|4DUR|5AART|67ERES|7BPWR|8RCR|9DMG|aSELL
365	23418 82224	 * 	169.98	DCR|3DMG|2VULN|2ZMB|1SELL	1SELL|28ZMB|3LIT|4MBVNT|58VULN|6RCR|789DMG|8BPWR|aBEXP
366	12335 41312	   	169.97	DCR|3DMG|1VULN|2CDMG|2DUR	1VULN|24CDMG|34LWND|4BPWR|57DUR|6RCR|89aDMG
367	12435 41312	   	169.97	DCR|3DMG|1VULN|2CDMG|2DUR	1VULN|24CDMG|34FEWX|4BPWR|57DUR|6RCR|89aDMG
368	12535 41312	   	169.97	DCR|3DMG|1VULN|2CDMG|2DUR	1VULN|24CDMG|34BEXP|4BPWR|57DUR|6RCR|89aDMG
369	12631 43312	   	169.97	DCR|3DMG|1VULN|2CDMG|2DUR	1VULN|24CDMG|34DUR|4BPWR|57FEWX|6RCR|89aDMG
370	32142 12425	   	169.95	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	179DUST|29CDMG|3DUR|4RCR|5LEGI|6VULN|89DMG|9BPWR|aAART
371	12651 42131	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2CDMG|36DUR|4AART|5RMIN|8RCR|9DMG|aCGEN
372	12651 42132	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2CDMG|36DUR|4AART|5RMIN|8RCR|9DMG|aBELT
373	52241 42131	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	16DUR|2CDMG|3RMIN|4AART|57VULN|8RCR|9DMG|aCGEN
374	52241 42132	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	16DUR|2CDMG|3RMIN|4AART|57VULN|8RCR|9DMG|aBELT
375	12241 36131	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15VULN|2CDMG|3RMIN|4AART|67DUR|8RCR|9DMG|aCGEN
376	12241 36132	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15VULN|2CDMG|3RMIN|4AART|67DUR|8RCR|9DMG|aBELT
377	12241 36136	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15VULN|2CDMG|3RMIN|4AART|67DUR|8RCR|9DMG|aRPLT
378	61151 22112	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7CGEN|8RCR|9MLV|aCDMG
379	23418 82221	 * 	169.88	DCR|3DMG|2VULN|2ZMB|1SELL	1SELL|28ZMB|3LIT|4MBVNT|58VULN|6RCR|789DMG|8BPWR|aAIRHEA
380	23418 82222	 * 	169.88	DCR|3DMG|2VULN|2ZMB|1SELL	1SELL|28ZMB|3LIT|4MBVNT|58VULN|6RCR|789DMG|8BPWR|aERES
381	14322 46451	   	169.87	DCR|4VULN|1DMG|1CDMG|1ASPD	1469VULN|2DMG|3LWND|5MBVNT|7RCR|8CDMG|aASPD
382	55121 11212	   	169.86	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|2ZMB|3BEXP|457VULN|5BPWR|6BELT|8RCR|9DMG|aCDMG
383	12651 42133	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2CDMG|36DUR|4AART|5RMIN|8RCR|9DMG|aERES
384	52241 42133	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	16DUR|2CDMG|3RMIN|4AART|57VULN|8RCR|9DMG|aERES
385	12241 36133	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15VULN|2CDMG|3RMIN|4AART|67DUR|8RCR|9DMG|aERES
386	12445 11133	   	169.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2CDMG|3FEWX|4RCR|5DUR|6TLV|7ZMB|8aAART|9DMG
387	12545 11133	   	169.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2CDMG|3BEXP|4RCR|5DUR|6TLV|7ZMB|8aAART|9DMG
388	61151 22132	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7CGEN|8RCR|9TLV|aCDMG
389	61151 22142	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7CGEN|8RCR|9ERES|aCDMG
390	61151 22162	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7CGEN|8RCR|9LSRREG|aCDMG
391	61151 23112	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7ERES|8RCR|9MLV|aCDMG
392	61151 23152	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7ERES|8RCR|9RMIN|aCDMG
393	32143 41133	   	169.70	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2CDMG|3DUR|4RCR|5TLV|6VULN|7ZMB|8aAART|9DMG
394	61151 23132	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3LIT|45VULN|6DMG|7ERES|8RCR|9TLV|aCDMG
395	12643 12632	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2CDMG|37DUR|4RCR|5VENICY|6DMG|9AART|aFEWX
396	12643 12633	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2CDMG|37DUR|4RCR|5VENICY|6DMG|9AART|aLHND
397	14442 13132	   	169.63	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1VULN|29DMG|3BELT|4DUR|5aCDMG|6AART|7ERES|8RCR
398	14124 21413	   	169.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2DMG|3BEXP|5RMIN|6AART|7CDMG|8ASPD|9ZMB|aRCR
399	12342 12222	 * 	169.59	ACR|4VULN|1AART|1CDMG	178aVULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9CGEN
400	12342 52222	   	169.59	ACR|4VULN|1AART|1CDMG	178aVULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9CGEN
401	16336 13223	   	169.59	ACR|4VULN|1AART|1CDMG	179aVULN|2LIT|3MLV|4RCR|5AART|6CDMG|8RPLT
402	12125 61353	   	169.53	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1VULN|2CDMG|3RCVC|45DMG|6BEXP|7aZMB|8RCR|9AART
403	13523 21353	 * 	169.53	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	12VULN|35BEXP|4CDMG|6DMG|7aZMB|8RCR|9AART
404	12643 12631	   	169.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2CDMG|37DUR|4RCR|5VENICY|6DMG|9AART|aDUST
405	33524 21413	   	169.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|24VULN|3DMG|5RMIN|6AART|7CDMG|8ASPD|9ZMB|aRCR
406	12244 51223	   	169.51	DCR|3VULN|2AART|1CDMG	19aVULN|2CDMG|3RMIN|47AART|5LIT|6RCR|8RPLT
407	25325 31352	   	169.37	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2MLV|3CGEN|45DMG|6aVULN|7ZMB|8RCR|9AART
408	14122 63125	 * 	169.33	DCR|3VULN|2AART|1DMG	14aVULN|2DMG|3BEXP|5BELT|6CGEN|79AART|8RCR
409	12343 33125	   	169.32	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	19VULN|2CDMG|39LWND|4RCR|5BEXP|6DUR|79DMG|8MBVNT|9BPWR|aZMB
410	13155 36131	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3CGEN|5RCR|6RCVC|7AART|8DMG|9ZMB|aLWND
411	13155 36132	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3CGEN|5RCR|6RCVC|7AART|8DMG|9ZMB|aFEWX
412	13155 36133	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3CGEN|5RCR|6RCVC|7AART|8DMG|9ZMB|aLHND
413	13355 36131	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3MLV|5RCR|6RCVC|7AART|8DMG|9ZMB|aLWND
414	13355 36132	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3MLV|5RCR|6RCVC|7AART|8DMG|9ZMB|aFEWX
415	13355 36133	   	169.30	ACR|3VULN|1AART|1DMG|1ZMB	124VULN|3MLV|5RCR|6RCVC|7AART|8DMG|9ZMB|aLHND
416	23365 23352	   	169.27	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1SELL|2ZMB|3CGEN|4TLV|56DMG|7aVULN|8RCR|9AART
417	33522 63125	   	169.23	DCR|3VULN|2AART|1DMG	1DUST|24aVULN|3DMG|5BELT|6CGEN|79AART|8RCR
418	16336 11142	   	169.22	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	19VULN|2LIT|3MLV|4RCR|57AART|6CDMG|8ZMB|aASPD
419	26416 43223	   	169.17	DCR|2VULN|2DMG|3DUR|1CDMG|1SELL	1SELL|29VULN|3FEWX|4MBVNT|589DUR|6RCR|79DMG|9BPWR|aCDMG
420	12214 43342	   	169.11	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47LHND|57CGEN|6RCR|7BPWR|8aDMG
421	12224 43342	   	169.11	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47BEXP|57CGEN|6RCR|7BPWR|8aDMG
422	12214 43312	   	169.11	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47LHND|57CGEN|6RCR|7BPWR|89aDMG
423	12224 43312	   	169.11	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47BEXP|57CGEN|6RCR|7BPWR|89aDMG
424	13155 21135	   	169.08	ACR|4VULN|1AART|1ZMB|1DUR	124aVULN|3CGEN|5RCR|6BEXP|7DUR|8ZMB|9AART
425	13355 21135	   	169.08	ACR|4VULN|1AART|1ZMB|1DUR	124aVULN|3MLV|5RCR|6BEXP|7DUR|8ZMB|9AART
426	32341 51143	   	169.02	DCR|2AART|2VULN|1DMG|1CDMG	1DUST|2CDMG|3DMG|47AART|5aVULN|6LIT|8RCR|9RMIN
427	32341 53134	   	169.02	DCR|2AART|2VULN|1DMG|1CDMG	1DUST|2CDMG|3DMG|4aAART|57VULN|6LIT|8RCR|9RPLT
428	12244 53123	   	168.97	DCR|3VULN|1AART|1CDMG|1ZMB	17aVULN|2CDMG|3RMIN|4AART|5LIT|6RCR|8ZMB|9DUST
429	12211 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47LHND|57TLV|6RCR|7BPWR|89aDMG
430	12211 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47LHND|57TLV|6RCR|7BPWR|8aDMG
431	12215 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47LHND|57ERES|6RCR|7BPWR|89aDMG
432	12215 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47LHND|57ERES|6RCR|7BPWR|8aDMG
433	12221 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47BEXP|57TLV|6RCR|7BPWR|89aDMG
434	12221 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47BEXP|57TLV|6RCR|7BPWR|8aDMG
435	12225 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47BEXP|57ERES|6RCR|7BPWR|89aDMG
436	12225 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47BEXP|57ERES|6RCR|7BPWR|8aDMG
437	12231 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47TLV|57FEWX|6RCR|7BPWR|89aDMG
438	12231 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47TLV|57FEWX|6RCR|7BPWR|8aDMG
439	12233 43312	   	168.91	DCR|3DMG|2VULN|1CDMG	17VULN|2CDMG|3RMIN|47TLV|57BEXP|6RCR|7BPWR|89aDMG
440	12233 43342	   	168.91	DCR|3VULN|2DMG|1CDMG	179VULN|2CDMG|3RMIN|47TLV|57BEXP|6RCR|7BPWR|8aDMG
441	16336 34121	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	169VULN|2LIT|3MLV|4RCR|5AART|7DUR|8DMG|aFEWX
442	16336 34123	   	168.84	ACR|3VULN|1AART|1DMG|1DUR	169VULN|2LIT|3aMLV|4RCR|5AART|7DUR|8DMG
443	33166 15332	   	168.81	DCR|3VULN|2DMG|1CDMG	178DUST|28aVULN|3LIT|4LHND|58DMG|6RCR|8BPWR|9CDMG
444	16336 32262	   	168.77	ACR|5VULN|1AART	1689aVULN|2LIT|3MLV|4RCR|5AART|7RCVC
445	26614 53322	   	168.76	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	1SELL|278VULN|37DUR|4MBVNT|5BELT|67DMG|7BPWR|9ZMB|aRCR
446	13424 36311	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	12VULN|3LHND|4CDMG|5ZMB|6TLV|7RCR|89DMG|aASPD
447	16343 35132	   	168.67	DCR|3VULN|2DMG|1CDMG|1SELL	148VULN|2LIT|3MLV|5SELL|6RCR|7CDMG|9aDMG
448	26342 12234	   	168.59	ACR|3VULN|1AART|1DMG|1DUR|1SELL	1SELL|278VULN|37LWND|4RCR|5AART|67ERES|7BPWR|9DMG|aDUR
449	13231 52354	   	168.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	12VULN|3RCVC|4FEWX|5DMG|6ASPD|7CDMG|8RCR|9AART|aDUR
450	14322 36812	   	168.52	DCR|3VULN|3DMG	14aVULN|26aDMG|36LWND|5MBVNT|6aBPWR|7RCR|8BEXP|9aBASHEA
451	32343 32246	   	168.43	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUST|2aCDMG|35DMG|4AART|6DUR|7VULN|8CGEN|9RCR
452	53522 32125	   	168.41	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|246VULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR|9RPLT|aZMB
453	16336 34221	   	168.37	ACR|4VULN|1AART|2DUR	1689VULN|2LIT|38MLV|4RCR|5AART|78DUR|8BPWR|aCGEN
454	16336 34222	   	168.37	ACR|4VULN|1AART|2DUR	1689VULN|2LIT|38MLV|4RCR|5AART|78DUR|8BPWR|aLWND
455	12631 41251	 * 	168.34	DCR|1AART|2CDMG|1VULN|3DUR|1FLTHEA|1ZMB	1VULN|24CDMG|347DUR|4BPWR|5FEWX|6RCR|8FLTHEA|9ZMB|aAART
456	12245 11221	   	168.29	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	167VULN|2CDMG|3RMIN|4AART|5SELL|8DMG|9LIT|aRCR
457	16336 34223	   	168.27	ACR|4VULN|1AART|2DUR	1689VULN|2LIT|38MLV|4RCR|5AART|78DUR|8BPWR|aDUST
458	12125 22523	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aBEXP
459	12125 22524	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aLIT
460	12125 22525	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aFEWX
461	12125 22623	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aBEXP
462	12125 22624	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aLIT
463	12125 22625	   	168.23	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aFEWX
464	12631 41336	 * 	168.21	DCR|2VULN|1AART|2CDMG|3DUR|1ASPD	19VULN|24CDMG|347DUR|4BPWR|5FEWX|6RCR|8ASPD|aAART
465	13413 32351	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9AART|aCGEN
466	13413 32352	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9AART|aBELT
467	13413 32356	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9AART|aLIT
468	15323 32351	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9AART|aCGEN
469	15323 32352	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9AART|aBELT
470	15323 32356	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9AART|aLIT
471	64323 32351	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|246VULN|3LWND|5ASPD|7CDMG|8RCR|9AART|aCGEN
472	64323 32352	   	168.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|246VULN|3LWND|5ASPD|7CDMG|8RCR|9AART|aBELT
473	14641 13221	   	168.19	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	157VULN|2DMG|3CDMG|4AART|6ERES|8SELL|9LIT|aRCR
474	12125 22521	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aBASICY
475	12125 22522	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aDUST
476	12125 22526	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|38RCVC|457DMG|6BELT|7BPWR|9RCR|aNUKE
477	12125 22621	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aBASICY
478	12125 22622	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aDUST
479	12125 22626	   	168.13	DCR|3DMG|2VULN|2CDMG	17VULN|27CDMG|3RCVC|457DMG|68BELT|7BPWR|9RCR|aNUKE
480	12241 62143	 * 	168.12	DCR|3VULN|1AART|2ZMB|1CDMG	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9aZMB
481	13413 32353	   	168.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	126VULN|3LHND|4ZMB|5ASPD|7CDMG|8RCR|9AART|aERES
482	15323 32353	   	168.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	146VULN|2ZMB|3LWND|5ASPD|7CDMG|8RCR|9AART|aERES
483	64323 32353	   	168.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|246VULN|3LWND|5ASPD|7CDMG|8RCR|9AART|aERES
484	61136 21163	   	168.10	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1ZMB|24AART|3LIT|5CDMG|6aVULN|7DUST|8RCR|9ASPD
485	13155 51221	   	167.99	ACR|4VULN|1DMG|1CDMG|1ASPD	1247VULN|3CGEN|5RCR|6ASPD|8FEWX|9DMG|aCDMG
486	13355 51221	   	167.99	ACR|4VULN|1DMG|1CDMG|1ASPD	1247VULN|3MLV|5RCR|6ASPD|8FEWX|9DMG|aCDMG
487	53523 21242	   	167.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|24VULN|3DMG|5ASPD|6AART|7CDMG|8LHND|9RCR|aBEXP
488	53523 21243	   	167.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|24VULN|3DMG|5ASPD|6AART|7CDMG|8LHND|9RCR|aLWND
489	53523 21342	   	167.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|24VULN|3DMG|5ASPD|6AART|7CDMG|8LWND|9RCR|aBEXP
490	53523 21343	   	167.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|24VULN|3DMG|5ASPD|6AART|7CDMG|8aLWND|9RCR
491	34133 36314	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	17DUST|27DMG|3aBEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9CGEN
492	34133 36315	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9CGEN|aLIT
493	34133 36333	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9aLIT
494	34133 36335	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9LIT|aLWND
495	34133 36353	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9RMIN|aDMSP
496	12345 34312	   	167.89	ACR|3DMG|1VULN|2CDMG|2DUR	1VULN|27CDMG|3LWND|4RCR|56DUR|89aDMG
497	34133 36311	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	17aDUST|27DMG|3BEXP|4DUR|5AART|67VULN|7BPWR|8RCR|9CGEN
