0	Index      	 *	Score 	Summary	Detail	
1	33216 32551	 * 	203.78	ACR|4VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|5ZMB|679aVULN|79BPWR|8RMIN
325	24433 31253	   	174.67	ACR|3DMG|1AART|1CDMG|1ZMB	1AART|27RCVC|3LIT|4RCR|568DMG|9CDMG|aZMB
326	23113 35354	   	174.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7FEWX|9VULN|aRCR
327	23313 31354	   	174.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3LWND|4BEXP|6ZMB|7DUR|9VULN|aRCR
328	23313 31554	   	174.62	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|259DMG|3LWND|4BEXP|6ZMB|7DUR|8VULN|aRCR
329	23113 32354	   	174.52	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7DUST|9VULN|aRCR
330	23113 32554	   	174.52	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|259DMG|3DUR|4BEXP|6ZMB|7DUST|8VULN|aRCR
331	23146 33632	 * 	174.43	DCR|2DMG|1AART|1VULN|3DUR|2ZMB	1AART|27DMG|367DUR|4RMIN|57ZMB|7BPWR|8TLV|9RCR|aVULN
332	33363 11434	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	18CGEN|2DMG|39aVULN|4ERES|5CDMG|6AART|7RCR
333	26631 31162	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2RMIN|36VULN|4DMSP|59DMG|7MLV|8RCR|aZMB
334	23252 32174	   	174.37	DCR|3DMG|2VULN|1AART	1AART|279DMG|3CGEN|47VULN|57MGNSTR|6MBVNT|7BPWR|8MLV|aRCR
335	23643 32633	   	174.37	DCR|3VULN|2DMG|1AART	1AART|27DMG|3MGNSTR|478VULN|57MLV|6MBVNT|7BPWR|9LWND|aRCR
336	33356 63121	   	174.32	ACR|4VULN|2DMG|1ASPD	1CGEN|26DMG|3579VULN|4RCR|8ASPD|aLIT
337	33356 63123	   	174.32	ACR|4VULN|2DMG|1ASPD	1CGEN|26DMG|3579VULN|4RCR|8ASPD|aMLV
338	26631 32162	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2RMIN|36VULN|4DMSP|59DMG|7ERES|8RCR|aZMB
339	23252 32574	   	174.27	DCR|3DMG|2VULN|1AART	1AART|279DMG|3CGEN|47VULN|57MGNSTR|6MBVNT|7BPWR|8ERES|aRCR
340	33214 43224	   	174.23	ACR|3DMG|1AART|1VULN|2DUR	16CGEN|25aDMG|3RCR|45DUR|5BPWR|7VULN|8BEXP|9AART
341	33356 63122	   	174.22	ACR|4VULN|2DMG|1ASPD	1CGEN|26DMG|3579VULN|4RCR|8ASPD|aCANSTR
342	33216 32422	   	174.22	ACR|2VULN|2DMG|3DUR|1ZMB|1ASPD	17CGEN|27DMG|3RCR|48aDUR|5ZMB|67VULN|7BPWR|9ASPD
343	21131 36322	   	174.21	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1AART|2aASPD|3aDUR|4DMSP|58DMG|6VULN|7RCR|9aMLV|aBPWR
344	21131 36522	   	174.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1AART|2aASPD|3aDUR|4DMSP|5DMG|68VULN|7RCR|9aMLV|aBPWR
345	23256 32174	   	174.17	DCR|3DMG|2VULN|1AART	1AART|279DMG|3CGEN|47VULN|57CANHEL|6MBVNT|7BPWR|8MLV|aRCR
346	26651 32131	   	174.13	DCR|3VULN|2AART|1DMG	19AART|2RMIN|346VULN|5DMG|7ERES|8RCR|aRCVC
347	33254 32351	   	174.10	ACR|3DMG|1AART|1VULN|1ZMB	1CGEN|289DMG|3RCR|4RMIN|5ZMB|6FEWX|7AART|aVULN
348	23134 34161	   	174.03	DCR|2VULN|2DMG|1AART|1DUR	1AART|29DMG|3DUR|4DMSP|57VULN|6aRCVC|8RCR
349	24332 51134	   	173.95	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|28RCVC|3ZMB|4CDMG|5BEXP|69aVULN|7RCR
350	53131 25142	 * 	173.87	ACR|3VULN|2AART|1CDMG|1ASPD	1RPLT|2ASPD|389VULN|4RCR|57AART|6FEWX|aCDMG
351	24253 11134	   	173.85	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|28RCVC|3DUST|49aVULN|5CDMG|6ZMB|7RCR
352	33456 32221	   	173.84	ACR|2VULN|2DMG|1AART|1ZMB	17CGEN|27DMG|3BEXP|4RCR|5ZMB|67VULN|7BPWR|8TLV|9AART|aRCVC
353	33216 32611	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	178CGEN|27DMG|3RCR|4DUR|5ZMB|679VULN|7BPWR|aLWND
354	33216 32614	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	178CGEN|27DMG|3RCR|4DUR|5ZMB|679VULN|7BPWR|aBEXP
355	33216 32615	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	178CGEN|27DMG|3RCR|4DUR|5ZMB|679VULN|7BPWR|aLIT
356	33216 32652	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	178CGEN|27DMG|3RCR|4DUR|5ZMB|67aVULN|7BPWR|9LHND
357	33216 32662	   	173.83	ACR|3VULN|2DMG|1ZMB|1DUR	178CGEN|27DMG|3RCR|4DUR|5ZMB|67aVULN|7BPWR|9FEWX
358	61253 11341	   	173.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|39VULN|4LEGI|5CDMG|6AART|7RCR|8FEWX|aDMG
