0	Index      	 *	Score 	Summary	Detail	
1	16114 33241	 * 	219.82	DCR|2VULN|2DMG|2ASPD|1AART|1DUR	1DUST|29VULN|3AART|4ERES|5DUR|69DMG|7CGEN|89ASPD|9BPWR|aRCR
309	22344 33224	   	191.67	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|8TLV|9DMG|aCANARM
310	22344 33225	   	191.67	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|8aTLV|9DMG
311	22322 54112	   	191.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|39VULN|4AAC|5LEGI|6RCR|7aDMG|8AME
312	22322 54622	   	191.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|39VULN|4AAC|5LEGI|6RCR|78DMG|aAME
313	22322 55612	   	191.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|39VULN|4AAC|5LEGI|6RCR|7RMIN|8aDMG
314	22325 12622	   	191.63	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|3VULN|4AAC|5DMG|6FEWX|7RCR|8LHND|9aAART
315	13133 16515	   	191.61	DCR|2AART|2ASPD|1VULN|1DMG	17DUST|2BEXP|34AART|57LWND|67ASPD|7BPWR|8VULN|9RCR|aDMG
316	22322 54621	   	191.54	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|39VULN|4AAC|5LEGI|6RCR|78DMG|aDUST
317	22322 54623	   	191.54	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1MSE	1ASPD|2ZMB|39VULN|4AAC|5LEGI|6RCR|78DMG|aMSE
318	16133 43215	   	191.51	DCR|2AART|2ASPD|1VULN|1DMG	1DUST|2VULN|34AART|5LWND|6BEXP|78ASPD|9RCR|aDMG
319	16133 63215	   	191.51	DCR|2AART|2ASPD|1VULN|1DMG	1DUST|2VULN|34AART|5LWND|6LHND|78ASPD|9RCR|aDMG
320	23533 51243	 * 	191.44	DCR|3VULN|1MDPS|2ASPD|1DUR|1SELL	15ASPD|2SELL|36LHND|468VULN|6BPWR|7RCR|9DUR|aMDPS
321	16133 23215	   	191.41	DCR|2AART|2ASPD|1VULN|1DMG	1DUST|2VULN|34AART|5LWND|6LEGI|78ASPD|9RCR|aDMG
322	26131 62522	   	191.39	DCR|3VULN|1ASPD|1CDMG|2DUR	1ASPD|2aDUR|347VULN|5TLV|6RCR|8BELT|9CDMG
323	23136 43728	   	191.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1SELL	1aASPD|2SELL|3MBVNT|4VULN|5ERES|6CDMG|7DMG|8AART|9RCR
324	66114 33112	   	191.28	DCR|2ASPD|1AART|1VULN|1CDMG|2ZMB	1LHND|27ASPD|3VULN|4aZMB|5AART|6RCR|8CDMG|9FEWX
325	22344 33112	   	191.28	DCR|2ASPD|1AART|1VULN|1CDMG|2ZMB	17ASPD|2aZMB|3VULN|4LHND|5AART|6RCR|8CDMG|9FEWX
326	13146 33241	   	191.13	DCR|2DMG|2ASPD|1AART|1VULN	1DUST|29BEXP|3AART|4TLV|5VULN|69DMG|7CGEN|89ASPD|9BPWR|aRCR
327	22325 42632	   	191.07	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB	1ASPD|2ZMB|3VULN|4AAC|5aDMG|6RCVC|7DUST|8AART|9RCR
328	26131 62242	   	190.99	DCR|4VULN|1ASPD|2DUR	1ASPD|29DUR|347aVULN|5TLV|6RCR|8CGEN
329	22352 33211	   	190.97	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|6LWND|7CDMG|8RCR|9RCVC|aAART
330	23532 26326	 * 	190.97	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1SELL	1ASPD|2SELL|3LHND|4aVULN|5MDPS|6RCR|78CDMG|9AART
331	22526 52323	 * 	190.93	DCR|2ASPD|3CDMG|1VULN|1DMG|1ZMB	15ASPD|2ZMB|378CDMG|45FEWX|5BPWR|6DMG|9VULN|aRCR
332	21336 26116	 * 	190.52	ACR|2VULN|1MDPS|2ASPD|1AART|3DUR|1CDMG	19ASPD|2MDPS|3RCR|4LHND|579DUR|6AART|89VULN|9BPWR|aCDMG
333	22326 51225	   	190.49	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5DUR|6RCR|7FEWX|8DMG|9AART|aMDPS
334	13136 34315	 * 	190.47	DCR|3DMG|2AART|1VULN	1DUST|2BEXP|34AART|57aDMG|6VULN|8LHND|9RCR
335	23132 45426	 * 	190.46	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG|2DUR|1SELL	18ASPD|2SELL|3MBVNT|4VULN|5MDPS|68CDMG|78DUR|8BPWR|9AART|aRCR
336	22322 52225	   	190.39	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5LEGI|6RCR|7DUR|8DMG|9AART|aMDPS
337	26341 42123	   	190.36	DCR|2VULN|2ASPD|1AART|1DUR	19ASPD|2DUR|3BELT|49VULN|5LIT|6RCR|7AELBLL|89FEWX|9BPWR|aAART
338	66133 51121	   	190.19	DCR|2VULN|2ASPD|2CDMG|1ZMB	16LHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8ZMB|aRPLT
339	66133 51122	   	190.19	DCR|2VULN|2ASPD|2CDMG|1ZMB	16aLHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8ZMB
340	22511 54111	 * 	190.10	DCR|3ZMB|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|246ZMB|3CDMG|5LHND|7VULN|8RCR|9DUR|aDMG
341	66133 51123	   	190.09	DCR|2VULN|2ASPD|2CDMG|1ZMB|1MSE	16LHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8ZMB|aMSE
342	15632 43112	   	190.06	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	19DUST|2MDPS|3AART|4LHND|5DMSP|6RCR|79ASPD|89VULN|9BPWR|aDUR
343	26143 63112	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|39aVULN|45CGEN|6RCR|7DMG|8FEWX
344	22352 12612	   	190.05	DCR|2VULN|2AART|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|69AART|7MLV|8RCR|aRPLT
345	22352 12613	   	190.05	DCR|2VULN|2AART|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|69AART|7MLV|8RCR|aBEXP
346	22352 12616	   	190.05	DCR|2VULN|2AART|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|69AART|7MLV|8RCR|aFEWX
347	22352 32231	   	190.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|6LWND|7AELBLL|8DMG|9AART|aRCR
348	23533 51235	 * 	190.02	DCR|3VULN|2ASPD|1CDMG|1SELL	15ASPD|2SELL|36LHND|468VULN|6BPWR|7RCR|9LIT|aCDMG
349	22325 12112	   	189.99	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|39aVULN|4AAC|5DMG|6FEWX|7RCR|8AME
350	23142 46838	   	189.96	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	18ASPD|2SELL|3MBVNT|4BELT|5CDMG|68VULN|78MLV|8BPWR|9AART|aRCR
351	26131 62161	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|347VULN|5TLV|6RCR|8LHND|9DMG|aFEWX
352	26131 63111	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8aFEWX
353	26131 63113	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8FEWX|aBEXP
354	26131 63143	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8FEWX|9MLV
355	26131 63222	   	189.96	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8MLV|aAME
356	26131 63223	   	189.96	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8MLV|aRMIN
357	26131 63233	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8MLV|9LHND
358	26131 63253	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8MLV|9BEXP
359	26131 63311	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LWND|aFEWX
360	26131 63316	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LWND|aLHND
361	26131 63343	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8LWND|9MLV
362	26131 63411	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LHND|aFEWX
363	26131 63622	   	189.96	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8RMIN|aAME
364	26131 63623	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8aRMIN
365	26131 64312	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7RMIN|8LWND|aDMG
366	26131 65112	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7BEXP|8MLV|aDMG
367	26131 65133	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7BEXP|8MLV|9DMG
368	26134 63111	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8aFEWX
369	26134 63113	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8FEWX|aBEXP
370	26134 63222	   	189.96	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8MLV|aAME
371	26134 63223	   	189.96	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8MLV|aRMIN
372	26134 63233	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5ERES|6RCR|7DMG|8MLV|9LHND
373	26134 63311	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8LWND|aFEWX
374	23533 51151	   	189.95	DCR|2VULN|2ASPD|1AART|1ZMB|1SELL	15ASPD|2SELL|36LHND|46VULN|6BPWR|7RCR|8ZMB|9MBVNT|aAART
375	22352 12614	   	189.95	DCR|2VULN|2AART|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|69AART|7MLV|8RCR|aERES
376	22352 12654	   	189.95	DCR|2VULN|2AART|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|6aAART|7MLV|8RCR|9MBVNT
377	22331 65431	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|38VULN|4RMIN|5TLV|6DMG|7SPLJET|9AART|aRCR
378	22312 36526	 * 	189.92	DCR|2DMG|1MDPS|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4DUR|5BEXP|6CDMG|7MDPS|8aDMG|9RCR
379	16315 63312	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|239VULN|4DUR|6RCR|7DMG|8LWND|aASPD
380	24311 63112	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|25ERES|39aVULN|4DUR|6RCR|7DMG|8FEWX
381	26131 62163	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|347VULN|5TLV|6RCR|8LHND|9DMG|aDUST
382	26131 63115	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR|1SELL	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8FEWX|aSELL
383	26131 63116	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8FEWX|aMSE
384	26131 63123	   	189.86	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8FEWX|9ERES
385	26131 63221	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8MLV|aDUST
386	26131 63224	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8MLV|aMSE
387	26131 63313	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LWND|aDUST
388	26131 63315	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LWND|aMSE
389	26131 63323	   	189.86	DCR|3VULN|1DMG|1ASPD|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8LWND|9ERES
390	26131 63413	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8LHND|aDUST
391	26131 63423	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|5TLV|6RCR|7DMG|8LHND|9ERES
392	26131 63511	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8DUST|aFEWX
393	26131 63621	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8RMIN|aDUST
394	26134 63122	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|34aVULN|59ERES|6RCR|7DMG|8FEWX
395	26134 63221	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8MLV|aDUST
396	26134 63313	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7DMG|8LWND|aDUST
397	22331 31231	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|36VULN|4RMIN|5TLV|7BASARM|8DMG|9AART|aRCR
398	26143 63132	   	189.82	DCR|2VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|3aVULN|45CGEN|6RCR|79DMG|8FEWX
399	26143 63312	   	189.82	DCR|2VULN|2DMG|1ASPD|1DUR	1ASPD|2DUR|39VULN|45CGEN|6RCR|7aDMG|8LWND
