0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51334 11383	1	 * 	274.06	DCR|5VULN|2DUR|1TLV	1267aVULN|34DUR|5TLV|8MBVNT|9RCR
357	53232 16333	6	   	244.10	DCR|3VULN|2DUR|2TLV	147VULN|2LWND|37DUR|57TLV|6RPLT|7BPWR|8LIT|9RCR|aDUST
358	53232 16521	6	   	244.10	DCR|3VULN|2DUR|2TLV	147VULN|2LWND|37DUR|57TLV|6RPLT|7BPWR|8BBNT|9LIT|aRCR
359	54322 16331	1	   	244.10	DCR|3VULN|2DUR|2TLV	16aVULN|2RPLT|3LIT|4LWND|56TLV|6BPWR|78DUR|9RCR
360	55121 33132	8	   	244.10	DCR|3VULN|2DUR|1DMG	148VULN|2LIT|36DUR|5BEXP|7DMG|9LHND|aRCR
361	55122 23125	10	   	244.10	DCR|3VULN|2DUR|1DMG	148VULN|2LIT|3aDUR|5RCVC|6RCR|7DMG|9CGEN
362	55122 23152	9	   	244.10	DCR|3VULN|2DUR|1DMG	148VULN|2LIT|3aDUR|5RCVC|6RCR|7DMG|9LWND
363	55122 23162	9	   	244.10	DCR|3VULN|2DUR|1DMG	148VULN|2LIT|3aDUR|5RCVC|6RCR|7DMG|9BEXP
364	64121 23112	10	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|58aVULN|6RCR|7DMG|9RPLT
365	64121 23112	8	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|589VULN|6RCR|7DMG|aLHND
366	64121 23115	8	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|589VULN|6RCR|7DMG|aZMB
367	64121 23116	8	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|589VULN|6RCR|7DMG|aRPLT
368	64121 23126	10	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|58aVULN|6RCR|7DMG|9CGEN
369	64121 23134	8	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|4RCVC|58aVULN|6RCR|7DMG|9LHND
370	64142 23112	10	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|48aVULN|5RCVC|6RCR|7DMG|9RPLT
371	64142 23112	8	   	244.10	DCR|3VULN|2DUR|1DMG	1LIT|23DUR|489VULN|5RCVC|6RCR|7DMG|aLHND
372	53132 11616	8	   	244.09	DCR|3VULN|1DMG|2CDMG|1ASPD|1SELL	169VULN|2LWND|3ASPD|4SELL|56CDMG|6BPWR|7DMG|8LIT|aRCR
373	53132 11636	7	   	244.09	DCR|3VULN|1DMG|2CDMG|1ASPD|1SELL	168VULN|2LWND|3ASPD|4SELL|56CDMG|6BPWR|7DMG|9LIT|aRCR
