0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12261 33225	8	 * 	276.22	DCR|4VULN|3DUR|2LIT|1AART	1LEGI|2379VULN|49LIT|5AART|6RCR|89aDUR|9BPWR
341	31354 22135	1	   	246.92	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1ERES|256VULN|3DUR|4AART|7DMG|8RCR|9BBNT|aTLV
342	32354 22135	2	   	246.92	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1ERES|256VULN|3DUR|4AART|7DMG|8RCR|9BBNT|aTLV
343	12213 61162	9	   	246.92	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LEGI|23aVULN|4TLV|5DLOT|6AART|7DUR|8DMG|9RCR
344	32315 71832	6	   	246.84	DCR|5VULN|1DMG	13ERES|2467aVULN|5MBVNT|8RCR|9DMG
345	12211 54332	2	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	1LEGI|269VULN|3ERES|4RCVC|59LIT|79DUR|8RCR|9BPWR|aTLV
346	12261 33322	9	   	246.83	DCR|4VULN|2AART|1CDMG	1LEGI|237aVULN|4LIT|59AART|6RCR|8CDMG
347	12261 33332	8	   	246.83	DCR|4VULN|2AART|1CDMG	1LEGI|237aVULN|4LIT|59AART|6RCR|8CDMG
348	12261 33265	8	   	246.83	DCR|3VULN|3DUR|1AART	1LEGI|237VULN|4LIT|5AART|6RCR|89aDUR
349	12215 11463	9	   	246.81	DCR|4VULN|2TLV|1ASPD	1LEGI|235aVULN|45TLV|5BPWR|6ASPD|7FEWX|8LIT|9RCR
350	21251 54331	3	   	246.78	DCR|4VULN|2DUR	19LWND|2369VULN|4ERES|5LIT|79DUR|8RCR|9BPWR|aFEWX
351	21264 24331	6	   	246.78	DCR|4VULN|2DUR	19LWND|2369VULN|4LIT|5ERES|79DUR|8RCR|9BPWR|aFEWX
352	21211 54333	2	   	246.78	DCR|4VULN|2DUR	19LWND|269aVULN|3ERES|4RCVC|5LIT|79DUR|8RCR|9BPWR
353	24211 54333	1	   	246.78	DCR|4VULN|2DUR	19LWND|269aVULN|3ERES|4RCVC|5LIT|79DUR|8RCR|9BPWR
354	31231 34333	1	   	246.78	DCR|4VULN|2DUR	19ERES|269aVULN|3LIT|47DUR|569FEWX|69BPWR|8RCR
355	32231 34333	2	   	246.78	DCR|4VULN|2DUR	19ERES|269aVULN|3LIT|47DUR|569FEWX|69BPWR|8RCR
356	51211 54333	2	   	246.78	DCR|4VULN|2DUR	19LHND|269aVULN|3ERES|4RCVC|5LIT|79DUR|8RCR|9BPWR
357	12251 34332	3	   	246.74	DCR|3VULN|2DUR|1TLV|2LIT	1LEGI|239VULN|46ERES|59LIT|79DUR|8RCR|9BPWR|aTLV
358	12215 12462	9	   	246.71	DCR|4VULN|2TLV|1ASPD	1LEGI|235aVULN|45TLV|5BPWR|6ASPD|7DUST|8LIT|9RCR
359	21243 53312	10	   	246.68	DCR|4VULN|2DUR	1LWND|2369VULN|47DUR|5BEXP|8RCR|aLIT
360	21243 53332	8	   	246.68	DCR|4VULN|2DUR	1LWND|236aVULN|47DUR|5BEXP|8RCR|9LIT
361	21243 53352	9	   	246.68	DCR|4VULN|2DUR	1LWND|236aVULN|47DUR|5BEXP|8RCR|9LIT
362	21251 34333	3	   	246.68	DCR|4VULN|2DUR	19LWND|239aVULN|46ERES|5LIT|79DUR|8RCR|9BPWR
363	21264 34333	5	   	246.68	DCR|4VULN|2DUR	19LWND|239aVULN|4LIT|56ERES|79DUR|8RCR|9BPWR
364	51243 53312	10	   	246.68	DCR|4VULN|2DUR	1LHND|2369VULN|47DUR|5BEXP|8RCR|aLIT
365	51243 53332	8	   	246.68	DCR|4VULN|2DUR	1LHND|236aVULN|47DUR|5BEXP|8RCR|9LIT
366	51251 34333	3	   	246.68	DCR|4VULN|2DUR	19LHND|239aVULN|46ERES|5LIT|79DUR|8RCR|9BPWR
367	31111 54333	1	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3BEXP|4RCVC|5LIT|79DUR|8RCR|9BPWR
368	31131 54333	1	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|34BEXP|5LIT|79DUR|8RCR|9BPWR
369	31411 54333	1	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3LHND|4RCVC|5LIT|79DUR|8RCR|9BPWR
370	32111 54333	2	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3BEXP|4RCVC|5LIT|79DUR|8RCR|9BPWR
371	32131 54333	2	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|34BEXP|5LIT|79DUR|8RCR|9BPWR
372	32221 54333	3	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3DMSP|4LWND|5LIT|79DUR|8RCR|9BPWR
373	32251 54333	4	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3DMSP|4LHND|5LIT|79DUR|8RCR|9BPWR
374	32254 24333	6	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3DMSP|4LHND|5LIT|79DUR|8RCR|9BPWR
375	32411 54333	2	   	246.68	DCR|4VULN|2DUR	19ERES|269aVULN|3LHND|4RCVC|5LIT|79DUR|8RCR|9BPWR
376	12243 53312	10	   	246.58	DCR|4VULN|2DUR	1LEGI|2369VULN|47DUR|5BEXP|8RCR|aLIT
377	12243 53332	8	   	246.58	DCR|4VULN|2DUR	1LEGI|236aVULN|47DUR|5BEXP|8RCR|9LIT
378	12243 53352	9	   	246.58	DCR|4VULN|2DUR	1LEGI|236aVULN|47DUR|5BEXP|8RCR|9LIT
379	12264 24331	6	   	246.58	DCR|4VULN|2DUR	1LEGI|2369VULN|4LIT|59ERES|79DUR|8RCR|9BPWR|aFEWX
380	21242 63313	5	   	246.58	DCR|4VULN|2DUR	1LWND|236aVULN|49DUR|5ERES|7LIT|8RCR
381	21251 54313	3	   	246.58	DCR|4VULN|2DUR	1LWND|236aVULN|4ERES|5LIT|79DUR|8RCR
382	21255 63313	3	   	246.58	DCR|4VULN|2DUR	1LWND|236aVULN|4ERES|59DUR|7LIT|8RCR
383	21264 24313	6	   	246.58	DCR|4VULN|2DUR	1LWND|236aVULN|4LIT|5ERES|79DUR|8RCR
384	12251 54313	3	   	246.48	DCR|4VULN|2DUR	1LEGI|236aVULN|4ERES|5LIT|79DUR|8RCR
385	12264 24313	6	   	246.48	DCR|4VULN|2DUR	1LEGI|236aVULN|4LIT|5ERES|79DUR|8RCR
386	12125 61325	10	 * 	246.44	DCR|2VULN|2DMG|2DUR|2CDMG	1LEGI|28VULN|38CDMG|45DMG|6DUST|78DUR|8BPWR|9LWND|aRCR
387	15263 27133	7	   	246.44	DCR|2VULN|2DMG|2DUR|2CDMG	1LEGI|2aDUR|39VULN|4aDMG|5MBVNT|6aCDMG|7RCR|8RMIN|aBPWR
388	23265 42221	5	   	246.40	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	17LWND|2DUR|37VULN|47DMG|5RPLT|6AART|7BPWR|8RCR|9CDMG|aASPD
389	13343 15622	8	 * 	246.34	DCR|2VULN|2DMG|2DUR|2TLV	1LEGI|2aTLV|3aERES|46DUR|58DMG|7RCR|9aVULN|aBPWR
390	12126 11325	8	 * 	246.24	DCR|3VULN|2ASPD|1DMG|2CDMG	1LEGI|258VULN|38CDMG|4DMG|6ZMB|78ASPD|8BPWR|9FEWX|aRCR
391	12126 11325	9	   	246.24	DCR|3VULN|2ASPD|1DMG|2CDMG	1LEGI|258VULN|38CDMG|4DMG|6ZMB|78ASPD|8BPWR|9BEXP|aRCR
392	12126 11345	9	   	246.24	DCR|3VULN|2ASPD|1DMG|2CDMG	1LEGI|258VULN|38CDMG|4DMG|6ZMB|78ASPD|8BPWR|9FEWX|aRCR
