0	Index      	 *	Score 	Summary	Detail	
1	24256 32211	 * 	222.06	DCR|4VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD
323	13323 56512	   	192.76	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|26DMG|3FEWX|49VULN|5ASPD|7LHND|8RCR|aDUR
324	13326 43512	   	192.76	DCR|2VULN|2DMG|1ASPD|1DUR	1RMIN|26DMG|3FEWX|49VULN|5BEXP|7ASPD|8RCR|aDUR
325	12515 22234	   	192.71	DCR|4VULN|1DMG|1ZMB	1RMIN|2DUST|358aVULN|4ZMB|6LIT|7RCR|9DMG
326	11642 12235	   	192.71	DCR|2VULN|2DMG|2CDMG|2RMIN	16RMIN|2RPLT|3aDMG|4aVULN|5DMSP|7RCR|8RCVC|9aCDMG|aBPWR
327	14612 32633	   	192.70	DCR|4VULN|2ASPD	1RMIN|27ASPD|3AME|4BELT|57ERES|678aVULN|7BPWR|9RCR
328	11223 23245	   	192.68	DCR|2ASPD|1VULN|2CDMG|1DMG|1DUR	1RMIN|2RPLT|3aCDMG|4VULN|57ASPD|6DMG|8RCR|9DUR
329	24254 11232	   	192.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6MBVNT|7DUR|8RCR|9CANSTR|aSPLREG
330	32123 56511	   	192.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|49VULN|5ASPD|7LHND|8RCR|aERES
331	32123 56513	   	192.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|49VULN|5ASPD|7LHND|8RCR|aDUST
332	32126 43511	   	192.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|49VULN|5BEXP|7ASPD|8RCR|aERES
333	32126 43513	   	192.66	DCR|2VULN|2DMG|1ASPD|1DUR	1DUR|26DMG|3RMIN|49VULN|5BEXP|7ASPD|8RCR|aDUST
334	14221 62532	   	192.55	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1RMIN|2ASPD|3ZMB|4LWND|5CDMG|6aDMG|7RCR|8VULN|9ERES
335	13513 52251	   	192.53	DCR|3VULN|2DMG|1DUR	1RMIN|29DMG|3DUR|4LIT|568VULN|7RCR|aBEXP
336	13513 62214	   	192.53	DCR|3VULN|2DMG|1DUR	1RMIN|26DMG|3DUR|4LIT|58aVULN|7RCR|9AME
337	32113 52251	   	192.53	DCR|3VULN|2DMG|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aBEXP
338	32113 52254	   	192.53	DCR|3VULN|2DMG|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aFEWX
339	32113 52256	   	192.53	DCR|3VULN|2DMG|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aRPLT
340	32113 62214	   	192.53	DCR|3VULN|2DMG|1DUR	1DUR|26DMG|3RMIN|4LIT|58aVULN|7RCR|9AME
341	11643 12134	   	192.45	DCR|3VULN|1DMG|1CDMG|1DUR|2RMIN	16RMIN|2RPLT|3DMG|45aVULN|7RCR|8DUR|9CDMG
342	13613 13415	 * 	192.45	DCR|2AART|2DMG|1ASPD|1DUR	1RMIN|29DMG|3AME|4BELT|5ASPD|6RCR|7DUR|8aAART
343	32113 52255	   	192.43	DCR|3VULN|2DMG|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aDUST
344	13115 13415	   	192.35	DCR|2AART|2DMG|1ASPD|1DUR	1RMIN|29DMG|3ERES|4BELT|5ASPD|6RCR|7DUR|8aAART
345	11643 63322	   	192.35	DCR|3DMG|2VULN|1DUR	1RMIN|2RPLT|37aDMG|45VULN|6RCR|8CGEN|9DUR
346	31232 32642	   	192.32	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2RCVC|3ZMB|468VULN|5ASPD|7BELT|9CDMG|aRCR
347	24236 32226	   	192.24	DCR|3VULN|1AART|1DMG|1DUR	1DMSP|2DMG|346VULN|5RCVC|7DUR|8RCR|9CGEN|aAART
348	35322 38741	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LHND|3MBVNT|4LWND|59VULN|6RCR|7DMG|8CDMG|aAART
