0	Index      	 *	Score 	Summary	Detail	
1	51444 37413	 * 	222.63	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|25aVULN|3RMIN|48AART|6CDMG|7RCR|9DMG
322	51444 37341	   	192.95	DCR|2VULN|2AART|1CDMG|1DUR	1MBVNT|25VULN|3RMIN|49AART|6CDMG|7RCR|8DUR|aERES
323	51444 37342	   	192.95	DCR|2VULN|2AART|1CDMG|1DUR|1MSE	1MBVNT|25VULN|3RMIN|49AART|6CDMG|7RCR|8DUR|aMSE
324	51444 37344	   	192.95	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1MBVNT|25VULN|3RMIN|49AART|6CDMG|7RCR|8DUR|aSELL
325	51444 24144	   	192.89	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6LHND|8ASPD|9ZMB|aRCR
326	51444 62144	   	192.89	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|46AART|7LHND|8ASPD|9ZMB|aRCR
327	51132 32177	   	192.88	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|28VULN|357FEWX|48DUR|68DMG|8BPWR|9RCR|aAART
328	54343 33317	   	192.80	DCR|2ASPD|3CDMG|1VULN|1DMG|1DUR	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7VULN|8RCR|9LIT|aDUR
329	54343 33346	   	192.80	DCR|2ASPD|3CDMG|1VULN|1DMG|1DUR	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7VULN|8RCR|9LWND|aDUR
330	51741 25133	   	192.78	DCR|3ASPD|2VULN|1AART	1MBVNT|2aVULN|3TLV|4AART|58aLWND|69aASPD|7RCR|aBPWR
331	54348 43841	   	192.73	DCR|2ASPD|3CDMG|1VULN|1DMG|1ZMB	1MBVNT|24aCDMG|34ASPD|4BPWR|5ZMB|6LEGI|7DMG|8VULN|9RCR
332	51426 72222	   	192.73	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MBVNT|2VULN|3RMIN|4RPLT|5aAART|6CDMG|7RCR|8DMG|9DUR
333	54343 63364	   	192.70	DCR|2ASPD|3CDMG|1VULN|1DMG|1AAC|1DUR	1MBVNT|245CDMG|34ASPD|4BPWR|6AAC|7VULN|8RCR|9DMG|aDUR
