0	Index      	 *	Score 	Summary	Detail	
1	15533 31236	 * 	193.81	DCR|3VULN|3DMG|3ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|789ZMB|aRCR
345	11211 66433	   	166.14	ACR|2VULN|2DMG|1AART	1RCVC|29FEWX|3TLV|4RCR|59DMG|69VULN|7BELT|8AART|9BPWR|aLIT
346	34222 14623	   	166.12	DCR|2AART|2VULN|1DMG|1CDMG	13AART|25LHND|4CDMG|68VULN|7FEWX|9DMG|aRCR
347	34222 25623	   	166.12	DCR|2AART|2VULN|1DMG|1CDMG	13AART|25LHND|4CDMG|6FEWX|78VULN|9DMG|aRCR
348	34532 21623	   	166.12	DCR|2AART|2VULN|1DMG|1CDMG	15AART|24LHND|38VULN|6FEWX|7CDMG|9DMG|aRCR
349	34542 21123	   	166.12	DCR|2AART|2VULN|1DMG|1CDMG	15AART|28LHND|34VULN|6FEWX|7CDMG|9DMG|aRCR
350	31242 12142	   	166.12	DCR|3VULN|1AART|1FLTHEA|1CDMG	1AART|2TLV|38aVULN|4CDMG|5RMIN|6ERES|7FLTHEA|9RCR
351	36216 33241	   	166.10	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1AART|2ZMB|39VULN|4DUST|5BEXP|6CDMG|7FLTHEA|8ASPD|aRCR
352	31254 31216	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|35aVULN|4RPLT|6RCR|7FEWX|8ERES|9DMG
353	31254 32211	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9DMG|aMBVNT
354	31254 32213	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|9DMG|aERES
355	31254 33432	   	166.08	DCR|3VULN|1AART|2CDMG	1AART|2TLV|35aVULN|4RPLT|6RCR|78CDMG|9LIT
356	31254 35111	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|357VULN|4RPLT|6RCR|8LWND|9DMG|aMBVNT
357	31254 35113	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|357VULN|4RPLT|6RCR|8LWND|9DMG|aERES
358	31654 32211	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|3RPLT|458VULN|6RCR|7BEXP|9DMG|aMBVNT
359	31654 32213	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2TLV|3RPLT|458VULN|6RCR|7BEXP|9DMG|aERES
360	32141 51318	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2BEXP|3DUST|489VULN|5CGEN|6RCR|7MBVNT|aDMG
361	33344 33262	   	166.08	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4CGEN|6RCR|7aCDMG|89aERES|aBPWR
362	33344 33421	   	166.08	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4CGEN|6RCR|78CDMG|9ERES
363	33354 33262	   	166.08	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4MLV|6RCR|7aCDMG|89aERES|aBPWR
364	33354 33421	   	166.08	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|35aVULN|4MLV|6RCR|78CDMG|9ERES
365	33654 32211	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2RPLT|3TLV|458VULN|6RCR|7BEXP|9DMG|aMBVNT
366	33654 32213	   	166.08	DCR|3VULN|1AART|1DMG	1AART|2RPLT|3TLV|458VULN|6RCR|7BEXP|9DMG|aERES
367	32221 36413	   	166.07	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|27BEXP|3DMSP|4CDMG|57aVULN|67DUST|7BPWR|8RCR|9ZMB
368	32542 11413	   	166.07	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2BEXP|34aVULN|5DMSP|6LWND|7CDMG|8RCR|9ZMB
369	31232 63316	   	166.06	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9MLV|aRCVC
370	31232 63346	   	166.06	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9CGEN|aRCVC
371	31511 31562	   	166.03	ACR|2VULN|2DMG|1AART	1AART|29TLV|35ERES|4RCR|69DMG|7RMIN|89VULN|9BPWR|aBEXP
372	31511 31563	   	166.03	ACR|2VULN|2DMG|1AART	1AART|29TLV|35ERES|4RCR|69DMG|7RMIN|89VULN|9BPWR|aFEWX
373	31513 25126	   	166.03	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|7aVULN|8FEWX
374	31513 25212	   	166.03	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|78VULN|aLIT
375	31513 25316	   	166.03	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|7aVULN|8CGEN
376	31513 22226	   	166.03	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|7BEXP|8aVULN
377	34222 13623	   	166.02	DCR|2AART|2VULN|1DMG|1CDMG	13AART|25LHND|4CDMG|68VULN|7DUST|9DMG|aRCR
378	31254 33212	   	165.98	DCR|3VULN|1AART|2CDMG	1AART|2aTLV|359VULN|4RPLT|6RCR|7aCDMG|8aERES|aBPWR
379	31254 33421	   	165.98	DCR|3VULN|1AART|2CDMG	1AART|2TLV|35aVULN|4RPLT|6RCR|78CDMG|9ERES
380	31654 33212	   	165.98	DCR|3VULN|1AART|2CDMG	1AART|2aTLV|3RPLT|459VULN|6RCR|7aCDMG|8aERES|aBPWR
381	33654 33212	   	165.98	DCR|3VULN|1AART|2CDMG	1AART|2RPLT|3aTLV|459VULN|6RCR|7aCDMG|8aERES|aBPWR
382	31223 51415	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|35aVULN|45FEWX|5BPWR|6ERES|7CDMG|8RCR|9ZMB
383	31233 16415	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5CDMG|6BEXP|7CGEN|8RCR|9ZMB
384	31233 64413	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5CDMG|6RMIN|7FEWX|8RCR|9ZMB
385	31233 65413	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5CDMG|6RMIN|7LHND|8RCR|9ZMB
386	31233 66413	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5CDMG|6RMIN|7LWND|8RCR|9ZMB
387	36232 43232	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|34aVULN|5LSRICY|6ERES|7CGEN|8RCR|9CDMG
388	12332 53511	   	165.96	DCR|4VULN|1AART|1DUR	1RCVC|2LHND|35CGEN|459aVULN|5BPWR|6AART|7RCR|8DUR
389	31513 23227	   	165.93	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|7MBVNT|8aVULN
390	31513 25213	   	165.93	ACR|2VULN|2DMG|1AART	1AART|2aTLV|3ERES|4RCR|5RPLT|69DMG|78VULN
391	31513 25216	   	165.93	ACR|2VULN|2DMG|1AART	1AART|2TLV|3aERES|4RCR|5RPLT|69DMG|78VULN
392	31513 26226	   	165.93	ACR|2VULN|2DMG|1AART	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|7DUST|8aVULN
393	31222 26541	   	165.92	DCR|3VULN|1AART|2CDMG|1DUR	1AART|28TLV|368VULN|4FEWX|5LSRICY|78CDMG|8BPWR|9RCR|aDUR
394	31236 61125	   	165.92	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|348VULN|5LIT|6RMIN|7ASPD|9RCR|aDMG
395	15436 33131	   	165.90	ACR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|8FEWX|9DUR|aAART
396	31233 36415	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5CDMG|6LEGI|7CGEN|8RCR|9ZMB
397	36232 42252	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|34aVULN|5LSRICY|6ERES|7TLV|8RCR|9CDMG
398	31231 51415	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5LWND|6ERES|7CDMG|8RCR|9ZMB
399	31234 11415	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5ERES|6LWND|7CDMG|8RCR|9ZMB
400	31234 21415	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|34aVULN|5ERES|6FEWX|7CDMG|8RCR|9ZMB
401	32143 41413	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2BEXP|35DUST|46aVULN|7CDMG|8RCR|9ZMB
402	32333 51415	   	165.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2BEXP|35TLV|45aVULN|5BPWR|6ERES|7CDMG|8RCR|9ZMB
403	31212 26541	   	165.82	DCR|3VULN|1AART|2CDMG|1DUR	1AART|28TLV|368VULN|4DUST|5LSRICY|78CDMG|8BPWR|9RCR|aDUR
404	31236 31125	   	165.82	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|348VULN|5LIT|6ERES|7ASPD|9RCR|aDMG
405	31244 22142	   	165.82	DCR|3VULN|1AART|2CDMG|1DUR	1AART|2TLV|38aVULN|46CDMG|5DUR|7MGNSTR|9RCR
406	15211 12651	   	165.79	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|25DMG|3FEWX|4RCR|6BEXP|7ZMB|8VULN|9AART|aASPD
407	16311 53632	   	165.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2aVULN|3CGEN|4RCR|5DMG|6ZMB|7DUR|8LWND|9AART
408	16312 14611	 * 	165.78	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35CGEN|4RCR|5BPWR|6BEXP|7AART|8DUR
409	16312 44111	   	165.78	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35CGEN|4RCR|5BPWR|6DUR|7AART|8LHND
410	16312 44211	   	165.78	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35CGEN|4RCR|5BPWR|6DUR|7AART|8FEWX
411	31213 51415	   	165.77	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|35aVULN|45DUST|5BPWR|6ERES|7CDMG|8RCR|9ZMB
412	31333 51415	   	165.77	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|25TLV|3LEGI|45aVULN|5BPWR|6ERES|7CDMG|8RCR|9ZMB
413	15533 12631	   	165.77	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|23DMG|48VULN|5MBVNT|6BEXP|7RCR|9CDMG|aZMB
414	12232 53511	   	165.76	DCR|4VULN|1AART|1DUR	1RCVC|2LHND|35TLV|459aVULN|5BPWR|6AART|7RCR|8DUR
415	16211 53632	   	165.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2aVULN|3TLV|4RCR|5DMG|6ZMB|7DUR|8LWND|9AART
416	16312 44321	   	165.68	ACR|4VULN|1AART|1DUR	1RCVC|258aVULN|35CGEN|4RCR|5BPWR|6DUR|7AART|9DUST
417	36242 21126	   	165.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2ZMB|3VULN|4CDMG|5RMIN|6LIT|79DMG|8LHND|aRCR
418	16212 14611	   	165.58	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35TLV|4RCR|5BPWR|6BEXP|7AART|8DUR
419	16212 44111	   	165.58	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35TLV|4RCR|5BPWR|6DUR|7AART|8LHND
420	16212 44211	   	165.58	ACR|4VULN|1AART|1DUR	1RCVC|259aVULN|35TLV|4RCR|5BPWR|6DUR|7AART|8FEWX
421	16211 26633	   	165.54	ACR|2VULN|2DMG|1AART	1RCVC|2aVULN|3TLV|4RCR|5aDMG|6LWND|7LHND|8aLSRICY|9AART|aBPWR
422	36231 34121	   	165.52	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|57LWND|6BELT|7BPWR|9RCR|aBEXP
423	36231 34123	   	165.52	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|57aLWND|6BELT|7BPWR|9RCR
424	36231 34124	   	165.52	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|57LWND|6BELT|7BPWR|9RCR|aLIT
425	16212 44321	   	165.48	ACR|4VULN|1AART|1DUR	1RCVC|258aVULN|35TLV|4RCR|5BPWR|6DUR|7AART|9DUST
426	16311 62432	   	165.44	ACR|2VULN|2DMG|1AART	1RCVC|26VULN|37CGEN|4RCR|58DMG|9AART|aMLV
427	16311 62433	   	165.44	ACR|2VULN|2DMG|1AART	1RCVC|26VULN|37aCGEN|4RCR|58DMG|9AART
428	36231 34126	   	165.42	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|57LWND|6BELT|7BPWR|9RCR|aDUST
429	15533 34624	   	165.32	DCR|3VULN|3DMG	1RCVC|236DMG|468VULN|5MBVNT|6BPWR|7DMSP|9FEWX|aRCR
430	36235 34121	   	165.32	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|5LEGI|6BELT|7BPWR|9RCR|aBEXP
431	36235 34123	   	165.32	DCR|3VULN|2AART|2ZMB	18AART|27ZMB|347VULN|5LEGI|6BELT|7BPWR|9RCR|aLWND
432	34235 63311	   	165.21	DCR|3VULN|2AART|1DUR	13AART|2LHND|4RCVC|5ERES|6DUR|7RCR|89aVULN
433	16311 53522	   	165.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|28VULN|3CGEN|4RCR|5DMG|6ZMB|7DUR|9BEXP|aAART
434	11311 53522	   	165.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2FEWX|3CGEN|4RCR|59DMG|6ZMB|7DUR|8VULN|aAART
435	12311 53524	   	165.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2LHND|3CGEN|4RCR|59DMG|6ZMB|7DUR|8VULN|aAART
436	12332 53154	   	165.18	DCR|3VULN|1AART|1DMG	1RCVC|289LHND|359CGEN|459VULN|59BPWR|6AART|7RCR|aDMG
437	15216 23263	   	165.18	ACR|3VULN|1AART|1DMG|2RCVC	16RCVC|2DMG|3FEWX|4RCR|5AIRHEA|789VULN|aAART
438	34213 36311	   	165.13	ACR|3VULN|2AART|1DUR	13AART|2LHND|4RCR|5CGEN|6RCVC|7DUR|89aVULN
439	36233 25623	   	165.12	DCR|3VULN|1AART|2ZMB|1CDMG	1AART|27ZMB|345VULN|6BEXP|8CDMG|9LHND|aRCR
440	36233 35623	   	165.12	DCR|3VULN|1AART|2ZMB|1CDMG	1AART|27ZMB|345VULN|6FEWX|8CDMG|9LHND|aRCR
441	15141 53122	   	165.11	ACR|3DMG|2CDMG|2DUR|1ZMB	17RCVC|25aDMG|3DMSP|4RCR|5aBPWR|6ZMB|8aCDMG|9aDUR
442	11211 53522	   	165.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2FEWX|3TLV|4RCR|59DMG|6ZMB|7DUR|8VULN|aAART
443	12211 53524	   	165.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2LHND|3TLV|4RCR|59DMG|6ZMB|7DUR|8VULN|aAART
444	16211 53522	   	165.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|28VULN|3TLV|4RCR|5DMG|6ZMB|7DUR|9BEXP|aAART
445	16311 53122	   	165.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2VULN|3CGEN|4RCR|59DMG|6ZMB|7DUR|8DUST|aAART
446	16311 53322	   	165.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2VULN|3CGEN|4RCR|59DMG|6ZMB|7DUR|8MBVNT|aAART
447	31512 61211	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28TLV|38ERES|4RCR|5LWND|6ASPD|789aVULN|8BPWR
448	31512 61212	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28aTLV|38aERES|4RCR|5LWND|6ASPD|789aVULN|8aBPWR
449	31514 11211	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28TLV|38ERES|4RCR|5ASPD|6LWND|789aVULN|8BPWR
450	31514 11212	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28aTLV|38aERES|4RCR|5ASPD|6LWND|789aVULN|8aBPWR
451	31514 61211	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28TLV|38ERES|4RCR|5ASPD|6BEXP|789aVULN|8BPWR
452	31514 61212	   	165.08	ACR|4VULN|1AART|1ASPD	1AART|28aTLV|38aERES|4RCR|5ASPD|6BEXP|789aVULN|8aBPWR
453	63611 33361	   	165.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	13FEWX|25DMG|4RCR|6MGNLIT|7VULN|8AART|9CDMG|aDUR
454	15436 31213	   	165.03	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	19RCVC|2DMG|3RCR|4CDMG|5VULN|6ASPD|7ZMB|8ERES|aAART
455	34211 36311	   	165.03	ACR|3VULN|2AART|1DUR	13AART|2LHND|4RCR|5ERES|6RCVC|7DUR|89aVULN
456	36233 15623	   	165.02	DCR|3VULN|1AART|2ZMB|1CDMG	1AART|27ZMB|345VULN|6DUST|8CDMG|9LHND|aRCR
457	16211 53122	   	164.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2VULN|3TLV|4RCR|59DMG|6ZMB|7DUR|8DUST|aAART
458	16211 53322	   	164.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2VULN|3TLV|4RCR|59DMG|6ZMB|7DUR|8MBVNT|aAART
459	16311 13533	   	164.98	ACR|3VULN|1AART|1DMG	17RCVC|289VULN|3CGEN|4RCR|5DMG|6RPLT|aAART
460	16311 63633	   	164.98	ACR|3VULN|1AART|1DMG	17RCVC|269VULN|3CGEN|4RCR|5DMG|8RPLT|aAART
461	31514 21211	   	164.98	ACR|4VULN|1AART|1ASPD	1AART|28TLV|38ERES|4RCR|5ASPD|6DUST|789aVULN|8BPWR
462	31514 21212	   	164.98	ACR|4VULN|1AART|1ASPD	1AART|28aTLV|38aERES|4RCR|5ASPD|6DUST|789aVULN|8aBPWR
463	34523 13511	   	164.96	DCR|4VULN|1AART|1DUR	1AART|26LHND|359aVULN|45MLV|5BPWR|7RCR|8DUR
464	34633 13511	   	164.96	DCR|4VULN|1AART|1DUR	1AART|26LHND|35MLV|459aVULN|5BPWR|7RCR|8DUR
465	15215 33215	   	164.94	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|35FEWX|4RCR|5BPWR|6MGNLIT|78VULN|9LIT|aAART
466	15215 33253	   	164.94	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|35FEWX|4RCR|5BPWR|6MGNLIT|78VULN|9LWND|aAART
467	34214 11412	   	164.91	ACR|2AART|2VULN|1ZMB|1ASPD|1DUR	13AART|2LHND|4RCR|5ASPD|6LWND|79VULN|8DUR|aZMB
468	36232 26141	   	164.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|348VULN|5LSRICY|6LEGI|7CDMG|9RCR|aRCVC
469	15211 33215	   	164.84	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|3FEWX|4RCR|6MGNLIT|78VULN|9LIT|aAART
470	15211 33253	   	164.84	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|3FEWX|4RCR|6MGNLIT|78VULN|9LWND|aAART
471	16211 42335	   	164.84	ACR|2VULN|2DMG|1AART	1RCVC|29VULN|3TLV|4RCR|59DMG|6LIT|7ERES|89CGEN|9BPWR|aAART
472	15211 33563	   	164.84	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|38FEWX|4RCR|6MGNLIT|79VULN|aAART
473	34214 21412	   	164.81	ACR|2AART|2VULN|1ZMB|1DUR|1ASPD	13AART|2LHND|4RCR|5ASPD|6DUST|79VULN|8DUR|aZMB
474	31232 23116	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8LHND|aDUR
475	31232 23516	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8LWND|aDUR
476	31232 23615	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8DUR|aRPLT
477	31232 33116	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8LHND|aDUR
478	31232 33212	   	164.76	DCR|4VULN|1AART|1ASPD	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8BELT|aASPD
479	31232 33516	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8LWND|aDUR
480	31232 33615	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8DUR|aRPLT
481	31232 63115	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LHND|aRPLT
482	31232 63215	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8FEWX|aRPLT
483	31232 63313	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9MLV|aBEXP
484	31232 63343	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9CGEN|aBEXP
485	31232 63355	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9LWND|aRPLT
486	31232 63515	   	164.76	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LWND|aRPLT
487	31235 23611	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|349aVULN|5DMSP|6BEXP|7RCR|8DUR
488	31235 33611	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|349aVULN|5DMSP|6FEWX|7RCR|8DUR
489	31235 63111	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|349aVULN|5DMSP|6DUR|7RCR|8LHND
490	31235 63211	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|349aVULN|5DMSP|6DUR|7RCR|8FEWX
491	31235 63351	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|348aVULN|5DMSP|6DUR|7RCR|9LWND
492	31235 63511	   	164.76	DCR|4VULN|1AART|1DUR	1AART|2TLV|349aVULN|5DMSP|6DUR|7RCR|8LWND
493	34513 13511	   	164.76	DCR|4VULN|1AART|1DUR	1AART|26LHND|359aVULN|45ERES|5BPWR|7RCR|8DUR
494	15141 38222	   	164.74	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|3DMSP|4RCR|5BPWR|6MBVNT|78VULN|9FEWX|aAART
495	15611 33215	   	164.74	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|3DUST|4RCR|6MGNLIT|78VULN|9LIT|aAART
496	15611 33253	   	164.74	ACR|2VULN|2DMG|1AART	1RCVC|25DMG|3DUST|4RCR|6MGNLIT|78VULN|9LWND|aAART
497	16312 34262	   	164.73	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35CGEN|4RCR|5BPWR|6ASPD|7CDMG|8AART|aLHND
498	16312 34263	   	164.73	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35CGEN|4RCR|5BPWR|6ASPD|7CDMG|8AART|aLWND
499	32212 43536	   	164.72	ACR|3VULN|1AART|1CDMG|1DUR	1AART|2BEXP|3DMSP|4RCR|5LEGI|68aVULN|7CDMG|9DUR
500	16211 62212	 * 	164.70	ACR|4VULN|1DMG|1ZMB	1RCVC|2689VULN|3TLV|4RCR|5DMG|7CGEN|aZMB
501	15411 53212	   	164.67	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4RMIN|57CDMG|6VULN|89AART|aLHND
502	15411 53213	   	164.67	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4RMIN|57CDMG|6VULN|89AART|aLWND
503	15431 53212	   	164.67	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|47CDMG|5RMIN|6VULN|89AART|aLHND
504	15431 53213	   	164.67	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|47CDMG|5RMIN|6VULN|89AART|aLWND
505	31232 23612	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8DUR|aLSRHEA
506	31232 23613	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3459VULN|5BPWR|6BEXP|7RCR|8DUR
507	31232 23614	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6BEXP|7RCR|8DUR|aDUST
508	31232 23652	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|345aVULN|5BPWR|6BEXP|7RCR|8DUR|9DUST
509	31232 33612	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8DUR|aLSRHEA
510	31232 33613	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3459VULN|5BPWR|6FEWX|7RCR|8DUR
511	31232 33614	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6FEWX|7RCR|8DUR|aDUST
512	31232 33652	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|345aVULN|5BPWR|6FEWX|7RCR|8DUR|9DUST
513	31232 63112	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LHND|aLSRHEA
514	31232 63113	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3459VULN|5BPWR|6DUR|7RCR|8LHND
515	31232 63114	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LHND|aDUST
516	31232 63212	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8FEWX|aLSRHEA
517	31232 63213	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3459VULN|5BPWR|6DUR|7RCR|8FEWX
518	31232 63214	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8FEWX|aDUST
519	31232 63252	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|345aVULN|5BPWR|6DUR|7RCR|8FEWX|9DUST
520	31232 63312	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9MLV|aDUST
521	31232 63315	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9MLV|aLEGI
522	31232 63325	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9DUST|aRPLT
523	31232 63342	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9CGEN|aDUST
