0	Index      	 *	Score 	Summary	Detail	
1	25514 11332	 * 	183.19	ACR|3VULN|2DMG|1AART	14LWND|2RCVC|3RCR|4BPWR|578VULN|6aDMG|9AART
329	42231 41112	   	154.93	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2DUST|3FEWX|4AART|56VULN|7LHND|8RCR|9ZMB|aDMG
330	42231 44112	   	154.93	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2DUST|3FEWX|4AART|56VULN|7BEXP|8RCR|9ZMB|aDMG
331	42231 46112	   	154.93	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2DUST|3FEWX|4AART|56VULN|7LWND|8RCR|9ZMB|aDMG
332	23113 42154	   	154.91	DCR|2VULN|2DMG|1AART	1LWND|29VULN|3LIT|4FEWX|56DMG|7AART|8ERES|aRCR
333	52143 31153	   	154.90	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1ZMB|2DUST|37CDMG|4AART|5DMG|6LIT|8MLV|9RCR|aVULN
334	52425 21332	   	154.89	ACR|1AART|1VULN|1DMG|2ZMB|1ASPD|1DUR	17ZMB|2DUST|3DUR|4RCR|5VULN|6LWND|8ASPD|9AART|aDMG
335	12231 41112	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|56VULN|7LHND|8RCR|9ZMB|aDMG
336	12231 44112	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|56VULN|7BEXP|8RCR|9ZMB|aDMG
337	12231 46112	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|56VULN|7LWND|8RCR|9ZMB|aDMG
338	12236 24632	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|5DMG|67VULN|8RCR|9ZMB|aRPLT
339	12236 24633	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|5DMG|67VULN|8RCR|9ZMB|aRMIN
340	52143 31411	   	154.83	DCR|2DMG|1AART|2CDMG|1ZMB	1ZMB|2DUST|37CDMG|4AART|5aDMG|6LIT|8RCR|9LHND
341	52143 31431	   	154.83	DCR|2DMG|1AART|2CDMG|1ZMB	1ZMB|2DUST|37CDMG|4AART|5aDMG|6LIT|8RCR|9FEWX
342	12231 64631	   	154.83	DCR|2VULN|1AART|1DMG|1ZMB	1ERES|2DUST|3FEWX|4AART|57VULN|6RMIN|8RCR|9ZMB|aDMG
343	12143 31453	   	154.80	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB	1ERES|2DUST|37CDMG|4AART|5DMG|6LIT|8ZMB|9RCR|aVULN
344	34162 33613	 * 	154.77	ACR|2DMG|1AART|1CDMG|2DUR	1RCVC|279ERES|3AART|4RMIN|5RCR|69DMG|89DUR|9BPWR|aCDMG
345	63111 34725	   	154.75	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	18LIT|2ZMB|3ASPD|4MBVNT|5RCR|6DMG|7CDMG|9VULN|aAART
346	63111 11825	   	154.75	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	16LIT|2ZMB|3ASPD|4MBVNT|5RCR|7DMG|8CDMG|9VULN|aAART
347	53133 13452	   	154.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1ZMB|2LWND|3CDMG|49VULN|56RMIN|78DMG|aRCR
348	63232 36223	   	154.66	DCR|3VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|357VULN|4RCVC|6ASPD|8LWND|9RCR|aAART
349	63232 41223	   	154.66	DCR|3VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|356VULN|4RCVC|7LHND|8ASPD|9RCR|aAART
350	63232 43223	   	154.66	DCR|3VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|356VULN|4RCVC|7FEWX|8ASPD|9RCR|aAART
351	34121 33636	   	154.63	DCR|2VULN|1AART|1DMG|1ZMB	1RCVC|2ERES|3AART|4DUST|59VULN|6BEXP|7ZMB|8DMG|aRCR
352	52133 13452	   	154.56	DCR|2VULN|2DMG|1CDMG|1ZMB	1ZMB|2DUST|3CDMG|49VULN|56RMIN|78DMG|aRCR
353	63232 32623	   	154.56	DCR|3VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|358VULN|4RCVC|6ASPD|7DUST|9RCR|aAART
354	63232 42223	   	154.56	DCR|3VULN|1AART|1ZMB|1ASPD	1LIT|2ZMB|356VULN|4RCVC|7DUST|8ASPD|9RCR|aAART
355	23234 44222	   	154.47	DCR|3VULN|1DMG|1CDMG|1ASPD	1LWND|245VULN|3RCVC|6LIT|7DMG|8ASPD|9RCR|aCDMG
356	63111 46841	   	154.35	ACR|2AART|1VULN|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4MBVNT|5RCR|6RPLT|7aAART|8VULN|9DMG
357	33162 31313	 * 	154.28	ACR|2AART|2DMG|1CDMG	1RCVC|29MLV|37AART|4RMIN|5RCR|69DMG|89LWND|9BPWR|aCDMG
358	36162 31313	   	154.28	ACR|2AART|2DMG|1CDMG	1RCVC|29CGEN|37AART|4RMIN|5RCR|69DMG|89LWND|9BPWR|aCDMG
359	61613 27333	 * 	154.28	DCR|2DMG|1AART|1VULN|3DUR	138LIT|238DUR|38BPWR|4MBVNT|5VULN|6FEWX|78DMG|9RCR|aAART
360	24313 53353	   	154.23	DCR|2DMG|1AART|1VULN|1ZMB	1LWND|2TLV|3RPLT|4ZMB|5ERES|68DMG|7RCR|9AART|aVULN
361	66214 43533	 * 	154.23	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	15LIT|2RCVC|35DUR|4MBVNT|5BPWR|6CDMG|7AART|8RCR|9DMG|aVULN
362	51422 12423	   	154.19	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1MSE	1ZMB|2MSE|3DUR|4RCR|5AART|6CDMG|7ERES|8aDMG|9VULN
363	21425 11336	   	154.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	15LWND|2CGEN|3DUR|4ZMB|6DMG|78VULN|9AART|aRCR
364	52316 12137	   	154.15	DCR|2VULN|3ZMB|1AART	14aZMB|2DUST|3RPLT|5aFEWX|6RCR|7aVULN|8MBVNT|9AART|aBPWR
365	33124 65222	   	154.13	DCR|2AART|1VULN|1DMG|1DUR	1RCVC|2MLV|39AART|4DUST|5MGNSTR|6RCR|7DUR|8DMG|aVULN
366	33214 11416	   	154.11	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2MLV|3DUR|4RMIN|57VULN|6DMG|8ASPD|9AART|aRCR
367	33234 31416	   	154.11	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2MLV|3DUR|4DMG|57VULN|6CGEN|8ASPD|9AART|aRCR
368	13425 11336	   	154.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|25LWND|3DUR|4ZMB|6DMG|78VULN|9AART|aRCR
369	23226 12261	   	154.02	DCR|2VULN|2DMG|1ZMB	1LWND|27VULN|3RCVC|4aDMG|5RPLT|6RCR|8ZMB|9MGNSTR
370	21132 35452	   	153.98	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2CGEN|3CDMG|4aVULN|5LSRHEA|6AART|7DMG|8MLV|9RCR
371	53425 22333	   	153.96	ACR|2VULN|1AART|2DUR|1ZMB|1ASPD	1ZMB|26LWND|37DUR|4RCR|58VULN|9AART|aASPD
372	31334 22524	   	153.92	DCR|2VULN|1AART|1DMG|1DUR|1SELL	1RCVC|2SELL|3ERES|4MBVNT|56VULN|7RCR|8DMG|9AART|aDUR
373	22326 43324	 * 	153.91	DCR|3AART|2VULN|2DUR	1aLWND|2LHND|3aDUR|4RMIN|589AART|6aVULN|7RCR|aBPWR
374	33153 12152	   	153.90	DCR|2VULN|1AART|1DMG|2RCVC	14RCVC|2MLV|3AART|5CANHEL|6DMG|7RCR|8LHND|9aVULN
375	33153 12222	   	153.90	DCR|2VULN|1AART|1DMG|2RCVC	14RCVC|2MLV|3AART|5CANHEL|6DMG|7RCR|8RPLT|9aVULN
376	33153 12552	   	153.90	DCR|2VULN|1AART|1DMG|2RCVC	14RCVC|2MLV|3AART|5CANHEL|6DMG|7RCR|8LWND|9aVULN
377	36153 12222	   	153.90	DCR|2VULN|1AART|1DMG|2RCVC	14RCVC|2CGEN|3AART|5CANHEL|6DMG|7RCR|8RPLT|9aVULN
378	23311 66412	   	153.86	DCR|2VULN|1AART|2CDMG|1DUR	19LWND|29VULN|3DUR|4DUST|5LEGI|6RCR|7AART|89CDMG|9BPWR|aFEWX
379	23311 66413	   	153.86	DCR|2VULN|1AART|2CDMG|1DUR	19LWND|29VULN|3DUR|4DUST|5LEGI|6RCR|7AART|89CDMG|9BPWR|aMLV
380	12116 22452	   	153.76	DCR|2VULN|2DMG|1CDMG	1ERES|2DUST|3CDMG|4RCVC|58DMG|6CGEN|7RCR|9aVULN
381	66132 25131	   	153.76	DCR|1AART|1VULN|1CDMG|1FLTHEA|1ZMB|2RCVC	1LIT|24RCVC|3CGEN|5FLTHEA|6RCR|7VULN|8AART|9CDMG|aZMB
382	25514 31333	   	153.67	ACR|2VULN|1DMG|1CDMG|1DUR|1ASPD	14LWND|2RCVC|3RCR|4BPWR|59VULN|6CDMG|7DUR|8DMG|aASPD
383	25514 33133	   	153.67	ACR|2VULN|1DMG|1CDMG|1DUR|1ASPD	14LWND|2RCVC|3RCR|4BPWR|59VULN|6CDMG|7DMG|8DUR|aASPD
384	53425 13332	   	153.64	ACR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2LWND|3DUR|4RCR|5VULN|6RCVC|7FEWX|8ASPD|9AART|aDMG
385	53131 32154	 * 	153.61	DCR|4VULN|1CDMG|1ZMB|1DUR	1ZMB|2LWND|3CDMG|4789VULN|5DUR|6LEGI|aRCR
386	53425 11332	   	153.54	ACR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1ZMB|2LWND|3DUR|4RCR|5VULN|6RCVC|7DUST|8ASPD|9AART|aDMG
387	21611 26136	   	153.48	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2CGEN|3BELT|4aVULN|5CDMG|6RPLT|7AART|8DMG|9RCR
388	52422 43111	   	153.44	ACR|1AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1ZMB|2DUST|3DUR|4RCR|5AART|6VULN|79RMIN|8ASPD|aDMG
389	33134 61252	   	153.43	DCR|2DMG|1AART|1VULN	1RCVC|2MLV|3AART|4LHND|5MGNSTR|6RCR|7BEXP|8aDMG|9VULN
390	33236 42328	   	153.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1RCVC|2MLV|3DUR|4DMG|5MBVNT|6ASPD|7AART|8RCR|9ZMB|aVULN
391	36236 42322	   	153.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1RCVC|2CGEN|3DUR|4DMG|5MBVNT|6ASPD|7AART|8RCR|9ZMB|aVULN
392	52422 41112	   	153.34	ACR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2DUST|3DUR|4RCR|5AART|6VULN|7TLV|8ASPD|9RMIN|aDMG
393	52422 41121	   	153.34	ACR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2DUST|3DUR|4RCR|5AART|6VULN|7TLV|8ASPD|9DMSP|aDMG
394	33122 13512	 * 	153.33	DCR|2AART|1DMG|2ZMB|2ASPD	1RCVC|29MLV|35AART|4DUST|69ASPD|7RCR|89ZMB|9BPWR|aDMG
395	33122 13513	 * 	153.33	DCR|2AART|1VULN|2ZMB|2ASPD	1RCVC|29MLV|35AART|4DUST|69ASPD|7RCR|89ZMB|9BPWR|aVULN
396	34236 42328	   	153.32	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1RCVC|2ERES|3DUR|4DMG|5MBVNT|6ASPD|7AART|8RCR|9ZMB|aVULN
397	52422 34132	   	153.27	ACR|2VULN|1AART|2ZMB|2DUR	1aZMB|2DUST|3aDUR|4RCR|5AART|6LIT|7DMSP|8ERES|9aVULN|aBPWR
398	33256 26332	 * 	153.25	DCR|2VULN|1AART|1CDMG|2DUR	1RCVC|2MLV|34DUR|58VULN|6DMSP|7RCR|9AART|aCDMG
399	33452 26332	   	153.25	DCR|2VULN|1AART|1CDMG|2DUR	1RCVC|2MLV|38VULN|45DUR|6DMSP|7RCR|9AART|aCDMG
400	66132 25122	 * 	153.20	DCR|2VULN|1AART|2FLTHEA|2RCVC	19LIT|24RCVC|3aCGEN|59FLTHEA|6RCR|79VULN|8AART|9BPWR
401	66132 25123	   	153.20	DCR|2VULN|1AART|2FLTHEA|2RCVC	19LIT|24RCVC|3CGEN|59FLTHEA|6RCR|79VULN|8AART|9BPWR|aRPLT
