0	Index      	 *	Score 	Summary	Detail	
1	15136 36323	 * 	206.74	ACR|4VULN|3DMG|3CDMG	149CDMG|2ERES|3679VULN|5RCR|89aDMG|9BPWR
326	11634 21248	   	177.73	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	17CDMG|27VULN|3MBVNT|4SELL|57DMG|6AART|7BPWR|8MLV|9RCR|aLEGI
327	52326 23134	   	177.73	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1LIT|2ZMB|3VULN|47AART|5RPLT|68DMG|9RCR|aCDMG
328	15136 36331	   	177.69	ACR|3VULN|2DMG|2CDMG|1ASPD	14CDMG|2ERES|367VULN|5RCR|89DMG|aASPD
329	14211 28215	 * 	177.64	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	13CDMG|23DMG|3BPWR|4RPLT|5MBVNT|6AART|7VULN|8RCR|9aZMB
330	11634 21748	   	177.63	DCR|2DMG|2VULN|1AART|2CDMG|1SELL	17CDMG|27VULN|3MBVNT|4SELL|57DMG|6AART|7BPWR|8ERES|9RCR|aLEGI
331	63515 21311	   	177.52	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4BEXP|5DLOT|6RCR|7aCDMG|8TLV|9aDMG|aBPWR
332	63535 21311	   	177.52	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4FEWX|5DLOT|6RCR|7aCDMG|8TLV|9aDMG|aBPWR
333	22612 13362	   	177.44	DCR|3DMG|1AART|2CDMG|2ZMB	12aDMG|3CGEN|4aCDMG|5RCVC|6BELT|7RCR|8AART|9aZMB|aBPWR
334	23512 13362	   	177.44	DCR|3DMG|1AART|2CDMG|2ZMB	13aDMG|2MLV|4aCDMG|5RCVC|6BELT|7RCR|8AART|9aZMB|aBPWR
335	14163 31151	   	177.43	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|356VULN|4RCR|7AART|8aRCVC|9BEXP
336	11614 47154	   	177.38	DCR|2VULN|2DMG|1AART|2CDMG	14CDMG|29VULN|3MBVNT|57DMG|6AART|8RCVC|aRCR
337	11644 47124	   	177.38	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|24VULN|3MBVNT|57DMG|6AART|8RCVC|aRCR
338	11683 47124	   	177.38	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|25VULN|3MBVNT|47DMG|6AART|8RCVC|aRCR
339	21221 28837	   	177.37	DCR|3DMG|2VULN|1AART	139DMG|2TLV|49BEXP|5MBVNT|6AART|79VULN|8RCR|9BPWR|aRCVC
340	21212 13362	   	177.34	DCR|3DMG|1AART|2CDMG|2ZMB	13aDMG|2TLV|4aCDMG|5RCVC|6BELT|7RCR|8AART|9aZMB|aBPWR
341	12341 31135	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|3DUST|47DMG|5LWND|6RCR|8VULN|9AART|aZMB
342	12344 31135	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|3DUST|47DMG|5LHND|6RCR|8VULN|9AART|aZMB
343	66222 23262	   	177.25	ACR|3VULN|2DMG|2DUR|1ASPD	17DUR|2RCR|3ASPD|456VULN|89DMG|aLHND
344	66222 23263	   	177.25	ACR|3VULN|2DMG|2DUR|1ASPD	17DUR|2RCR|3ASPD|456VULN|89DMG|aLIT
345	11643 48813	   	177.24	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|24VULN|3MBVNT|5ASPD|6AART|7RCR|8FLTHEA|9DUR|aZMB
346	22466 12131	   	177.23	DCR|3DMG|1VULN|2CDMG|2ZMB|1DUR	128DMG|3DUR|4BELT|58ZMB|68CDMG|7RCR|8BPWR|9VULN|aBEXP
347	22466 12133	   	177.23	DCR|3DMG|1VULN|2CDMG|2ZMB|1DUR	128DMG|3DUR|4BELT|58ZMB|68CDMG|7RCR|8BPWR|9VULN|aFEWX
348	66222 23261	   	177.15	ACR|3VULN|2DMG|2DUR|1ASPD	17DUR|2RCR|3ASPD|456VULN|89DMG|aDUST
349	14165 31232	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|9MGNSTR|aCGEN
350	14165 31233	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|9MGNSTR|aLWND
351	14165 31231	   	177.05	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|368VULN|4RCR|5RCVC|7AART|9MGNSTR|aERES
352	22434 13211	 * 	177.03	DCR|3DMG|1VULN|3ASPD|2ZMB|1DUR	129DMG|3DUR|4LEGI|59ZMB|689ASPD|7RCR|9BPWR|aVULN
353	25261 23734	   	176.91	DCR|3DMG|2VULN|1AART|1DUR	139DMG|29ERES|4LHND|5MBVNT|6DUR|79VULN|8AART|9BPWR|aRCR
354	63113 62313	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|27VULN|3LIT|4DMG|5LHND|6RCR|8CDMG|9ZMB|aAART
355	14162 63122	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|28DMG|39VULN|4RCR|5TLV|6AART|7LIT|aFEWX
356	14362 15133	   	176.76	ACR|2VULN|2DMG|2CDMG|2DUR|1ASPD	17CDMG|27DMG|3DUST|4RCR|5TLV|67DUR|7BPWR|89VULN|aASPD
