0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35241 33433	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG|1NUKE	1RCVC|2569VULN|3DMG|4NUKE|79TLV|89DUR|9BPWR|aRCR
360	26361 12632	9	   	250.79	DCR|3VULN|2DUR|2ASPD|1CDMG	18LWND|26ASPD|3DMSP|48DUR|589VULN|7RCR|8BPWR|aCDMG
361	12425 16132	10	   	250.74	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1DUST|26TLV|39aVULN|4DUR|5DMG|7AART|8RCR
362	52353 21318	1	   	250.74	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1AART|258VULN|35TLV|4MBVNT|5BPWR|6DMG|7BBNT|9DUR|aRCR
363	52353 24471	1	   	250.74	DCR|3VULN|2TLV|1DMG|1DUR|1AART	1AART|259VULN|35TLV|4MBVNT|5BPWR|6DMG|7RCR|8DUR|aDUST
364	35261 12151	9	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT	1RCVC|256VULN|3DMG|48DUR|7RCR|9aLIT
365	26161 62212	7	   	250.59	DCR|3VULN|2DUR|2ASPD|1CDMG	1LWND|23ASPD|49DUR|568VULN|7RCR|aCDMG
366	26161 62232	9	   	250.59	DCR|3VULN|2DUR|2ASPD|1CDMG	1LWND|23ASPD|48DUR|569VULN|7RCR|aCDMG
367	26361 12633	8	   	250.57	DCR|3VULN|3DUR|2ASPD	189LWND|26ASPD|3DMSP|489DUR|589VULN|7RCR|89BPWR|aRMIN
368	26361 12631	8	   	250.47	DCR|3VULN|3DUR|2ASPD	189LWND|26ASPD|3DMSP|489DUR|589VULN|7RCR|89BPWR|aDUST
369	26161 22232	7	   	250.37	DCR|3VULN|3DUR|2ASPD	169LWND|23ASPD|49aDUR|589VULN|7RCR|9BPWR
370	45123 33342	3	   	250.37	DCR|3VULN|3DUR|2ASPD	19aLHND|29ERES|3aASPD|45aVULN|689DUR|7RCR|9aBPWR
371	52321 42261	9	   	250.15	DCR|3VULN|2DUR|1TLV|1AART	1AART|28FEWX|368VULN|4LHND|5TLV|78DUR|8BPWR|9LIT|aRCR
372	26361 62232	8	   	249.82	DCR|3VULN|3DUR|1ASPD|1AART	19LWND|2ASPD|3DMSP|489DUR|569VULN|7RCR|9BPWR|aAART
373	52322 52133	9	   	249.80	DCR|4VULN|1TLV|1DUR|1AART	1AART|2FEWX|3569VULN|46LHND|6BPWR|7DUR|8RCR|aTLV
374	34612 11511	1	 * 	249.79	DCR|2VULN|2DMG|3ASPD|1CDMG|1AART	1RCVC|238ASPD|38BPWR|4DUST|58DMG|6AART|78VULN|9CDMG|aRCR
375	65231 12631	7	 * 	249.75	DCR|4VULN|3CDMG|1TLV|1SELL	1SELL|289CDMG|39BEXP|4569VULN|7RCR|9BPWR|aTLV
376	51233 36215	9	 * 	249.74	ACR|3VULN|3DMG|3CDMG|2AART	12AART|3RCR|49aCDMG|5RMIN|69aVULN|79aDMG|8RCVC|9aBPWR
377	53333 36215	9	   	249.74	ACR|3VULN|3DMG|3CDMG|2AART	13AART|2RCR|49aCDMG|5RMIN|69aVULN|79aDMG|8RCVC|9aBPWR
378	52342 35211	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28FEWX|358VULN|478DUR|6RCR|8BPWR|9ASPD|aERES
379	52342 35212	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28FEWX|358VULN|478DUR|6RCR|8BPWR|9ASPD|aTBNT
380	55342 33211	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28LWND|358VULN|478DUR|6RCR|8BPWR|9ASPD|aERES
381	55342 33212	8	   	249.72	DCR|3VULN|3DUR|1ASPD|1AART	1AART|28LWND|358VULN|478DUR|6RCR|8BPWR|9ASPD|aTBNT
382	52322 12133	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1AART|2FEWX|3569VULN|4LHND|7DUR|8RCR|aTLV
383	35261 42332	7	   	249.65	DCR|3VULN|2DUR|1DMG|1CDMG	18RCVC|259VULN|3DMG|49DUR|69LWND|7RCR|9BPWR|aCDMG
384	52342 33213	8	   	249.61	DCR|3VULN|2DUR|2AART|1TLV	17AART|28FEWX|358VULN|48DUR|6RCR|8BPWR|9LHND|aTLV
385	26361 62231	7	   	249.58	DCR|4VULN|2DUR|1ASPD	19LWND|2ASPD|3DMSP|49DUR|5689VULN|7RCR|9BPWR|aLHND
386	26361 62233	7	   	249.58	DCR|4VULN|2DUR|1ASPD	19LWND|2ASPD|3DMSP|49DUR|5689VULN|7RCR|9BPWR|aRPLT
387	35232 24335	8	   	249.56	DCR|4VULN|1DMG|1CDMG	1RCVC|2569VULN|3DMG|4CDMG|7RCR|8CGEN|aLIT
388	35223 23343	6	   	249.46	DCR|2VULN|3DUR|2DMG|1AART	1RCVC|29VULN|39DMG|4FEWX|5ERES|689DUR|7RCR|9BPWR|aAART
389	35261 12142	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|48DUR|7RCR|9BEXP|aCDMG
390	35261 12151	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|48DUR|7RCR|9CDMG|aLHND
391	35261 12152	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|48DUR|7RCR|9CDMG|aFEWX
392	35261 12412	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|49DUR|7RCR|8LWND|aCDMG
393	35261 12512	7	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|49DUR|7RCR|8LWND|aCDMG
394	35261 12612	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|49DUR|7RCR|8FEWX|aCDMG
395	31231 12112	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|2FEWX|3DMG|456VULN|7RCR|89DUR|aCDMG
396	31231 12151	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|2FEWX|3DMG|456VULN|7RCR|8aDUR|9CDMG
397	35221 12112	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|4FEWX|7RCR|89DUR|aCDMG
398	35221 12151	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|4FEWX|7RCR|8aDUR|9CDMG
399	35261 42212	7	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|258VULN|3DMG|49DUR|6LWND|7RCR|aCDMG
400	35261 42232	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|259VULN|3DMG|48DUR|6LWND|7RCR|aCDMG
401	53152 14211	8	 * 	249.43	ACR|4VULN|3DUR|1DMG|1AART	1AART|2RCR|3RPLT|478DUR|578aVULN|678LWND|78BPWR|9DMG
402	12461 34211	7	   	249.38	DCR|3VULN|2TLV|1DMG|1DUR	1DUST|29TLV|368VULN|4LIT|5DUR|7DMG|aRCR
403	35261 12122	8	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|48DUR|7RCR|9DUST|aCDMG
404	35261 12153	8	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|48DUR|7RCR|9CDMG|aDUST
405	35261 12512	8	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|49DUR|7RCR|8DUST|aCDMG
406	35211 12112	8	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|4DUST|7RCR|89DUR|aCDMG
407	35211 12151	9	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RCVC|256VULN|3DMG|4DUST|7RCR|8aDUR|9CDMG
408	35232 24161	10	   	249.31	DCR|4VULN|1DMG|1CDMG|1SELL	1RCVC|2569VULN|3DMG|4CDMG|7RCR|8SELL|aLIT
409	52212 15621	1	   	249.29	DCR|2VULN|2DMG|2TLV|2AART|1DUR	16AART|27VULN|3TBNT|47DMG|57TLV|7BPWR|8DUST|9RCR|aDUR
410	16421 12133	8	   	249.28	DCR|4VULN|2DUR|1ASPD	149DUST|2ASPD|3569VULN|7RCR|89DUR|9BPWR|aBEXP
411	16421 12134	8	   	249.28	DCR|4VULN|2DUR|1ASPD	149DUST|2ASPD|3569VULN|7RCR|89DUR|9BPWR|aLHND
412	16421 12135	8	   	249.28	DCR|4VULN|2DUR|1ASPD	149DUST|2ASPD|3569VULN|7RCR|89DUR|9BPWR|aRCVC
413	16421 12136	8	   	249.18	DCR|4VULN|2DUR|1ASPD	149DUST|2ASPD|3569VULN|7RCR|89DUR|9BPWR|aERES
414	35261 12112	8	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|256VULN|3DMG|489DUR|7RCR|aFEWX
415	35261 12113	8	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|256VULN|3DMG|489DUR|7RCR|aLWND
416	35261 12114	8	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|256VULN|3DMG|489DUR|7RCR|aBEXP
417	35261 12135	10	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|256VULN|3DMG|48aDUR|7RCR|9MLV
418	35261 12116	8	   	248.92	DCR|3VULN|3DUR|1DMG	1RCVC|256VULN|3DMG|489DUR|7RCR|aERES
419	22422 24142	3	 * 	248.81	ACR|4VULN|3DMG|2TLV	179LWND|2aTLV|369aVULN|4RCR|59aDMG|8LEGI|9aBPWR
420	51341 21331	2	 * 	248.79	DCR|2VULN|3DMG|2CDMG|2AART	12AART|369DMG|4RMIN|5DUST|79VULN|89CDMG|9BPWR|aRCR
421	21423 32266	8	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	18LWND|24LHND|3AART|589VULN|6RCR|78DMG|8BPWR|aTLV
422	21463 32221	9	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	148LWND|2LHND|3AART|58aVULN|6RCR|78DMG|8BPWR|9TLV
423	21463 32252	10	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	148LWND|2LHND|3AART|589VULN|6RCR|78DMG|8BPWR|aTLV
424	55163 32221	9	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	1AART|248LWND|3LHND|58aVULN|6RCR|78DMG|8BPWR|9TLV
425	52211 35216	1	   	248.56	DCR|3VULN|2DMG|1TLV|1AART	1AART|267VULN|3TBNT|47DMG|579MLV|7BPWR|8TLV|aRCR
426	12331 21452	8	   	248.51	ACR|4VULN|3DMG|2TLV	139DUST|2aTLV|4RCR|589aVULN|69aDMG|7MBVNT|9aBPWR
427	12331 62452	7	   	248.51	ACR|4VULN|3DMG|2TLV	139DUST|2aTLV|4RCR|569aVULN|79aDMG|8MBVNT|9aBPWR
