0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33164 53221	9	 * 	278.85	DCR|5VULN|2TLV|2DUR	1579aVULN|27TLV|3RMIN|47aZMB|6RCR|7aBPWR|8aDUR
328	31455 33133	2	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	145VULN|2DUST|37DUR|68CDMG|9TLV|aRCR
329	32153 24411	7	   	250.83	DCR|3VULN|2DMG|2DUR	137VULN|2LWND|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aASPD
330	31153 24311	7	   	250.73	DCR|3VULN|2DMG|2DUR	137VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aASPD
331	33124 63221	9	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aFEWX
332	33124 63221	10	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aMLV
333	33124 63222	10	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3aRMIN|4RCR|567DMG|7BPWR
334	33124 63224	10	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aRCVC
335	33124 63225	10	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aDMSP
336	33124 63225	9	   	250.48	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aCGEN
337	33124 63223	9	   	250.38	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aDUST
338	33124 63223	10	   	250.38	ACR|4VULN|3DMG|2TLV	1789VULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|aERES
339	44332 11311	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7LWND|8RCR|9LIT|aDMG
340	44332 12111	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8FEWX|9LIT|aDMG
341	44332 12431	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LIT|9FEWX|aDMG
342	44332 12511	7	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7FEWX|8RCR|9LIT|aDMG
343	44332 12611	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LHND|9LIT|aDMG
344	44332 13311	7	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7BEXP|8RCR|9LIT|aDMG
345	44332 13311	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7LHND|8RCR|9LIT|aDMG
346	44332 21311	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7LWND|8RCR|9LIT|aDMG
347	44332 22111	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8FEWX|9LIT|aDMG
348	44332 22431	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LIT|9FEWX|aDMG
349	44332 22611	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LHND|9LIT|aDMG
350	44332 23311	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|456VULN|5BPWR|7LHND|8RCR|9LIT|aDMG
351	64332 11311	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7LWND|8RCR|9LIT|aDMG
352	64332 12111	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8FEWX|9LIT|aDMG
353	64332 12431	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LIT|9FEWX|aDMG
354	64332 12511	7	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7FEWX|8RCR|9LIT|aDMG
355	64332 12611	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LHND|9LIT|aDMG
356	64332 13311	7	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7BEXP|8RCR|9LIT|aDMG
357	64332 13311	6	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7LHND|8RCR|9LIT|aDMG
358	64332 21311	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7LWND|8RCR|9LIT|aDMG
359	64332 22111	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8FEWX|9LIT|aDMG
360	64332 22431	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LIT|9FEWX|aDMG
361	64332 22611	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7RCR|8LHND|9LIT|aDMG
362	64332 23311	5	   	250.34	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|456VULN|5BPWR|7LHND|8RCR|9LIT|aDMG
363	33522 25311	4	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	167VULN|25TLV|3LHND|4CDMG|8RCR|9LIT|aDMG
364	44332 35311	5	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1RCVC|2CDMG|35TLV|457VULN|5BPWR|6DUST|8RCR|9LIT|aDMG
365	64332 35311	5	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1DMSP|2CDMG|35TLV|457VULN|5BPWR|6DUST|8RCR|9LIT|aDMG
366	35312 63433	1	   	250.14	DCR|3VULN|2TLV|1DMG|1CDMG	147VULN|2DMG|367DUST|57TLV|7BPWR|8LIT|9CDMG|aRCR
367	33164 35132	5	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	158VULN|2TLV|3RMIN|4ZMB|6DUR|7RCR|9DMG|aCDMG
368	32322 52435	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	18aVULN|2LWND|3RMIN|4CDMG|5TLV|6DUR|7RCR|9DMG
369	32112 55132	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	148VULN|2ZMB|3DUR|5TLV|6ERES|7RCR|9DMG|aCDMG
370	34316 53221	9	 * 	249.80	DCR|4VULN|2DUR|3ASPD	179aVULN|2RCVC|3RMIN|47CGEN|57aASPD|6RCR|7aBPWR|8aDUR
371	33253 34225	4	   	249.77	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1SELL	15VULN|2TLV|37LIT|45DMG|5BPWR|6ASPD|8SELL|9CDMG|aRCR
372	32164 35133	5	   	249.64	DCR|5VULN|1DMG|1DUR	1358aVULN|2LWND|4ZMB|6DUR|7RCR|9DMG
373	32122 33425	3	   	249.56	DCR|4VULN|1TLV|1DMG	137aVULN|2LWND|4DMG|5TLV|6LIT|8RPLT|9RCR
374	31164 15133	5	   	249.54	DCR|5VULN|1DMG|1DUR	1358aVULN|2DUST|4ZMB|6DUR|7RCR|9DMG
375	31434 15133	5	   	249.54	DCR|5VULN|1DMG|1DUR	1458aVULN|2DUST|3ZMB|6DUR|7RCR|9DMG
376	43314 22324	2	 * 	249.53	DCR|4VULN|3TLV|3LIT	1RCVC|267TLV|39aCGEN|47aLIT|567aVULN|67aBPWR|8RCR
377	63314 22324	2	   	249.53	DCR|4VULN|3TLV|3LIT	1DMSP|267TLV|39aCGEN|47aLIT|567aVULN|67aBPWR|8RCR
378	32322 52236	4	   	249.51	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1aVULN|28LWND|3RMIN|4aCDMG|5TLV|6DUR|7RCR|9aDMG|aBPWR
379	44332 12133	6	   	249.43	DCR|4VULN|2TLV|2CDMG	1RCVC|2aCDMG|35TLV|456aVULN|5aBPWR|7RCR|8aFEWX|9BBNT
380	44332 12533	7	   	249.43	DCR|4VULN|2TLV|2CDMG	1RCVC|2aCDMG|35TLV|456aVULN|5aBPWR|7aFEWX|8RCR|9BBNT
381	44332 22133	5	   	249.43	DCR|4VULN|2TLV|2CDMG	1RCVC|2aCDMG|35TLV|456aVULN|5aBPWR|7RCR|8aFEWX|9BBNT
382	64332 12133	6	   	249.43	DCR|4VULN|2TLV|2CDMG	1DMSP|2aCDMG|35TLV|456aVULN|5aBPWR|7RCR|8aFEWX|9BBNT
383	64332 12533	7	   	249.43	DCR|4VULN|2TLV|2CDMG	1DMSP|2aCDMG|35TLV|456aVULN|5aBPWR|7aFEWX|8RCR|9BBNT
384	64332 22133	5	   	249.43	DCR|4VULN|2TLV|2CDMG	1DMSP|2aCDMG|35TLV|456aVULN|5aBPWR|7RCR|8aFEWX|9BBNT
385	43314 32252	2	   	249.43	DCR|4VULN|3TLV|3LIT	1RCVC|278TLV|39CGEN|478LIT|5678VULN|78BPWR|aRCR
386	63314 32252	2	   	249.43	DCR|4VULN|3TLV|3LIT	1DMSP|278TLV|39CGEN|478LIT|5678VULN|78BPWR|aRCR
387	33334 61324	6	   	249.33	DCR|4VULN|2TLV|2CDMG	157aVULN|27TLV|3ERES|4CGEN|67CDMG|7BPWR|8RCR|9ZMB
388	33344 21324	6	   	249.33	DCR|4VULN|2TLV|2CDMG	157aVULN|27TLV|3ERES|4MLV|67CDMG|7BPWR|8RCR|9ZMB
389	33224 26622	8	   	249.12	DCR|3VULN|2TLV|2ASPD|1DUR	189VULN|29TLV|3LIT|4BEXP|5RPLT|69ASPD|7RCR|9BPWR|aDUR
390	33234 26622	8	   	249.12	DCR|3VULN|2TLV|2ASPD|1DUR	189VULN|29TLV|3LIT|4FEWX|5RPLT|69ASPD|7RCR|9BPWR|aDUR
391	33261 24431	3	   	249.12	DCR|3VULN|2TLV|2ASPD|1DUR	149VULN|29TLV|3LIT|5DUR|6BELT|7RCR|89ASPD|9BPWR|aMLV
392	33221 24435	3	   	249.12	DCR|3VULN|2TLV|2ASPD|1DUR	19aVULN|29TLV|3LIT|4RCVC|5DUR|6BELT|7RCR|89ASPD|9BPWR
393	33334 31335	5	   	249.09	DCR|5VULN|1TLV|1AART	1589aVULN|2TLV|3ERES|4CGEN|6AART|7RCR
394	33344 31335	5	   	249.09	DCR|5VULN|1TLV|1AART	1589aVULN|2TLV|3ERES|4MLV|6AART|7RCR
395	33261 24433	3	   	249.02	DCR|3VULN|2TLV|2ASPD|1DUR	149VULN|29TLV|3LIT|5DUR|6BELT|7RCR|89ASPD|9BPWR|aERES
