0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32356 51133	1	 * 	287.39	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG|1AART	13aVULN|23aDUR|3aBPWR|4DMG|5AART|6CDMG|7RCR|8aLIT|9BBNT
328	31421 33388	10	 * 	258.16	ACR|3VULN|3DMG|2DUR|2ASPD	169VULN|2MBVNT|3RCR|4RCVC|56aDMG|69BPWR|79ASPD|89DUR
329	34232 33233	6	 * 	258.09	DCR|3VULN|3ASPD|3CDMG|1DUR	17aVULN|27aASPD|3DUR|4ERES|57aCDMG|6RCR|7aBPWR|8TBNT|9RMIN
330	31381 14275	2	 * 	258.01	DCR|5VULN|2DUR	1349aVULN|2MBVNT|3aBPWR|5aLWND|6RPLT|7RCR|8aDUR
331	31387 14445	2	   	258.01	DCR|5VULN|2DUR	1349aVULN|2MBVNT|3aBPWR|5aLHND|6RPLT|7RCR|8aDUR
332	31644 28521	5	   	257.91	DCR|5VULN|2DUR	1467aVULN|2MBVNT|34CGEN|4aBPWR|5aDUR|8RCR|9aERES
333	31127 83428	6	   	257.71	DCR|5VULN|2DUR	1457aVULN|2MBVNT|3DLOT|6RCR|8BBNT|9aDUR|aBPWR
334	36133 33524	6	   	257.67	DCR|3VULN|2DMG|2CDMG|2LIT	17aVULN|27DMG|39aBEXP|4ERES|57CDMG|6RCR|7aBPWR|8aLIT
335	32311 61225	1	   	257.63	DCR|3VULN|3DUR|1DMG	139VULN|239DUR|39BPWR|4RCVC|5LWND|6RCR|7DMG|89ZMB|aLIT
336	32314 61225	1	   	257.63	DCR|3VULN|3DUR|1DMG	139VULN|239DUR|39BPWR|4RCVC|5FEWX|6RCR|7DMG|89ZMB|aLIT
337	32316 61225	1	   	257.63	DCR|3VULN|3DUR|1DMG	139VULN|239DUR|39BPWR|4RCVC|5LHND|6RCR|7DMG|89ZMB|aLIT
338	35242 12361	1	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	136aVULN|2DMG|4RMIN|5DMSP|7CDMG|8DUR|9RCR
339	36242 12361	2	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	136aVULN|2DMG|4RMIN|5DMSP|7CDMG|8DUR|9RCR
340	31417 61226	3	   	257.48	ACR|4VULN|2DMG|2DUR|1CDMG	1469VULN|2MBVNT|3RCR|59DUR|79DMG|8RMIN|9BPWR|aCDMG
341	32341 16111	1	   	257.43	DCR|3VULN|3DUR|1DMG	136VULN|234DUR|3BPWR|5RCVC|7LIT|8LWND|9RCR|aDMG
342	32341 16211	1	   	257.43	DCR|3VULN|3DUR|1DMG	136VULN|234DUR|3BPWR|5RCVC|7LIT|8LHND|9RCR|aDMG
343	32341 16611	1	   	257.43	DCR|3VULN|3DUR|1DMG	136VULN|234DUR|3BPWR|5RCVC|7LIT|8BEXP|9RCR|aDMG
344	32363 25311	1	   	257.43	DCR|3VULN|3DUR|1DMG	136VULN|238DUR|3BPWR|4LIT|5MLV|7RMIN|9RCR|aDMG
345	32364 13611	1	   	257.43	DCR|3VULN|3DUR|1DMG	136VULN|237DUR|3BPWR|4LIT|5FEWX|8RCVC|9RCR|aDMG
346	32311 61124	1	   	257.43	DCR|3VULN|3DUR|1DMG	13aVULN|238DUR|3BPWR|4RCVC|5LWND|6RCR|7DMG|9LIT
347	32314 61134	1	   	257.43	DCR|3VULN|3DUR|1DMG	13aVULN|238DUR|3BPWR|4RCVC|5FEWX|6RCR|7DMG|9LIT
348	32316 61124	1	   	257.43	DCR|3VULN|3DUR|1DMG	13aVULN|238DUR|3BPWR|4RCVC|5LHND|6RCR|7DMG|9LIT
349	35333 32346	8	   	257.41	DCR|3VULN|2DMG|2ASPD|1CDMG	19aVULN|2DUST|3aDMG|4ERES|5CDMG|6RCR|7RPLT|8aASPD|aBPWR
350	35333 32516	8	   	257.41	DCR|3VULN|2DMG|2ASPD|1CDMG	18aVULN|2DUST|3aDMG|4ERES|5CDMG|6RCR|7RPLT|9aASPD|aBPWR
