0	Index      	 *	Score 	Summary	Detail	
1	45136 11434	 * 	195.14	ACR|3VULN|3DMG|1AART	1LEGI|29aVULN|3aLIT|4RCR|5AART|68aDMG|7MBVNT|aBPWR
332	32323 15642	   	165.26	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|2aVULN|3ASPD|4RCR|5DUR|6MBVNT|7aLIT|8CDMG|9aDMG|aBPWR
333	32222 22133	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27VULN|39DMG|4RCR|5ASPD|6DUR|8CDMG|aFEWX
334	32222 22134	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|27VULN|39DMG|4RCR|5ASPD|6DUR|8CDMG|aLIT
335	32222 22135	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27VULN|39DMG|4RCR|5ASPD|6DUR|8CDMG|aLHND
336	32222 22163	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|27VULN|3aDMG|4RCR|5ASPD|6DUR|8CDMG|9LIT
337	32224 43326	   	165.16	ACR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	1LSRICY|26VULN|38DMG|4RCR|5FLTHEA|7RMIN|9DUR|aASPD
338	32224 11461	   	165.16	ACR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	1LSRICY|27VULN|39DMG|4RCR|5FLTHEA|6DUR|8RCVC|aASPD
339	32323 22133	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27VULN|3ASPD|4RCR|5DUR|69DMG|8CDMG|aFEWX
340	32323 22134	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|27VULN|3ASPD|4RCR|5DUR|69DMG|8CDMG|aLIT
341	32323 22135	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|27VULN|3ASPD|4RCR|5DUR|69DMG|8CDMG|aLHND
342	32323 22163	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|27VULN|3ASPD|4RCR|5DUR|6aDMG|8CDMG|9LIT
343	34321 22133	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|2DUR|3ASPD|4RCR|57VULN|69DMG|8CDMG|aFEWX
344	34321 22134	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|2DUR|3ASPD|4RCR|57VULN|69DMG|8CDMG|aLIT
345	34321 22135	   	165.16	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LSRICY|2DUR|3ASPD|4RCR|57VULN|69DMG|8CDMG|aLHND
346	34321 22163	   	165.16	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1LSRICY|2DUR|3ASPD|4RCR|57VULN|6aDMG|8CDMG|9LIT
