0	Index      	 *	Score 	Summary	Detail	
1	16124 33332	 * 	208.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	129DMG|29BPWR|39DUR|4AART|5LIT|6RCR|7ERES|89VULN|aCDMG
324	12432 31622	   	178.82	DCR|3DMG|2VULN|1AART|1SELL	18aDMG|2SELL|3LEGI|4aLHND|5AART|6MBVNT|7RCR|9aVULN|aBPWR
325	12532 31622	   	178.82	DCR|3DMG|2VULN|1AART|1SELL	18aDMG|2SELL|3DUST|4aLHND|5AART|6MBVNT|7RCR|9aVULN|aBPWR
326	13322 31533	   	178.77	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|23VULN|4AART|5RPLT|6DUST|7RCR|9aZMB
327	13314 21623	 * 	178.71	DCR|5VULN|1AART|1DMG	1DMG|23678VULN|4DUST|5FEWX|9AART|aRCR
328	16266 21312	 * 	178.66	ACR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	12DMG|2BPWR|3LIT|4RCR|58CDMG|6RMIN|7AART|9VULN|aFLTHEA
329	13324 31616	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	18DMG|23VULN|4AART|57LIT|6RCR|9aDUR
330	12462 31622	   	178.62	DCR|3DMG|2VULN|1AART|1SELL	18aDMG|2SELL|3LEGI|4aDUST|5AART|6MBVNT|7RCR|9aVULN|aBPWR
331	13324 31113	   	178.58	DCR|4VULN|1AART|1DMG	1DMG|239aVULN|4AART|578LIT|6RCR
332	13324 33353	   	178.58	DCR|4VULN|1AART|1DMG	1DMG|238aVULN|4AART|5LIT|6RCR|7MGNLIT|9RMIN
333	13324 33342	   	178.48	DCR|4VULN|1AART|1DMG	1DMG|238aVULN|4AART|5LIT|6RCR|7MGNLIT|9ERES
334	13324 33653	   	178.48	DCR|4VULN|1AART|1DMG	1DMG|239aVULN|4AART|5LIT|6RCR|7MGNLIT|8TLV
335	22452 41212	   	178.40	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	1aCDMG|2ASPD|3LEGI|4aVULN|5AART|6RCR|7ZMB|8LWND|9aDUR|aBPWR
336	13322 31416	   	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DMG|23VULN|49AART|5RPLT|6DUST|7RCR|8ASPD|aCDMG
337	16122 61123	   	178.36	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	12DMG|2BPWR|3DUR|48AART|5RPLT|6DUST|7RCR|9VULN|aCDMG
338	32351 35343	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13VULN|2MLV|4ZMB|5RPLT|69DMG|7RCR|8DUR|aAART
339	33853 34541	   	178.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2MBVNT|38DUR|4LHND|5ZMB|68DMG|7AART|8BPWR|9CGEN|aRCR
340	13324 35225	   	178.34	DCR|4VULN|1AART|1DMG|1SELL	1DMG|238aVULN|4AART|5LIT|6RCR|7SELL|9CGEN
341	33853 34531	   	178.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2MBVNT|38DUR|4LHND|5ZMB|68DMG|7AART|8BPWR|9ERES|aRCR
342	13324 35215	   	178.24	DCR|4VULN|1AART|1DMG|1SELL	1DMG|238aVULN|4AART|5LIT|6RCR|7SELL|9ERES
343	13336 26621	   	178.22	DCR|4VULN|2DMG|1CDMG	14DMG|2347VULN|4BPWR|5MBVNT|6BELT|8RCR|9RPLT|aCDMG
344	13333 16634	   	178.22	DCR|4VULN|2DMG|1CDMG	14DMG|2349VULN|4BPWR|5CANSTR|6CGEN|7LIT|8RCR|aCDMG
345	33158 38444	 * 	178.12	DCR|4VULN|2AART|1CDMG	169aVULN|2MBVNT|3RCVC|4CDMG|57AART|8RCR
346	13335 66333	   	178.09	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	14DMG|234VULN|4BPWR|5LWND|6CDMG|7RPLT|8RCR|9ASPD|aDUR
347	16316 12114	   	178.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	12DMG|2BPWR|3MGNLIT|48VULN|5RCR|6DUR|7AART|9DUST|aZMB
