0	Index      	 *	Score 	Summary	Detail	
1	14333 15314	 * 	181.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aFEWX|2aDMG|3DUR|4CDMG|59DMSP|6AART|7aVULN|8RCR|aBPWR
340	52321 16322	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1aRCVC|2DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR
341	52321 16323	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aBEXP
342	52321 16324	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aCGEN
343	52321 16326	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aFEWX
344	36321 16322	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aRCVC
345	36321 16323	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aBEXP
346	36321 16324	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aCGEN
347	36321 16326	   	153.28	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aFEWX
348	12162 33241	   	153.22	DCR|3VULN|1DMG|1ZMB|1DUR	135FEWX|2ZMB|4DUR|68aVULN|7RCR|9DMG
349	13631 16221	   	153.08	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6MLV|7AART|9LHND|aRCR
350	13631 16261	   	153.08	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6MLV|7AART|9BEXP|aRCR
351	13631 56221	   	153.08	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6RMIN|7AART|9LWND|aRCR
352	14131 16221	   	153.08	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6MLV|7AART|9LHND|aRCR
353	14131 16261	   	153.08	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6MLV|7AART|9BEXP|aRCR
354	14131 56221	   	153.08	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6RMIN|7AART|9LWND|aRCR
355	53631 16221	   	153.08	DCR|3DMG|1AART|1VULN	1RCVC|2FEWX|358DMG|4VULN|6MLV|7AART|9LHND|aRCR
356	12353 63314	 * 	153.03	DCR|1AART|1VULN|2CDMG|2ZMB|2DUR	1aFEWX|2aZMB|37DUR|4VULN|5AART|6aCDMG|8RCR|9DMSP|aBPWR
357	12322 56212	   	153.01	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1FEWX|2ZMB|38DUR|4LHND|5VULN|6AART|7DMG|9RCR|aASPD
358	34122 32626	   	152.86	DCR|3VULN|2DMG	1DUST|2aDMG|3FEWX|4LHND|5aBEXP|6TLV|7RCR|89aVULN|aBPWR
359	12334 15321	   	152.82	DCR|1AART|1VULN|3DUR|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|35aDUR|4CDMG|6AART|7VULN|8RCR|9ASPD
360	51514 12331	 * 	152.78	DCR|2DMG|1AART|2CDMG|1FLTHEA	1RCVC|2LIT|36DMG|4AART|58CDMG|7FLTHEA|9FEWX|aRCR
361	13636 32322	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aLIT
362	13636 32324	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1FEWX|2DMSP|3DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aLWND
363	13636 32326	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aBEXP
364	14136 32322	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	13FEWX|2DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aLIT
365	14136 32324	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	13FEWX|2DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aLWND
366	14136 32326	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	13FEWX|2DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aBEXP
367	53636 32322	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2FEWX|3DMG|4VULN|5CDMG|6AART|7DUR|8RCR|9ASPD|aLIT
368	14333 15322	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|6AART|7VULN|8RCR|9ASPD|aLIT
369	14333 15324	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1FEWX|2DMG|3DUR|4CDMG|5DMSP|6AART|7VULN|8RCR|9ASPD|aLWND
370	14333 15326	   	152.77	DCR|1AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|6AART|7VULN|8RCR|9ASPD|aBEXP
371	36222 33632	   	152.76	DCR|3DMG|2VULN	123DUST|49LWND|589DMG|69VULN|7RCR|9BPWR|aFEWX
372	36222 33633	   	152.76	DCR|3DMG|2VULN	123DUST|49LWND|589DMG|69VULN|7RCR|9BPWR|aLHND
373	36222 33636	   	152.76	DCR|3DMG|2VULN	123DUST|49LWND|589DMG|69VULN|7RCR|9BPWR|aLIT
374	36222 33232	   	152.76	DCR|3VULN|2DMG	123DUST|49LWND|59DMG|689VULN|7RCR|9BPWR|aBEXP
375	36222 33233	   	152.76	DCR|3VULN|2DMG	123DUST|49LWND|59DMG|689VULN|7RCR|9BPWR|aRPLT
376	36342 23232	   	152.76	DCR|3VULN|2DMG	124DUST|389VULN|59DMG|69LHND|7RCR|9BPWR|aBEXP
377	36342 23233	   	152.76	DCR|3VULN|2DMG	124DUST|389VULN|59DMG|69LHND|7RCR|9BPWR|aRPLT
378	36342 23632	   	152.76	DCR|3DMG|2VULN	124DUST|39VULN|589DMG|69LHND|7RCR|9BPWR|aFEWX
379	36342 23633	   	152.76	DCR|3DMG|2VULN	124DUST|39VULN|589DMG|69LHND|7RCR|9BPWR|aLWND
380	14341 12116	   	152.73	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1FEWX|2DMG|3DUR|4ZMB|5aAART|6DMSP|7VULN|8DUST|9RCR
381	46112 34111	   	152.67	DCR|2VULN|1AART|2ZMB|1CDMG	1aZMB|2LHND|3aFEWX|4RPLT|5CDMG|6LIT|7RCR|8AART|9aVULN|aBPWR
382	13633 31453	   	152.66	DCR|2DMG|1AART|1VULN|1DUR	1FEWX|2DMSP|37DMG|4VULN|5SNIHEL|6RCR|8RPLT|9AART|aDUR
383	13633 36353	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	1FEWX|2DMSP|3DMG|48VULN|5SNIHEL|6RCR|7RPLT|9AART|aDUR
384	14133 31453	   	152.66	DCR|2DMG|1AART|1VULN|1DUR	13FEWX|27DMG|4VULN|5SNIHEL|6RCR|8RPLT|9AART|aDUR
385	14133 36353	   	152.66	DCR|2VULN|1AART|1DMG|1DUR	13FEWX|2DMG|48VULN|5SNIHEL|6RCR|7RPLT|9AART|aDUR
386	36222 33635	   	152.66	DCR|3DMG|2VULN	123DUST|49LWND|589DMG|69VULN|7RCR|9BPWR|aERES
387	12353 36116	   	152.63	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|4VULN|5aAART|68DUST|7DMG|9RCR
388	42461 11212	   	152.62	ACR|2VULN|1DMG|2DUR|1ZMB|1ASPD	1ZMB|2RCVC|3RCR|49DUR|5DMG|68VULN|7ASPD|aFEWX
389	36222 33641	   	152.56	DCR|3DMG|2VULN	123DUST|4LWND|589DMG|6aVULN|7RCR
390	36222 33244	   	152.56	DCR|3DMG|2VULN	123DUST|4LWND|59aDMG|68VULN|7RCR
391	14341 25113	   	152.55	DCR|2AART|2DMG|1ZMB|1DUR	1FEWX|27DMG|3DUR|4ZMB|5aAART|6LSRHEA|8RCR|9LSRREG
392	42461 11213	   	152.52	ACR|2VULN|1DMG|2DUR|1ZMB|1ASPD	1ZMB|2RCVC|3RCR|49DUR|5DMG|68VULN|7ASPD|aTLV
393	34261 53141	 * 	152.49	DCR|2DMG|1AART|2ZMB|2DUR|1ASPD	19DUST|29DMG|38ZMB|4MBVNT|5AART|6ASPD|79DUR|9BPWR|aRCR
394	14231 51316	   	152.47	DCR|2AART|2DMG|1VULN	1FEWX|28DMG|3RMIN|4BEXP|5aAART|6LHND|7VULN|9RCR
395	33361 42125	   	152.47	DCR|3VULN|1AART|1CDMG	1DUST|2DMSP|379VULN|4MBVNT|5AART|6LSRICY|8RCR|aCDMG
396	52361 42125	   	152.47	DCR|3VULN|1AART|1CDMG	1RCVC|2DUST|379VULN|4MBVNT|5AART|6LSRICY|8RCR|aCDMG
397	22417 41254	   	152.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1MLV|2RCVC|3ZMB|4MBVNT|5DUR|6RCR|7ASPD|8VULN|9DMG|aAART
398	23417 41254	   	152.42	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1MLV|2DMSP|3ZMB|4MBVNT|5DUR|6RCR|7ASPD|8VULN|9DMG|aAART
399	14221 12115	   	152.37	DCR|2AART|2VULN|1DMG	1FEWX|2DMG|3RMIN|4LWND|56AART|7aVULN|8DUST|9RCR
400	36361 42125	   	152.37	DCR|3VULN|1AART|1CDMG	12DUST|379VULN|4MBVNT|5AART|6LSRICY|8RCR|aCDMG
401	12353 51112	   	152.35	DCR|2VULN|1AART|2ASPD|1ZMB|1DUR	1FEWX|2ZMB|3DUR|47VULN|5AART|6aASPD|8DUST|9RCR
402	42117 41254	   	152.32	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2RCVC|3TLV|4MBVNT|5DUR|6RCR|7ASPD|8VULN|9DMG|aAART
403	33321 66463	   	152.27	DCR|2VULN|2AART|1DMG	1DUST|2DMSP|37VULN|4RMIN|5DMG|6MBVNT|8RCR|9aAART
404	13211 15345	 * 	152.20	ACR|4VULN|1DMG	1FEWX|2DMSP|3RCR|4RCVC|5BEXP|679aVULN|8DMG
405	13212 15345	   	152.20	ACR|4VULN|1DMG	1FEWX|2DMSP|3RCR|4RCVC|5LWND|679aVULN|8DMG
406	12353 23521	   	152.16	DCR|3VULN|1AART|1ZMB|1DUR	1FEWX|2ZMB|3DUR|479VULN|5AART|6LHND|8LIT|aRCR
407	34231 51261	   	152.13	DCR|2DMG|1AART|1VULN|1ZMB	1DUST|2aDMG|3ZMB|4BEXP|5AART|6aLHND|7VULN|8aLIT|9RCR|aBPWR
408	13636 31326	 * 	152.11	DCR|3AART|1VULN|1DMG|1CDMG	1FEWX|2DMSP|3DMG|4VULN|5CDMG|67aAART|8ERES|9RCR
409	14136 31326	   	152.11	DCR|3AART|1VULN|1DMG|1CDMG	13FEWX|2DMG|4VULN|5CDMG|67aAART|8ERES|9RCR
410	33362 78422	   	152.09	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2DMSP|3VULN|4MBVNT|5RPLT|6AART|7RCR|8DMG|9CDMG|aZMB
411	14231 51311	   	152.03	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|28DMG|3RMIN|4BEXP|5AART|6LHND|7VULN|9RCR|aZMB
412	34112 44712	   	151.96	DCR|2DMG|1AART|1VULN|1ASPD	1DUST|28DMG|3FEWX|4RPLT|5MBVNT|6AART|7RCR|9VULN|aASPD
413	34151 44712	   	151.96	DCR|2DMG|1AART|1VULN|1ASPD	1DUST|28DMG|3FEWX|4MBVNT|5RPLT|6AART|7RCR|9VULN|aASPD
414	34512 44712	   	151.96	DCR|2DMG|1AART|1VULN|1ASPD	1DUST|28DMG|3RPLT|4FEWX|5MBVNT|6AART|7RCR|9VULN|aASPD
415	41521 13226	   	151.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2ASPD|3CDMG|4DUST|5RMIN|6AART|7BELT|8DMG|9VULN|aRCR
416	14221 31311	   	151.93	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|28DMG|3RMIN|4LWND|5AART|6LEGI|7VULN|9RCR|aZMB
417	32153 26115	   	151.83	DCR|2VULN|1AART|1DMG|1ZMB	18DUST|2ZMB|3FEWX|4aVULN|5AART|6LHND|7DMG|9RCR
418	34231 51115	   	151.83	DCR|2VULN|1AART|1DMG|1ZMB	18DUST|2DMG|3ZMB|4BEXP|5AART|6LHND|7aVULN|9RCR
419	12341 13234	   	151.80	DCR|2VULN|2DMG|2ZMB|1DUR	1FEWX|24ZMB|3DUR|59DMG|68VULN|7CGEN|aRCR
420	13633 32443	   	151.74	DCR|2VULN|2DMG|2DUR	1FEWX|2DMSP|39DMG|4aVULN|5SNIHEL|6RCR|78DUR
421	14133 32443	   	151.74	DCR|2VULN|2DMG|2DUR	13FEWX|29DMG|4aVULN|5SNIHEL|6RCR|78DUR
422	34221 31115	   	151.73	DCR|2VULN|1AART|1DMG|1ZMB	18DUST|2DMG|3ZMB|4LWND|5AART|6LEGI|7aVULN|9RCR
423	34231 21442	   	151.73	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2DMG|3ZMB|4BEXP|5AART|6LSRHEA|7VENICY|8aVULN|9RCR
424	32261 13234	   	151.70	DCR|2VULN|2DMG|2ZMB|1DUR	1DUST|23ZMB|4DUR|59DMG|68VULN|7CGEN|aRCR
425	43261 13224	   	151.70	DCR|2VULN|2DMG|2ZMB|1DUR	13ZMB|2LEGI|4DUR|59DMG|68VULN|7CGEN|aRCR
426	51233 46133	   	151.69	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|29LIT|3AART|4CGEN|5DMG|6ZMB|7VULN|8RCR|aCDMG
427	51253 21163	   	151.69	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	15RCVC|2LIT|3AART|4VULN|6BEXP|7DMG|8RCR|9ZMB|aCDMG
428	13231 52346	   	151.65	ACR|1AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3RCR|4BEXP|5AART|6LHND|7DUR|8CDMG|9VULN|aDMG
429	13623 33426	   	151.58	DCR|2DMG|1AART|1VULN|1CDMG	16FEWX|2DMSP|37DMG|4CDMG|5DUST|8VULN|9RCR|aAART
430	33531 33426	   	151.58	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2DMSP|3CDMG|47DMG|56FEWX|8VULN|9RCR|aAART
431	34133 33426	   	151.58	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|27DMG|36FEWX|4CDMG|5DMSP|8VULN|9RCR|aAART
432	12322 53521	   	151.56	DCR|3VULN|1AART|1ZMB|1DUR	1FEWX|2ZMB|3DUR|4LHND|579VULN|6AART|8LIT|aRCR
433	13221 32346	   	151.55	ACR|1AART|1DMG|1VULN|1CDMG|1DUR	1FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|7DUR|8CDMG|9VULN|aDMG
434	53221 32346	   	151.55	ACR|1AART|1DMG|1VULN|1CDMG|1DUR	1RCVC|2FEWX|3RCR|4LWND|5AART|6LEGI|7DUR|8CDMG|9VULN|aDMG
435	12356 26121	   	151.43	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|4VULN|5DMG|6CGEN|7AART|8RPLT|9CDMG|aRCR
436	42411 31262	   	151.37	ACR|2VULN|1DMG|2ZMB|1ASPD|1DUR	19ZMB|2RCVC|3RCR|4CGEN|59BEXP|6DUR|7ASPD|89VULN|9BPWR|aDMG
437	42412 31262	   	151.37	ACR|2VULN|1DMG|2ZMB|1DUR|1ASPD	19ZMB|2RCVC|3RCR|4CGEN|59LWND|6DUR|7ASPD|89VULN|9BPWR|aDMG
438	12321 51541	   	151.35	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3DUR|4LHND|5CDMG|6aVULN|7AART|8LIT|9RCR
439	13622 52221	 * 	151.27	DCR|2DMG|2AART|2CDMG	1FEWX|2DMSP|36DMG|46CDMG|5RMIN|6BPWR|7aAART|8BEXP|9RCR
440	14122 52221	   	151.27	DCR|2DMG|2AART|2CDMG	13FEWX|26DMG|46CDMG|5RMIN|6BPWR|7aAART|8BEXP|9RCR
441	14213 52221	   	151.27	DCR|2DMG|2AART|2CDMG	1FEWX|26DMG|3RMIN|4RCVC|56CDMG|6BPWR|7aAART|8BEXP|9RCR
442	53622 52221	   	151.27	DCR|2DMG|2AART|2CDMG	1RCVC|2FEWX|36DMG|46CDMG|5RMIN|6BPWR|7aAART|8BEXP|9RCR
443	42117 34721	 * 	151.27	DCR|2DMG|1AART|3DUR|2ZMB	19ZMB|2RCVC|3TLV|4MBVNT|569DUR|79DMG|8RCR|9BPWR|aAART
444	32122 56115	   	151.23	DCR|2VULN|1AART|1DMG|1ZMB	18DUST|2ZMB|3FEWX|4LHND|5aVULN|6AART|7DMG|9RCR
445	13633 31145	   	151.23	DCR|3DMG|1VULN|1CDMG	1FEWX|2DMSP|379DMG|4VULN|5SNIHEL|6RCR|8LWND|aCDMG
446	13633 31345	   	151.23	DCR|3DMG|1VULN|1CDMG	1FEWX|2DMSP|379DMG|4VULN|5SNIHEL|6RCR|8LHND|aCDMG
447	14133 31145	   	151.23	DCR|3DMG|1VULN|1CDMG	13FEWX|279DMG|4VULN|5SNIHEL|6RCR|8LWND|aCDMG
448	14133 31345	   	151.23	DCR|3DMG|1VULN|1CDMG	13FEWX|279DMG|4VULN|5SNIHEL|6RCR|8LHND|aCDMG
449	12162 33245	   	151.21	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR	135FEWX|2ZMB|4DUR|68VULN|7RCR|9DMG|aCDMG
