0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21333 25366	6	 * 	273.29	DCR|4VULN|3ASPD|3TLV|2LIT	189TLV|27LIT|3MBVNT|489ASPD|5689VULN|89BPWR|aRCR
325	51348 21132	6	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|28LIT|3MBVNT|46VULN|5MLV|78DMG|8BPWR|9CDMG|aRCR
326	51365 31132	4	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|24LIT|3MBVNT|58VULN|6RMIN|78DMG|8BPWR|9CDMG|aRCR
327	24631 51321	8	   	245.43	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|28DUST|3CDMG|49aVULN|56DUR|7RCR
328	51345 37141	8	   	245.35	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|478VULN|5DMSP|67DUR|7BPWR|9RCVC|aRCR
329	51345 37342	7	   	245.35	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|47aVULN|5DMSP|67DUR|7BPWR|8LWND|9RCR
330	51347 47323	7	   	245.35	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8LWND|9ZMB|aRCR
331	51347 47341	8	   	245.35	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8DMSP|9RCVC|aRCR
332	51347 47341	7	   	245.35	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8LWND|9RCR|aLHND
333	21124 32362	4	   	245.33	DCR|2VULN|2DMG|3LIT|2TLV|1AART	19TLV|278LIT|3CGEN|49DMG|59VULN|6RCR|9BPWR|aAART
334	23524 32362	4	   	245.33	DCR|2VULN|2DMG|3LIT|2TLV|1AART	19TLV|2CGEN|378LIT|49DMG|59VULN|6RCR|9BPWR|aAART
335	51347 37224	9	   	245.32	DCR|2VULN|3DUR|2ASPD|1CDMG	17ASPD|2LIT|3MBVNT|47VULN|567DUR|7BPWR|8BELT|9CDMG|aRCR
336	51347 47343	7	   	245.25	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8LWND|9RCR|aBBNT
337	51347 47344	7	   	245.25	DCR|3VULN|2DUR|2ASPD	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8LWND|9RCR|aERES
338	24231 51222	1	   	245.21	DCR|3VULN|3DUR|1TLV	1TLV|239DUR|478VULN|5FEWX|6RCR|aDMSP
339	24231 51224	1	   	245.21	DCR|3VULN|3DUR|1TLV	1TLV|239DUR|478VULN|5aFEWX|6RCR
340	24231 51233	1	   	245.21	DCR|3VULN|3DUR|1TLV	1TLV|23aDUR|478VULN|5FEWX|6RCR|9LHND
341	24232 51225	1	   	245.21	DCR|3VULN|3DUR|1TLV	1TLV|23aDUR|478VULN|5BEXP|6RCR|9RMIN
342	24231 51221	1	   	245.11	DCR|3VULN|3DUR|1TLV	1TLV|239DUR|478VULN|5FEWX|6RCR|aBBNT
343	24231 51225	1	   	245.11	DCR|3VULN|3DUR|1TLV	1TLV|239DUR|478VULN|5FEWX|6RCR|aERES
344	51345 37132	8	   	245.11	DCR|3VULN|2DUR|2ASPD|1SELL	17ASPD|2LIT|3MBVNT|478VULN|5DMSP|67DUR|7BPWR|9SELL|aRCR
345	51347 47332	8	   	245.11	DCR|3VULN|2DUR|2ASPD|1SELL	17ASPD|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8DMSP|9SELL|aRCR
346	15326 22161	10	 * 	245.09	DCR|3VULN|2TLV|1DMG|2CDMG	17LHND|28CDMG|3RCVC|457VULN|67TLV|7BPWR|9DMG|aRCR
347	51343 37473	7	 * 	245.05	DCR|2VULN|2DUR|2ASPD|1DMG|2LIT	17ASPD|25LIT|3MBVNT|47VULN|67DUR|7BPWR|8DMG|9LHND|aRCR
348	51343 37633	10	   	245.05	DCR|2VULN|2DUR|2ASPD|1DMG|2LIT	17ASPD|25LIT|3MBVNT|47VULN|67DUR|7BPWR|8RPLT|9DMG|aRCR
349	26221 53253	7	   	245.00	DCR|4VULN|2ASPD|1TLV	1TLV|29ASPD|3CGEN|468aVULN|5FEWX|7RCR
350	51343 57112	6	 * 	245.00	DCR|2VULN|3ASPD|3LIT|1DMG|1TLV	168ASPD|258LIT|3MBVNT|48VULN|7RCR|8BPWR|9TLV|aDMG
351	21124 32561	4	   	244.99	DCR|3VULN|3LIT|2TLV|1DMG	19TLV|279LIT|3aCGEN|4DMG|589VULN|6RCR|9BPWR
352	21124 32563	4	   	244.99	DCR|3VULN|3LIT|2TLV|1DMG	19TLV|279LIT|3CGEN|4DMG|589VULN|6RCR|9BPWR|aLHND
353	51343 37732	7	 * 	244.95	DCR|2VULN|2DUR|2ASPD|2CDMG|2LIT	17ASPD|25LIT|3MBVNT|47VULN|67DUR|7BPWR|89CDMG|aRCR
354	25121 53523	7	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1TLV|2CDMG|3ASPD|47VULN|5LWND|6DUR|8AART|9DMG|aRCR
355	25121 23524	7	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1TLV|2CDMG|3ASPD|47VULN|5LWND|6RCR|8AART|9DMG|aDUR
356	25123 11523	6	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1TLV|2CDMG|3ASPD|45VULN|6LWND|7DUR|8AART|9DMG|aRCR
357	25123 51523	5	   	244.87	DCR|2VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1TLV|2CDMG|3ASPD|45VULN|6LHND|7DUR|8AART|9DMG|aRCR
358	35124 14312	8	   	244.85	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|48VULN|5LIT|6DUR|79DMG|aRCR
359	21333 21432	6	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|56VULN|78DMG|9CDMG|aRCR
360	21333 43412	6	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|58VULN|6CDMG|79DMG|aRCR
361	21333 45312	8	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|58VULN|6CDMG|79DMG|aRCR
362	21333 45412	7	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|58VULN|6CDMG|79DMG|aRCR
363	21335 83412	4	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|5CDMG|69DMG|78VULN|aRCR
364	21336 13412	5	   	244.75	DCR|2VULN|2DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|59DMG|6CDMG|78VULN|aRCR
365	21334 35135	2	   	244.57	DCR|3VULN|2TLV|2LIT|1CDMG|1ASPD	18TLV|28LIT|3ZMB|4ASPD|58aVULN|6RCR|7RCVC|8BPWR|9CDMG
366	23334 35135	1	   	244.57	DCR|3VULN|2TLV|2LIT|1CDMG|1ASPD	18TLV|28LIT|3ZMB|4ASPD|58aVULN|6RCR|7RCVC|8BPWR|9CDMG
367	24231 53432	1	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|23DUR|4aVULN|5FEWX|6RCR|7ASPD|8DMG|9LIT
368	24232 53432	1	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|23DUR|4aVULN|5BEXP|6RCR|7ASPD|8DMG|9LIT
369	26343 62232	8	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|2ASPD|3FEWX|4DMG|5aVULN|6RCR|78DUR|9LIT
370	26343 62332	7	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|2ASPD|3FEWX|4DMG|5aVULN|6RCR|78DUR|9LIT
371	21336 27832	6	   	244.35	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|5DMG|67DUR|8RCR|9aVULN
372	31343 37162	9	   	244.34	DCR|3VULN|2DUR|2LIT|1CDMG	17ZMB|25LIT|3MBVNT|478VULN|67DUR|7BPWR|9CDMG|aRCR
373	31347 27162	9	   	244.34	DCR|3VULN|2DUR|2LIT|1CDMG	17ZMB|26LIT|3MBVNT|478VULN|57DUR|7BPWR|9CDMG|aRCR
374	21334 33535	2	   	244.32	DCR|3VULN|2ASPD|1TLV|1CDMG	1TLV|2LIT|3ZMB|47ASPD|58aVULN|6RCR|9CDMG
375	23334 33535	1	   	244.32	DCR|3VULN|2ASPD|1TLV|1CDMG	1TLV|2LIT|3ZMB|47ASPD|58aVULN|6RCR|9CDMG
376	25124 33151	9	   	244.32	DCR|3VULN|2ASPD|1TLV|1CDMG	1TLV|2CDMG|39ASPD|467VULN|5LIT|8RPLT|aRCR
377	51347 44442	7	   	244.22	DCR|3VULN|2ASPD|1DUR|1CDMG	19ASPD|2LIT|3MBVNT|468VULN|5DUR|7CDMG|aRCR
378	51347 44842	8	   	244.22	DCR|3VULN|2ASPD|1DUR|1CDMG	19ASPD|2LIT|3MBVNT|468VULN|5DUR|7CDMG|aRCR
379	21383 21132	6	   	244.21	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	18TLV|28LIT|3MBVNT|4ZMB|56VULN|78DMG|8BPWR|9CDMG|aRCR
380	31347 47473	7	 * 	244.20	DCR|3VULN|2DUR|1DMG	17ZMB|2LIT|3MBVNT|467VULN|57DUR|7BPWR|8DMG|9LHND|aRCR
381	21327 34718	4	   	244.14	DCR|3VULN|2ASPD|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58ASPD|6RCR|78aVULN|8BPWR|9BEXP
382	21347 34718	3	   	244.14	DCR|3VULN|2ASPD|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58ASPD|6RCR|78aVULN|8BPWR|9BEXP
383	21368 41132	4	   	244.11	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG|1NUKE	18TLV|24LIT|3MBVNT|5NUKE|68VULN|78DMG|8BPWR|9CDMG|aRCR
384	31347 47732	8	   	244.10	DCR|3VULN|2DUR|2CDMG	17ZMB|2LIT|3MBVNT|467VULN|57DUR|7BPWR|89CDMG|aRCR
385	21333 38366	5	   	244.10	DCR|3VULN|3ASPD|3TLV	189TLV|2LIT|3MBVNT|489ASPD|589VULN|6RCVC|7DMSP|89BPWR|aRCR
386	25124 33623	8	   	244.07	DCR|3VULN|2ASPD|1TLV|1CDMG|1SELL	1TLV|2CDMG|3aASPD|467VULN|5LIT|8SELL|9RCR
387	25124 32423	8	   	244.07	DCR|3VULN|2ASPD|1TLV|1CDMG|1SELL	1TLV|2CDMG|3aASPD|468VULN|5LIT|7SELL|9RCR
388	21452 52132	1	   	244.07	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG|1SELL	18TLV|2RPLT|37LIT|48DMG|58VULN|6SELL|8BPWR|9CDMG|aRCR
389	21334 52836	4	   	244.04	DCR|3VULN|2ASPD|2TLV|1AART	19TLV|2LIT|3MBVNT|49ASPD|5BBNT|6AART|789VULN|9BPWR|aRCR
390	21337 41632	5	   	244.02	DCR|2VULN|2ASPD|1DMG|1TLV|2LIT|1CDMG	1TLV|25LIT|3MBVNT|45ASPD|5BPWR|68VULN|7DMG|9CDMG|aRCR
391	25263 61212	2	   	243.99	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR|1AART	1aTLV|2aCDMG|3AART|4MBVNT|5DMG|6RCVC|7DUR|8RCR|9aVULN|aBPWR
392	23522 36136	9	   	243.91	DCR|2VULN|2DUR|1DMG|2TLV|2LIT	17TLV|2CGEN|37LIT|4DMG|5FEWX|67DUR|7BPWR|89VULN|aRCR
393	23641 53213	7	   	243.85	DCR|4VULN|1DMG|1TLV	1TLV|2CGEN|368aVULN|4DMG|59FEWX|7RCR
394	24312 54531	1	   	243.85	DCR|4VULN|2TLV|1DUR	17TLV|2DUR|37BEXP|4RPLT|579aVULN|6MBVNT|7BPWR|8RCR
395	21334 33143	2	 * 	243.81	DCR|2VULN|3ASPD|2TLV|1DMG|2LIT	18TLV|28LIT|3ZMB|47aASPD|58VULN|6RCR|8BPWR|9DMG
396	21344 37142	8	   	243.81	DCR|2VULN|2DUR|2TLV|1DMG|2LIT	17TLV|27LIT|3MBVNT|4CGEN|5DMG|67DUR|7BPWR|8aVULN|9RCR
397	23334 33143	1	   	243.81	DCR|2VULN|3ASPD|2TLV|1DMG|2LIT	18TLV|28LIT|3ZMB|47aASPD|58VULN|6RCR|8BPWR|9DMG
398	26453 11212	6	   	243.77	DCR|3VULN|1TLV|1CDMG|1ASPD|1AART	1TLV|2ASPD|3RPLT|478VULN|5LIT|6AART|9RCR|aCDMG
399	25121 23123	8	   	243.77	DCR|3VULN|1TLV|1CDMG|1ASPD|1AART	1TLV|2CDMG|3ASPD|47aVULN|5LWND|6RCR|8LIT|9AART
400	26663 11212	6	   	243.77	DCR|3VULN|1TLV|1CDMG|1ASPD|1AART	1TLV|2ASPD|378VULN|4RPLT|5LIT|6AART|9RCR|aCDMG
401	25534 23212	6	   	243.75	DCR|4VULN|2CDMG|1TLV	1TLV|29CDMG|3LHND|478aVULN|5CGEN|6RCR
402	51343 56144	4	   	243.67	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1ASPD|2LIT|3MBVNT|489VULN|5CDMG|6DUR|7AART|aRCR
403	51343 46147	4	   	243.67	DCR|3VULN|1DUR|1CDMG|1ASPD|1AART	1ASPD|2LIT|3MBVNT|489VULN|5CDMG|6RCR|7AART|aDUR
404	23635 53113	10	   	243.65	DCR|4VULN|1DMG|1TLV	1TLV|2CGEN|369aVULN|48DUST|5DMG|7RCR
405	24224 23233	10	   	243.65	DCR|4VULN|3TLV|1DUR	14aTLV|2aDUST|3DUR|5CGEN|689aVULN|7RCR|aBPWR
406	24224 23236	9	   	243.65	DCR|4VULN|2TLV|1DUR	14TLV|2DUST|3DUR|5CGEN|689aVULN|7RCR
407	24234 23233	10	   	243.65	DCR|4VULN|2TLV|1DUR	1aTLV|24aDUST|3DUR|5CGEN|689aVULN|7RCR|aBPWR
408	45231 21221	7	   	243.65	DCR|4VULN|2CDMG|1DUR	1ERES|26CDMG|3FEWX|489aVULN|5DUR|7RCR
409	45531 21221	7	   	243.65	DCR|4VULN|2CDMG|1DUR	1ERES|26CDMG|3LHND|489aVULN|5DUR|7RCR
410	44631 21221	7	   	243.55	DCR|4VULN|2CDMG|1DUR	1ERES|2DUST|36CDMG|489aVULN|5DUR|7RCR
411	55313 22323	2	 * 	243.43	DCR|2VULN|3DUR|2ASPD|2CDMG	1aASPD|24CDMG|35aDUR|6LWND|7LHND|8aVULN|9RCR|aBPWR
412	55313 42323	2	   	243.43	DCR|2VULN|3DUR|2ASPD|2CDMG	1aASPD|24CDMG|35aDUR|6FEWX|7LHND|8aVULN|9RCR|aBPWR
413	21333 45376	10	   	243.41	DCR|2VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|58VULN|6CDMG|7DMG|9DUR|aRCR
414	21321 84253	5	   	243.41	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3MBVNT|4AART|56DMG|7RCR|8CDMG|9aVULN
415	21321 87213	5	   	243.41	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3MBVNT|4AART|56DMG|7aVULN|8CDMG|9RCR
416	34641 21212	1	   	243.40	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD|1AART	1ZMB|2aDUR|3ASPD|4CDMG|5aCGEN|6DMG|7AART|8RCR|9aVULN|aBPWR
