0	Index      	 *	Score 	Summary	Detail	
1	31514 43322	 * 	223.92	ACR|1BASARM|3BEXP|1ASPD|1DMG	14DUST|2RCR|3VENFST|5ASPD|678BEXP|9BASARM|aDMG
315	31421 33314	   	197.62	ACR|1BASARM|2VULN|1ASPD|1AART	1DUST|2RCR|3AART|4MDPS|5TLV|6ERES|7ASPD|89VULN|aBASARM
316	31631 24234	   	197.62	ACR|1BASARM|2VULN|1DMG|1CDMG	13DUST|2RCR|4DMG|5CDMG|6TLV|79VULN|8SNIHEL|aBASARM
317	21252 25141	 * 	197.57	ACR|3DMG|3CDMG|1AART|1AAC	147FEWX|2RCR|39LWND|579DMG|679CDMG|79BPWR|8AAC|aAART
318	31443 25231	   	197.55	ACR|1BASARM|3BEXP|1AART	19DUST|2RCR|3AART|48aBEXP|5RCVC|6CGEN|7BASARM
319	21563 14323	   	197.55	ACR|1BASARM|3BEXP|1CDMG	1FEWX|2RCR|3VENFST|4NUKE|5CDMG|68aBEXP|7RPLT|9BASARM
320	61433 25211	   	197.50	ACR|1BASARM|3BEXP|1AART|1SELL	16DUR|2RCR|3AART|4MLV|58aBEXP|7BASARM|9SELL
321	21561 22126	 * 	197.45	ACR|3DMG|1BASARM	17FEWX|2RCR|37VENFST|4NUKE|579DMG|6MDPS|7BPWR|8RPLT|aBASARM
322	31443 25211	   	197.40	ACR|1BASARM|3BEXP|1AART|1SELL	1DUST|2RCR|3AART|48aBEXP|5RCVC|6CGEN|7BASARM|9SELL
323	21524 33322	   	197.40	ACR|1BASARM|3BEXP|1CDMG|1SELL	1aFEWX|2RCR|3VENFST|478BEXP|5SELL|6CDMG|9BASARM
324	21524 33326	   	197.40	ACR|1BASARM|3BEXP|1CDMG|1SELL	1FEWX|2RCR|3VENFST|478BEXP|5SELL|6CDMG|9BASARM|aLWND
325	31433 65211	   	197.30	ACR|1BASARM|3BEXP|1AART|1SELL	16DUST|2RCR|3AART|4MLV|58aBEXP|7BASARM|9SELL
326	21524 33324	   	197.30	ACR|1BASARM|3BEXP|1CDMG|1SELL	1FEWX|2RCR|3VENFST|478BEXP|5SELL|6CDMG|9BASARM|aSPLREG
327	21524 33325	   	197.30	ACR|1BASARM|3BEXP|1CDMG|1SELL	1FEWX|2RCR|3VENFST|478BEXP|5SELL|6CDMG|9BASARM|aMDPS
328	31561 22126	   	197.25	ACR|3DMG|1BASARM	17DUST|2RCR|37VENFST|4NUKE|579DMG|6MDPS|7BPWR|8RPLT|aBASARM
329	25412 36321	   	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1FEWX|2DUR|3AART|4FLTFST|5RCR|6DMG|7LIT|8BEXP|9ASPD|aBASARM
330	35412 36321	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1DUST|2DUR|3AART|4FLTFST|5RCR|6DMG|7LIT|8BEXP|9ASPD|aBASARM
331	31631 61335	   	196.37	ACR|3DMG|1ASPD|1BEXP|1CDMG	13DUST|2RCR|469DMG|5CDMG|7LIT|8ASPD|aBEXP
332	31321 43515	   	196.31	ACR|3VULN|2BEXP|1ASPD|1DMG	1DUST|2RCR|368VULN|4LHND|57BEXP|9DMG|aASPD
333	31331 43515	   	196.31	ACR|3VULN|2BEXP|1ASPD|1DMG	1DUST|2RCR|368VULN|4LWND|57BEXP|9DMG|aASPD
334	21353 22635	 * 	196.29	ACR|3VULN|1ASPD|1DMG|1BASICY|1AAC	14FEWX|2RCR|37aVULN|5BASICY|6AAC|8ASPD|9DMG
335	51323 22635	   	196.29	ACR|3VULN|1ASPD|1DMG|1BASICY|1AAC	14LHND|2RCR|37aVULN|5BASICY|6AAC|8ASPD|9DMG
336	51323 12332	 * 	196.20	ACR|1BASARM|3VULN|1BASICY	14LHND|2RCR|39aVULN|5BASICY|6LWND|7MSLREG|8BASARM
337	61363 42332	   	196.20	ACR|1BASARM|3VULN|1BASICY	14DUR|2RCR|39aVULN|5BASICY|6LHND|7MSLREG|8BASARM
338	21152 34633	   	196.16	ACR|2ASPD|1DMG|1BEXP|1CDMG|1AAC	1FEWX|2RCR|3RMIN|4AAC|5BEXP|6DMG|7VULN|8CDMG|9aASPD
339	31152 34633	   	196.06	ACR|2ASPD|1DMG|1BEXP|1CDMG|1AAC	1DUST|2RCR|3RMIN|4AAC|5BEXP|6DMG|7VULN|8CDMG|9aASPD
340	51123 33152	   	196.00	ACR|3DMG|3BEXP	1aLHND|2RCR|3RMIN|4VULN|5MDPS|69aDMG|78aBEXP|aBPWR
341	51333 63152	   	196.00	ACR|3DMG|3BEXP	1aLHND|2RCR|3VULN|49aDMG|5MDPS|6RMIN|78aBEXP|aBPWR
342	51233 51124	   	195.85	ACR|2DMG|2BEXP|1ASPD|1AART	1aLHND|2RCR|3LWND|4aDMG|5MDPS|6ASPD|7MLV|8AART|9aBEXP|aBPWR
343	51333 53232	   	195.84	ACR|3BEXP|2VULN|1ASPD|1DMG	1aLHND|2RCR|3aVULN|4DMG|5MDPS|6ASPD|79aBEXP|8RCVC|aBPWR
344	51333 53532	   	195.84	ACR|3BEXP|2VULN|1ASPD|1DMG	18aLHND|2RCR|3aVULN|4DMG|5MDPS|6ASPD|79aBEXP|aBPWR
345	51331 33612	 * 	195.84	ACR|3BEXP|2VULN|2CDMG|1DMG	1LHND|2RCR|39VULN|4DMG|5CGEN|69aBEXP|7MLV|89CDMG|9BPWR
346	21441 21333	 * 	195.75	ACR|2ASPD|2BEXP|2VULN|1AART	1FEWX|2RCR|3AART|4aBEXP|5LIT|6LWND|7aASPD|8ERES|9aVULN|aBPWR
347	21441 51333	   	195.75	ACR|2ASPD|2BEXP|2VULN|1AART	1FEWX|2RCR|3AART|4aBEXP|5LIT|6LHND|7aASPD|8ERES|9aVULN|aBPWR
348	61441 21333	   	195.75	ACR|2ASPD|2BEXP|2VULN|1AART	1DUR|2RCR|3AART|4aBEXP|5LIT|6LWND|7aASPD|8ERES|9aVULN|aBPWR
349	21414 52212	 * 	195.75	ACR|2ASPD|2BEXP|2CDMG|1AART	1aFEWX|2RCR|3AART|4FLTFST|5aASPD|68CDMG|7LIT|9aBEXP|aBPWR
350	51632 24113	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	15LHND|2RCR|3aBEXP|48DMG|6CDMG|7DUR|9ASPD
351	61232 26113	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1DUR|2RCR|34LWND|58DMG|6CDMG|7aBEXP|9ASPD
352	61262 26113	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	14DUR|2RCR|3LWND|58DMG|6CDMG|7aBEXP|9ASPD
353	51311 35612	   	195.74	ACR|3BEXP|2VULN|1DMG|2CDMG	1LHND|2RCR|39VULN|4ERES|5CGEN|69aBEXP|7DMG|89CDMG|9BPWR
354	51334 33612	   	195.74	ACR|3BEXP|2VULN|2CDMG|1DMG	1LHND|2RCR|39VULN|4DMG|5ERES|69aBEXP|7MLV|89CDMG|9BPWR
355	21113 26254	   	195.64	ACR|1BASARM|2DMG|1CDMG	1FEWX|2RCR|3RMIN|4aAME|5MLV|6CDMG|7aDMG|8BASARM|9aDUR|aBPWR
356	51432 21321	   	195.64	ACR|1BASARM|2DMG|1CDMG	15LHND|2RCR|3DUR|4aDMG|6CDMG|7RPLT|8VENTOX|9BASARM
357	51333 53433	   	195.64	ACR|3BEXP|2VULN|1ASPD|1DMG	1LHND|2RCR|38VULN|4DMG|5MDPS|6ASPD|79aBEXP
358	31414 52212	   	195.55	ACR|2ASPD|2BEXP|2CDMG|1AART	1aDUST|2RCR|3AART|4FLTFST|5aASPD|68CDMG|7LIT|9aBEXP|aBPWR
359	31113 26254	   	195.54	ACR|1BASARM|2DMG|1CDMG	1DUST|2RCR|3RMIN|4aAME|5MLV|6CDMG|7aDMG|8BASARM|9aDUR|aBPWR
360	51432 13321	   	195.54	ACR|1BASARM|2DMG|1BEXP	15LHND|2RCR|3DUR|4aDMG|6SPLARM|7BEXP|8ZMB|9BASARM
361	21353 22234	 * 	195.53	ACR|2DMG|2VULN|1BASICY|1CDMG|1AAC	14FEWX|2RCR|37VULN|5BASICY|6AAC|89DMG|aCDMG
362	51323 22234	   	195.53	ACR|2DMG|2VULN|1BASICY|1CDMG|1AAC	14LHND|2RCR|37VULN|5BASICY|6AAC|89DMG|aCDMG
363	31631 31321	   	195.44	ACR|1BASARM|2DMG|1CDMG	13DUST|2RCR|4aDMG|5CDMG|6FEWX|7RPLT|8VENTOX|9BASARM
364	21561 22422	   	195.44	ACR|1BASARM|2DMG|1BEXP	17FEWX|2RCR|37VENFST|4NUKE|57DMG|6MDPS|7BPWR|8BEXP|9BASARM|aDUR
365	21561 22423	   	195.44	ACR|1BASARM|2DMG|1BEXP	17FEWX|2RCR|37VENFST|4NUKE|57DMG|6MDPS|7BPWR|8BEXP|9BASARM|aCGEN
366	21152 31116	 * 	195.39	ACR|2DMG|1ASPD|1BASICY|1BEXP|1AAC|1SELL	1FEWX|2RCR|3RMIN|4AAC|5BEXP|68DMG|7SELL|9ASPD|aBASICY
367	21561 22421	   	195.34	ACR|1BASARM|2DMG|1BEXP	17FEWX|2RCR|37VENFST|4NUKE|57DMG|6MDPS|7BPWR|8BEXP|9BASARM|aDUST
368	21561 22523	   	195.34	ACR|1BASARM|2DMG|1BEXP	17FEWX|2RCR|37VENFST|4NUKE|57DMG|6MDPS|7BPWR|8DUST|9BASARM|aBEXP
369	31416 23226	   	195.34	ACR|1BASARM|3AART|1BEXP	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9LHND|aBEXP
370	31414 13325	 * 	195.33	ACR|2DMG|1ASPD|1BASICY|1AART|1AAC	1DUST|2RCR|3AART|4FLTFST|5ASPD|68DMG|7VENICY|9AAC|aBASICY
371	31414 33315	   	195.33	ACR|2ASPD|1DMG|1BASICY|1AART|1AAC	1DUST|2RCR|3AART|4FLTFST|59ASPD|6AAC|7VENICY|8DMG|aBASICY
372	31152 31116	   	195.29	ACR|2DMG|1ASPD|1BASICY|1BEXP|1AAC|1SELL	1DUST|2RCR|3RMIN|4AAC|5BEXP|68DMG|7SELL|9ASPD|aBASICY
373	21561 23423	   	195.24	ACR|1BASARM|2DMG|1BEXP	1FEWX|2RCR|3VENFST|4NUKE|58DMG|6MDPS|7DUST|9BASARM|aBEXP
374	16332 43215	 * 	195.13	DCR|1BASARM|2ASPD|2DMG|1BEXP	1ERES|28DMG|37ASPD|4VULN|5BASARM|6BEXP|9RPLT|aRCR
375	16132 42316	 * 	194.94	DCR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1ERES|2DMG|3AAC|47VULN|5BASARM|6BEXP|8CDMG|9ASPD|aRCR
376	61433 25221	   	194.69	ACR|1BASARM|2BEXP|1AART|1AAC	16DUR|2RCR|3AART|4MLV|58BEXP|7BASARM|9AAC|aAEFBLL
377	31443 25221	   	194.59	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2RCR|3AART|48BEXP|5RCVC|6CGEN|7BASARM|9AAC|aAEMAG
378	31433 65221	   	194.49	ACR|1BASARM|2BEXP|1AART|1AAC	16DUST|2RCR|3AART|4MLV|58BEXP|7BASARM|9AAC|aAEFBLL
379	61416 12231	   	194.47	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AART	1DUR|2RCR|3AART|4FLTFST|5CGEN|67DMG|8CDMG|9ASPD|aBEXP
380	51632 25232	 * 	194.37	ACR|2DMG|2CDMG|1ASPD|1BEXP	157LHND|2RCR|3BEXP|47DMG|67CDMG|7BPWR|8RCVC|9ASPD|aVULN
381	31153 22266	 * 	194.11	ACR|1BASARM|1ASPD|2AAC|1CDMG	1DUST|2RCR|3RMIN|48AAC|5MLV|6CDMG|7LIT|9BASARM|aASPD
382	21325 32266	 * 	194.03	ACR|2DMG|3VULN|2BEXP	1FEWX|2RCR|39aVULN|4LHND|5LIT|69DMG|7SNIFST|89BEXP|9BPWR
383	21335 32266	   	194.03	ACR|2DMG|3VULN|2BEXP	1FEWX|2RCR|39aVULN|4LWND|5LIT|69DMG|7SNIFST|89BEXP|9BPWR
