0	Index      	 *	Score 	Summary	Detail	
1	25253 21332	 * 	221.54	DCR|3ASPD|2VULN|2AART	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9aAART
318	25233 22641	   	192.22	DCR|2ASPD|1VULN|1AART|1DMG	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7AART|8FEWX|9VULN|aDMG
319	25233 26341	   	192.22	DCR|2ASPD|1AART|1VULN|1DMG	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7LHND|8AART|9VULN|aDMG
320	25643 23322	   	192.21	DCR|3ASPD|2DMG|1VULN	15aASPD|2RCVC|3VULN|4aDMG|6RCR|7CGEN|8MLV|9aFEWX|aBPWR
321	25643 23332	   	192.21	DCR|3ASPD|2DMG|1VULN	15aASPD|2RCVC|3VULN|4aDMG|6RCR|7CGEN|8MLV|9aLHND|aBPWR
322	23136 51433	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2DUST|3AART|4AME|5CDMG|6DMSP|7RCR|8ZMB|9aVULN
323	25233 22511	   	192.12	DCR|2ASPD|1VULN|1AART|1DMG	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7AART|8VULN|9DUST|aDMG
324	25233 25311	   	192.12	DCR|2ASPD|1VULN|1AART|1DMG	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7VULN|8AART|9DUST|aDMG
325	25253 26311	   	192.12	DCR|2ASPD|1VULN|1AART|1DMG	15ASPD|2RCVC|3RMIN|4VULN|6RCR|7BEXP|8AART|9DUST|aDMG
326	25623 34331	   	192.10	DCR|3ASPD|1VULN|1AART|1DMG|1AAC	156ASPD|2RCVC|3VULN|4AAC|7DMG|8AART|9RCR|aMLV
327	25623 34332	   	192.10	DCR|3ASPD|1VULN|1AART|1DMG|1AAC	156ASPD|2RCVC|3VULN|4AAC|7DMG|8AART|9RCR|aAME
328	21136 51432	   	192.08	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1ASPD|2LHND|36AART|4AME|5CDMG|7RCR|8ZMB|9VULN|aRMIN
329	25632 24221	   	192.06	DCR|3VULN|2ASPD|1CDMG	17ASPD|2RCVC|369VULN|4CDMG|5DMSP|8RMIN|aRCR
330	23115 51433	   	192.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2DUST|3AART|4TLV|5CDMG|6DMSP|7RCR|8ZMB|9aVULN
331	23136 31433	   	192.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|26DUST|3AART|4AME|5CDMG|7RCR|8ZMB|9aVULN
332	25253 21413	   	192.02	DCR|3ASPD|2VULN|1ZMB	157ASPD|2RCVC|3RMIN|4aVULN|6RCR|8ZMB|9LWND
333	25643 21222	   	192.01	DCR|3ASPD|2DMG|1VULN	157ASPD|2RCVC|3VULN|49DMG|6RCR|8CGEN|aRPLT
334	25623 34333	   	192.00	DCR|3ASPD|1VULN|1AART|1DMG|1AAC	156ASPD|2RCVC|3VULN|4AAC|7DMG|8AART|9RCR|aMBVNT
335	23413 21334	   	191.99	DCR|2VULN|2ASPD|1AART|1ZMB	15ASPD|2DUST|3ZMB|49VULN|6RCR|7TLV|8LIT|aAART
336	21115 51432	   	191.98	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1ASPD|2LHND|36AART|4TLV|5CDMG|7RCR|8ZMB|9VULN|aRMIN
337	23453 23332	   	191.97	DCR|2ASPD|3ZMB|1AART|1DMG|1DUR	15ASPD|2DUST|389ZMB|4DUR|6RCR|7AART|aDMG
338	21146 11222	   	191.95	DCR|2AART|1VULN|2CDMG|1ASPD	1ASPD|2LHND|38AART|4RMIN|56CDMG|7RCR|9LWND|aVULN
339	23115 31433	   	191.92	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|26DUST|3AART|4TLV|5CDMG|7RCR|8ZMB|9aVULN
340	25253 21183	   	191.92	DCR|3ASPD|2VULN|1ZMB	157ASPD|2RCVC|3RMIN|4aVULN|6RCR|8MBVNT|9ZMB
341	25643 21223	   	191.91	DCR|3ASPD|2DMG|1VULN|1SELL	157ASPD|2RCVC|3VULN|49DMG|6RCR|8CGEN|aSELL
342	25643 23123	   	191.90	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB	15ASPD|2RCVC|3VULN|4DMG|6RCR|7CGEN|8ZMB|9FEWX|aNUKE
343	25643 23133	   	191.90	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB	15ASPD|2RCVC|3VULN|4DMG|6RCR|7CGEN|8ZMB|9LHND|aNUKE
344	21146 11232	   	191.85	DCR|2AART|1VULN|2CDMG|1ASPD	1ASPD|2LHND|38AART|4RMIN|56CDMG|7RCR|9DUST|aVULN
345	23146 11212	   	191.85	DCR|2AART|1VULN|2CDMG|1ASPD	1ASPD|2DUST|38AART|4RMIN|56CDMG|7RCR|9LHND|aVULN
346	23146 11252	   	191.85	DCR|2AART|1VULN|2CDMG|1ASPD	1ASPD|2DUST|38AART|4RMIN|56CDMG|7RCR|9LWND|aVULN
347	23413 22616	   	191.85	DCR|2VULN|2ASPD|1AART|1ZMB|1SELL	15ASPD|2DUST|3ZMB|4aVULN|6RCR|7SELL|8LIT|9AART
348	25253 21422	   	191.70	DCR|3ASPD|1VULN|1DMG|1ZMB	157ASPD|2RCVC|3RMIN|4VULN|6RCR|8ZMB|9DMG|aMLV
349	25253 21423	   	191.70	DCR|3ASPD|1VULN|1DMG|1ZMB	157ASPD|2RCVC|3RMIN|4VULN|6RCR|8ZMB|9DMG|aLHND
350	21411 61135	 * 	191.62	DCR|1VULN|2CDMG|1ASPD|1DMG|1NUKE|1ZMB	1ASPD|2LHND|3ZMB|4VULN|5RPLT|6DMG|78CDMG|9RCR|aNUKE
351	25253 21421	   	191.60	DCR|3ASPD|1VULN|1DMG|1ZMB|1MSE	157ASPD|2RCVC|3RMIN|4VULN|6RCR|8ZMB|9DMG|aMSE
352	51161 22216	   	191.59	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1MSLFST|2DMG|3DUR|4ASPD|5VULN|6FEWX|7AART|8RCR|9AME|aNUKE
353	51223 15216	   	191.59	DCR|1AART|1VULN|1ASPD|1NUKE|1DMG|1DUR	1MSLFST|2DMG|3VULN|4DUR|5LHND|6AART|7ASPD|8RCR|9AME|aNUKE
