0	Index      	 *	Score 	Summary	Detail	
1	25531 31336	 * 	192.73	ACR|3DMG|2VULN|2AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|68AART|7BPWR|9CGEN
333	15215 36112	 * 	168.57	DCR|4VULN|1AART|1CDMG	1DUST|2AART|3567VULN|45BEXP|5BPWR|8RCR|9CDMG|aDMSP
334	15215 36113	   	168.47	DCR|4VULN|1AART|1CDMG	1DUST|2AART|3567VULN|45BEXP|5BPWR|8RCR|9CDMG|aERES
335	15216 36112	   	168.47	DCR|4VULN|1AART|1CDMG	1DUST|2AART|3567VULN|4BEXP|8RCR|9CDMG|aDMSP
336	42621 24331	   	168.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|34VULN|5MLV|6AART|7DMG|8ZMB|9DUR|aLHND
337	42621 24333	   	168.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|34VULN|5MLV|6AART|7DMG|8ZMB|9DUR|aBEXP
338	15216 36113	   	168.37	DCR|4VULN|1AART|1CDMG	1DUST|2AART|3567VULN|4BEXP|8RCR|9CDMG|aERES
339	42533 32263	 * 	168.29	ACR|2DMG|1AART|1VULN|3DUR	1RCVC|2RCR|3AART|459DUR|6VULN|7MLV|8aDMG
340	62316 33135	   	168.22	DCR|3VULN|1AART|1DMG|1DUR	1AIRHEL|2LEGI|3DMG|48aVULN|5RMIN|6RCR|7DUR|9AART
341	42651 31412	 * 	168.15	ACR|4VULN|1DMG|1CDMG	1RCVC|2RCR|378aVULN|4CDMG|5DMG|6MBVNT|9MLV
342	25531 32336	 * 	168.01	ACR|2VULN|1AART|3ASPD|1DMG	1LEGI|29VULN|3RCR|4DMG|5BELT|6AART|79aASPD|89FEWX|9BPWR
343	12342 66321	   	167.99	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|29VULN|3BASHEA|4aCDMG|5AART|6RCR|7DMG|8RCVC
344	12342 61512	   	167.89	DCR|2VULN|1AART|1DMG|2CDMG	17DUST|2aVULN|3BASHEA|48CDMG|5AART|6RCR|9DMG
345	15234 23261	   	167.87	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78FEWX|8BPWR|9DMG|aZMB
346	25532 33251	   	167.84	ACR|1AART|1DMG|1VULN|1FLTHEA|2DUR|1ZMB	1LEGI|2VULN|3RCR|4DMG|5AART|67DUR|8FEWX|9FLTHEA|aZMB
347	25531 22613	   	167.82	ACR|3VULN|2DMG|2DUR	1LEGI|29aVULN|3RCR|47DMG|5BELT|68DUR
348	14333 25623	   	167.81	DCR|2AART|2DMG|1VULN|1DUR	17DUST|2RPLT|39AART|47LHND|57DMG|6RCR|7BPWR|8VULN|aDUR
349	15234 21163	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2AART|37VULN|4BASHEA|5ASPD|6RCR|8LHND|9ZMB|aDMG
350	15234 25323	   	167.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2AART|3VULN|4BASHEA|5ASPD|6RCR|7ZMB|8aDMG|9RMIN
351	15232 21364	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8DUR|9DMG|aRCVC
352	15232 21365	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8DUR|9DMG|aBEXP
353	15232 21366	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8DUR|9DMG|aLHND
354	25532 33351	   	167.74	ACR|1AART|1DMG|1VULN|1FLTHEA|2DUR|1ZMB	1LEGI|2VULN|3RCR|4DMG|5AART|67DUR|8DUST|9FLTHEA|aZMB
355	12424 34331	   	167.73	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3DMG|5AART|6CDMG|7SELL|8RCR|9ZMB|aLHND
356	12424 34332	   	167.73	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3DMG|5AART|6CDMG|7SELL|8RCR|9ZMB|aBEXP
357	25532 31133	   	167.72	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|68DUR|9ASPD|aLWND
358	25532 31134	   	167.72	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|68DUR|9ASPD|aMLV
359	25532 31136	   	167.72	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|68DUR|9ASPD|aRCVC
360	25532 33533	   	167.72	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|28VULN|3RCR|4DMG|5AART|67DUR|9ASPD|aLWND
361	42621 41313	   	167.69	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|34VULN|5MLV|6AIRHEL|7AART|8ASPD|9ZMB|aDMG
362	42626 31313	   	167.69	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|34VULN|5LSRICY|6ERES|7AART|8ASPD|9ZMB|aDMG
363	15232 26363	   	167.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	17DUST|2AART|3VULN|4BASHEA|5ZMB|6RCR|8DUR|9aDMG
364	15232 21362	   	167.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8DUR|9DMG|aTLV
365	25532 31132	   	167.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|68DUR|9ASPD|aERES
366	25532 33532	   	167.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|28VULN|3RCR|4DMG|5AART|67DUR|9ASPD|aERES
367	25163 15121	   	167.62	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|29VULN|3RPLT|4AART|58DMG|6ZMB|7DUST|aRCR
368	14313 25133	   	167.47	DCR|3DMG|2AART|1ZMB	17DUST|2RPLT|39AART|47FEWX|578DMG|6RCR|7BPWR|aZMB
369	61235 36122	 * 	167.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1AIRHEL|2DUST|3CGEN|4aDMG|5DUR|6RCR|7AART|8FLTHEA|9VULN
370	62235 36122	   	167.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1AIRHEL|2LEGI|3CGEN|4aDMG|5DUR|6RCR|7AART|8FLTHEA|9VULN
371	42235 24214	   	167.40	ACR|3VULN|1AART|1DMG	1RCVC|2RCR|37LWND|4AART|57CGEN|67aVULN|7BPWR|8DMG|9MBVNT
372	25116 32426	   	167.30	ACR|3VULN|1AART|1DMG|1ZMB	1LEGI|269VULN|3RPLT|4MBVNT|5RCR|7DMG|8ZMB|aAART
373	14363 22242	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2RPLT|3AART|4aVULN|5DMG|6RCR|7DUR|8CGEN|9ZMB
374	14363 23613	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2RPLT|3AART|4aVULN|5DMG|6RCR|7BELT|8ZMB|9DUR
375	14363 26312	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2RPLT|3AART|4aVULN|5DMG|6RCR|7ZMB|8ASPD|9FEWX
376	14363 26331	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2RPLT|3AART|49VULN|5DMG|6RCR|7ZMB|8ASPD|aLHND
377	14363 26332	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2RPLT|3AART|49VULN|5DMG|6RCR|7ZMB|8ASPD|aBEXP
378	14363 26333	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2RPLT|3AART|49VULN|5DMG|6RCR|7ZMB|8ASPD|aCGEN
379	14363 23222	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2RPLT|3AART|48VULN|5DMG|6RCR|7BELT|9DUR|aZMB
380	14363 23632	   	167.27	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2RPLT|3AART|4VULN|59DMG|6RCR|7BELT|8ZMB|aASPD
381	12261 51224	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|246VULN|3CDMG|5DMG|7LWND|8RMIN|9RCR|aAART
382	12261 51324	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|246VULN|3CDMG|5DMG|7LWND|8CGEN|9RCR|aAART
383	12261 61324	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|247VULN|3CDMG|5DMG|6FEWX|8CGEN|9RCR|aAART
384	12422 33124	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|247VULN|3DMG|5MLV|6CDMG|8LHND|9RCR|aAART
385	25261 63123	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|247VULN|3CDMG|5DMG|6CGEN|8LHND|9RCR|aAART
386	25422 33123	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|247VULN|3DMG|5MLV|6CDMG|8LHND|9RCR|aAART
387	12261 24331	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aLHND
388	12261 24332	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aBEXP
389	12261 24334	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aRCVC
390	12261 24335	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aMLV
391	25261 24331	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1LEGI|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aLHND
392	25261 24332	   	167.13	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1LEGI|24VULN|3CDMG|5DMG|6AART|7SELL|8RCR|9ZMB|aBEXP
393	12261 52122	   	167.13	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|246VULN|3CDMG|5DMG|7ERES|8LHND|9RCR|aAART
394	25422 33324	   	167.13	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|247VULN|3DMG|5MLV|6CDMG|8DUST|9RCR|aAART
395	13422 36121	   	167.12	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2LHND|38DMG|49VULN|5AART|6RPLT|7ZMB|aRCR
396	42251 51111	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2RCR|3LWND|4CDMG|5aDMG|67VULN|8LIT|9ZMB
397	42622 61111	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2RCR|34VULN|5BEXP|6CDMG|7aDMG|8LIT|9ZMB
398	42623 61111	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2RCR|34VULN|5LWND|6CDMG|7aDMG|8LIT|9ZMB
399	25632 21362	   	167.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|27VULN|3AART|4BASHEA|5ZMB|6RCR|8DUR|9DMG|aTLV
400	63433 22263	   	167.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1AIRHEL|2ZMB|3AART|4DUR|57DUST|6RCR|8VULN|9aDMG
401	13421 31361	   	167.06	DCR|2VULN|2DMG|2AART	17DUST|2LHND|37DMG|47VULN|5BELT|68AART|7BPWR|9BEXP|aRCR
402	16421 31361	   	167.06	DCR|2VULN|2DMG|2AART	17DUST|2LWND|37DMG|47VULN|5BELT|68AART|7BPWR|9BEXP|aRCR
403	25441 31321	   	167.06	DCR|2VULN|2DMG|2AART	1LEGI|27VULN|37DMG|47FEWX|5BELT|68AART|7BPWR|9DUST|aRCR
404	25451 31321	   	167.06	DCR|2VULN|2DMG|2AART	1LEGI|27VULN|37DMG|47BEXP|5BELT|68AART|7BPWR|9DUST|aRCR
405	12421 23343	   	167.05	DCR|2VULN|2DMG|1AART|1ASPD	159DUST|24VULN|3aDMG|6AART|7ASPD|8RCR
406	14313 25222	   	167.01	DCR|2VULN|2DMG|1AART	17DUST|2RPLT|3AART|47FEWX|57DMG|6RCR|7BPWR|8BEXP|9aVULN
407	14313 25422	   	167.01	DCR|2VULN|2DMG|1AART	17DUST|2RPLT|3AART|47FEWX|57DMG|6RCR|7BPWR|8LHND|9aVULN
408	14333 25232	   	167.01	DCR|2VULN|2DMG|1AART	17DUST|2RPLT|3AART|47LHND|57DMG|6RCR|7BPWR|8BEXP|9aVULN
409	14333 25612	   	167.01	DCR|2VULN|2DMG|1AART	17DUST|2RPLT|3AART|47LHND|57DMG|6RCR|7BPWR|8aVULN|9FEWX
410	14363 21125	   	167.01	DCR|2VULN|2DMG|1AART	1aDUST|2RPLT|3AART|49VULN|5aDMG|6RCR|7aFEWX|8RCVC|aBPWR
411	12431 31361	   	166.96	DCR|2VULN|2DMG|2AART	17DUST|27VULN|37DMG|4LEGI|5BELT|68AART|7BPWR|9BEXP|aRCR
412	12532 33111	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|26VULN|3RCR|4DMG|59AART|7LHND|8DUR|aLIT
413	12532 33113	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|26VULN|3RCR|4DMG|59AART|7LHND|8DUR|aLWND
414	12532 33115	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|26VULN|3RCR|4DMG|59AART|7LHND|8DUR|aFEWX
415	13532 31111	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|67VULN|8DUR|aLIT
416	13532 31113	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|67VULN|8DUR|aLWND
417	13532 31115	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|67VULN|8DUR|aFEWX
418	13532 34316	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7FEWX|aDUR
419	16532 31111	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|67VULN|8DUR|aLIT
420	16532 31113	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2aLWND|3RCR|4DMG|59AART|67VULN|8DUR
421	16532 31115	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|67VULN|8DUR|aFEWX
422	12532 53232	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2aVULN|3RCR|4DMG|57AART|6DUR|8FEWX|9LWND
423	12532 53511	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|57AART|6DUR|9LHND|aLIT
424	12532 53513	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|57AART|6DUR|9LHND|aLWND
425	12532 56311	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|59AART|6DUR|7LWND|aLIT
426	12532 56313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|59AART|6DUR|7aLWND
427	13532 33235	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6aVULN|7DUR|8BEXP
428	13532 33311	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7DUR|aLIT
429	13532 33313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7DUR|aLWND
430	13532 33315	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7DUR|aFEWX
431	13532 51235	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|7aVULN|8BEXP
432	13532 51311	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aLIT
433	13532 51313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aLWND
434	13532 51315	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aFEWX
435	13532 54332	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|7FEWX|8aVULN
436	16532 33235	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|6aVULN|7DUR|8BEXP
437	16532 33311	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|68VULN|7DUR|aLIT
438	16532 33313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2aLWND|3RCR|4DMG|59AART|68VULN|7DUR
439	16532 33315	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|68VULN|7DUR|aFEWX
440	16532 33532	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|6aVULN|7DUR|8FEWX
441	16532 51311	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|6DUR|78VULN|aLIT
442	16532 51313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2aLWND|3RCR|4DMG|59AART|6DUR|78VULN
443	21532 31311	   	166.93	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aLIT
444	21532 31313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aLWND
445	21532 31315	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aFEWX
446	21532 31316	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aDMSP
447	21532 31632	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|7aVULN|8FEWX
448	21532 34332	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|7FEWX|8aVULN
449	25532 31211	   	166.93	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8FEWX|aLIT
450	25532 31213	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8FEWX|aLWND
451	25532 31215	   	166.93	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8aFEWX
452	25532 34311	   	166.93	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUR|7FEWX|aLIT
453	25532 34313	   	166.93	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUR|7FEWX|aLWND
454	12532 33112	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|26VULN|3RCR|4DMG|59AART|7LHND|8DUR|aERES
455	12532 33116	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|26VULN|3RCR|4DMG|59AART|7LHND|8DUR|aLEGI
456	12532 36263	   	166.83	ACR|2AART|2VULN|1DMG|1ASPD	1DUST|26VULN|3RCR|4DMG|5aAART|7ASPD|8LHND|9DLOT
457	13532 31112	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|67VULN|8DUR|aERES
458	13532 31116	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|67VULN|8DUR|aLEGI
459	16532 31112	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|67VULN|8DUR|aERES
460	16532 31116	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|67VULN|8DUR|aLEGI
461	16532 36314	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|68VULN|7MBVNT|aDUR
462	25532 11111	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUST|8DUR|aLIT
463	25532 11113	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUST|8DUR|aLWND
464	25532 11115	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUST|8DUR|aFEWX
465	25532 11116	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUST|8DUR|aLHND
466	12532 53512	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|57AART|6DUR|9LHND|aERES
467	12532 53521	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	19DUST|28VULN|3RCR|4DMG|57AART|6DUR|aLHND
468	12532 53522	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	19DUST|28VULN|3RCR|4DMG|57AART|6DUR|aBEXP
469	12532 56312	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|28VULN|3RCR|4DMG|59AART|6DUR|7LWND|aERES
470	13532 33312	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7DUR|aERES
471	13532 33316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|68VULN|7DUR|aLEGI
472	13532 51312	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aERES
473	13532 51316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aLEGI
474	16532 33312	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|68VULN|7DUR|aERES
475	16532 33316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|68VULN|7DUR|aLEGI
476	16532 51312	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|59AART|6DUR|78VULN|aERES
477	21532 15335	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUST|7DUR|8aVULN
478	21532 31312	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|78VULN|aERES
479	21532 33335	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|59AART|6DUR|7DUST|8aVULN
480	25532 13235	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|2aVULN|3RCR|4DMG|59AART|6DUST|7DUR|8BEXP
481	25532 13311	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUST|7DUR|aLIT
482	25532 13313	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUST|7DUR|aLWND
483	25532 13315	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUST|7DUR|aFEWX
484	25532 13316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUST|7DUR|aLHND
485	25532 31212	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8FEWX|aERES
486	25532 31311	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8DUST|aLIT
487	25532 31313	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8DUST|aLWND
488	25532 31315	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8DUST|aFEWX
489	25532 31316	   	166.83	ACR|2AART|2VULN|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8DUST|aLHND
490	25532 34312	   	166.83	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUR|7FEWX|aERES
491	12511 32246	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|26VULN|3RCR|4RPLT|5DUR|7DMG|8BEXP|9AART|aCDMG
492	12532 35326	   	166.73	ACR|2VULN|2AART|1DMG|1DUR	189DUST|26VULN|3RCR|4DMG|5aAART|7DUR
493	25532 11112	   	166.73	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUST|8DUR|aERES
494	12532 51326	   	166.73	ACR|2VULN|2AART|1DMG|1DUR	189DUST|27VULN|3RCR|4DMG|5aAART|6DUR
495	25532 13312	   	166.73	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|28VULN|3RCR|4DMG|59AART|6DUST|7DUR|aERES
496	25532 31312	   	166.73	ACR|2VULN|2AART|1DMG|1DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6DUR|8DUST|aERES
497	42251 61221	 * 	166.70	ACR|3DMG|3CDMG|1VULN	1RCVC|2RCR|367LWND|47aCDMG|578DMG|7BPWR|9VULN
498	25163 22242	   	166.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2aVULN|3RPLT|4AART|5DMG|6RCR|7DUR|8CGEN|9ZMB
499	12541 21632	   	166.63	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUST|28VULN|3RCR|4DUR|56ASPD|7LIT|9AART|aDMG
500	25441 31231	   	166.62	DCR|2DMG|2VULN|1AART|1ZMB	1LEGI|27VULN|37DMG|47FEWX|5BELT|6AART|7BPWR|8ERES|9ZMB|aRCR
501	21532 32511	 * 	166.59	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1LEGI|29LHND|3RCR|49DMG|5AART|6DUR|7CGEN|89CDMG|9BPWR|aZMB
502	15452 22333	 * 	166.58	DCR|2AART|3ZMB|1DMG|2DUR|1ASPD	17DUST|24AART|3DMG|579ZMB|67DUR|7BPWR|8RCR|aASPD
503	16421 31231	   	166.52	DCR|2VULN|2DMG|1AART|1ZMB	17DUST|2LWND|37DMG|47VULN|5BELT|6AART|7BPWR|8ERES|9ZMB|aRCR
