0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	LV4RO	65053_10_23	33526 16312	 * 	286.06	ACR|5VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|2AART|379ZMB|47aDMG|5679aVULN|79aBPWR|89aCDMG
289	OQ3VV	73215_07_05	32123 63255	   	266.51	ACR|5VULN|3DMG|2AART|3ZMB	1479aVULN|2RCR|39aDMG|59aZMB|68AART|9aBPWR
290	4LVZQ	15424_08_18	62135 12325	   	266.51	ACR|5VULN|3DMG|2AART|3ZMB	189ZMB|2RCR|34789VULN|589DMG|6aAART|89BPWR
291	N4R25	68435_07_14	52363 21313	   	266.51	ACR|5VULN|3DMG|2AART|3ZMB	178DMG|26AART|3RCR|4789aVULN|578ZMB|78BPWR
292	PP25C	75991_07_25	52361 12213	   	266.51	ACR|5VULN|3DMG|2AART|3ZMB	179ZMB|2RCR|35789VULN|479DMG|6aAART|79BPWR
293	H7DPV	51442_02_04	46251 32211	   	266.50	ACR|4VULN|3DMG|2AART|3CDMG|1ZMB	1RCR|2489VULN|3aAART|5ZMB|689CDMG|789DMG|89BPWR
294	SOQJ3	84583_01_17	35231 14322	   	266.50	ACR|4VULN|3DMG|2AART|3CDMG|1ZMB	1RCR|289CDMG|37AART|489DMG|5689VULN|89BPWR|aZMB
295	CNVOH	38573_05_14	12232 41113	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	1789aVULN|2CDMG|39aZMB|49aDMG|5AART|6RCR|9aBPWR
296	DCOPR	40437_11_20	12625 26223	   	266.49	DCR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|2389aVULN|4CDMG|58aZMB|68aDMG|7RCR|8aBPWR
297	K3LKR	59717_12_03	53226 32226	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|2ASPD	1789aVULN|2aASPD|378ZMB|478DMG|5AART|6RCR|78aBPWR
298	T7MPO	85918_02_25	32332 61463	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	189DMG|248ZMB|34789VULN|489BPWR|5AART|6RCR|aCDMG
299	3MT6T	12638_05_15	13253 23433	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	178DMG|23789VULN|478ZMB|5AART|6RCR|78BPWR|aCDMG
300	NS9G9	70539_06_26	11323 66225	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|1FLTHEA	13789VULN|237ZMB|378BPWR|478DMG|5AART|6RCR|aFLTHEA
301	NS9G9	70539_06_26	11323 66226	   	266.49	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	13789VULN|237ZMB|378BPWR|478DMG|5AART|6RCR|aCDMG
302	Z817B	2691_03_05	52321 24331	   	266.42	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|367ZMB|4AART|5678VULN|678BPWR|9CDMG|aDUR
303	Z817B	2691_03_05	52321 24336	   	266.42	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|367ZMB|4AART|5678VULN|678BPWR|9CDMG|aASPD
304	15UNR	5375_09_06	32451 32312	   	266.42	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|3CDMG|4AART|578aVULN|678ZMB|78BPWR|9DUR
305	O9LTV	71740_08_18	22646 33313	   	266.42	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA	1RCR|2789VULN|3DUR|4AART|578ZMB|678DMG|78BPWR|aFLTHEA
306	APN3D	32986_09_17	31362 33553	   	266.42	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|278DMG|3578VULN|4AART|678ZMB|78BPWR|9DUR|aCDMG
307	P75NZ	74386_08_20	51431 32212	   	266.41	ACR|4VULN|3DMG|3ZMB|1AART|2ASPD|2DUR	178aVULN|2RCR|378ZMB|4aDUR|5aASPD|678DMG|78aBPWR|9AART
308	DRLSQ	41775_06_22	13334 11255	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|289ZMB|3AART|49CDMG|568DMG|789aVULN|89BPWR
309	KKT23	61263_11_16	34623 41333	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|257ZMB|3AART|457aVULN|57aBPWR|678DMG|9aCDMG
310	TOFQ5	87423_09_24	32626 21334	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|278DMG|3AART|4aCDMG|578ZMB|678aVULN|78aBPWR|9aLIT
311	6ZLTG	19256_11_18	33135 51513	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|257aVULN|3AART|47CDMG|67aDMG|7aBPWR|89aZMB
312	OKU1G	72750_03_30	46315 22211	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|289DMG|3AART|4aCDMG|5689VULN|789ZMB|89BPWR
313	86CST	25511_09_14	65212 31336	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|257DMG|3AART|47aZMB|679aVULN|7aBPWR|8aCDMG
314	9RJJN	30285_06_15	51536 13121	   	266.39	ACR|4VULN|3DMG|3ZMB|1AART|3ASPD	1RCR|278ZMB|3AART|49aDMG|578ASPD|6789VULN|789BPWR
315	6E8IO	20475_07_07	33142 12336	   	266.37	DCR|5VULN|3DMG|3ZMB|1AART|2DUR	1478aVULN|278ZMB|3AART|578DMG|6RCR|78aBPWR|9aDUR
316	GVGHA	50732_01_09	33352 22416	   	266.32	ACR|5VULN|3DMG|1AART|3CDMG|1FLTHEA	178DMG|2AART|3RCR|478CDMG|56789VULN|78BPWR|aFLTHEA
317	TTGFT	87874_03_19	14611 22114	   	266.32	ACR|5VULN|3DMG|1AART|3CDMG|2ASPD	189CDMG|2AART|3RCR|4aASPD|589DMG|6789aVULN|89aBPWR
318	SER6P	83687_08_12	62122 13165	   	266.31	DCR|4VULN|3DMG|2AART|3ZMB|1CDMG	189DMG|2CDMG|34AART|589ZMB|6RCR|789aVULN|89BPWR
319	89RG2	25821_10_11	51253 13531	   	266.31	DCR|4VULN|3DMG|2AART|3ZMB|1CDMG	1289VULN|34AART|589DMG|6RCR|789ZMB|89BPWR|aCDMG
320	PPMAD	76048_01_28	52233 14234	   	266.31	DCR|4VULN|3DMG|2AART|3ZMB|1CDMG	178ZMB|278DMG|39AART|4578VULN|6RCR|78BPWR|aCDMG
321	NNBEL	70096_05_14	34221 41215	   	266.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	178DMG|2RCR|378ZMB|45678VULN|78BPWR|9CDMG|aAART
322	SGF39	83833_02_04	22113 11151	   	266.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	179ZMB|25789VULN|3RCR|479DMG|6AART|79BPWR|aCDMG
323	35ORV	11101_01_11	31116 24122	   	266.30	ACR|4VULN|3DMG|1AART|3CDMG|1FLTHEA|1ZMB	1689VULN|2RCR|3AART|4FLTHEA|589DMG|789CDMG|89BPWR|aZMB
324	TUJ85	87971_08_30	41533 26223	   	266.21	ACR|5VULN|3DMG|1AART|3CDMG|2DUR	178CDMG|2RCR|3aDUR|4AART|5789aVULN|678DMG|78aBPWR
325	89BI3	25777_02_04	11112 21662	   	266.20	ACR|4VULN|3DMG|2AART|2FLTHEA|3DUR	1RCR|2aAART|378DUR|49FLTHEA|5789VULN|678DMG|789BPWR
326	Z8C5R	2721_11_19	52312 41143	   	266.20	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|289ZMB|3AART|4DUR|589DMG|6789aVULN|89BPWR
327	A85N3	31412_10_21	23522 41531	   	266.19	DCR|4VULN|3DMG|2AART|3ZMB|2DUR	12AART|378DMG|478aVULN|578ZMB|6RCR|78aBPWR|9aDUR
328	HI62H	52407_04_16	21216 31131	   	266.19	ACR|5VULN|3DMG|3ZMB|1AART|2DUR	179ZMB|2679aVULN|3RCR|4AART|567DMG|679BPWR|89DUR
329	LTUEL	64946_02_15	13412 22514	   	266.13	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1589VULN|289DMG|3RCR|46AART|789ZMB|89BPWR|aCDMG
330	OLPQP	72828_02_26	23614 33253	   	266.13	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1789VULN|2CDMG|3RCR|4aAART|589ZMB|689DMG|89BPWR
331	6QTKV	21611_03_05	21132 32465	 * 	266.11	DCR|4VULN|3DMG|3ZMB|3FLTHEA|1AART	138ZMB|29aDMG|489FLTHEA|5AART|6RCR|789aVULN|89aBPWR
332	SU5NS	85062_11_19	13463 24323	   	266.11	DCR|4VULN|3DMG|3ZMB|1AART|3CDMG	189CDMG|27aDMG|389aVULN|489ZMB|5AART|6RCR|89aBPWR
333	3M88J	12579_08_22	22226 66132	   	266.09	DCR|5VULN|3DMG|2AART|3ZMB	1489aVULN|25AART|389ZMB|6RCR|789DMG|89BPWR
334	L17UH	62370_12_29	12136 36335	   	266.09	DCR|5VULN|3DMG|2AART|3ZMB	17aZMB|29AART|3578aVULN|47aDMG|6RCR|7aBPWR
335	6MLTT	21230_08_31	64322 33213	   	266.08	ACR|5VULN|3DMG|3CDMG|1AART|1ZMB	1RCR|289CDMG|34589VULN|6AART|789DMG|89BPWR|aZMB
336	RQDER	81854_10_03	33432 31323	   	266.08	ACR|5VULN|3DMG|3CDMG|1AART|1ZMB	1RCR|279DMG|379CDMG|45789VULN|6AART|79BPWR|aZMB
337	KKZ5Q	61182_11_24	31222 24621	   	266.08	ACR|5VULN|3DMG|3CDMG|1AART|1ZMB	1RCR|2478aVULN|347DMG|478BPWR|578CDMG|6AART|9ZMB
338	KKZ5Q	61182_11_24	33622 24621	   	266.08	ACR|5VULN|3DMG|3CDMG|1AART|1ZMB	1RCR|247DMG|3478aVULN|478BPWR|578CDMG|6AART|9ZMB
339	SZH68	82403_07_06	34323 53211	   	266.08	ACR|5VULN|3DMG|3CDMG|1AART|1ZMB	1RCR|278CDMG|3ZMB|4789aVULN|578DMG|6AART|78BPWR
