0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55122 31711	1	 * 	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17CDMG|2aDMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR
357	62223 13264	3	   	244.10	DCR|3VULN|2DUR|1DMG	1ZMB|2DMG|39aVULN|46DUR|5LIT|7LHND|8RCR
358	62223 22234	3	   	244.10	DCR|3VULN|2DUR|1DMG	1ZMB|2DMG|36aVULN|47DUR|5LIT|8RCR|9LHND
359	53353 43121	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6LIT|7DMG|8LWND|9RCR
360	53353 43121	7	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6LIT|7DMG|8BEXP|9RCR
361	53353 43132	9	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|39VULN|6LIT|7DMG|8LWND|aRCR
362	53353 43312	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|38VULN|6LIT|7DMG|9LHND|aRCR
363	53353 43322	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|38VULN|6LIT|7DMG|9LWND|aRCR
364	53321 11111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|256DUR|3aVULN|4LWND|7LIT|8RCR|9DMG
365	53321 14621	6	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|256DUR|3aVULN|4LWND|7DMG|8LIT|9RCR
366	53341 11111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|256DUR|3aVULN|4LHND|7LIT|8RCR|9DMG
367	53353 21111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6LWND|7LIT|8RCR|9DMG
368	53353 51111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6BEXP|7LIT|8RCR|9DMG
369	53353 61111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6LHND|7LIT|8RCR|9DMG
370	53356 11111	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|246DUR|3aVULN|5LHND|7LIT|8RCR|9DMG
371	53313 11543	10	   	244.00	DCR|3VULN|2DUR|2CDMG	14CDMG|25DUR|39aVULN|6LIT|7RCVC|8RCR
372	56223 13511	9	   	244.00	DCR|3VULN|2DUR|2CDMG	17CDMG|2ERES|37aVULN|4LIT|5CGEN|67DUR|7BPWR|8RCR|9DUST
373	61323 22254	3	   	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|27DUR|3LIT|4DMG|56aVULN|8RCR|9DUST
374	61323 22265	3	   	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|27DUR|3LIT|4DMG|56aVULN|8RCR|9MBVNT
375	62223 22254	3	   	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|2DMG|36aVULN|47DUR|5LIT|8RCR|9DUST
376	62223 22265	3	   	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|2DMG|36aVULN|47DUR|5LIT|8RCR|9MBVNT
377	53331 11111	8	   	243.97	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|256DUR|3aVULN|4LEGI|7LIT|8RCR|9DMG
378	53353 42111	8	   	243.97	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|245DUR|3aVULN|6LIT|7DUST|8RCR|9DMG
379	53331 14621	6	   	243.97	DCR|2VULN|3DUR|1DMG|1CDMG	1CDMG|256DUR|3aVULN|4LEGI|7DMG|8LIT|9RCR
380	41161 11523	4	 * 	243.93	ACR|4VULN|2DMG|2DUR	19CGEN|28DUR|3RCR|49DMG|569aVULN|7RMIN|9BPWR
381	22221 11655	4	   	243.85	DCR|4VULN|1DMG|1TLV	1LWND|2TLV|3BEXP|4CGEN|569aVULN|7RCR|8DMG
382	22231 11655	4	   	243.85	DCR|4VULN|1DMG|1TLV	1LWND|2TLV|3BEXP|4MLV|569aVULN|7RCR|8DMG
383	23213 21655	3	   	243.85	DCR|4VULN|1DMG|1TLV	1LWND|2MLV|3BEXP|459aVULN|6TLV|7RCR|8DMG
384	41353 13622	7	   	243.81	DCR|3VULN|3DUR|2LIT	1CGEN|28aDUR|35LIT|479VULN|6RCR
385	41353 11122	8	   	243.81	DCR|3VULN|3DUR|2LIT	1CGEN|27aDUR|35LIT|489VULN|6RCR
386	12242 11553	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2ERES|3CGEN|468aVULN|5DUR|7RCR|9DMG
387	12322 11553	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2ERES|368aVULN|4CGEN|5DUR|7RCR|9DMG
388	13324 24433	1	   	243.75	DCR|4VULN|1DMG|1TLV	1LHND|2TBNT|359aVULN|4DMG|6BEXP|7RCR|8TLV
389	13324 34133	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8ZMB
390	13324 34333	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8RMIN
391	13324 46233	1	   	243.75	DCR|4VULN|1DMG|1TLV	1LHND|2TBNT|358aVULN|4DMG|6LWND|7TLV|9RCR
392	21851 44474	2	   	243.75	DCR|4VULN|1DMG|1TLV	13LWND|2MBVNT|3BPWR|4568VULN|7TLV|9DMG|aRCR
393	22213 11655	3	   	243.75	DCR|4VULN|1DMG|1TLV	1LWND|2TLV|3BEXP|459aVULN|6ERES|7RCR|8DMG
394	22521 52233	3	   	243.75	DCR|4VULN|2TLV|1DUR	1LWND|26TLV|3ZMB|4DUR|568aVULN|6BPWR|7BBNT|9RCR
395	23324 24433	1	   	243.75	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|359aVULN|4DMG|6BEXP|7RCR|8TLV
396	23324 26233	1	   	243.75	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|358aVULN|4DMG|6BEXP|7TLV|9RCR
397	23324 34133	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LWND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8ZMB
398	23324 34333	1	   	243.75	DCR|4VULN|1DMG|1DUR	1LWND|2TBNT|359aVULN|4DMG|6DUR|7RCR|8RMIN
399	23324 46233	1	   	243.75	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|358aVULN|4DMG|6LHND|7TLV|9RCR
400	26241 12233	4	   	243.75	DCR|4VULN|1DMG|1TLV	1LWND|2DMG|3FEWX|4TLV|568aVULN|7BBNT|9RCR
401	42621 12233	2	   	243.75	DCR|4VULN|1DMG|1DUR	1CGEN|2DMG|3LWND|4DUR|568aVULN|7BBNT|9RCR
402	42642 12233	2	   	243.75	DCR|4VULN|1DMG|1DUR	1CGEN|2DMG|3LWND|468aVULN|5DUR|7BBNT|9RCR
403	62241 62333	3	   	243.75	DCR|4VULN|1DMG|1DUR	1ZMB|2DMG|349aVULN|5BBNT|6FEWX|7RCR|8DUR
404	62241 62333	4	   	243.75	DCR|4VULN|1DMG|1DUR	1ZMB|2DMG|349aVULN|5BBNT|6FEWX|7RCR|8DUR
405	62314 24663	1	   	243.75	DCR|4VULN|1DMG|1TLV	1ZMB|2MBVNT|348aVULN|5BEXP|6TLV|7RCR|9DMG
406	53312 56111	9	   	243.65	DCR|4VULN|2CDMG|1DUR	14CDMG|2DUR|389aVULN|5ERES|6RCR|7LWND
407	13324 62333	1	   	243.65	DCR|4VULN|1DMG|1DUR|1NUKE	1LHND|2TBNT|359aVULN|4DMG|6NUKE|7RCR|8DUR
408	23324 56233	1	   	243.65	DCR|4VULN|1DMG|1TLV	1LWND|2TBNT|358aVULN|4DMG|6LEGI|7TLV|9RCR
409	23324 62333	1	   	243.65	DCR|4VULN|1DMG|1DUR|1NUKE	1LWND|2TBNT|359aVULN|4DMG|6NUKE|7RCR|8DUR
410	54233 84141	5	   	243.65	DCR|4VULN|2CDMG|1DUR	12CDMG|3MBVNT|489aVULN|5DUR|6RCR|7MLV
