0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62313 32355	1	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LEGI|235aVULN|4CGEN|6aDUR|7aDMG|8DLOT|9RCR|aBPWR
335	23256 42213	3	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|238VULN|46DUR|5DUST|7DMG|9CDMG|aRCR
336	33211 54213	4	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|4BEXP|5DMG|67DUR|9CDMG|aRCR
337	33221 54213	4	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|4FEWX|5DMG|67DUR|9CDMG|aRCR
338	43184 53412	4	   	238.35	DCR|3VULN|2DUR|2AART|2ASPD	17AART|25aVULN|3MBVNT|4aASPD|6RCR|8BBNT|9aDUR|aBPWR
339	43252 53412	5	   	238.35	DCR|3VULN|2DUR|2AART|2ASPD	17AART|23aVULN|4aASPD|5MBVNT|6RCR|8BBNT|9aDUR|aBPWR
340	43183 12612	4	   	238.35	DCR|3VULN|2DUR|2AART|2ASPD	17AART|26aVULN|3MBVNT|4aASPD|5TBNT|8RCR|9aDUR|aBPWR
341	23262 65233	9	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|23aVULN|4CGEN|5ASPD|6RCR|7DUR|8TLV|9CDMG
342	22566 13213	7	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2TLV|378VULN|4DUR|5ASPD|6RMIN|9CDMG|aRCR
343	23213 36113	3	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
344	23223 36113	3	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|235VULN|4RMIN|6DUR|7ASPD|8TLV|9CDMG|aRCR
345	23225 15143	3	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|23aVULN|4RMIN|5CDMG|6TLV|7ASPD|8DUR|9RCR
346	23263 36113	4	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
347	26221 31132	6	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7ASPD|8DUST|9DUR|aRCR
348	21163 38611	1	   	238.26	DCR|3VULN|3DUR|1DMG	128BEXP|268BPWR|368DUR|4MBVNT|568VULN|7RCR|9DMG|aFEWX
349	21163 38612	1	   	238.26	DCR|3VULN|3DUR|1DMG	128BEXP|268BPWR|368DUR|4MBVNT|568VULN|7RCR|9DMG|aCGEN
350	21163 38614	1	   	238.26	DCR|3VULN|3DUR|1DMG	128BEXP|268BPWR|368DUR|4MBVNT|568VULN|7RCR|9DMG|aZMB
351	32521 15143	7	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|2TLV|37aVULN|4ASPD|5MLV|6CDMG|8DUR|9RCR
352	33213 36113	3	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
353	33223 36113	3	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|235VULN|4RMIN|6DUR|7ASPD|8TLV|9CDMG|aRCR
354	33225 15143	3	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|23aVULN|4RMIN|5CDMG|6TLV|7ASPD|8DUR|9RCR
355	33262 65233	9	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|23aVULN|4CGEN|5ASPD|6RCR|7DUR|8TLV|9CDMG
356	33263 36113	4	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
357	33313 36113	2	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
358	33323 36113	2	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|235VULN|4RMIN|6DUR|7ASPD|8TLV|9CDMG|aRCR
359	33325 15143	2	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|23aVULN|4RMIN|5CDMG|6TLV|7ASPD|8DUR|9RCR
360	36221 12436	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|45aVULN|5BPWR|6LIT|7LHND|8RCR|9DUR
361	36221 31232	6	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7ASPD|8BEXP|9DUR|aRCR
362	62313 36113	1	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1LEGI|235VULN|4CGEN|6DUR|7ASPD|8TLV|9CDMG|aRCR
363	62323 36113	1	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1LEGI|235VULN|4RMIN|6DUR|7ASPD|8TLV|9CDMG|aRCR
364	26221 14113	5	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|36TLV|45aVULN|5BPWR|7FEWX|8DUR|9RCR
365	26221 25112	7	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|457VULN|5BPWR|6LHND|8DUR|9RCR
366	26221 26113	6	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|37TLV|45aVULN|5BPWR|6LHND|8DUR|9RCR
367	26221 26113	5	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|37TLV|45aVULN|5BPWR|6LHND|8DUR|9RCR
368	26221 34112	6	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|456VULN|5BPWR|7FEWX|8DUR|9RCR
369	26221 34112	7	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|456VULN|5BPWR|7LWND|8DUR|9RCR
370	26221 45112	7	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|457VULN|5BPWR|6LWND|8DUR|9RCR
371	26221 46113	6	   	238.22	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|37TLV|45aVULN|5BPWR|6LWND|8DUR|9RCR
372	62521 23316	3	   	238.21	DCR|2VULN|3DMG|1TLV|1AART	1LEGI|2TLV|39VULN|456DMG|7ERES|8RCR|aAART
373	41321 53131	6	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|2RCVC|3DMG|46aVULN|5CGEN|7RCR|8LIT|9TLV
374	41325 13131	6	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|2RCVC|3DMG|45aVULN|6CGEN|7RCR|8LIT|9TLV
375	41325 33131	6	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|2RCVC|3DMG|45aVULN|6RMIN|7RCR|8LIT|9TLV
376	43221 53131	4	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|23aVULN|4RCVC|5CGEN|6DMG|7RCR|8LIT|9TLV
377	43222 53131	5	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|23aVULN|4RCVC|5CGEN|6DMG|7RCR|8LIT|9TLV
378	43261 53131	4	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|23aVULN|4DMSP|5CGEN|6DMG|7RCR|8LIT|9TLV
379	43262 53131	5	   	238.17	DCR|3VULN|1TLV|1DMG|1AART	1AART|23aVULN|4DMSP|5CGEN|6DMG|7RCR|8LIT|9TLV
380	21163 38634	1	   	238.16	DCR|3VULN|3DUR|1DMG	128BEXP|268BPWR|368DUR|4MBVNT|568VULN|7RCR|9ERES|aDMG
381	26221 13113	5	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|36TLV|45aVULN|5BPWR|7DUST|8DUR|9RCR
382	26221 56113	6	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|37TLV|45aVULN|5BPWR|6LEGI|8DUR|9RCR
383	26221 33112	6	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|456VULN|5BPWR|7DUST|8DUR|9RCR
384	26221 33112	7	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|456VULN|5BPWR|7DUST|8DUR|9RCR
385	26221 55112	7	   	238.12	DCR|3VULN|2TLV|1DUR|1CDMG	15BEXP|2CDMG|3aTLV|457VULN|5BPWR|6LEGI|8DUR|9RCR
386	23523 36125	3	   	238.10	DCR|3VULN|1TLV|1DUR|1CDMG|1SELL	1BEXP|259VULN|3SELL|4CDMG|6DUR|7ASPD|8TLV|aRCR
387	43131 82331	4	   	238.07	DCR|2VULN|2DUR|1DMG|2CDMG|1AART	1AART|27VULN|3MBVNT|47DUR|5TBNT|67CDMG|7BPWR|8DMG|9ASPD|aRCR
388	43136 62331	5	   	238.07	DCR|2VULN|2DUR|1DMG|2CDMG|1AART	1AART|27VULN|3MBVNT|47DUR|57CDMG|6BBNT|7BPWR|8DMG|9ASPD|aRCR
389	43184 51233	4	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1AART|259VULN|3MBVNT|4ASPD|6RCR|7DMG|8BEXP|aTLV
390	43252 51233	5	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1AART|239VULN|4ASPD|5MBVNT|6RCR|7DMG|8BEXP|aTLV
391	41325 43131	5	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1AART|2RCVC|3DMG|45aVULN|6ERES|7RCR|8LIT|9TLV
392	21163 38163	1	   	238.06	DCR|3VULN|3DUR|1DMG	12BEXP|26BPWR|368DUR|4MBVNT|569VULN|7RCR|aDMG
393	36143 16113	5	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1DUST|2CDMG|3LHND|45aVULN|67TLV|8DUR|9RCR
394	36221 14113	5	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|36TLV|45aVULN|5BPWR|7FEWX|8DUR|9RCR
395	36221 26113	6	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|37TLV|45aVULN|5BPWR|6LHND|8DUR|9RCR
396	36221 26113	5	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|37TLV|45aVULN|5BPWR|6LHND|8DUR|9RCR
397	36221 34112	6	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|3aTLV|456VULN|5BPWR|7FEWX|8DUR|9RCR
398	36221 34112	7	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|3aTLV|456VULN|5BPWR|7LWND|8DUR|9RCR
399	36221 46113	6	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|37TLV|45aVULN|5BPWR|6LWND|8DUR|9RCR
400	36221 25112	7	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|3aTLV|457VULN|5BPWR|6LHND|8DUR|9RCR
401	36221 45112	7	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|3aTLV|457VULN|5BPWR|6LWND|8DUR|9RCR
402	33523 36125	3	   	238.00	DCR|3VULN|1TLV|1DUR|1CDMG|1SELL	1DUST|259VULN|3SELL|4CDMG|6DUR|7ASPD|8TLV|aRCR
403	32533 32515	6	   	237.97	DCR|3VULN|1TLV|2CDMG|1AART	168DUST|2TLV|378VULN|48CDMG|5AART|8BPWR|9LIT|aRCR
404	32533 32515	5	   	237.97	DCR|3VULN|1TLV|2CDMG|1AART	168DUST|2TLV|378VULN|48CDMG|5AART|8BPWR|9LIT|aRCR
405	41534 42438	1	   	237.94	DCR|3VULN|2TLV|1DMG|1AART	1AART|27TLV|3MBVNT|457VULN|6BELT|7BPWR|8RCR|9LWND|aDMG
406	43134 42142	8	   	237.93	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1AART|25VULN|3MBVNT|4DUR|6LIT|7TLV|8ASPD|9RCR|aDMG
407	36221 55112	7	   	237.92	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|3aTLV|457VULN|5BPWR|6LEGI|8DUR|9RCR
408	36221 56113	6	   	237.92	DCR|3VULN|2TLV|1DUR|1CDMG	15DUST|2CDMG|37TLV|45aVULN|5BPWR|6LEGI|8DUR|9RCR
409	25225 11315	9	   	237.89	DCR|3VULN|2DMG|1TLV	1aBEXP|2aDMG|3BELT|4RMIN|5TLV|6ERES|78aVULN|9RCR|aBPWR
410	41534 42416	1	 * 	237.84	DCR|3VULN|3TLV|1DMG|1AART	1AART|279TLV|3MBVNT|457VULN|6BELT|7BPWR|8RCR|aDMG
411	41322 74344	10	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	1AART|2RCVC|37DMG|47VULN|5MBVNT|67LIT|7BPWR|8RMIN|9RCR|aTLV
412	41322 74443	10	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	1AART|2RCVC|37DMG|47VULN|5MBVNT|67LIT|7BPWR|8CGEN|9RCR|aTLV
413	43142 64344	10	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	1AART|27VULN|3MBVNT|4RCVC|57LIT|67DMG|7BPWR|8RMIN|9RCR|aTLV
414	43142 64443	10	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	1AART|27VULN|3MBVNT|4RCVC|57LIT|67DMG|7BPWR|8CGEN|9RCR|aTLV
415	43134 42147	7	   	237.71	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1AART|25VULN|3MBVNT|4DUR|6LIT|7aTLV|8DMG|9RCR
416	35225 11315	9	   	237.69	DCR|3VULN|2DMG|1TLV	1aDUST|2aDMG|3BELT|4RMIN|5TLV|6ERES|78aVULN|9RCR|aBPWR
417	14231 32523	1	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1LHND|2ASPD|3RPLT|4aDMG|5TLV|69VULN|7DUR|8RCR
418	24231 32523	1	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|2ASPD|3RPLT|4aDMG|5TLV|69VULN|7DUR|8RCR
419	25233 35611	10	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|28DMG|3BELT|4ASPD|5DUR|67VULN|9RCR|aTLV
420	42226 53123	9	   	237.65	DCR|2VULN|3DUR|2TLV|1AART	1AART|278LWND|3aVULN|48LHND|58aDUR|6RCR|8aBPWR|9aTLV
421	42226 53133	8	   	237.65	DCR|2VULN|3DUR|2TLV|1AART	1AART|278LWND|3aVULN|48LHND|58aDUR|6RCR|8aBPWR|9aTLV
422	23125 63142	8	   	237.65	DCR|3VULN|2DMG|1TLV|1SELL	18BEXP|278VULN|3DUST|4FEWX|58DMG|6SELL|8BPWR|9RCR|aTLV
423	23315 63142	8	   	237.65	DCR|3VULN|2DMG|1TLV|1SELL	18BEXP|278VULN|3FEWX|4DUST|58DMG|6SELL|8BPWR|9RCR|aTLV
424	32228 72242	2	   	237.59	DCR|3VULN|2DMG|1TLV	16DUST|2TLV|3MBVNT|47DMG|569VULN|6BPWR|8FEWX|aRCR
425	35534 42242	4	   	237.59	DCR|3VULN|2DMG|1TLV	1DUST|27DMG|359VULN|4MBVNT|6TLV|8FEWX|aRCR
426	34231 32523	1	   	237.55	DCR|2VULN|2DMG|1TLV|1DUR	1DUST|2ASPD|3RPLT|4aDMG|5TLV|69VULN|7DUR|8RCR
427	65231 32523	2	   	237.55	DCR|2VULN|2DMG|1TLV|1DUR	1LEGI|2ASPD|3RPLT|4aDMG|5TLV|69VULN|7DUR|8RCR
428	21223 34543	1	   	237.44	DCR|4VULN|1TLV|1DUR	12BEXP|2BPWR|3TLV|457aVULN|6DUR|8RPLT|9RCR
429	23222 31625	3	   	237.44	DCR|4VULN|1TLV|1DUR	1BEXP|2367VULN|4RMIN|5ZMB|8DUR|9TLV|aRCR
430	23213 34542	3	   	237.44	DCR|4VULN|1TLV|1DUR	1BEXP|2357VULN|4CGEN|6DUR|8RPLT|9RCR|aTLV
431	23223 34542	3	   	237.44	DCR|4VULN|1TLV|1DUR	1BEXP|2357VULN|4RMIN|6DUR|8RPLT|9RCR|aTLV
432	23221 62652	4	   	237.40	DCR|3VULN|2DMG|1DUR|1AART	1BEXP|236VULN|4LEGI|57DMG|8AART|9RCR|aDUR
433	43134 36145	6	   	237.37	DCR|2VULN|3DUR|1TLV|1AART	1AART|25VULN|3MBVNT|489DUR|6ASPD|7RCR|aTLV
434	41534 54142	1	   	237.37	DCR|2VULN|3DUR|1TLV|1AART	1AART|2TLV|3MBVNT|45VULN|6RCR|789DUR|aLIT
435	41534 54143	1	   	237.37	DCR|2VULN|3DUR|1TLV|1AART	1AART|2TLV|3MBVNT|45VULN|6RCR|789DUR|aASPD
436	21223 33276	1	   	237.34	DCR|4VULN|1TLV|1DUR	12BEXP|2BPWR|3TLV|4589VULN|6DUR|7MBVNT|aRCR
437	33213 34542	3	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2357VULN|4CGEN|6DUR|8RPLT|9RCR|aTLV
438	33223 34542	3	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2357VULN|4RMIN|6DUR|8RPLT|9RCR|aTLV
439	33313 34542	2	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2357VULN|4CGEN|6DUR|8RPLT|9RCR|aTLV
440	33323 34542	2	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2357VULN|4RMIN|6DUR|8RPLT|9RCR|aTLV
441	33222 31625	3	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2367VULN|4RMIN|5ZMB|8DUR|9TLV|aRCR
442	33322 31625	2	   	237.34	DCR|4VULN|1TLV|1DUR	1DUST|2367VULN|4RMIN|5ZMB|8DUR|9TLV|aRCR
443	62322 31625	1	   	237.34	DCR|4VULN|1TLV|1DUR	1LEGI|2367VULN|4RMIN|5ZMB|8DUR|9TLV|aRCR
444	21223 66212	1	   	237.34	DCR|4VULN|1TLV|1DUR	12BEXP|2BPWR|3TLV|4579VULN|6TBNT|8DUR|aRCR
445	62223 31177	2	   	237.33	DCR|2VULN|2DMG|2TLV|1DUR	1LEGI|29TLV|3MBVNT|49DMG|5TBNT|6DUR|7BEXP|89VULN|9BPWR|aRCR
446	43184 51142	4	   	237.30	DCR|3VULN|2DMG|2ASPD|1NUKE|1AART	1AART|25aVULN|3MBVNT|4aASPD|6RCR|7aDMG|8TBNT|9NUKE|aBPWR
447	43252 51142	5	   	237.30	DCR|3VULN|2DMG|2ASPD|1NUKE|1AART	1AART|23aVULN|4aASPD|5MBVNT|6RCR|7aDMG|8TBNT|9NUKE|aBPWR
448	31223 34543	1	   	237.24	DCR|4VULN|1TLV|1DUR	12DUST|2BPWR|3TLV|457aVULN|6DUR|8RPLT|9RCR
449	32323 34543	2	   	237.24	DCR|4VULN|1TLV|1DUR	13DUST|2TLV|457aVULN|6DUR|8RPLT|9RCR
450	62323 33276	3	   	237.24	DCR|4VULN|1TLV|1DUR	1LEGI|2TLV|3DMSP|4589VULN|6DUR|7MBVNT|aRCR
451	62323 66212	3	   	237.24	DCR|4VULN|1TLV|1DUR	1LEGI|2TLV|3DMSP|4579VULN|6TBNT|8DUR|aRCR
452	62223 34177	2	   	237.23	DCR|2VULN|2DMG|2TLV|1DUR	1LEGI|29TLV|3MBVNT|49DMG|5TBNT|6DUR|7DUST|89VULN|9BPWR|aRCR
453	31223 33276	1	   	237.14	DCR|4VULN|1TLV|1DUR	12DUST|2BPWR|3TLV|4589VULN|6DUR|7MBVNT|aRCR
454	31223 66212	1	   	237.14	DCR|4VULN|1TLV|1DUR	12DUST|2BPWR|3TLV|4579VULN|6TBNT|8DUR|aRCR
455	32323 33276	2	   	237.14	DCR|4VULN|1TLV|1DUR	13DUST|2TLV|4589VULN|6DUR|7MBVNT|aRCR
456	32323 66212	2	   	237.14	DCR|4VULN|1TLV|1DUR	13DUST|2TLV|4579VULN|6TBNT|8DUR|aRCR
457	32513 33276	4	   	237.14	DCR|4VULN|1TLV|1DUR	14DUST|2TLV|3589VULN|6DUR|7MBVNT|aRCR
458	32513 66212	4	   	237.14	DCR|4VULN|1TLV|1DUR	14DUST|2TLV|3579VULN|6TBNT|8DUR|aRCR
459	15122 26315	2	   	237.06	DCR|2VULN|3DMG|1TLV	1LHND|236DMG|49VULN|5ZMB|7TLV|8RCR|aLIT
460	25122 26315	2	   	237.06	DCR|2VULN|3DMG|1TLV	1BEXP|236DMG|49VULN|5ZMB|7TLV|8RCR|aLIT
461	22112 21145	2	 * 	237.03	DCR|2VULN|3DMG|2TLV	19BEXP|28TLV|369DMG|4CGEN|5ZMB|79VULN|9BPWR|aRCR
462	35521 26312	4	   	236.96	DCR|2VULN|3DMG|1TLV	1DUST|256DMG|39VULN|4ASPD|7TLV|8RCR|aBEXP
463	32521 26315	3	   	236.96	DCR|2VULN|3DMG|1TLV	1DUST|2TLV|39VULN|456DMG|7MLV|8RCR|aLIT
464	35122 26315	2	   	236.96	DCR|2VULN|3DMG|1TLV	1DUST|236DMG|49VULN|5ZMB|7TLV|8RCR|aLIT
465	32221 21844	2	   	236.86	DCR|2VULN|3DMG|1TLV	1DUST|2TLV|3MBVNT|456DMG|7LIT|8RCR|9aVULN
466	35521 26313	4	   	236.86	DCR|2VULN|3DMG|1TLV	1DUST|256DMG|39VULN|4ASPD|7TLV|8RCR|aMBVNT
467	62221 21847	2	   	236.86	DCR|2VULN|3DMG|1TLV	1LEGI|2TLV|3MBVNT|456DMG|7LIT|8RCR|9aVULN
468	32521 23315	3	   	236.86	DCR|2VULN|3DMG|1TLV	1DUST|2TLV|39VULN|456DMG|7ERES|8RCR|aLIT
469	32561 23315	4	   	236.86	DCR|2VULN|3DMG|1TLV	1DUST|2TLV|39VULN|456DMG|7ERES|8RCR|aLIT
470	62521 23315	3	   	236.86	DCR|2VULN|3DMG|1TLV	1LEGI|2TLV|39VULN|456DMG|7ERES|8RCR|aLIT
471	22521 23313	3	   	236.73	DCR|2VULN|3DMG|2TLV	1BEXP|2aTLV|39VULN|456DMG|7ERES|8RCR
472	25551 23313	3	   	236.73	DCR|2VULN|3DMG|2TLV	1BEXP|256DMG|39VULN|4aTLV|7ERES|8RCR
473	44321 22633	6	   	236.68	DCR|2VULN|3DUR|1DMG|1CDMG|1AART	1AART|257DUR|3BELT|47VULN|67ERES|7BPWR|8CDMG|9RCR|aDMG
474	23263 34223	3	   	236.59	DCR|3VULN|2TLV|1DMG	1BEXP|236VULN|4LIT|5CGEN|7RCR|89TLV|aDMG
475	33332 16414	8	 * 	236.59	DCR|3VULN|2TLV|2CDMG	1DUST|28aVULN|3FEWX|4LIT|5aCDMG|6CGEN|7aTLV|9RCR|aBPWR
476	26221 31323	6	   	236.55	DCR|3VULN|1TLV|2CDMG|2ASPD	158BEXP|28CDMG|3TLV|456VULN|58BPWR|78ASPD|9RPLT|aRCR
477	23216 61611	8	   	236.55	DCR|3VULN|1TLV|1DMG|1DUR	145BEXP|235VULN|5BPWR|6DMG|7LHND|8RCR|9DUR|aTLV
478	23216 63135	8	   	236.55	DCR|3VULN|1TLV|1DMG|1DUR	145BEXP|235VULN|5BPWR|6DMG|7RMIN|8TLV|9DUR|aRCR
479	26221 32324	7	   	236.45	DCR|3VULN|1TLV|2CDMG|1DUR	15BEXP|29CDMG|3TLV|456VULN|5BPWR|7RCVC|8DUR|aRCR
480	26221 35324	6	   	236.45	DCR|3VULN|1TLV|2CDMG|1DUR	15BEXP|29CDMG|3TLV|456VULN|5BPWR|7DUR|8DMSP|aRCR
481	23216 62135	8	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	145BEXP|235VULN|5BPWR|6DMG|7ERES|8TLV|9DUR|aRCR
482	44233 31262	8	   	236.39	DCR|3VULN|2DUR|1CDMG|1AART	1AART|24DUR|389VULN|5FEWX|6ASPD|7CDMG|aRCR
483	32531 25113	7	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|2TLV|37aVULN|45CDMG|5BPWR|6LHND|8DUR|9RCR
484	32531 34113	6	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|2TLV|36aVULN|45CDMG|5BPWR|7FEWX|8DUR|9RCR
485	32531 34113	7	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|2TLV|36aVULN|45CDMG|5BPWR|7LWND|8DUR|9RCR
486	32531 45113	7	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|2TLV|37aVULN|45CDMG|5BPWR|6LWND|8DUR|9RCR
487	36221 35324	6	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|29CDMG|3TLV|456VULN|5BPWR|7DUR|8DMSP|aRCR
488	23213 52364	3	   	236.25	DCR|4VULN|1TLV|2LIT	1aBEXP|235aVULN|4CGEN|6TLV|7RPLT|8RCR|9aLIT|aBPWR
489	23216 61632	6	   	236.24	DCR|3VULN|2DMG|1DUR	145BEXP|235VULN|5BPWR|69DMG|7LIT|8DUR|aRCR
490	41325 63111	5	   	236.20	DCR|3VULN|2DMG|2LIT|1AART	1AART|2RCVC|38DMG|458VULN|6BELT|78LIT|8BPWR|9RCR|aTBNT
491	41325 63113	5	   	236.20	DCR|3VULN|2DMG|2LIT|1AART	1AART|2RCVC|38DMG|458VULN|6BELT|78LIT|8BPWR|9RCR|aDUST
492	43134 42148	7	   	236.18	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1AART	1AART|25VULN|3MBVNT|4DUR|6aLIT|7TLV|8DMG|9RCR
493	32531 55113	7	   	236.15	DCR|3VULN|1TLV|2CDMG|1DUR	15DUST|2TLV|37aVULN|45CDMG|5BPWR|6LEGI|8DUR|9RCR
494	15123 34163	2	   	236.14	DCR|3VULN|2DMG|1DUR	1LHND|23DMG|457VULN|6DUR|8MLV|9RCR|aASPD
495	15123 34232	2	   	236.14	DCR|3VULN|2DMG|1DUR	1LHND|23DMG|457VULN|6DUR|8FEWX|9ASPD|aRCR
496	15523 34232	3	   	236.14	DCR|3VULN|2DMG|1DUR	1LHND|24DMG|357VULN|6DUR|8FEWX|9ASPD|aRCR
497	25123 34163	2	   	236.14	DCR|3VULN|2DMG|1DUR	1BEXP|23DMG|457VULN|6DUR|8MLV|9RCR|aASPD
498	25123 36252	2	   	236.14	DCR|3VULN|2DMG|1DUR	1BEXP|23DMG|458VULN|6DUR|7LHND|9ASPD|aRCR
499	43253 33331	6	   	236.06	DCR|3VULN|1DMG|2ASPD|1DUR|1AART	1AART|239VULN|45ASPD|6RMIN|7RCR|8DUR|aDMG
500	15123 52842	2	   	236.04	DCR|3VULN|2DMG|1DUR	1LHND|23DMG|459VULN|6LIT|7MBVNT|8RCR|aDUR
501	35123 34163	2	   	236.04	DCR|3VULN|2DMG|1DUR	1DUST|23DMG|457VULN|6DUR|8MLV|9RCR|aASPD
502	35123 36252	2	   	236.04	DCR|3VULN|2DMG|1DUR	1DUST|23DMG|458VULN|6DUR|7LHND|9ASPD|aRCR
503	44233 13343	5	   	236.00	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1AART|24DUR|36VULN|5FEWX|7RCR|8RPLT|9TLV|aDMG
504	44321 22236	6	   	235.96	DCR|3VULN|3DUR|1AART	1AART|257DUR|3BELT|478VULN|67ERES|7BPWR|9LIT|aRCR
505	43253 43331	5	   	235.96	DCR|3VULN|1DMG|2ASPD|1DUR|1AART	1AART|239VULN|45ASPD|6ERES|7RCR|8DUR|aDMG
