0	Index      	 *	Score 	Summary	Detail	
1	21522 31636	 * 	211.82	ACR|1BASARM|2BEXP|1DMG|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aDMG
294	32324 22487	   	182.58	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1BEXP|2CGEN|3ASPD|4SELL|5RCR|6DUST|7MBVNT|8DMG|9BASARM|aDLOT
295	21512 31612	   	182.55	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|79AAC|8BASARM|aCGEN
296	21512 31613	   	182.55	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|79AAC|8BASARM|aDUR
297	21514 11612	   	182.55	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5CDMG|6FEWX|79AAC|8BASARM|aCGEN
298	21514 11613	   	182.55	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5CDMG|6FEWX|79AAC|8BASARM|aDUR
299	11132 23235	   	182.52	ACR|1BASARM|1BASICY|1VULN|1BEXP	1AEMAG|2DUST|3RPLT|4RCR|5LWND|6MULARM|7BEXP|8BASARM|9BASICY|aVULN
300	21533 31613	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|79AAC|8BASARM|aRPLT
301	21533 31614	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|79AAC|8BASARM|aDUR
302	21534 31613	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6BEXP|79AAC|8BASARM|aRPLT
303	21512 31615	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|79AAC|8BASARM|aERES
304	21512 31616	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|79AAC|8BASARM|aLEGI
305	21532 31611	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5FEWX|6CDMG|79AAC|8BASARM|aBEXP
306	21534 11611	   	182.45	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6FEWX|79AAC|8BASARM|aBEXP
307	21513 15141	   	182.35	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|27LHND|3RCR|45BEXP|6ZMB|8RMIN|9VULN|aBASARM
308	21533 31612	   	182.35	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|79AAC|8BASARM|aERES
309	21533 31616	   	182.35	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|79AAC|8BASARM|aLEGI
310	21534 31612	   	182.35	ACR|1BASARM|2AAC|1BEXP|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6BEXP|79AAC|8BASARM|aERES
311	34252 21334	   	182.28	ACR|1BASARM|2BEXP|1AART	12BEXP|3AEMAG|4RCR|5AART|6CGEN|7FEWX|8TLV|9RPLT|aBASARM
312	21513 26132	   	182.25	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8BELT|9RPLT|aVULN
313	21513 26211	   	182.25	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9VULN|aLIT
314	21513 26214	   	182.25	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9VULN|aRPLT
315	21513 26336	   	182.25	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8ZMB|9LWND|aVULN
316	23624 33342	 * 	182.21	ACR|2ASPD|2BEXP|1VULN|1AART|1SELL	1SELL|27BEXP|39ASPD|4CGEN|5RCR|6RMIN|8AART|aVULN
317	32324 33342	 * 	182.21	ACR|2ASPD|2BEXP|1VULN|1AART|1SELL	17BEXP|2CGEN|39ASPD|4SELL|5RCR|6RMIN|8AART|aVULN
318	34252 23334	   	182.18	ACR|1BASARM|2BEXP|1AART	12BEXP|3AEMAG|4RCR|5AART|6CGEN|7LEGI|8TLV|9RPLT|aBASARM
319	21513 26212	   	182.15	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9VULN|aERES
320	21513 26216	   	182.15	ACR|1BASARM|2BEXP|1VULN|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9VULN|aMBVNT
321	43133 36142	   	182.11	ACR|1BASARM|1VULN|1AART|1CDMG	1TLV|2AME|3RPLT|4RCR|5MSLFST|6CDMG|7VULN|8AART|9BASARM|aZMB
322	43133 36143	   	182.11	ACR|1BASARM|1VULN|1AART|1CDMG	1TLV|2AME|3RPLT|4RCR|5MSLFST|6CDMG|7VULN|8AART|9BASARM|aFEWX
323	21513 26125	   	182.04	ACR|1BASARM|2BEXP|1AART|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8BELT|9ERES|aAART
324	21513 26223	   	182.04	ACR|1BASARM|2BEXP|1AART|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9FLTFST|aAART
325	21513 26263	   	182.04	ACR|1BASARM|2BEXP|1AART|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9SNITOX|aAART
326	21513 26213	   	182.01	ACR|1BASARM|2BEXP|1VULN|2SELL	1aSELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8FEWX|9VULN
327	21532 21253	 * 	181.92	ACR|1BASARM|1DMG|1AART|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5FEWX|6MULARM|7AAC|8BASARM|9DMG|aAART
