0	Index      	 *	Score 	Summary	Detail	
1	11212 14215	 * 	228.23	DCR|3DMG|2AART|2ASPD|2DUR|2ZMB|1SELL	14aDMG|24ZMB|3SELL|4aBPWR|56AART|7aASPD|8aDUR|9RCR
320	11153 36326	   	199.50	DCR|3DMG|2VULN|1ASPD|1ZMB	179DMG|2ZMB|34VULN|5ASPD|6AELBLL|8MLV|aRCR
321	62113 36134	   	199.40	DCR|3ASPD|2VULN|1MDPS|1DMG|1ZMB	189ASPD|29LHND|3MDPS|4ZMB|5TLV|69VULN|7RCR|9BPWR|aDMG
322	61336 35112	 * 	199.34	DCR|3DMG|2ASPD|1AART|1ZMB	18ASPD|2ZMB|3DMSP|48ERES|5AART|68aDMG|7RCR|8BPWR|9MULARM
323	11212 61215	 * 	199.28	DCR|3DMG|3ZMB|1AART|3DUR|1AAC|1SELL	14aDMG|24aZMB|3SELL|4aBPWR|5AART|6AAC|7RCR|89aDUR
324	11312 61346	   	199.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1AAC|1ZMB	1DMG|2ZMB|3DMSP|48CDMG|5AART|6AAC|7RCR|9ASPD|aVULN
325	63247 12424	 * 	199.19	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1SELL	1aASPD|2ERES|3SELL|4MBVNT|5MDPS|6aVULN|7aCDMG|8AART|9RCR|aBPWR
326	51225 13522	 * 	199.17	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	1CDMG|259DMG|3MDPS|4ASPD|6MBVNT|7ZMB|8RCR|aVULN
327	61113 51262	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1SELL	1ASPD|2ZMB|3VULN|4aDMG|5MULFIG|6RCR|7RMIN|8SELL|9AART
328	15113 21261	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	14DMG|2CGEN|3VULN|5ASPD|6SNIFST|7RCR|8AART|9FEWX|aCDMG
329	13113 21261	   	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	14DMG|2ERES|3VULN|5ASPD|6SNIFST|7RCR|8AART|9FEWX|aCDMG
330	65131 32521	   	198.94	DCR|3ASPD|2VULN|1CDMG|2DUR|1AAC	17aASPD|2CGEN|37VULN|47DUR|5AAC|6RCVC|7BPWR|8RCR|9CDMG
331	63133 43413	   	198.81	DCR|3VULN|2ASPD|1DMG	15ASPD|2ERES|349VULN|6SPLREG|7LHND|8RCR|aDMG
332	51332 14124	 * 	198.73	DCR|3DMG|3CDMG|1VULN|1ZMB	168CDMG|28aDMG|3VULN|4ZMB|5RMIN|78TLV|8BPWR|9RCR
333	62112 62512	   	198.71	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ASPD|2LHND|3MDPS|4ZMB|5aVULN|6RCR|7DUR|8CDMG|9DMG
334	51314 22612	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1CDMG|2DMG|35VULN|4DUR|69ASPD|7RPLT|8RCR|aFEWX
335	51331 12434	   	198.67	DCR|3VULN|2CDMG|1DMG|1ZMB|1DUR	19CDMG|2DMG|369VULN|4ZMB|5RCVC|7DUR|89LHND|9BPWR|aRCR
336	12636 35331	   	198.67	DCR|2VULN|2DMG|2ASPD|1MSE	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9MSE|aLIT
337	12636 35332	   	198.67	DCR|2VULN|2DMG|2ASPD|1MSE	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9MSE|aMLV
338	12636 35333	   	198.67	DCR|2VULN|2DMG|2ASPD|1DUR|1MSE	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9MSE|aDUR
339	51314 22611	   	198.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1CDMG|2DMG|35VULN|4DUR|69ASPD|7RPLT|8RCR|aMSLREG
340	51325 33251	   	198.59	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1CDMG|2DMG|36VULN|4NUKE|5AART|7RMIN|8DUR|9ZMB|aRCR
341	15113 21133	 * 	198.56	DCR|3DMG|1VULN|1AART|1ASPD	149DMG|2CGEN|3VULN|5ASPD|6SNIFST|7RCR|8FEWX|aAART
342	15113 21433	   	198.56	DCR|3DMG|1VULN|1AART|1ASPD	149DMG|2CGEN|3VULN|5ASPD|6SNIFST|7RCR|8LHND|aAART
343	51331 22434	   	198.42	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	19CDMG|26DMG|39VULN|4ZMB|5RCVC|7DUR|89LHND|9BPWR|aRCR
344	15153 21612	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|2CGEN|349VULN|5ASPD|6SNIFST|7RCR|8ZMB|aDUR
345	51131 12135	   	198.37	DCR|3VULN|2DMG|2CDMG	18CDMG|28DMG|3RCVC|4ERES|5DMSP|6LHND|789VULN|8BPWR|aRCR
346	11212 51613	 * 	198.36	DCR|3DMG|3ZMB|1VULN|1AART|1SELL	149DMG|247ZMB|3SELL|4BPWR|5AART|6SPLJET|8VULN|aRCR
347	13153 21612	   	198.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|2ERES|349VULN|5ASPD|6SNIFST|7RCR|8ZMB|aDUR
