0	Index      	 *	Score 	Summary	Detail	
1	13163 31514	 * 	190.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|689VULN|7RCR
319	62463 21213	   	161.71	DCR|2VULN|2DMG|1AART	1aLHND|2aBEXP|35DMG|4AART|6CGEN|7LEGI|8RCR|9aVULN|aBPWR
320	11163 11141	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69DUR|7RCR|8VULN|aCDMG
321	21263 11141	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69DUR|7RCR|8VULN|aCDMG
322	21363 24513	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6RPLT|7RCR|8VULN|aCDMG
323	21363 41341	   	161.66	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6VULN|7RCR|8LHND|aCDMG
324	21363 51141	   	161.66	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6LHND|7RCR|8VULN|aCDMG
325	61263 11141	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|69DUR|7RCR|8VULN|aCDMG
326	11163 11211	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|68DUR|7RCR|9VULN|aCDMG
327	21263 11211	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|68DUR|7RCR|9VULN|aCDMG
328	21363 51211	   	161.66	DCR|1AART|1DMG|1VULN|1CDMG|2DUR|1ASPD	1LWND|2ASPD|38DUR|4AART|5DMG|6LHND|7RCR|9VULN|aCDMG
329	61263 11211	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|68DUR|7RCR|9VULN|aCDMG
330	61663 11211	   	161.66	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LHND|2ASPD|3BEXP|4AART|5DMG|68DUR|7RCR|9VULN|aCDMG
331	32436 13631	 * 	161.61	DCR|3VULN|2DMG|1CDMG	17DUST|2BEXP|37DMG|4ERES|5CGEN|67aVULN|7BPWR|8CDMG|9RCR
332	21363 41334	   	161.61	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8LHND|aRCVC
333	21363 51134	   	161.61	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|6LHND|7RCR|89VULN|aRCVC
334	21363 31141	   	161.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6DUST|7RCR|8VULN|aCDMG
335	21363 31211	   	161.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|38DUR|4AART|5DMG|6DUST|7RCR|9VULN|aCDMG
336	21363 41122	   	161.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6VULN|7RCR|8TLV|aCDMG
337	31163 11141	   	161.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69DUR|7RCR|8VULN|aCDMG
338	31163 11211	   	161.56	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|68DUR|7RCR|9VULN|aCDMG
339	15463 33211	   	161.51	DCR|2VULN|2DMG|1AART	1BEXP|2LHND|35DMG|4AART|69VULN|7ERES|8RCR|aRPLT
340	35463 21213	   	161.51	DCR|2VULN|2DMG|1AART	1aDUST|2aLHND|35DMG|4AART|6CGEN|7LEGI|8RCR|9aVULN|aBPWR
341	62463 33211	   	161.51	DCR|2VULN|2DMG|1AART	1LHND|2BEXP|35DMG|4AART|69VULN|7ERES|8RCR|aRPLT
342	22463 13215	   	161.51	DCR|2VULN|2DMG|1AART	1LWND|2BEXP|35DMG|4AART|6LHND|7ERES|8RCR|9aVULN
343	25431 41213	   	161.47	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|24LHND|34DMG|4BPWR|5AART|6BEXP|7ASPD|8RCR|9VULN|aZMB
344	15463 33213	   	161.41	DCR|2VULN|2DMG|1AART	1BEXP|2LHND|35DMG|4AART|69VULN|7aERES|8RCR
345	35463 33211	   	161.41	DCR|2VULN|2DMG|1AART	1DUST|2LHND|35DMG|4AART|69VULN|7ERES|8RCR|aRPLT
346	62463 33213	   	161.41	DCR|2VULN|2DMG|1AART	1LHND|2BEXP|35DMG|4AART|69VULN|7aERES|8RCR
347	21361 51533	   	161.39	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5CGEN|6LHND|7RCR|89aVULN|aBPWR
348	21365 31533	   	161.39	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5LHND|6CGEN|7RCR|89aVULN|aBPWR
349	13621 34212	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	13BEXP|2ZMB|4LHND|5AART|69VULN|7DMG|8RCR|aASPD
350	13631 14212	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	13BEXP|2ZMB|49VULN|5AART|6LHND|7DMG|8RCR|aASPD
351	25431 31213	   	161.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|24LHND|34DMG|4BPWR|5AART|6DUST|7ASPD|8RCR|9VULN|aZMB
352	13621 31214	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	13BEXP|2ZMB|4LHND|5AART|69VULN|7ASPD|8RCR|aDMG
353	13631 11214	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	13BEXP|2ZMB|49VULN|5AART|6LHND|7ASPD|8RCR|aDMG
354	35463 33213	   	161.31	DCR|2VULN|2DMG|1AART	1DUST|2LHND|35DMG|4AART|69VULN|7aERES|8RCR
355	21361 31533	   	161.29	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5CGEN|6DUST|7RCR|89aVULN|aBPWR
356	21362 31533	   	161.29	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5DUST|6CGEN|7RCR|89aVULN|aBPWR
357	21365 61133	   	161.29	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5LHND|6TLV|7RCR|89aVULN|aBPWR
358	25461 31213	   	161.27	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2LHND|34DMG|5AART|6DUST|7ASPD|8RCR|9VULN|aZMB
359	21362 41533	   	161.19	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5DUST|6ERES|7RCR|89aVULN|aBPWR
360	21362 61133	   	161.19	DCR|3VULN|1AART|2DUR|1ASPD	1aLWND|2ASPD|3aDUR|4AART|5DUST|6TLV|7RCR|89aVULN|aBPWR
361	13163 31163	 * 	161.18	DCR|2DMG|1AART|1VULN|2ZMB	1BEXP|29ZMB|3LWND|4AART|5aDMG|6VULN|7RCR|8TLV
362	13163 31165	 * 	161.18	DCR|2VULN|1AART|1DMG|2ZMB	1BEXP|29ZMB|3LWND|4AART|5DMG|6aVULN|7RCR|8TLV
363	25421 43213	   	161.11	DCR|2VULN|2DMG|1AART	14aLWND|2LHND|3aDMG|5AART|6BEXP|7ERES|8RCR|9aVULN|aBPWR
364	12421 34214	   	161.01	DCR|2VULN|2DMG|1AART	12BEXP|3RMIN|4LHND|5AART|69VULN|7aDMG|8RCR
365	12431 14214	   	161.01	DCR|2VULN|2DMG|1AART	12BEXP|3RMIN|49VULN|5AART|6LHND|7aDMG|8RCR
366	12621 34214	   	161.01	DCR|2VULN|2DMG|1AART	12BEXP|3MLV|4LHND|5AART|69VULN|7aDMG|8RCR
367	12631 14214	   	161.01	DCR|2VULN|2DMG|1AART	12BEXP|3MLV|49VULN|5AART|6LHND|7aDMG|8RCR
368	25421 33213	   	161.01	DCR|2VULN|2DMG|1AART	14aLWND|2LHND|3aDMG|5AART|6DUST|7ERES|8RCR|9aVULN|aBPWR
369	25451 33213	   	161.01	DCR|2VULN|2DMG|1AART	1aLWND|2LHND|3aDMG|4DMSP|5AART|6DUST|7ERES|8RCR|9aVULN|aBPWR
370	26421 22613	   	161.01	DCR|2VULN|2DMG|1AART	1aLWND|24DUST|3aDMG|5AART|6CGEN|7BEXP|8RCR|9aVULN|aBPWR
371	66433 23333	   	161.01	DCR|2VULN|2DMG|1AART	1aLHND|2FEWX|3aDMG|48ERES|5LWND|6aVULN|7RCR|9AART|aBPWR
372	21366 33222	 * 	161.01	DCR|3VULN|1AART|3DUR|1ASPD	179LWND|2ASPD|379DUR|4AART|5RCVC|679VULN|79BPWR|8RPLT|aRCR
373	12131 14214	   	160.91	DCR|2VULN|2DMG|1AART	12BEXP|3ERES|49VULN|5AART|6LHND|7aDMG|8RCR
374	25431 33215	   	160.91	DCR|2VULN|2DMG|1AART	1LWND|24LHND|34DMG|4BPWR|5AART|6DUST|7ERES|8RCR|9aVULN
375	26433 23333	   	160.91	DCR|2VULN|2DMG|1AART	1aLWND|2DUST|3aDMG|48ERES|5LHND|6aVULN|7RCR|9AART|aBPWR
376	26433 23633	   	160.91	DCR|2VULN|2DMG|1AART	1aLWND|28DUST|3aDMG|4ERES|5LHND|6aVULN|7RCR|9AART|aBPWR
377	35421 22213	   	160.91	DCR|2VULN|2DMG|1AART	14aDUST|2LHND|3aDMG|5AART|6CGEN|7BEXP|8RCR|9aVULN|aBPWR
378	35421 24213	   	160.91	DCR|2VULN|2DMG|1AART	14aDUST|2LHND|3aDMG|5AART|6CGEN|7FEWX|8RCR|9aVULN|aBPWR
379	26421 13213	   	160.91	DCR|2VULN|2DMG|1AART	1aLWND|24DUST|3aDMG|5AART|6LHND|7ERES|8RCR|9aVULN|aBPWR
380	35421 13213	   	160.81	DCR|2VULN|2DMG|1AART	14aDUST|2LHND|3aDMG|5AART|6LWND|7ERES|8RCR|9aVULN|aBPWR
381	35421 43213	   	160.81	DCR|2VULN|2DMG|1AART	14aDUST|2LHND|3aDMG|5AART|6BEXP|7ERES|8RCR|9aVULN|aBPWR
382	35433 23333	   	160.81	DCR|2VULN|2DMG|1AART	1aDUST|2LHND|3aDMG|48ERES|5LWND|6aVULN|7RCR|9AART|aBPWR
383	35433 23633	   	160.81	DCR|2VULN|2DMG|1AART	18aDUST|2LHND|3aDMG|4ERES|5LWND|6aVULN|7RCR|9AART|aBPWR
384	15461 31233	   	160.76	DCR|2DMG|1AART|1VULN|2DUR	1aBEXP|2LHND|3aDMG|4AART|5CGEN|6VULN|7RCR|8RCVC|9aDUR|aBPWR
385	22461 31233	   	160.76	DCR|2DMG|1AART|1VULN|2DUR	1aLWND|2BEXP|3aDMG|4AART|5CGEN|6VULN|7RCR|8RCVC|9aDUR|aBPWR
386	62461 31233	   	160.76	DCR|2DMG|1AART|1VULN|2DUR	1aLHND|2BEXP|3aDMG|4AART|5CGEN|6VULN|7RCR|8RCVC|9aDUR|aBPWR
387	35421 33214	   	160.71	DCR|2VULN|2DMG|1AART	14DUST|2LHND|3aDMG|5AART|69VULN|7ERES|8RCR
388	36131 14214	   	160.71	DCR|2VULN|2DMG|1AART	12DUST|3ERES|49VULN|5AART|6LHND|7aDMG|8RCR
389	21311 33222	   	160.71	DCR|3VULN|1AART|3DUR|1ASPD	179LWND|2ASPD|379DUR|4RCVC|5AART|679VULN|79BPWR|8RPLT|aRCR
390	12513 32514	   	160.70	ACR|3VULN|1AART|1DMG	12BEXP|3AART|4LWND|5RCR|689VULN|7FEWX|aDMG
391	12513 35114	   	160.70	ACR|3VULN|1AART|1DMG	12BEXP|3AART|4LWND|5RCR|679VULN|8LHND|aDMG
