0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22344 33225	6	 * 	272.40	橙2易伤2伤害2时间1等级2暴击	1低血量敌人29伤害35易伤4雷电69时间7等级89暴击9序列升级a核
452	24412 11631	8	   	242.95	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a赏金邻近
453	22334 33255	5	   	242.85	橙2等级1易伤2伤害2时间1全技能	18低血量敌人28伤害3易伤4掉矿58时间6核7全技能8序列升级9a等级
454	22126 33435	9	   	242.75	橙2易伤2伤害1等级1时间1暴击1卖塔	1低血量敌人29伤害3卖塔4暴击5a易伤6等级7核8时间
455	31413 25362	9	   	242.62	橙3易伤2伤害2时间	1a基地爆炸2最后敌人39a易伤48伤害5金币生成6a时间7核a序列升级
456	22313 13562	7	   	242.62	橙3易伤2伤害2时间	1a低血量敌人28伤害34a易伤5最后敌人6金币生成7核9a时间a序列升级
457	34313 15342	4	   	242.62	橙3易伤2伤害2时间	1基地爆炸24a易伤3矿等5低血量敌人6核7a时间8敌人爆炸9a伤害a序列升级
458	22336 25362	9	   	242.52	橙3易伤2伤害2时间	1a低血量敌人28伤害39a易伤4掉矿5最后敌人6a时间7核a序列升级
459	24125 12342	3	   	242.52	橙3易伤2伤害2时间	1低血量敌人25a易伤3掉矿4敌人爆炸6核7a时间8基地爆炸9a伤害a序列升级
460	24135 12342	3	   	242.52	橙3易伤2伤害2时间	1低血量敌人25a易伤3掉矿4基地爆炸6核7a时间8敌人爆炸9a伤害a序列升级
461	34113 12342	4	   	242.52	橙3易伤2伤害2时间	1基地爆炸24a易伤3掉矿5低血量敌人6核7a时间8敌人爆炸9a伤害a序列升级
462	34113 12342	5	   	242.52	橙3易伤2伤害2时间	1基地爆炸24a易伤3掉矿5低血量敌人6核7a时间8敌人爆炸9a伤害a序列升级
463	34125 12342	4	   	242.52	橙3易伤2伤害2时间	1基地爆炸25a易伤3掉矿4最后敌人6核7a时间8敌人爆炸9a伤害a序列升级
464	24412 31226	10	   	242.43	橙4易伤2时间	1低血量敌人2345易伤6a时间7核8雷电9攻速
465	34412 31226	10	   	242.43	橙4易伤2时间	1基地爆炸2345易伤6a时间7核8雷电9攻速
466	24125 12242	3	   	242.42	橙3易伤2伤害2时间	1低血量敌人25a易伤3掉矿4敌人爆炸6核7a时间8挖尘9a伤害a序列升级
467	24512 31326	9	   	242.42	橙3易伤2伤害2时间	13低血量敌人245易伤68时间7核9a伤害
468	34125 12242	3	   	242.42	橙3易伤2伤害2时间	1基地爆炸25a易伤3掉矿4敌人爆炸6核7a时间8挖尘9a伤害a序列升级
