0	Index      	 *	Score 	Summary	Detail	
1	45315 13311	 * 	212.39	DCR|4VULN|3DMG	145aVULN|249DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL
339	42241 11134	   	182.78	DCR|2VULN|1AART|1ASPD|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7BEXP|8ERES|9AART|aASPD
340	42241 11336	   	182.78	DCR|2VULN|1AART|1DMG|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7BEXP|8DUST|9DMG|aAART
341	42241 12143	   	182.78	DCR|2VULN|1AART|1ASPD|1AAC|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8ASPD|9LHND|aAART
342	42241 12153	   	182.78	DCR|2VULN|1AART|1ASPD|1AAC|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8ASPD|9FEWX|aAART
343	42241 12234	   	182.78	DCR|2VULN|1AART|1ASPD|1AAC|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8LHND|9AART|aASPD
344	42241 13153	   	182.78	DCR|2VULN|1AART|1ASPD|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7TLV|8ASPD|9FEWX|aAART
345	42241 13234	   	182.78	DCR|2VULN|1AART|1ASPD|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7TLV|8LHND|9AART|aASPD
346	43241 12134	   	182.78	DCR|2VULN|1AART|1ASPD|1DUR|1RMIN	15VULN|2BEXP|3BELT|4RMIN|6RCR|7DUR|8ERES|9AART|aASPD
347	43241 12336	   	182.78	DCR|2VULN|1AART|1DMG|1DUR|1RMIN	15VULN|2BEXP|3BELT|4RMIN|6RCR|7DUR|8DUST|9DMG|aAART
348	42241 16132	   	182.78	DCR|2VULN|2CDMG|1ASPD|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7CGEN|8ASPD|9aCDMG
349	41241 12123	   	182.75	DCR|3VULN|2ASPD|1AAC|1RMIN	159VULN|2LHND|3BELT|4RMIN|6RCR|7AAC|8aASPD
350	41241 13123	   	182.75	DCR|3VULN|2ASPD|1RMIN	159VULN|2LHND|3BELT|4RMIN|6RCR|7TLV|8aASPD
351	42631 15123	   	182.72	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|25DUR|3RCR|48BASFIG|68DMG|7AART|8BPWR|9ZMB|aERES
352	42241 12132	   	182.68	DCR|2VULN|2CDMG|1ASPD|1AAC|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7AAC|8ASPD|9aCDMG
353	42241 13132	   	182.68	DCR|2VULN|2CDMG|1ASPD|1DUR|1RMIN	15VULN|2DUR|3BELT|4RMIN|6RCR|7TLV|8ASPD|9aCDMG
354	44241 12123	   	182.65	DCR|3VULN|2ASPD|1AAC|1RMIN	159VULN|2DUST|3BELT|4RMIN|6RCR|7AAC|8aASPD
355	44241 13123	   	182.65	DCR|3VULN|2ASPD|1RMIN	159VULN|2DUST|3BELT|4RMIN|6RCR|7TLV|8aASPD
356	42234 32322	   	182.53	DCR|2VULN|1AART|1ASPD|2DUR|1AAC	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9AAC|aRMIN
357	42234 32323	   	182.53	DCR|2VULN|1AART|1ASPD|2DUR|1AAC|1MSE	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9AAC|aMSE
358	42234 32325	   	182.53	DCR|2VULN|1AART|1ASPD|2DUR|1AAC|1ZMB	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9AAC|aZMB
359	42234 32326	   	182.53	DCR|2VULN|1AART|1ASPD|2DUR|1AAC	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9AAC|aBEXP
360	45315 11323	   	182.52	DCR|3VULN|2DMG|1AAC	145VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8DUST|9MLV|aAAC
361	45315 11333	   	182.42	DCR|3VULN|2DMG|1AAC	145VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8DUST|9ERES|aAAC
362	41233 32324	   	182.42	DCR|2VULN|2ASPD|1AART|1AAC	1aVULN|2LHND|3BELT|4AART|5RCVC|6aLIT|7RCR|8aASPD|9AAC|aBPWR
