0	Index      	 *	Score 	Summary	Detail	
1	42251 22242	 * 	226.19	DCR|3VULN|2BASARM|2ASPD|1AART|1CDMG	189VULN|2CDMG|39BASARM|4LHND|5AART|6FLTFST|79ASPD|9BPWR|aRCR
285	13116 24336	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aAME
286	13116 25163	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8RMIN|9ASPD|aTLV
287	13116 25361	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8LWND|9ASPD|aSNIFST
288	13116 36431	   	197.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3ZMB|48CDMG|5BASARM|6FEWX|7BEXP|9ASPD|aMDPS
289	13241 43321	   	197.82	ACR|1BASARM|1DMG|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5FEWX|6CGEN|7MDPS|8DMG|9BASARM
290	13242 63321	   	197.82	ACR|1BASARM|1DMG|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7LWND|8DMG|9BASARM
291	13242 64321	   	197.82	ACR|1BASARM|1DMG|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7LHND|8DMG|9BASARM
292	13413 23746	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3LHND|4MBVNT|5SNIHEL|6CDMG|7ASPD|8DMG|9RMIN|aBASARM
293	13415 24461	   	197.82	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3LHND|4MBVNT|5ASPD|6AART|7FEWX|8AIRHEL|9DMG|aBASARM
294	32612 23241	   	197.78	ACR|1BASARM|2VULN|1AART|1CDMG	1DUST|2CDMG|3RCR|4aVULN|5LHND|6AART|78RCVC|9BASARM
295	32613 23241	   	197.78	ACR|1BASARM|2VULN|1AART|1CDMG	1DUST|2CDMG|3RCR|4aVULN|5LWND|6AART|78RCVC|9BASARM
296	32615 23241	   	197.78	ACR|1BASARM|2VULN|1CDMG|1AART	1DUST|2CDMG|3RCR|4aVULN|5DUR|6AART|78RCVC|9BASARM
297	32322 32677	   	197.78	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3DMG|4TLV|5RCR|6LHND|7VULN|8MBVNT|9ASPD|aBASARM
298	32322 33366	   	197.78	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3DMG|4TLV|5RCR|6LHND|7LEGI|8VULN|9ASPD|aBASARM
299	13236 23127	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8DUR|9MBVNT|aASPD
300	13236 23331	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aRMIN
301	13236 23332	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aCGEN
302	13236 23338	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aDUR
303	13236 23387	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9DUR|aASPD
304	13236 23461	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8ZMB|9ASPD|aVENFST
305	13236 23463	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8ZMB|9ASPD|aERES
306	13236 23562	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|78TLV|9ASPD|aFEWX
307	13236 23662	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|48AAC|5BASARM|6DMG|7TLV|9ASPD|aFEWX
308	13236 24327	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9DUST|aASPD
309	13236 24336	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aAME
310	13236 25163	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7AEFBLL|8RMIN|9ASPD|aTLV
311	13236 36431	   	197.72	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|38CDMG|4AAC|5BASARM|6FEWX|7BEXP|9ASPD|aMDPS
312	13242 61621	   	197.72	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7ASPD|8MBVNT|9BASARM
313	13242 66321	   	197.72	ACR|1BASARM|1DMG|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7DUST|8DMG|9BASARM
314	13315 24461	   	197.72	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3LEGI|4MBVNT|5ASPD|6AART|7FEWX|8AIRHEL|9DMG|aBASARM
315	13315 27461	   	197.72	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3LEGI|4MBVNT|5ASPD|6AART|7LWND|8AIRHEL|9DMG|aBASARM
316	13315 62524	   	197.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1AEMAG|2RCR|3LEGI|4MBVNT|5ASPD|6ERES|7BEXP|8RPLT|9BASARM|aDMG
317	13621 36343	   	197.72	ACR|1BASARM|1DMG|1ASPD|1VULN	1AEMAG|2RCR|3ERES|4ZMB|58TLV|6DMG|7ASPD|9BASARM|aVULN
318	13116 23261	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aSPLARM
319	13116 23265	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aMULARM
320	13116 23327	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9DUST|aASPD
321	13116 23336	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aAME
322	13116 23627	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8LEGI|9MBVNT|aASPD
323	13341 22366	   	197.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	16AEMAG|2RCR|3LEGI|4MLV|5MDPS|7CDMG|8DMG|9ASPD|aBASARM
324	13543 62321	   	197.72	ACR|1BASARM|2CDMG|1DMG|1BEXP	1AEMAG|2RCR|3MDPS|4ERES|5BEXP|6LWND|7aCDMG|8DMG|9BASARM
325	32616 23241	   	197.68	ACR|1BASARM|2VULN|1CDMG|1AART	1DUST|2CDMG|3RCR|4aVULN|5LEGI|6AART|78RCVC|9BASARM
326	13116 21264	   	197.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8AAC|9SELL|aASPD
327	13116 21364	   	197.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8ERES|9SELL|aASPD
328	13116 63162	   	197.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|7VENFST|8FEWX|9ASPD|aDMG
329	13116 36116	 * 	197.65	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78aBEXP|9BELT
330	13116 36142	   	197.65	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|789BEXP|aLHND
331	13236 23327	   	197.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9DUST|aASPD
332	13236 23336	   	197.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aAME
333	13236 23563	   	197.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|78aTLV|9ASPD
334	13236 23663	   	197.62	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|48AAC|5BASARM|6DMG|7aTLV|9ASPD
335	13311 34188	   	197.62	ACR|1BASARM|1ASPD|1DMG|1VULN	15AEMAG|2RCR|3LEGI|4MBVNT|5BPWR|6AME|7ASPD|8BASARM|9VULN|aDMG
336	13313 23556	   	197.62	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3LEGI|4MBVNT|5SNIHEL|68CDMG|7ASPD|9BEXP|aBASARM
337	13332 22321	   	197.62	ACR|1BASARM|2CDMG|1DMG|1BEXP	1AEMAG|2RCR|3LEGI|4MDPS|5BEXP|6ERES|7aCDMG|8DMG|9BASARM
338	13116 63262	   	197.58	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|7VENFST|8LEGI|9ASPD|aDMG
339	13116 36143	   	197.55	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|789BEXP|aMDPS
340	13236 36116	   	197.55	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78aBEXP|9BELT
341	13236 36142	   	197.55	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|789BEXP|aLHND
342	13236 36143	   	197.45	ACR|1BASARM|3BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|789BEXP|aMDPS
343	41231 16122	 * 	197.14	ACR|3VULN|1BASARM|1DMG|1BEXP	13aVULN|2CGEN|4BEXP|5RCR|6LWND|7DMG|8BASARM|9SPLARM
344	45231 16122	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	13aVULN|2TLV|4BEXP|5RCR|6LWND|7DMG|8BASARM|9SPLARM
345	41231 66122	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	13aVULN|2CGEN|4BEXP|5RCR|6DUST|7DMG|8BASARM|9SPLARM
346	45241 22122	   	197.04	ACR|3VULN|1BASARM|1DMG|1BEXP	13aVULN|2TLV|4LWND|5RCR|6DMG|7BEXP|8BASARM|9SPLARM
347	13242 41262	   	196.97	ACR|2DMG|1ASPD|1VULN|1CDMG|1BEXP	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|69DMG|7ASPD|8LHND|aVULN
348	32621 26121	 * 	196.76	ACR|1BASARM|2DMG|2CDMG	1DUST|2aCDMG|3RCR|4FEWX|5MDPS|6CGEN|78DMG|9BASARM
349	42242 22413	 * 	196.71	DCR|1BASARM|2DMG|1VULN|3CDMG|1AART	1VULN|257CDMG|3BASARM|46DMG|8LHND|9AART|aRCR
350	32621 16121	   	196.66	ACR|1BASARM|2DMG|2CDMG	1DUST|2aCDMG|3RCR|4FEWX|5MDPS|6ERES|78DMG|9BASARM
351	41231 32361	   	196.65	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	13VULN|2CGEN|4BEXP|5RCR|6MDPS|7CDMG|8DMG|9aASPD
352	14412 43461	   	196.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AEMAG|2BEXP|3LHND|4MBVNT|5RCR|6AART|7ASPD|8AIRHEL|9DMG|aBASARM
353	14312 43461	   	196.37	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1AEMAG|2BEXP|3LEGI|4MBVNT|5RCR|6AART|7ASPD|8AIRHEL|9DMG|aBASARM
354	13242 41263	 * 	196.37	ACR|3DMG|1ASPD|1CDMG|1BEXP	1AEMAG|2RCR|3CDMG|4BEXP|5MDPS|69aDMG|7ASPD|8LHND
