0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
329	32123 33553	   	156.50	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2ASPD|3DUST|4AIRHEL|5DMG|6AART|79VULN|8RCR|aDUR
330	53344 74442	 * 	156.47	DCR|2VULN|1AART|2ZMB|1CDMG	1ERES|2RPLT|3aVULN|4MBVNT|5AART|6RCR|79ZMB|8CDMG
331	33112 15325	   	156.46	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48AART|5ASPD|6RCR|7RPLT|9DMG|aTLV
332	22246 21824	   	156.42	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	13MLV|2DUR|4MBVNT|5RCR|69VULN|7AART|8DMG|aASPD
333	33142 21534	   	156.36	DCR|3VULN|1AART|1ZMB|1DUR	1MGNLIT|29aVULN|3DUR|4RMIN|5LHND|6AART|7ZMB|8RCR
334	33152 21534	   	156.36	DCR|3VULN|1AART|1ZMB|1DUR	1MGNLIT|29aVULN|3DUR|4MLV|5LHND|6AART|7ZMB|8RCR
335	33243 21534	   	156.36	DCR|3VULN|1AART|1ZMB|1DUR	1MGNLIT|29aVULN|3LWND|4RMIN|5DUR|6AART|7ZMB|8RCR
336	33253 21534	   	156.36	DCR|3VULN|1AART|1ZMB|1DUR	1MGNLIT|29aVULN|3LWND|4MLV|5DUR|6AART|7ZMB|8RCR
337	21525 11132	   	156.34	DCR|2AART|1VULN|1DMG|1CDMG	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aRPLT
338	21525 11133	   	156.34	DCR|2AART|1VULN|1DMG|1CDMG	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aLWND
339	21525 11136	   	156.34	DCR|2AART|1VULN|1DMG|1CDMG	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aLHND
340	33112 14535	   	156.29	DCR|2VULN|1AART|1CDMG|1ASPD|1DUR	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8CGEN|aRMIN
341	33112 14536	   	156.29	DCR|2VULN|1AART|1CDMG|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8CGEN|aLWND
342	33112 15113	   	156.29	DCR|2VULN|1AART|1CDMG|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7RPLT|8RMIN|aCDMG
343	33112 15513	   	156.29	DCR|2VULN|1AART|1CDMG|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7RPLT|8MLV|aCDMG
344	21525 11131	   	156.24	DCR|2AART|1VULN|1DMG|1CDMG	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aDLOT
345	21525 11134	   	156.24	DCR|2AART|1VULN|1DMG|1CDMG	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aDUST
346	51525 11132	   	156.24	DCR|2AART|1VULN|1DMG|1CDMG	1ERES|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aRPLT
347	51525 11133	   	156.24	DCR|2AART|1VULN|1DMG|1CDMG	1ERES|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aLWND
348	33633 31115	   	156.23	DCR|2VULN|1AART|1DMG|1ZMB	14MGNLIT|28VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aDMG
349	33112 14532	   	156.19	DCR|2VULN|1AART|1CDMG|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8CGEN|aTLV
350	33112 14533	   	156.19	DCR|2VULN|1AART|1CDMG|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8CGEN|aERES
351	11553 37432	   	156.18	ACR|3VULN|1DMG|1CDMG|1DUR	1CGEN|2LIT|369VULN|4RCR|5MBVNT|7DUR|8DMG|aCDMG
352	42353 37432	   	156.18	ACR|3VULN|1DMG|1CDMG|1DUR	1LIT|269VULN|3CGEN|4RCR|5MBVNT|7DUR|8DMG|aCDMG
353	32123 33546	 * 	156.18	DCR|2DMG|1AART|1VULN|2ASPD	1MGNLIT|2aASPD|3DUST|4AIRHEL|59DMG|6AART|7VULN|8RCR
354	32123 33556	 * 	156.18	DCR|2VULN|1AART|1DMG|2ASPD	1MGNLIT|2aASPD|3DUST|4AIRHEL|5DMG|6AART|79VULN|8RCR
355	52142 24524	   	156.16	DCR|3VULN|1DMG|1CDMG|2DUR	138ERES|28DUR|4MBVNT|5DMG|6CDMG|78aVULN|8BPWR|9RCR
356	51525 11131	   	156.14	DCR|2AART|1VULN|1DMG|1CDMG	1ERES|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aDLOT
357	33112 11221	   	156.12	DCR|1AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|9LIT|aDMG
358	33111 31161	   	156.07	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MGNLIT|2VULN|3DUR|45AART|6LWND|7RCVC|8CDMG|9RCR|aDMG
359	11524 11216	   	155.96	DCR|2VULN|1AART|1DMG|1DUR	1aCGEN|28LIT|3aVULN|4AART|5DUR|6RCR|7DMG|9aLHND|aBPWR
360	11525 11611	   	155.89	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB	1CGEN|2LIT|3VULN|4AART|5FEWX|6RCR|7DMG|8CDMG|9LHND|aZMB
361	21525 11235	   	155.89	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1MLV|28LIT|3VULN|4AART|5FEWX|6RCR|7DMG|9CDMG|aZMB
362	21525 11611	   	155.89	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1MLV|2LIT|3VULN|4AART|5FEWX|6RCR|7DMG|8CDMG|9LHND|aZMB
363	42325 11611	   	155.89	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB	1LIT|2VULN|3CGEN|4AART|5FEWX|6RCR|7DMG|8CDMG|9LHND|aZMB
364	21532 21652	   	155.87	DCR|3VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|349VULN|5RMIN|6DUR|7RCR|8DMG|aCDMG
365	32214 53433	   	155.87	DCR|3VULN|1DMG|1CDMG|1ASPD	1MGNLIT|2ASPD|3LHND|4LWND|58aVULN|6DMG|7RCR|9CDMG
366	32234 53433	   	155.87	DCR|3VULN|1DMG|1CDMG|1ASPD	1MGNLIT|2ASPD|3LHND|4BEXP|58aVULN|6DMG|7RCR|9CDMG
367	33111 32465	   	155.83	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1MGNLIT|2VULN|3DUR|45AART|6LWND|7CGEN|8RCR|9ZMB|aDMG
368	32114 53433	   	155.77	DCR|3VULN|1DMG|1CDMG|1ASPD	1MGNLIT|2ASPD|3DUST|4LWND|58aVULN|6DMG|7RCR|9CDMG
369	11524 11511	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9aLHND
370	11524 11513	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9LHND|aMLV
371	11524 11522	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	19CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|aLHND
372	21524 11511	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9aLHND
373	21524 11513	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1aMLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9LHND
374	21524 11521	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1aMLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CGEN
375	42324 11511	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3CGEN|4AART|5DUR|6RCR|7DMG|9aLHND
376	42324 11513	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3CGEN|4AART|5DUR|6RCR|7DMG|9LHND|aMLV
377	42324 11522	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|39CGEN|4AART|5DUR|6RCR|7DMG|aLHND
378	11525 12412	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|37VULN|4AART|5FEWX|6RCR|8BEXP|9DUR|aDMG
379	21525 12412	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|37VULN|4AART|5FEWX|6RCR|8BEXP|9DUR|aDMG
380	42325 12412	   	155.76	DCR|2VULN|1AART|1DMG|1DUR	1LIT|27VULN|3CGEN|4AART|5FEWX|6RCR|8BEXP|9DUR|aDMG
381	33212 43264	   	155.73	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1MGNLIT|2VULN|3LWND|4DUR|5DMG|6ZMB|7RCR|8aAART|9BASHEA
382	11524 11512	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9LHND|aDUST
383	11524 11531	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9ERES|aMLV
384	11524 11532	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9ERES|aBEXP
385	11524 11533	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1aCGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9ERES
386	21524 11361	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|3aVULN|4AART|5DUR|6RCR|7DMG|8RMIN|9LSRREG
387	21524 11512	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9LHND|aDUST
388	21524 11522	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CGEN|aDUST
389	21524 11523	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CGEN|aMBVNT
390	42324 11512	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3CGEN|4AART|5DUR|6RCR|7DMG|9LHND|aDUST
391	42324 11531	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3CGEN|4AART|5DUR|6RCR|7DMG|9ERES|aMLV
392	42324 11532	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3CGEN|4AART|5DUR|6RCR|7DMG|9ERES|aBEXP
393	42324 11533	   	155.66	DCR|2VULN|1AART|1DMG|1DUR	1LIT|28VULN|3aCGEN|4AART|5DUR|6RCR|7DMG|9ERES
394	15133 62632	   	155.58	DCR|2DMG|1AART|1CDMG|2DUR|1ASPD	1CGEN|2CDMG|36DMG|4FEWX|58DUR|7RCR|9ASPD|aAART
395	33122 43324	   	155.58	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1SELL	1MGNLIT|2VULN|3DUR|4BEXP|5DMG|6ZMB|7RCR|8aAART|9SELL
396	33212 43224	   	155.58	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1SELL	1MGNLIT|2VULN|3LWND|4DUR|5DMG|6ZMB|7RCR|8aAART|9SELL
397	45412 12122	 * 	155.57	DCR|2VULN|1AART|3CDMG|1ZMB	1LIT|246CDMG|37VULN|5AART|8RPLT|9ZMB|aRCR
398	45412 12232	   	155.57	DCR|2VULN|1AART|3CDMG|1ZMB	1LIT|246CDMG|37VULN|5AART|8ZMB|9RPLT|aRCR
399	15412 12363	   	155.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2CDMG|3LHND|49VULN|5ZMB|6BELT|7RCR|8AART|aDUR
400	25412 12363	   	155.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2CDMG|3LHND|49VULN|5ZMB|6BELT|7RCR|8AART|aDUR
401	11524 11523	   	155.52	DCR|2VULN|1AART|1DMG|1DUR|1SELL	19CGEN|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|aSELL
402	42324 11523	   	155.52	DCR|2VULN|1AART|1DMG|1DUR|1SELL	1LIT|28VULN|39CGEN|4AART|5DUR|6RCR|7DMG|aSELL
403	21253 35331	 * 	155.48	ACR|2VULN|1AART|1DMG|2DUR	1MLV|2LIT|38DUR|4RCR|56VULN|7BELT|9DMG|aAART
404	33112 14364	   	155.44	DCR|2AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4aAART|5ASPD|6RCR|7CDMG|9RMIN
405	33112 14615	   	155.44	DCR|2AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|39DUR|4aAART|5ASPD|6RCR|7CDMG|8FEWX
406	33212 43623	   	155.35	DCR|2VULN|2DMG|1ZMB|1DUR	1MGNLIT|2aVULN|3LWND|4DUR|5aDMG|6ZMB|7RCR|8aBEXP|9RMIN|aBPWR
407	43612 23123	 * 	155.26	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|5RMIN|6AART|7DMG|8NUKE|9VULN|aCDMG
408	13344 71481	   	155.16	DCR|3VULN|2AART	1CGEN|2RPLT|39aVULN|4MBVNT|58AART|6RCR|7RMIN
409	25233 22312	 * 	155.16	DCR|2DMG|1AART|2CDMG|2DUR	19MLV|29CDMG|3FEWX|45DUR|6RMIN|7RCR|89DMG|9BPWR|aAART
410	13344 74433	   	155.06	DCR|2DMG|1AART|1VULN|1DUR	1CGEN|2RPLT|3VULN|4MBVNT|5AART|6RCR|7LWND|8aDMG|9DUR
411	13344 74435	   	155.06	DCR|2VULN|1AART|1DMG|1DUR	1CGEN|2RPLT|3aVULN|4MBVNT|5AART|6RCR|7LWND|8DMG|9DUR
412	42313 37453	 * 	155.00	DCR|3VULN|2DMG|1DUR	1aLIT|26aVULN|3CGEN|4LEGI|5MBVNT|7DUR|8aDMG|9RCR|aBPWR
413	13331 51436	   	155.00	DCR|3VULN|2DMG|1DUR	18CGEN|2RPLT|367VULN|48DMG|58DUST|8BPWR|9RCR|aDUR
414	21524 11162	   	154.92	DCR|2AART|1VULN|1DMG|2DUR	1MLV|2LIT|3VULN|48AART|59DUR|6RCR|7DMG|aLHND
415	21524 11261	   	154.92	DCR|2AART|1VULN|1DMG|2DUR	1MLV|28LIT|3VULN|4aAART|59DUR|6RCR|7DMG
416	52316 22312	 * 	154.85	DCR|2DMG|3ZMB|2CDMG|1DUR	19ERES|2DUR|359ZMB|4FEWX|6aCDMG|7RCR|89DMG|9BPWR
417	22246 21823	   	154.78	ACR|2VULN|1AART|1DMG|2DUR	13MLV|2aDUR|4MBVNT|5RCR|69VULN|7AART|8DMG
418	52326 22312	   	154.75	DCR|2DMG|3ZMB|2CDMG|1DUR	19ERES|2DUR|359ZMB|4DUST|6aCDMG|7RCR|89DMG|9BPWR
419	11261 21154	   	154.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	1CGEN|24LIT|39DUR|5CDMG|6RCR|7DMG|8AART|aVULN
420	21221 21154	   	154.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	14MLV|2LIT|39DUR|5CDMG|6RCR|7DMG|8AART|aVULN
421	21231 21154	   	154.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	1MLV|24LIT|39DUR|5CDMG|6RCR|7DMG|8AART|aVULN
422	22261 21154	   	154.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR	13MLV|29DUR|4LIT|5CDMG|6RCR|7DMG|8AART|aVULN
423	13344 15813	   	154.71	DCR|3VULN|1AART|1CDMG|1ASPD	1CGEN|2RPLT|379VULN|4MBVNT|5AART|6ASPD|8CDMG|aRCR
424	15123 43412	 * 	154.70	DCR|2DMG|1AART|2ASPD|1CDMG|1DUR	169CGEN|2CDMG|39DMG|4BEXP|5DUR|79ASPD|8RCR|9BPWR|aAART
425	15133 43412	   	154.70	DCR|2DMG|1AART|2ASPD|1CDMG|1DUR	169CGEN|2CDMG|39DMG|4FEWX|5DUR|79ASPD|8RCR|9BPWR|aAART
426	11531 11342	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aRPLT
427	11531 11343	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2LIT|34VULN|5CDMG|6aLWND|7DMG|8RCR|9AART
428	11531 11346	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aLHND
429	21531 11342	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aRPLT
430	21531 11343	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|34VULN|5CDMG|6aLWND|7DMG|8RCR|9AART
431	21531 11346	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aLHND
432	42331 11342	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|24VULN|3CGEN|5CDMG|6LWND|7DMG|8RCR|9AART|aRPLT
433	42331 11343	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|24VULN|3CGEN|5CDMG|6aLWND|7DMG|8RCR|9AART
434	42331 11346	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|24VULN|3CGEN|5CDMG|6LWND|7DMG|8RCR|9AART|aLHND
435	13333 51235	   	154.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|37VULN|4DMG|5AART|6MLV|8RCVC|9RCR|aCDMG
436	21524 11163	   	154.67	DCR|2AART|1VULN|1DMG|2DUR|1SELL	1MLV|2LIT|3VULN|48AART|59DUR|6RCR|7DMG|aSELL
437	36523 11353	   	154.67	DCR|2VULN|2DMG|1AART|1ZMB|1MSE	1aMGNLIT|2MSE|3AART|4aDMG|59VULN|6RCR|7ZMB|8aLHND|aBPWR
438	21524 12413	   	154.65	DCR|2VULN|1AART|1CDMG|2DUR	1MLV|2LIT|37VULN|4AART|59DUR|6RCR|8BEXP|aCDMG
439	13162 61431	 * 	154.59	ACR|2VULN|2AART|1DMG	1CGEN|2RPLT|3DMSP|4DUST|5RCR|69AART|7aVULN|8DMG
440	23162 61431	   	154.59	ACR|2VULN|2AART|1DMG	1MLV|2RPLT|3DMSP|4DUST|5RCR|69AART|7aVULN|8DMG
441	23252 61431	   	154.59	ACR|2VULN|2AART|1DMG	14MLV|2RPLT|3DUST|5RCR|69AART|7aVULN|8DMG
442	23262 61431	   	154.59	ACR|2VULN|2AART|1DMG	1MLV|2RPLT|3DUST|4RCVC|5RCR|69AART|7aVULN|8DMG
443	11531 11341	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aDLOT
444	11531 11344	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aDUST
445	13333 42235	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|36VULN|4DMG|5AART|7ERES|8RCVC|9RCR|aCDMG
446	21531 11341	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aDLOT
447	21531 11344	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aDUST
448	23333 42235	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|36VULN|4DMG|5AART|7ERES|8RCVC|9RCR|aCDMG
449	23333 61235	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|37VULN|4DMG|5AART|6TLV|8RCVC|9RCR|aCDMG
450	42331 11341	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|24VULN|3CGEN|5CDMG|6LWND|7DMG|8RCR|9AART|aDLOT
451	42331 11344	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|24VULN|3CGEN|5CDMG|6LWND|7DMG|8RCR|9AART|aDUST
452	51531 11342	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aRPLT
453	51531 11343	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LIT|34VULN|5CDMG|6aLWND|7DMG|8RCR|9AART
454	53333 43235	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2RPLT|36VULN|4DMG|5AART|7MLV|8RCVC|9RCR|aCDMG
455	53333 51235	   	154.58	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2RPLT|37VULN|4DMG|5AART|6MLV|8RCVC|9RCR|aCDMG
456	13344 26813	   	154.56	DCR|2AART|2VULN|1CDMG|1ZMB	1CGEN|2RPLT|39VULN|4MBVNT|57AART|6ZMB|8CDMG|aRCR
457	15232 42312	   	154.55	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	169CGEN|2CDMG|39FEWX|4DUR|5ZMB|7RCR|89DMG|9BPWR|aAART
458	63235 22312	   	154.55	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39MLV|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
459	63635 22312	   	154.55	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39CGEN|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
460	33663 31335	   	154.55	DCR|2VULN|2AART|1ZMB|1DUR	1MGNLIT|24VULN|3LIT|5LSRICY|68AART|7RCR|9DUR|aZMB
461	51531 11341	   	154.48	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aDLOT
462	33663 31141	   	154.47	DCR|3VULN|1AART|1CDMG	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9RMIN|aCDMG
463	13333 31263	   	154.43	DCR|2DMG|1AART|1VULN|1ZMB	1CGEN|2RPLT|3VULN|4aDMG|5AART|6LHND|7BEXP|8RCR|9ZMB
464	23333 31263	   	154.43	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2RPLT|3VULN|4aDMG|5AART|6LHND|7BEXP|8RCR|9ZMB
465	63216 41322	   	154.43	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3MLV|4FEWX|5AART|6LWND|7DMG|8RCR|9aVULN
466	63135 22312	   	154.35	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39ERES|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
467	13233 36263	   	154.33	DCR|2DMG|1AART|1VULN|1ZMB	1CGEN|2RPLT|3DUST|4aDMG|5AART|6VULN|7LHND|8RCR|9ZMB
468	23233 36263	   	154.33	DCR|2DMG|1AART|1VULN|1ZMB	1MLV|2RPLT|3DUST|4aDMG|5AART|6VULN|7LHND|8RCR|9ZMB
469	31335 46331	   	154.33	DCR|2VULN|1AART|1DMG|1ZMB	1MGNLIT|2RPLT|3MBVNT|4ZMB|5BEXP|6DMG|7RCR|8aVULN|9AART
470	53333 31263	   	154.33	DCR|2DMG|1AART|1VULN|1ZMB	1ERES|2RPLT|3VULN|4aDMG|5AART|6LHND|7BEXP|8RCR|9ZMB
471	63116 41322	   	154.33	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3ERES|4FEWX|5AART|6LWND|7DMG|8RCR|9aVULN
472	63226 41322	   	154.33	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3MLV|4DUST|5AART|6LWND|7DMG|8RCR|9aVULN
473	15133 62172	   	154.25	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|2CDMG|36DMG|4FEWX|5DUR|7RCR|8MBVNT|9ZMB|aAART
474	45412 31231	   	154.24	DCR|1AART|3CDMG|1VULN|1DMG	1LIT|249CDMG|3VULN|5AART|6DMG|7RCR|8RPLT|aFEWX
475	45412 31232	   	154.24	DCR|1AART|3CDMG|1VULN|1DMG	1LIT|249CDMG|3VULN|5AART|6DMG|7RCR|8aRPLT
476	53233 36263	   	154.23	DCR|2DMG|1AART|1VULN|1ZMB	1ERES|2RPLT|3DUST|4aDMG|5AART|6VULN|7LHND|8RCR|9ZMB
477	63126 41322	   	154.23	DCR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3ERES|4DUST|5AART|6LWND|7DMG|8RCR|9aVULN
478	13331 56123	   	154.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1CGEN|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ASPD|aAART
479	23331 56123	   	154.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ASPD|aAART
480	13333 22214	   	154.18	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1CGEN|2RPLT|3aVULN|4DMG|5AART|6LWND|7SELL|8RCR|9ZMB
481	13333 22215	   	154.18	DCR|2DMG|1AART|1VULN|1ZMB|1SELL	1CGEN|2RPLT|3VULN|4aDMG|5AART|6LWND|7SELL|8RCR|9ZMB
482	23333 22214	   	154.18	DCR|2VULN|1AART|1DMG|1ZMB|1SELL	1MLV|2RPLT|3aVULN|4DMG|5AART|6LWND|7SELL|8RCR|9ZMB
483	23333 22215	   	154.18	DCR|2DMG|1AART|1VULN|1ZMB|1SELL	1MLV|2RPLT|3VULN|4aDMG|5AART|6LWND|7SELL|8RCR|9ZMB
484	43253 31352	   	154.16	ACR|3VULN|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2ASPD|3DUR|4RCR|569VULN|7CGEN|8ZMB|aCDMG
485	43611 21133	   	154.16	ACR|1AART|1VULN|1DMG|1CDMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6LHND|7DMG|8AART|9MLV|aVULN
486	43611 21163	   	154.16	ACR|1AART|1DMG|1VULN|2ASPD|1CDMG	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6LHND|7DMG|8AART|9CGEN|aVULN
487	43611 41133	   	154.16	ACR|1AART|1VULN|1DMG|1CDMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5CDMG|6BEXP|7DMG|8AART|9MLV|aVULN
488	33211 52234	   	154.15	DCR|3VULN|1AART|2DUR	1MGNLIT|29aVULN|3LWND|47DUR|5DUST|6RCR|8AART
489	53331 56123	   	154.10	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ASPD|aAART
490	33112 15114	   	154.09	DCR|2AART|2VULN|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4aAART|5ASPD|6RCR|7RPLT|8RMIN
